Year: 2008  Month: 05  ID: CBD  ARGOS:  8901  Name: Cape Bird           
Lat: 77.22S  Lon: 166.45E  Elev:   38m
2008 122  5  1 0000  -16.4  984.9    1.2  101.0  444.0  444.0
2008 122  5  1 0100  -15.8  983.8    3.1  109.0  444.0  444.0
2008 122  5  1 0200  -15.6  983.4    3.7   61.0  444.0  444.0
2008 122  5  1 0300  -14.9  983.4    3.1  109.0  444.0  444.0
2008 122  5  1 0400  -14.9  983.5    6.8  186.0  444.0  444.0
2008 122  5  1 0500  -15.1  982.8    6.4  193.0  444.0  444.0
2008 122  5  1 0600  -14.4  982.5    6.0  189.0  444.0  444.0
2008 122  5  1 0700  -16.4  982.3    5.1   35.0  444.0  444.0
2008 122  5  1 0800  -17.4  981.7    2.9   85.0  444.0  444.0
2008 122  5  1 0900  -17.4  981.7    0.2   77.0  444.0  444.0
2008 122  5  1 1000  -18.0  981.9    2.3  106.0  444.0  444.0
2008 122  5  1 1100  -17.5  981.9    7.6   16.0  444.0  444.0
2008 122  5  1 1200  -18.2  981.9    7.4   42.0  444.0  444.0
2008 122  5  1 1300  -19.0  982.0    7.6   36.0  444.0  444.0
2008 122  5  1 1400  -19.2  981.9    7.8   35.0  444.0  444.0
2008 122  5  1 1500  -19.2  981.9    5.7   33.0  444.0  444.0
2008 122  5  1 1600  -18.9  981.7    7.0   19.0  444.0  444.0
2008 122  5  1 1700  -18.5  981.6    2.3   29.0  444.0  444.0
2008 122  5  1 1800  -18.2  981.2    1.8   58.0  444.0  444.0
2008 122  5  1 1900  -17.9  980.8    4.9   44.0  444.0  444.0
2008 122  5  1 2000  -16.9  981.2    5.7   22.0  444.0  444.0
2008 122  5  1 2100  -15.6  980.6    6.8   33.0  444.0  444.0
2008 122  5  1 2200  -16.1  980.7    8.6   23.0  444.0  444.0
2008 122  5  1 2300  -16.1  981.0    6.2   33.0  444.0  444.0
2008 123  5  2 0000  -15.1  981.5    4.3    9.0  444.0  444.0
2008 123  5  2 0100  -15.8  981.4    6.4   37.0  444.0  444.0
2008 123  5  2 0200  -15.8  980.9    8.4   22.0  444.0  444.0
2008 123  5  2 0300  -16.1  981.6    6.4   18.0  444.0  444.0
2008 123  5  2 0400  -15.4  981.9    3.7   87.0  444.0  444.0
2008 123  5  2 0500  -13.4  981.3    5.5   18.0  444.0  444.0
2008 123  5  2 0600  -12.8  980.7    4.3   53.0  444.0  444.0
