Year: 2008  Month: 09  ID: BPT  ARGOS:  8921  Name: Bonaparte Point     
Lat: 64.78S  Lon:  64.07W  Elev:    8m
2008 248  9  4 0900   -2.6 1011.1    3.1   28.0   95.0   -4.8
2008 248  9  4 1000   -2.5 1010.0    3.4   34.0   97.6   -5.1
2008 248  9  4 1100   -2.3 1009.6    5.7   30.0   97.0   -5.3
2008 248  9  4 1200   -2.1 1010.0    2.6  228.0   96.7   -5.4
2008 248  9  4 1300   -2.2  444.0    0.3  172.0  444.0   -5.6
2008 248  9  4 1400   -1.9  444.0    0.4  271.0   96.2   -4.7
2008 248  9  4 1500   -1.9  444.0    1.3  246.0  444.0  444.0
2008 248  9  4 1600   -1.3  444.0  444.0  444.0   93.0   -2.5
2008 248  9  4 1700   -1.0  444.0    0.8  338.0  444.0   -4.9
2008 248  9  4 1800   -1.2  444.0    0.2  183.0  444.0   -4.0
2008 248  9  4 1900   -1.6  444.0    1.4  206.0   95.0   -3.7
2008 248  9  4 2000   -1.6  444.0    0.8  234.0   96.0   -3.8
2008 248  9  4 2100   -2.0 1000.0    1.3   66.0   98.0   -4.0
2008 248  9  4 2200   -2.2  997.2    2.5   20.0   99.0   -4.7
2008 248  9  4 2300   -2.4  997.0    2.4   24.0   99.0   -4.8
2008 249  9  5 0000   -2.0  998.0    3.1   18.0   99.0   -5.1
2008 249  9  5 0100   -2.5  996.5    0.3  302.0   98.0   -5.0
2008 249  9  5 0200   -2.7  996.1    0.4  311.0   98.0   -4.8
2008 249  9  5 0300   -2.2  997.2    0.7  183.0   97.0   -5.0
2008 249  9  5 0400   -2.3  997.6    0.1  157.0   97.5   -5.0
2008 249  9  5 0500   -1.0  998.9    1.4   57.0   90.1   -5.1
2008 249  9  5 0600    2.1  444.0    6.7  296.0   78.0   -5.1
2008 249  9  5 0700    2.0  444.0    4.5  304.0   73.5   -3.5
2008 249  9  5 0800    3.0  444.0    4.6  309.0   71.0   -3.5
2008 249  9  5 0900    1.8  444.0    0.4  320.0   80.4   -3.4
2008 249  9  5 1000    1.8 1004.7    3.8  328.0   75.8   -3.7
2008 249  9  5 1100    1.7 1002.7   11.7  279.0   82.0   -4.5
2008 249  9  5 1200    2.3 1003.0   10.6  288.0   79.0   -4.3
2008 249  9  5 1300    2.6 1001.8   17.3  290.0   78.7   -5.1
2008 249  9  5 1400    2.3  999.5   17.4  288.0   76.0   -4.5
2008 249  9  5 1500    2.8  999.6   17.0  288.0   79.0   -2.9
2008 249  9  5 1600  444.0  444.0  444.0  444.0  444.0  444.0
2008 249  9  5 1700    1.8  994.1   13.4  287.0   81.2   -2.3
2008 249  9  5 1800    1.5  444.0   14.4  286.0   85.0   -2.2
2008 249  9  5 1900    2.1  991.9   13.9  288.0   82.1   -2.3
2008 249  9  5 2000    1.5  989.2   14.0  294.0   83.6   -2.2
2008 249  9  5 2100    2.1  988.9   14.0  295.0   84.0   -2.4
2008 249  9  5 2200    1.7  987.1   14.5  293.0  444.0   -2.2
2008 249  9  5 2300    1.8  986.9   12.6  298.0   87.3   -2.1
2008 250  9  6 0000    2.1  987.1   14.3  301.0   83.0   -2.2
2008 250  9  6 0100    2.3  986.6   14.2  300.0   85.0   -2.5
2008 250  9  6 0200    2.2  986.2   11.8  303.0   82.0   -2.7
2008 250  9  6 0300    1.7  984.7   14.9  303.0   83.0   -4.5
