Year: 2008  Month: 11  ID: WFD  ARGOS: 21364  Name: Willie Field        
Lat: 77.88S  Lon: 166.99E  Elev:   14m
2008 306 11  1 0000  -16.6  988.7    1.4    8.0   50.0  444.0
2008 306 11  1 0100  -14.8  989.1    1.4   50.0   53.1  444.0
2008 306 11  1 0200  -13.0  989.3    0.6  357.0   43.9  444.0
2008 306 11  1 0300  -12.8  989.5    1.4   36.0   40.8  444.0
2008 306 11  1 0400  -13.8  989.4    1.6   11.0   55.3  444.0
2008 306 11  1 0500  -13.1  989.7    2.3   26.0   54.9  444.0
2008 306 11  1 0600  -15.1  989.9    1.2  119.0   40.8  444.0
2008 306 11  1 0700  -17.5  990.0    2.1  101.0   56.2  444.0
2008 306 11  1 0800  -19.1  990.2    2.5   84.0   63.2  444.0
2008 306 11  1 0900  -20.4  990.3    2.1   67.0   69.0  444.0
2008 306 11  1 1000  -21.4  990.4    2.1   57.0   72.5  444.0
2008 306 11  1 1100  -21.9  990.6    1.8   56.0   76.0  444.0
2008 306 11  1 1200  -21.5  990.7    1.9   57.0   76.4  444.0
2008 306 11  1 1300  -20.4  990.7    1.8   68.0   82.6  444.0
2008 306 11  1 1400  -20.2  990.8    2.3   95.0   77.3  444.0
2008 306 11  1 1500  -20.2  991.0    1.8  101.0   76.9  444.0
2008 306 11  1 1600  -21.9  991.3    1.6   84.0   73.4  444.0
2008 306 11  1 1700  -21.9  991.5    1.4   61.0   70.3  444.0
2008 306 11  1 1800  -20.4  991.8    1.9   43.0   73.4  444.0
2008 306 11  1 1900  -19.5  991.9    1.8   77.0   69.8  444.0
2008 306 11  1 2000  -18.5  992.3    1.9   97.0   58.8  444.0
2008 306 11  1 2100  -17.1  992.4    1.4   84.0   57.5  444.0
2008 306 11  1 2200  -17.1  992.6    4.5  113.0   56.6  444.0
2008 306 11  1 2300  -16.6  992.9    3.7  122.0   55.8  444.0
2008 307 11  2 0000  -15.5  993.3    3.7  108.0   49.6  444.0
2008 307 11  2 0100  -15.5  993.3    3.1  111.0   50.5  444.0
2008 307 11  2 0200  -15.5  993.6    5.1  106.0   56.6  444.0
2008 307 11  2 0300  -15.6  993.6    4.9   92.0   58.4  444.0
2008 307 11  2 0400  -16.2  993.7    7.0   99.0   67.2  444.0
2008 307 11  2 0500  -16.5  994.0    7.4   88.0   71.6  444.0
2008 307 11  2 0600  -16.6  994.2    6.6   70.0   76.4  444.0
2008 307 11  2 0700  -17.1  994.7    6.0   77.0   77.8  444.0
2008 307 11  2 0800  -17.1  995.0    5.1   71.0   76.4  444.0
2008 307 11  2 0900  -17.6  995.0    5.5   64.0   76.9  444.0
2008 307 11  2 1000  -18.2  995.0    5.7   60.0   80.8  444.0
2008 307 11  2 1100  -18.5  995.4    4.7   50.0   83.0  444.0
2008 307 11  2 1200  -19.0  995.2    5.3   61.0   80.8  444.0
2008 307 11  2 1300  -19.0  995.2    3.3   56.0   80.4  444.0
2008 307 11  2 1400  -18.9  995.3    4.1   84.0   80.8  444.0
2008 307 11  2 1500  -19.0  995.0    4.5   83.0   90.1  444.0
2008 307 11  2 1600  -19.1  995.0    3.3   99.0   82.6  444.0
2008 307 11  2 1700  -19.5  994.8    3.7  108.0   82.2  444.0
2008 307 11  2 1800  -19.0  994.8    3.5   87.0   85.7  444.0
2008 307 11  2 1900  -18.4  994.6    3.1   78.0   86.1  444.0
2008 307 11  2 2000  -18.0  994.6    2.7   88.0   77.8  444.0
2008 307 11  2 2100  -17.5  994.3    3.1   88.0   69.4  444.0
2008 307 11  2 2200  -17.1  994.3    2.9   80.0   68.1  444.0
2008 307 11  2 2300  -16.8  994.2    3.1   64.0   72.9  444.0
2008 308 11  3 0000  -16.0  994.1    3.1   78.0   70.7  444.0
