Year: 2008  Month: 07  ID: WFD  ARGOS: 21364  Name: Willie Field        
Lat: 77.88S  Lon: 166.99E  Elev:   14m
2008 183  7  1 0000  -36.1  986.8    2.3   43.0   71.2  444.0
2008 183  7  1 0100  -35.5  986.5    1.8   46.0   70.3  444.0
2008 183  7  1 0200  -37.6  986.1    2.1   57.0   66.3  444.0
2008 183  7  1 0300  -30.9  986.1    2.1   66.0   76.0  444.0
2008 183  7  1 0400  -36.1  986.2    1.4   80.0   68.5  444.0
2008 183  7  1 0500  -33.1  985.9    2.7   76.0   74.7  444.0
2008 183  7  1 0600  -33.4  985.7    3.1   25.0   71.2  444.0
2008 183  7  1 0700  -33.9  985.5    3.5   42.0   72.0  444.0
2008 183  7  1 0800  -33.8  985.5    1.0    8.0   71.6  444.0
2008 183  7  1 0900  -30.6  985.4    2.7   33.0   76.0  444.0
2008 183  7  1 1000  -30.8  985.6    2.1   33.0   75.6  444.0
2008 183  7  1 1100  -30.5  985.7    2.3   18.0   75.1  444.0
2008 183  7  1 1200  -30.2  985.8    2.5   29.0   76.9  444.0
2008 183  7  1 1300  -30.8  985.8    2.1   59.0   74.7  444.0
2008 183  7  1 1400  -28.5  986.1    2.5   22.0   77.8  444.0
2008 183  7  1 1500  -28.0  986.6    2.5   22.0   78.6  444.0
2008 183  7  1 1600  -29.9  987.0    1.8   56.0   76.4  444.0
2008 183  7  1 1700  -30.4  987.4    2.1   19.0   76.0  444.0
2008 183  7  1 1800  -31.0  987.9    1.2   16.0   74.2  444.0
2008 183  7  1 1900  -33.1  988.4    2.5   90.0   72.5  444.0
2008 183  7  1 2000  -34.5  988.9    2.7   76.0   71.6  444.0
2008 183  7  1 2100  -38.1  989.6    2.9   90.0   69.4  444.0
2008 183  7  1 2200  -37.5  990.9    3.9   87.0   67.6  444.0
2008 183  7  1 2300  -40.9  992.4    2.3   30.0   64.1  444.0
2008 184  7  2 0000  -40.0  993.3    4.1    8.0   65.4  444.0
2008 184  7  2 0100  -40.5  994.1    3.7   28.0   63.7  444.0
2008 184  7  2 0200  -39.0  994.9    3.7   23.0   65.0  444.0
2008 184  7  2 0300  -41.5  995.8    3.3   84.0   62.4  444.0
2008 184  7  2 0400  -42.5  996.4    4.1   22.0   61.9  444.0
2008 184  7  2 0500  -42.2  997.0    3.9   15.0   61.9  444.0
2008 184  7  2 0600  -41.2  997.5    2.9   14.0   62.8  444.0
2008 184  7  2 0700  -35.4  998.1    1.2   81.0   69.4  444.0
2008 184  7  2 0800  -37.0  999.0    1.8    9.0   69.0  444.0
2008 184  7  2 0900  -35.6  999.5    0.8  350.0   70.3  444.0
2008 184  7  2 1000  -32.8 1000.3    0.6    7.0   73.4  444.0
2008 184  7  2 1100  -32.9 1001.3    1.0   22.0   73.8  444.0
2008 184  7  2 1200  -34.6 1001.8    3.9    8.0   69.4  444.0
2008 184  7  2 1300  -32.9 1002.4    0.6  320.0   74.7  444.0
2008 184  7  2 1400  -34.0 1003.0    1.4  260.0   70.3  444.0
2008 184  7  2 1500  -35.0 1003.6    0.6  181.0   70.7  444.0
2008 184  7  2 1600  -40.0 1004.2    4.3   77.0   65.0  444.0
2008 184  7  2 1700  -42.1 1005.0    3.5   26.0   62.4  444.0
2008 184  7  2 1800  -41.5 1004.9    4.7   38.0   63.7  444.0
2008 184  7  2 1900  -42.4 1005.3    3.7   53.0   61.9  444.0
2008 184  7  2 2000  -43.9 1006.0    3.3   21.0   59.7  444.0
2008 184  7  2 2100  -43.9 1006.6    4.1   22.0   61.9  444.0
2008 184  7  2 2200  -45.0 1007.1    2.3   70.0   58.4  444.0
2008 184  7  2 2300  -41.9 1007.1    2.7   49.0   60.6  444.0
2008 185  7  3 0000  -44.5 1007.2    2.3   43.0   60.6  444.0
2008 185  7  3 0100  -43.9 1007.3    2.7   42.0   57.5  444.0
2008 185  7  3 0200  -41.1 1007.2    2.5   29.0   63.2  444.0
2008 185  7  3 0300  -43.5 1008.0    0.4    8.0   60.6  444.0
2008 185  7  3 0400  -42.4 1008.5    1.9   92.0   61.5  444.0
2008 185  7  3 0500  -43.4 1008.4    1.4   99.0   59.3  444.0
2008 185  7  3 0600  -45.5 1008.2    2.1   45.0   58.0  444.0
2008 185  7  3 0700  -40.9 1008.6    1.0   70.0   63.7  444.0
2008 185  7  3 0800  -38.8 1008.7    1.8   14.0   58.4  444.0
2008 185  7  3 0900  -38.6 1009.2    1.0   15.0   66.8  444.0
2008 185  7  3 1000  -45.1 1009.4    3.1   95.0   58.8  444.0
2008 185  7  3 1100  -44.9 1009.7    3.3   84.0   59.3  444.0
2008 185  7  3 1200  -42.6 1010.3    2.9   29.0   62.4  444.0
2008 185  7  3 1300  -40.8 1010.3    3.1   23.0   63.7  444.0
2008 185  7  3 1400  -41.1 1010.5    2.5   59.0   62.8  444.0
2008 185  7  3 1500  -42.6 1010.3    2.3   71.0   61.5  444.0
2008 185  7  3 1600  -44.8 1010.2    2.9   91.0   59.3  444.0
2008 185  7  3 1700  -47.1 1010.6    2.5   59.0   56.6  444.0
2008 185  7  3 1800  -47.4 1010.5    2.5   66.0   56.6  444.0
2008 185  7  3 1900  -42.5 1010.8    2.9   57.0   63.2  444.0
2008 185  7  3 2000  -43.5 1010.7    1.9   76.0   61.0  444.0
2008 185  7  3 2100  -46.2 1010.4    1.9   61.0   57.1  444.0
2008 185  7  3 2200  -40.4 1010.3    2.5   43.0   64.1  444.0
2008 185  7  3 2300  -35.8 1010.6    1.9   36.0   69.4  444.0
2008 186  7  4 0000  -38.1 1010.7    1.4    8.0   66.8  444.0
2008 186  7  4 0100  -38.1 1010.4    1.2   38.0   63.7  444.0
2008 186  7  4 0200  -38.5 1010.2    1.0    8.0   67.6  444.0
2008 186  7  4 0300  -38.1 1009.8    0.8    8.0   63.2  444.0
2008 186  7  4 0400  -36.4 1009.6    1.0   29.0   69.4  444.0
2008 186  7  4 0500  -36.2 1009.4    1.2    9.0   68.5  444.0
2008 186  7  4 0600  -35.0 1009.0    1.0   36.0   69.8  444.0
