Year: 2008  Month: 05  ID: WFD  ARGOS: 21364  Name: Willie Field        
Lat: 77.88S  Lon: 166.99E  Elev:   14m
2008 122  5  1 0000  -25.2  993.8    6.0  104.0   82.2  444.0
2008 122  5  1 0100  -25.2  993.7    3.1   35.0   83.0  444.0
2008 122  5  1 0200  -25.5  993.1    5.7   99.0   82.2  444.0
2008 122  5  1 0300  -26.1  993.1    4.1   22.0   80.8  444.0
2008 122  5  1 0400  -28.1  993.1    4.7   14.0   78.6  444.0
2008 122  5  1 0500  -28.1  992.5    2.7   21.0   79.1  444.0
2008 122  5  1 0600  -27.5  991.9    4.5   38.0   78.6  444.0
2008 122  5  1 0700  -25.8  991.1    4.9   88.0   81.3  444.0
2008 122  5  1 0800  -28.5  991.0    3.3   26.0   76.9  444.0
2008 122  5  1 0900  -31.1  990.9    4.9   32.0   75.6  444.0
2008 122  5  1 1000  -33.2  990.5    3.1   28.0   72.5  444.0
2008 122  5  1 1100  -30.8  990.3    2.5   67.0   76.4  444.0
2008 122  5  1 1200  -31.9  989.6    3.5   28.0   74.7  444.0
2008 122  5  1 1300  -32.4  989.5    1.9   63.0   73.8  444.0
2008 122  5  1 1400  -30.8  989.2    1.6  108.0   75.6  444.0
2008 122  5  1 1500  -29.0  989.1    1.8  164.0   77.8  444.0
2008 122  5  1 1600  -27.6  989.3    1.2   78.0   79.5  444.0
2008 122  5  1 1700  -26.5  989.3    2.5    5.0   79.5  444.0
2008 122  5  1 1800  -24.4  989.3    1.8   40.0   72.0  444.0
2008 122  5  1 1900  -23.6  989.5    0.2   56.0   72.9  444.0
2008 122  5  1 2000  -19.5  989.7    1.9   63.0   74.2  444.0
2008 122  5  1 2100  -19.0  989.8    1.4   81.0   74.7  444.0
2008 122  5  1 2200  -18.0  989.8    3.1   60.0   74.2  444.0
2008 122  5  1 2300  444.0  990.0    1.2   53.0   71.2  444.0
2008 123  5  2 0000  -17.1  989.9    4.1    1.0   72.0  444.0
2008 123  5  2 0100  -16.0  990.0    2.1   28.0   62.4  444.0
2008 123  5  2 0200  -15.4  989.9    2.9   28.0   51.8  444.0
2008 123  5  2 0300  -14.9  989.8    2.3    2.0   47.4  444.0
2008 123  5  2 0400  -16.0  989.9    0.8    7.0   49.6  444.0
2008 123  5  2 0500  -16.6  990.1    2.9   85.0   57.1  444.0
2008 123  5  2 0600  -15.9  990.3    2.5  108.0   57.5  444.0
2008 123  5  2 0700  -26.1  990.6    5.1   87.0   63.7  444.0
2008 123  5  2 0800  -27.9  990.3    3.9    7.0   70.3  444.0
2008 123  5  2 0900  -26.6  990.3    4.9   14.0   72.5  444.0
2008 123  5  2 1000  -24.6  990.6    5.1   21.0   66.3  444.0
2008 123  5  2 1100  -22.2  990.5    6.6   45.0   63.2  444.0
2008 123  5  2 1200  -22.4  990.3    5.1   67.0   62.4  444.0
2008 123  5  2 1300  -25.5  989.8    5.7   53.0   59.7  444.0
2008 123  5  2 1400  -28.2  989.8    3.7   35.0   66.8  444.0
2008 123  5  2 1500  -29.6  989.8    3.7   26.0   66.8  444.0
2008 123  5  2 1600  -28.0  990.0    5.8   40.0   66.8  444.0
2008 123  5  2 1700  -29.0  989.9    6.4   39.0   66.8  444.0
2008 123  5  2 1800  -28.4  989.4    5.8   35.0   62.4  444.0
2008 123  5  2 1900  -29.6  989.7    4.1   30.0   62.8  444.0
2008 123  5  2 2000  -32.4  989.7    3.1   33.0   64.6  444.0
2008 123  5  2 2100  -32.4  989.6    1.6   53.0   69.8  444.0
2008 123  5  2 2200  -29.5  989.0    2.9   18.0   67.6  444.0
2008 123  5  2 2300  -26.2  988.8    2.1    9.0   56.2  444.0
2008 124  5  3 0000  -24.1  988.7    3.3   43.0   58.0  444.0
2008 124  5  3 0100  -26.0  988.2    4.7   11.0   62.4  444.0
2008 124  5  3 0200  -25.9  988.2    2.5  296.0   51.4  444.0
2008 124  5  3 0300  -28.1  988.2    0.0    0.0   75.1  444.0
2008 124  5  3 0400  -27.2  987.8    1.8  279.0   77.8  444.0
2008 124  5  3 0500  -26.5  987.5    0.6  303.0   67.6  444.0
2008 124  5  3 0600  -26.0  987.1    4.1  258.0   67.6  444.0
2008 124  5  3 0700  -24.5  986.9    3.5  253.0   63.7  444.0
2008 124  5  3 0800  -24.6  986.4    0.8  105.0   65.9  444.0
2008 124  5  3 0900  -19.5  986.4    0.0    0.0   64.6  444.0
2008 124  5  3 1000  -18.9  986.9    1.9  175.0   58.8  444.0
2008 124  5  3 1100  -22.4  986.9    1.8  184.0   69.4  444.0
2008 124  5  3 1200  -19.6  988.1    2.3  158.0   72.5  444.0
2008 124  5  3 1300  -13.9  987.8    4.1    4.0   87.0  444.0
2008 124  5  3 1400  -12.1  987.2    4.1   32.0   78.2  444.0
2008 124  5  3 1500  -11.1  987.5    2.5   92.0   61.5  444.0
2008 124  5  3 1600  -11.4  988.1    1.2  158.0   62.4  444.0
2008 124  5  3 1700  -10.9  988.3    6.6  161.0   80.8  444.0
2008 124  5  3 1800  -10.9  988.1    9.9  161.0   96.2  444.0
2008 124  5  3 1900  -10.2  987.9   13.3  178.0   96.7  444.0
2008 124  5  3 2000  -10.0  988.1   12.9  182.0   97.1  444.0
2008 124  5  3 2100   -9.2  989.7    9.8  170.0   93.6  444.0
2008 124  5  3 2200  -10.4  989.6   14.0  184.0   95.4  444.0
2008 124  5  3 2300  -11.5  991.5    7.4   50.0   90.5  444.0
2008 125  5  4 0000   -7.6  991.2    1.4  111.0   76.9  444.0
