Year: 2008  Month: 04  ID: WFD  ARGOS: 21364  Name: Willie Field        
Lat: 77.88S  Lon: 166.99E  Elev:   14m
2008  92  4  1 0000  -31.6 1004.9    1.8  120.0   79.1  444.0
2008  92  4  1 0100  -30.2 1004.6    0.6  132.0   82.2  444.0
2008  92  4  1 0200  -30.8 1003.8    1.2  126.0   79.5  444.0
2008  92  4  1 0300  -34.4 1003.2    2.3  360.0   70.3  444.0
2008  92  4  1 0400  -33.1 1002.5    1.2  358.0   74.7  444.0
2008  92  4  1 0500  -30.6 1001.9    0.2  158.0   75.1  444.0
2008  92  4  1 0600  -30.5 1001.5    0.8  226.0   76.0  444.0
2008  92  4  1 0700  -27.4 1001.0    2.3  256.0   78.2  444.0
2008  92  4  1 0800  -28.1 1000.5    2.3  240.0   78.2  444.0
2008  92  4  1 0900  -28.0  999.8    1.8  233.0   78.2  444.0
2008  92  4  1 1000  -28.4  999.2    1.8  233.0   79.1  444.0
2008  92  4  1 1100  -28.4  998.4    1.9  248.0   78.2  444.0
2008  92  4  1 1200  -31.4  997.8    0.4   19.0   74.7  444.0
2008  92  4  1 1300  -29.0  996.6    0.4  320.0   78.2  444.0
2008  92  4  1 1400  -29.1  995.7    0.4  284.0   77.3  444.0
2008  92  4  1 1500  -31.4  995.0    1.9   22.0   73.4  444.0
2008  92  4  1 1600  -30.2  994.1    1.0  360.0   76.9  444.0
2008  92  4  1 1700  -31.9  993.4    2.9    7.0   72.0  444.0
2008  92  4  1 1800  -29.0  992.9    3.7   80.0   78.6  444.0
2008  92  4  1 1900  -28.6  992.1    1.9   56.0   77.8  444.0
2008  92  4  1 2000  -27.9  991.7    2.3   47.0   79.1  444.0
2008  92  4  1 2100  -27.5  991.0    2.5   29.0   79.5  444.0
2008  92  4  1 2200  -31.8  990.2    3.1  102.0   76.0  444.0
2008  92  4  1 2300  -32.0  989.9    3.7   92.0   76.4  444.0
2008  93  4  2 0000  -30.5  989.4    2.5   78.0   78.2  444.0
2008  93  4  2 0100  -29.1  988.9    1.6    8.0   80.0  444.0
2008  93  4  2 0200  -28.5  988.4    1.4  358.0   79.1  444.0
2008  93  4  2 0300  -26.8  987.9    0.8   66.0   80.4  444.0
2008  93  4  2 0400  -29.8  987.6    1.4   80.0   77.8  444.0
2008  93  4  2 0500  -28.6  987.4    1.6   36.0   78.2  444.0
2008  93  4  2 0600  -27.9  987.1    1.9    8.0   79.5  444.0
2008  93  4  2 0700  -27.2  986.4    2.3   40.0   80.0  444.0
2008  93  4  2 0800  -33.5  986.1    1.6  108.0   72.5  444.0
2008  93  4  2 0900  -33.1  985.6    0.4   52.0   72.9  444.0
2008  93  4  2 1000  -34.6  985.2    0.8   53.0   72.0  444.0
2008  93  4  2 1100  -33.0  984.7    0.6   30.0   73.8  444.0
2008  93  4  2 1200  -31.0  984.2    0.4  209.0   74.2  444.0
2008  93  4  2 1300  -31.0  983.6    1.0  164.0   75.1  444.0
2008  93  4  2 1400  -30.5  982.9    1.2  341.0   76.0  444.0
2008  93  4  2 1500  -28.0  982.4    0.8    7.0   79.5  444.0
2008  93  4  2 1600  444.0  982.1    1.2    8.0   79.5  444.0
2008  93  4  2 1700  444.0  981.7    0.8    1.0   79.1  444.0
2008  93  4  2 1800  444.0  981.2    0.0    0.0   81.3  444.0
2008  93  4  2 1900  444.0  980.6    1.2  348.0   82.6  444.0
2008  93  4  2 2000  444.0  980.3    1.0  357.0   83.9  444.0
2008  93  4  2 2100  -26.0  979.8    0.6   52.0   83.5  444.0
2008  93  4  2 2200  -28.8  979.6    1.6   76.0   79.1  444.0
2008  93  4  2 2300  -29.6  979.5    1.2   78.0   79.1  444.0
2008  94  4  3 0000  -28.6  979.3    0.8   81.0   79.5  444.0
2008  94  4  3 0100  -25.5  978.9    1.0  106.0   83.9  444.0
2008  94  4  3 0200  -28.5  979.0    2.5   90.0   81.3  444.0
2008  94  4  3 0300  -27.2  979.0    2.1   36.0   79.1  444.0
2008  94  4  3 0400  -27.2  979.0    3.1   28.0   80.4  444.0
2008  94  4  3 0500  -29.6  978.4    3.7    9.0   77.3  444.0
2008  94  4  3 0600  -29.6  978.3    3.1   29.0   78.6  444.0
2008  94  4  3 0700  -31.6  978.1    0.2  163.0   74.7  444.0
2008  94  4  3 0800  -32.2  977.9    2.3   85.0   73.8  444.0
2008  94  4  3 0900  -32.4  977.7    1.2    7.0   73.8  444.0
2008  94  4  3 1000  -30.2  977.6    3.1   32.0   77.8  444.0
2008  94  4  3 1100  -30.6  977.5    3.3   42.0   76.0  444.0
2008  94  4  3 1200  -27.2  977.5    2.3   42.0   78.2  444.0
2008  94  4  3 1300  -24.5  977.4    1.0   54.0   83.9  444.0
2008  94  4  3 1400  -25.2  977.3    1.6    5.0   83.0  444.0
2008  94  4  3 1500  -27.2  977.2    2.5  343.0   81.3  444.0
2008  94  4  3 1600  -27.2  977.2    2.7    1.0   83.5  444.0
2008  94  4  3 1700  -24.0  977.5    2.7    8.0   83.9  444.0
2008  94  4  3 1800  -30.9  978.0    4.1   74.0   76.0  444.0
2008  94  4  3 1900  -31.6  978.3    2.3   19.0   75.6  444.0
2008  94  4  3 2000  -31.9  978.6    2.5   91.0   74.2  444.0
2008  94  4  3 2100  -36.1  979.2    3.5   49.0   70.7  444.0
2008  94  4  3 2200  -35.8  979.6    3.1   81.0   70.7  444.0
2008  94  4  3 2300  -33.4  980.0    4.5   19.0   73.4  444.0
2008  95  4  4 0000  -29.4  980.2    2.1   32.0   78.6  444.0
2008  95  4  4 0100  -30.8  980.4    1.0   68.0   78.2  444.0
2008  95  4  4 0200  -27.5  980.1    0.8  111.0   80.4  444.0
2008  95  4  4 0300  -29.9  980.3    1.2  128.0   76.9  444.0
2008  95  4  4 0400  -31.4  980.4    0.0    0.0   76.0  444.0
2008  95  4  4 0500  -31.5  980.6    0.4    7.0   75.1  444.0
2008  95  4  4 0600  -28.5  980.9    0.8    8.0   78.6  444.0
2008  95  4  4 0700  -25.6  981.0    1.6   35.0   81.7  444.0
2008  95  4  4 0800  -23.4  981.1    2.1  358.0   84.4  444.0
2008  95  4  4 0900  -19.9  981.2    1.8   39.0   87.4  444.0
2008  95  4  4 1000  -19.1  980.9    2.7   66.0   88.3  444.0
2008  95  4  4 1100  -19.5  980.4    4.7  101.0   87.9  444.0
2008  95  4  4 1200  -19.0  979.8    3.5   73.0   89.6  444.0
2008  95  4  4 1300  -26.4  979.6    4.1   91.0   81.3  444.0
2008  95  4  4 1400  -26.9  979.3    3.7   36.0   81.3  444.0
2008  95  4  4 1500  -24.5  979.1    3.3    8.0   85.2  444.0
2008  95  4  4 1600  -21.6  979.1    2.9  149.0   86.1  444.0
2008  95  4  4 1700  -21.9  978.7    2.1   49.0   86.6  444.0
2008  95  4  4 1800  -21.9  978.4    1.0   77.0   86.6  444.0
2008  95  4  4 1900  -21.2  978.8    2.1  164.0   87.0  444.0
2008  95  4  4 2000  -22.8  978.4    0.0    0.0   85.2  444.0
2008  95  4  4 2100  -22.5  978.4    0.4  229.0   85.7  444.0
2008  95  4  4 2200  -22.4  978.1    2.1  198.0   84.4  444.0
2008  95  4  4 2300  -24.2  978.0    2.9  227.0   83.5  444.0
2008  96  4  5 0000  -25.5  978.0    2.1  199.0   82.6  444.0
2008  96  4  5 0100  -23.8  977.9    3.3  173.0   84.4  444.0
2008  96  4  5 0200  -21.4  977.8    4.1  225.0   87.4  444.0
2008  96  4  5 0300  -24.9  977.9    1.9  210.0   82.2  444.0
2008  96  4  5 0400  -23.5  977.7    3.1  185.0   79.1  444.0
2008  96  4  5 0500  -21.9  978.0    2.7  216.0   79.5  444.0
2008  96  4  5 0600  -25.1  978.8    1.9   87.0   83.5  444.0
2008  96  4  5 0700  -28.5  980.1    5.7    4.0   79.5  444.0
2008  96  4  5 0800  -25.1  980.5    4.1  351.0   83.0  444.0
2008  96  4  5 0900  -23.9  980.8    2.3   21.0   83.5  444.0
2008  96  4  5 1000  -25.1  980.2    5.1   12.0   83.5  444.0
2008  96  4  5 1100  -27.6  980.7    2.3   15.0   79.5  444.0
2008  96  4  5 1200  -27.1  981.1    1.8  161.0   79.5  444.0
2008  96  4  5 1300  -30.8  981.5    0.8   64.0   80.4  444.0
2008  96  4  5 1400  -31.0  981.7    1.4  212.0   75.1  444.0
2008  96  4  5 1500  -25.0  982.0    2.9  298.0   82.2  444.0
2008  96  4  5 1600  -29.1  982.1    2.7  309.0   79.5  444.0
2008  96  4  5 1700  -21.4  982.7    1.8  201.0   82.2  444.0
2008  96  4  5 1800  -19.1  982.9    4.3  277.0   87.9  444.0
2008  96  4  5 1900  -26.0  983.5    1.2  338.0   80.4  444.0
2008  96  4  5 2000  -25.5  983.2    1.9   43.0   87.0  444.0
2008  96  4  5 2100  -24.5  983.7    4.5  151.0   80.8  444.0
2008  96  4  5 2200  -27.6  984.1    1.6    8.0   79.1  444.0
2008  96  4  5 2300  -27.2  984.2    2.1  230.0   80.8  444.0
2008  97  4  6 0000  -21.8  984.6    2.9   22.0   86.1  444.0
2008  97  4  6 0100  -20.1  985.3    2.9  223.0   89.2  444.0
2008  97  4  6 0200  -18.5  985.9    2.1  295.0   88.8  444.0
2008  97  4  6 0300  -16.6  986.0    1.2  315.0   92.7  444.0
2008  97  4  6 0400  -16.0  986.6    0.8   26.0   93.6  444.0
2008  97  4  6 0500  -13.9  987.0    1.6  315.0   91.8  444.0
2008  97  4  6 0600  -12.1  987.7    3.3   14.0   91.0  444.0
2008  97  4  6 0700  -12.4  988.4    1.0  267.0   88.3  444.0
2008  97  4  6 0800  -12.4  988.7    3.9   98.0   90.5  444.0
2008  97  4  6 0900  -13.9  989.8    1.8   84.0   93.2  444.0
2008  97  4  6 1000  -13.8  990.2    4.9   70.0   91.8  444.0
2008  97  4  6 1100  -13.5  991.0    1.8   99.0   90.1  444.0
2008  97  4  6 1200  -13.0  991.3    0.8  187.0   87.4  444.0
2008  97  4  6 1300  -17.1  992.2    5.5  104.0   89.2  444.0
2008  97  4  6 1400  -21.2  992.6    6.2   87.0   83.0  444.0
2008  97  4  6 1500  -24.1  993.1    6.0   68.0   80.0  444.0
2008  97  4  6 1600  -26.2  993.6    4.5   61.0   80.4  444.0
2008  97  4  6 1700  -24.4  994.1    4.7   50.0   78.2  444.0
2008  97  4  6 1800  -23.4  994.0    5.7   49.0   78.6  444.0
2008  97  4  6 1900  -22.5  994.5    4.3   38.0   81.3  444.0
2008  97  4  6 2000  -21.6  994.5    5.7   76.0   83.0  444.0
2008  97  4  6 2100  -21.9  995.1    5.7   88.0   82.6  444.0
2008  97  4  6 2200  -20.9  995.4    7.0   90.0   81.3  444.0
2008  97  4  6 2300  -21.2  996.1    7.2  116.0   81.3  444.0
2008  98  4  7 0000  -20.6  996.4    6.2   91.0   81.3  444.0
2008  98  4  7 0100  -20.9  997.0    7.4   94.0   80.0  444.0
2008  98  4  7 0200  -21.5  997.0    8.4   52.0   78.2  444.0
2008  98  4  7 0300  -21.9  997.4    6.8   63.0   74.7  444.0
2008  98  4  7 0400  -21.2  997.8    7.6   64.0   72.0  444.0
2008  98  4  7 0500  -23.6  998.7    6.0   84.0   76.9  444.0
2008  98  4  7 0600  -25.6  999.6    1.4  324.0   78.2  444.0
2008  98  4  7 0700  -25.2  999.9    5.1   21.0   79.5  444.0
2008  98  4  7 0800  -24.4 1000.8    4.3   88.0   77.8  444.0
2008  98  4  7 0900  -22.5 1002.1    1.2   12.0   70.3  444.0
2008  98  4  7 1000  -22.5 1001.9    2.5   40.0   75.6  444.0
2008  98  4  7 1100  -28.2 1002.7    6.8   70.0   76.0  444.0
2008  98  4  7 1200  -28.0 1003.3    5.8    8.0   74.7  444.0
2008  98  4  7 1300  -27.5 1003.1    7.8   56.0   75.1  444.0
2008  98  4  7 1400  -26.8 1003.5    7.6   50.0   74.7  444.0
2008  98  4  7 1500  -29.5 1003.2    7.8   68.0   74.2  444.0
2008  98  4  7 1600  -30.9 1003.2    7.6   49.0   72.9  444.0
2008  98  4  7 1700  -32.0 1002.8    8.4   83.0   74.2  444.0
2008  98  4  7 1800  -29.0 1002.7    6.8   73.0   78.6  444.0
2008  98  4  7 1900  -27.9 1002.6    7.6   87.0   77.8  444.0
2008  98  4  7 2000  -27.9 1002.4    8.4   74.0   73.8  444.0
2008  98  4  7 2100  -27.6 1002.8    5.7   73.0   72.0  444.0
2008  98  4  7 2200  -28.0 1002.5    4.5   67.0   67.6  444.0
2008  98  4  7 2300  -26.8 1002.1    5.1   80.0   67.6  444.0
2008  99  4  8 0000  -25.8 1001.9    3.7   57.0   66.8  444.0
2008  99  4  8 0100  -25.8 1001.4    3.3   50.0   67.2  444.0
2008  99  4  8 0200  -25.5 1000.8    4.1   61.0   65.9  444.0
2008  99  4  8 0300  -25.9 1000.4    3.7   71.0   69.4  444.0
2008  99  4  8 0400  -26.0 1000.4    1.4   57.0   72.5  444.0
2008  99  4  8 0500  -25.8  999.4    4.5   50.0   72.0  444.0
2008  99  4  8 0600  -26.1  999.5    3.7  125.0   72.5  444.0
2008  99  4  8 0700  -27.2  998.6    2.1   95.0   71.6  444.0
2008  99  4  8 0800  -28.1  998.0    1.9  115.0   72.5  444.0
2008  99  4  8 0900  -29.0  997.5    1.6   50.0   73.4  444.0
2008  99  4  8 1000  -29.4  997.1    1.9   54.0   71.6  444.0
2008  99  4  8 1100  -29.8  996.5    1.9   40.0   72.5  444.0
2008  99  4  8 1200  -28.6  996.2    0.0    0.0   76.4  444.0
2008  99  4  8 1300  -32.0  995.9    2.1   52.0   74.2  444.0
2008  99  4  8 1400  -32.8  996.0    2.9   54.0   72.9  444.0
2008  99  4  8 1500  -30.2  996.1    2.7   74.0   76.0  444.0
2008  99  4  8 1600  -31.5  995.8    4.7   26.0   75.6  444.0
2008  99  4  8 1700  -27.6  995.6    5.8   35.0   78.6  444.0
2008  99  4  8 1800  -26.6  996.0    5.8   59.0   71.2  444.0
2008  99  4  8 1900  -26.4  995.9    6.6   56.0   69.4  444.0
2008  99  4  8 2000  -24.9  996.0    7.0   67.0   68.1  444.0
2008  99  4  8 2100  -25.6  995.8    6.2   87.0   67.6  444.0
2008  99  4  8 2200  -25.1  996.0    3.5   64.0   71.2  444.0
2008  99  4  8 2300  -24.6  996.4    3.9   47.0   67.6  444.0
2008 100  4  9 0000  -26.6  996.5    2.5   22.0   69.4  444.0
2008 100  4  9 0100  -25.9  996.3    3.7   36.0   68.1  444.0
2008 100  4  9 0200  -27.2  996.1    5.7    8.0   73.4  444.0
2008 100  4  9 0300  -27.1  996.3    3.5   50.0   69.4  444.0
2008 100  4  9 0400  -29.2  996.1    5.1   11.0   72.9  444.0
2008 100  4  9 0500  -30.2  996.3    4.9   14.0   72.5  444.0
2008 100  4  9 0600  -26.9  995.8    6.6   50.0   66.8  444.0
2008 100  4  9 0700  -26.9  995.7    7.0   64.0   63.2  444.0
2008 100  4  9 0800  -28.1  995.8    4.7   76.0   62.8  444.0
2008 100  4  9 0900  -28.0  995.7    4.9   39.0   69.4  444.0
2008 100  4  9 1000  -27.2  995.4    5.8   46.0   61.9  444.0
2008 100  4  9 1100  -28.6  995.2    3.3   66.0   65.9  444.0
2008 100  4  9 1200  -28.0  994.7    3.7   19.0   62.4  444.0
2008 100  4  9 1300  -29.6  994.2    3.3   23.0   64.6  444.0
2008 100  4  9 1400  -29.6  993.5    3.9   73.0   63.7  444.0
2008 100  4  9 1500  -30.4  992.7    4.1   12.0   65.0  444.0
2008 100  4  9 1600  -28.2  992.2    4.5   25.0   61.0  444.0
2008 100  4  9 1700  -29.6  991.9    4.1   45.0   59.7  444.0
2008 100  4  9 1800  -29.9  991.4    4.3    8.0   65.0  444.0
2008 100  4  9 1900  -27.2  991.1    4.3   50.0   55.8  444.0
2008 100  4  9 2000  -27.9  990.6    4.3   42.0   69.8  444.0
2008 100  4  9 2100  -28.6  990.1    2.1   46.0   69.0  444.0
2008 100  4  9 2200  -32.0  990.0    3.5   61.0   70.3  444.0
2008 100  4  9 2300  -28.5  990.4    0.4   68.0   68.1  444.0
2008 101  4 10 0000  -28.0  990.6    2.3   54.0   66.3  444.0
2008 101  4 10 0100  -28.0  991.1    2.1   59.0   65.9  444.0
2008 101  4 10 0200  -28.5  991.7    2.9   21.0   66.3  444.0
2008 101  4 10 0300  -28.6  992.5    4.1   19.0   66.8  444.0
2008 101  4 10 0400  -29.2  993.8    4.3   29.0   66.3  444.0
2008 101  4 10 0500  -30.0  994.2    2.9   12.0   66.8  444.0
2008 101  4 10 0600  -27.1  994.8    5.8   33.0   65.4  444.0
2008 101  4 10 0700  -25.6  995.4    6.0   43.0   61.0  444.0
2008 101  4 10 0800  -25.1  996.0    5.1   50.0   63.7  444.0
2008 101  4 10 0900  -28.1  997.3    5.7   84.0   68.5  444.0
2008 101  4 10 1000  -25.5  997.9    5.8   68.0   61.0  444.0
2008 101  4 10 1100  -25.5  998.8    2.7   47.0   64.1  444.0
2008 101  4 10 1200  -23.2  999.0    5.5   77.0   55.8  444.0
2008 101  4 10 1300  -25.8  999.5    5.1   26.0   60.6  444.0
2008 101  4 10 1400  -25.6  999.7    5.1   36.0   59.7  444.0
2008 101  4 10 1500  -20.4 1000.4    9.2  156.0   54.0  444.0
2008 101  4 10 1600  -19.6 1001.0    9.0  132.0   58.0  444.0
2008 101  4 10 1700  -20.9 1002.1    6.0   99.0   55.8  444.0
2008 101  4 10 1800  -26.2 1002.6    5.7   54.0   67.6  444.0
2008 101  4 10 1900  -25.0 1003.0    5.7   32.0   69.4  444.0
2008 101  4 10 2000  -24.2 1004.2    6.8   43.0   72.0  444.0
2008 101  4 10 2100  -25.9 1004.4    6.4   39.0   71.6  444.0
2008 101  4 10 2200  -25.6 1004.7    8.2   49.0   73.4  444.0
2008 101  4 10 2300  -26.0 1005.3    4.9   39.0   72.9  444.0
2008 102  4 11 0000  -25.9 1005.4    6.0    8.0   70.7  444.0
2008 102  4 11 0100  -27.4 1005.6    5.1   12.0   68.1  444.0
2008 102  4 11 0200  -27.0 1005.8    4.3    2.0   70.7  444.0
2008 102  4 11 0300  -25.5 1005.4    4.5   54.0   61.9  444.0
2008 102  4 11 0400  -24.9 1005.1    6.0   73.0   64.1  444.0
2008 102  4 11 0500  -25.9 1005.2    4.5    7.0   61.5  444.0
2008 102  4 11 0600  -26.0 1004.4    2.5   71.0   61.5  444.0
