Year: 2008  Month: 05  ID: POS  ARGOS:  8984  Name: Possession Island   
Lat: 71.89S  Lon: 171.22E  Elev:   30m
2008 125  5  4 1200   -9.5  983.8  444.0  444.0  444.0  444.0
2008 125  5  4 1300   -8.5  984.2  444.0  444.0  444.0  444.0
2008 125  5  4 1400   -9.5  984.3  444.0  444.0  444.0  444.0
2008 125  5  4 1500   -8.9  983.9  444.0  444.0  444.0  444.0
2008 125  5  4 1600   -8.5  983.4  444.0  444.0  444.0  444.0
2008 125  5  4 1700   -8.4  983.5  444.0  444.0  444.0  444.0
2008 125  5  4 1800   -7.4  982.9  444.0  444.0  444.0  444.0
2008 125  5  4 1900   -8.0  982.6  444.0  444.0  444.0  444.0
2008 125  5  4 2000   -8.1  982.3  444.0  444.0  444.0  444.0
2008 125  5  4 2100   -8.4  982.3  444.0  444.0  444.0  444.0
2008 125  5  4 2200   -7.6  982.4  444.0  444.0  444.0  444.0
2008 125  5  4 2300   -7.1  982.5  444.0  444.0  444.0  444.0
2008 126  5  5 0000   -8.4  982.6  444.0  444.0  444.0  444.0
2008 126  5  5 0100   -7.9  982.7  444.0  444.0  444.0  444.0
2008 126  5  5 0200   -7.8  982.8  444.0  444.0  444.0  444.0
2008 126  5  5 0300  -11.9  983.3  444.0  444.0  444.0  444.0
2008 126  5  5 0400  -11.6  983.6  444.0  444.0  444.0  444.0
2008 126  5  5 0500  -12.1  983.9  444.0  444.0  444.0  444.0
2008 126  5  5 0600  -10.8  984.2  444.0  444.0  444.0  444.0
2008 126  5  5 0700  -11.4  984.5  444.0  444.0  444.0  444.0
2008 126  5  5 0800  -10.9  984.6  444.0  444.0  444.0  444.0
2008 126  5  5 0900  -11.2  984.8  444.0  444.0  444.0  444.0
2008 126  5  5 1000  -13.2  985.5  444.0  444.0  444.0  444.0
2008 126  5  5 1100  -13.1  985.7  444.0  444.0  444.0  444.0
2008 126  5  5 1200  -12.6  986.2  444.0  444.0  444.0  444.0
2008 126  5  5 1300  -12.5  986.9  444.0  444.0  444.0  444.0
2008 126  5  5 1400  -13.6  987.0  444.0  444.0  444.0  444.0
2008 126  5  5 1500  -14.8  987.7  444.0  444.0  444.0  444.0
2008 126  5  5 1600  -14.9  988.1  444.0  444.0  444.0  444.0
2008 126  5  5 1700  -14.8  988.6  444.0  444.0  444.0  444.0
2008 126  5  5 1800  -15.5  988.8  444.0  444.0  444.0  444.0
2008 126  5  5 1900  -15.9  989.5  444.0  444.0  444.0  444.0
2008 126  5  5 2000  -14.8  990.4  444.0  444.0  444.0  444.0
2008 126  5  5 2100  -15.5  990.8  444.0  444.0  444.0  444.0
2008 126  5  5 2200  -13.6  991.4  444.0  444.0  444.0  444.0
2008 126  5  5 2300  -12.9  991.5  444.0  444.0  444.0  444.0
2008 127  5  6 0000  -12.9  991.8  444.0  444.0  444.0  444.0
2008 127  5  6 0100  -12.8  991.9  444.0  444.0  444.0  444.0
2008 127  5  6 0200  -14.0  992.1  444.0  444.0  444.0  444.0
2008 127  5  6 0300  -14.2  992.4  444.0  444.0  444.0  444.0
2008 127  5  6 0400  -14.5  992.8  444.0  444.0  444.0  444.0
2008 127  5  6 0500  -15.9  993.2  444.0  444.0  444.0  444.0
2008 127  5  6 0600  -14.8  993.6  444.0  444.0  444.0  444.0
2008 127  5  6 0700  -14.8  994.0  444.0  444.0  444.0  444.0
2008 127  5  6 0800  -15.0  994.6  444.0  444.0  444.0  444.0
2008 127  5  6 0900  -16.6  995.3  444.0  444.0  444.0  444.0
2008 127  5  6 1000  -18.6  995.8  444.0  444.0  444.0  444.0
2008 127  5  6 1100  -18.4  996.8  444.0  444.0  444.0  444.0
2008 127  5  6 1200  -17.2  997.4  444.0  444.0  444.0  444.0
2008 127  5  6 1300  -16.8  997.9  444.0  444.0  444.0  444.0
2008 127  5  6 1400  -16.6  998.3  444.0  444.0  444.0  444.0
2008 127  5  6 1500  -17.1  998.8  444.0  444.0  444.0  444.0
2008 127  5  6 1600  -16.9  998.8  444.0  444.0  444.0  444.0
2008 127  5  6 1700  -16.9  999.2  444.0  444.0  444.0  444.0
2008 127  5  6 1800  -16.6  999.2  444.0  444.0  444.0  444.0
2008 127  5  6 1900  -15.9  999.4  444.0  444.0  444.0  444.0
2008 127  5  6 2000  -15.5  999.5  444.0  444.0  444.0  444.0
2008 127  5  6 2100  -15.5  999.9  444.0  444.0  444.0  444.0
2008 127  5  6 2200  -15.5 1000.0  444.0  444.0  444.0  444.0
2008 127  5  6 2300  -15.2 1000.0  444.0  444.0  444.0  444.0
2008 128  5  7 0000  -15.0  999.9  444.0  444.0  444.0  444.0
2008 128  5  7 0100  -15.1  999.9  444.0  444.0  444.0  444.0
2008 128  5  7 0200  -14.5  999.7  444.0  444.0  444.0  444.0
2008 128  5  7 0300  -14.4  999.7  444.0  444.0  444.0  444.0
2008 128  5  7 0400  -14.8  999.4  444.0  444.0  444.0  444.0
2008 128  5  7 0500  -14.4  998.9  444.0  444.0  444.0  444.0
2008 128  5  7 0600  -14.5  999.1  444.0  444.0  444.0  444.0
2008 128  5  7 0700  -14.4  998.8  444.0  444.0  444.0  444.0
2008 128  5  7 0800  -14.2  998.7  444.0  444.0  444.0  444.0
2008 128  5  7 0900  -14.2  998.6  444.0  444.0  444.0  444.0
2008 128  5  7 1000  -14.1  998.6  444.0  444.0  444.0  444.0
2008 128  5  7 1100  -14.1  998.5  444.0  444.0  444.0  444.0
2008 128  5  7 1200  -13.8  998.0  444.0  444.0  444.0  444.0
2008 128  5  7 1300  -13.4  997.7  444.0  444.0  444.0  444.0
2008 128  5  7 1400  -13.4  997.8  444.0  444.0  444.0  444.0
2008 128  5  7 1500  -12.9  997.3  444.0  444.0  444.0  444.0
2008 128  5  7 1600  -13.0  997.1  444.0  444.0  444.0  444.0
2008 128  5  7 1700  -13.2  996.4  444.0  444.0  444.0  444.0
2008 128  5  7 1800  -12.5  995.7  444.0  444.0  444.0  444.0
2008 128  5  7 1900  -12.8  995.1  444.0  444.0  444.0  444.0
2008 128  5  7 2000  -12.1  994.3  444.0  444.0  444.0  444.0
2008 128  5  7 2100  -12.0  993.8  444.0  444.0  444.0  444.0
2008 128  5  7 2200  -12.1  992.8  444.0  444.0  444.0  444.0
2008 128  5  7 2300  -12.0  991.9  444.0  444.0  444.0  444.0
2008 129  5  8 0000  -11.9  991.0  444.0  444.0  444.0  444.0
2008 129  5  8 0100  -12.0  990.0  444.0  444.0  444.0  444.0
2008 129  5  8 0200  -11.5  989.1  444.0  444.0  444.0  444.0
2008 129  5  8 0300  -11.5  988.2  444.0  444.0  444.0  444.0
2008 129  5  8 0400  -13.1  987.7  444.0  444.0  444.0  444.0
2008 129  5  8 0500  -15.0  987.5  444.0  444.0  444.0  444.0
2008 129  5  8 0600  -16.2  987.4  444.0  444.0  444.0  444.0
2008 129  5  8 0700  -15.8  987.8  444.0  444.0  444.0  444.0
2008 129  5  8 0800  -13.1  988.5  444.0  444.0  444.0  444.0
2008 129  5  8 0900  -12.8  988.8  444.0  444.0  444.0  444.0
2008 129  5  8 1000  -12.5  988.9  444.0  444.0  444.0  444.0
2008 129  5  8 1100  -12.4  989.1  444.0  444.0  444.0  444.0
2008 129  5  8 1200  -12.1  989.3  444.0  444.0  444.0  444.0
2008 129  5  8 1300  -12.4  989.6  444.0  444.0  444.0  444.0
2008 129  5  8 1400  -12.4  989.9  444.0  444.0  444.0  444.0
2008 129  5  8 1500  -12.4  989.8  444.0  444.0  444.0  444.0
2008 129  5  8 1600  -12.4  990.1  444.0  444.0  444.0  444.0
2008 129  5  8 1700  -12.4  990.1  444.0  444.0  444.0  444.0
2008 129  5  8 1800  -12.5  990.2  444.0  444.0  444.0  444.0
2008 129  5  8 1900  -12.5  990.5  444.0  444.0  444.0  444.0
2008 129  5  8 2000  -12.6  990.8  444.0  444.0  444.0  444.0
2008 129  5  8 2100  -12.9  991.1  444.0  444.0  444.0  444.0
2008 129  5  8 2200  -13.2  991.4  444.0  444.0  444.0  444.0
2008 129  5  8 2300  -13.2  991.6  444.0  444.0  444.0  444.0
2008 130  5  9 0000  -13.4  991.9  444.0  444.0  444.0  444.0
2008 130  5  9 0100  -13.2  991.8  444.0  444.0  444.0  444.0
2008 130  5  9 0200  -13.4  992.0  444.0  444.0  444.0  444.0
2008 130  5  9 0300  -13.5  992.3  444.0  444.0  444.0  444.0
2008 130  5  9 0400  -13.6  992.7  444.0  444.0  444.0  444.0
2008 130  5  9 0500  -13.6  992.8  444.0  444.0  444.0  444.0
2008 130  5  9 0600  -14.2  992.7  444.0  444.0  444.0  444.0
2008 130  5  9 0700  -14.8  993.1  444.0  444.0  444.0  444.0
2008 130  5  9 0800  -14.8  993.1  444.0  444.0  444.0  444.0
2008 130  5  9 0900  -14.8  993.6  444.0  444.0  444.0  444.0
2008 130  5  9 1000  -14.9  993.4  444.0  444.0  444.0  444.0
2008 130  5  9 1100  -15.2  993.3  444.0  444.0  444.0  444.0
2008 130  5  9 1200  -16.0  993.6  444.0  444.0  444.0  444.0
2008 130  5  9 1300  -16.1  993.3  444.0  444.0  444.0  444.0
2008 130  5  9 1400  -16.9  993.3  444.0  444.0  444.0  444.0
2008 130  5  9 1500  -17.5  993.1  444.0  444.0  444.0  444.0
2008 130  5  9 1600  -17.6  993.2  444.0  444.0  444.0  444.0
2008 130  5  9 1700  -17.5  992.8  444.0  444.0  444.0  444.0
2008 130  5  9 1800  -17.4  993.0  444.0  444.0  444.0  444.0
2008 130  5  9 1900  -17.9  992.6  444.0  444.0  444.0  444.0
2008 130  5  9 2000  -17.9  992.6  444.0  444.0  444.0  444.0
2008 130  5  9 2100  -17.8  992.3  444.0  444.0  444.0  444.0
2008 130  5  9 2200  -17.8  991.9  444.0  444.0  444.0  444.0
2008 130  5  9 2300  -17.6  991.6  444.0  444.0  444.0  444.0
2008 131  5 10 0000  -17.8  991.3  444.0  444.0  444.0  444.0
2008 131  5 10 0100  -18.0  990.8  444.0  444.0  444.0  444.0
2008 131  5 10 0200  -18.4  989.6  444.0  444.0  444.0  444.0
2008 131  5 10 0300  -18.5  989.1  444.0  444.0  444.0  444.0
2008 131  5 10 0400  -18.6  988.5  444.0  444.0  444.0  444.0
2008 131  5 10 0500  -19.2  987.9  444.0  444.0  444.0  444.0
2008 131  5 10 0600  -19.2  987.3  444.0  444.0  444.0  444.0
2008 131  5 10 0700  -19.5  986.6  444.0  444.0  444.0  444.0
2008 131  5 10 0800  -19.8  986.5  444.0  444.0  444.0  444.0
2008 131  5 10 0900  -19.9  986.1  444.0  444.0  444.0  444.0
