Year: 2008  Month: 08  ID: BPT  ARGOS:  8921  Name: Bonaparte Point     
Lat: 64.78S  Lon:  64.07W  Elev:    8m
2008 214  8  1 0000   -2.8  981.0    2.1  109.0   82.7   -2.3
2008 214  8  1 0100   -2.9  982.0    2.0   99.0   83.8   -2.3
2008 214  8  1 0200   -3.0  980.8    2.2   95.0   85.0   -2.1
2008 214  8  1 0300   -2.9  981.0    1.9  119.0   84.0   -2.1
2008 214  8  1 0400   -2.9  983.2    2.0  130.0   85.0   -2.1
2008 214  8  1 0500   -2.9  984.6    2.2  109.0   84.2   -2.1
2008 214  8  1 0600   -3.1  985.1    1.1   67.0   83.1   -2.2
2008 214  8  1 0700   -3.7  982.0    0.4  310.0   86.7   -2.1
2008 214  8  1 0800   -4.3  982.8    2.4  299.0   89.0   -2.0
2008 214  8  1 0900   -3.5  986.4    2.0  285.0   87.9   -2.2
2008 214  8  1 1000   -3.6  988.1    2.4  296.0   88.8   -2.2
2008 214  8  1 1100   -4.0  987.8    1.9  273.0   89.0   -2.3
2008 214  8  1 1200   -3.7  990.1    1.9  270.0   87.1   -2.3
2008 214  8  1 1300   -4.0  989.9    3.0  286.0  444.0   -2.4
2008 214  8  1 1400   -4.1  990.8    2.9  277.0   87.0   -5.0
2008 214  8  1 1500   -4.2  444.0    1.4  272.0  444.0   -4.6
2008 214  8  1 1600   -4.0  444.0    1.7  315.0   84.0   -2.9
2008 214  8  1 1700   -4.1  444.0    1.8  300.0   86.2   -2.7
2008 214  8  1 1800   -4.3  995.1    3.3  310.0  444.0   -3.0
2008 214  8  1 1900   -4.4  993.9    2.1  311.0  444.0   -3.2
2008 214  8  1 2000   -4.3  993.6    1.7  324.0   86.1   -2.9
2008 214  8  1 2100   -4.3  993.8    2.4  253.0   86.1   -2.9
2008 214  8  1 2200   -4.6  993.3    2.6  272.0   88.0   -2.9
2008 214  8  1 2300   -4.7  993.5    4.2  270.0   90.0   -3.0
2008 215  8  2 0000   -4.6  993.6    3.4  249.0   92.0   -2.8
2008 215  8  2 0100   -5.2  992.2    2.7  204.0   95.0   -2.8
2008 215  8  2 0200   -4.8  994.1    3.3  218.0   95.3   -3.2
2008 215  8  2 0300   -5.0  994.6    4.6  174.0   94.7   -3.0
2008 215  8  2 0400   -5.5  993.6    2.9  177.0   94.7   -2.9
2008 215  8  2 0500   -5.8  993.3    0.2  156.0   95.0   -2.8
2008 215  8  2 0600   -5.5  994.4    1.7  264.0   94.0   -2.8
2008 215  8  2 0700   -5.4  995.4    1.6  251.0   94.7   -2.5
2008 215  8  2 0800   -5.6  995.1    1.8  131.0   95.0   -3.0
2008 215  8  2 0900   -5.8  995.2    2.4  306.0   96.0   -2.9
2008 215  8  2 1000   -5.8  991.6    0.8  180.0  444.0   -2.4
2008 215  8  2 1100   -5.8  990.4    0.7  294.0  444.0   -2.5
2008 215  8  2 1200   -6.0  990.9    1.2  339.0   88.0   -2.6
2008 215  8  2 1300   -5.7  991.8    0.7  343.0   85.9   -2.8
2008 215  8  2 1400   -5.7  444.0    1.3  298.0   86.0   -3.2
2008 215  8  2 1500   -5.6  444.0    2.0  300.0   86.7   -3.9
2008 215  8  2 1600   -5.5  444.0    1.8  312.0  444.0   -2.6
2008 215  8  2 1700   -5.6  444.0    2.1  314.0   84.2   -2.0
2008 215  8  2 1800   -5.5  444.0    1.5  310.0   82.1   -1.8
2008 215  8  2 1900   -5.8  444.0    1.6  312.0   82.3   -2.4
2008 215  8  2 2000   -5.7  444.0    1.4  302.0   86.3   -2.6
