Year: 2008  Month: 09  ID: WDB  ARGOS:  8982  Name: Windless Bight      
Lat: 77.73S  Lon: 167.70E  Elev:   40m
2008 245  9  1 0000  -30.0  995.3    3.7  126.0   71.0  444.0
2008 245  9  1 0100  -33.6  996.1    5.1   99.0   66.0  444.0
2008 245  9  1 0200  -35.4  997.6    6.4   90.0   65.1  444.0
2008 245  9  1 0300  -36.3  999.3    3.8  102.0   63.0  444.0
2008 245  9  1 0400  -34.5 1000.2    0.5  244.0   66.1  444.0
2008 245  9  1 0500  -37.6 1000.6    1.4   82.0   62.2  444.0
2008 245  9  1 0600  -40.4 1000.8    4.0  122.0   59.0  444.0
2008 245  9  1 0700  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 0800  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 0900  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 1000  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 1100  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 1200  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 1300  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 1400  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 1500  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 1600  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 1700  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 1800  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 1900  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 2000  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 2100  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 2200  444.0  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 2300  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 0000  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 0100  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 0200  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 0300  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 0400  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 0500  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 0600  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 0700  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 0800  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 0900  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 1000  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 1100  -46.9  989.7    1.5   79.0   52.0  444.0
2008 246  9  2 1200  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 1300  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 1400  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 1500  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 1600  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 1700  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 1800  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 1900  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 2000  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 2100  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 2200  444.0  444.0  444.0  444.0  444.0  444.0
2008 246  9  2 2300  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 0000  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 0100  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 0200  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 0300  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 0400  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 0500  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 0600  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 0700  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 0800  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 0900  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 1000  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 1100  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 1200  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 1300  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 1400  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 1500  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 1600  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 1700  444.0  444.0  444.0  444.0  444.0  444.0
2008 247  9  3 1800  444.0  444.0  444.0  444.0  444.0  444.0
