Year: 2008  Month: 07  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.52S  Lon: 170.81E  Elev:   37m
2008 183  7  1 0000  -36.5  983.4    2.9   79.0  444.0  444.0
2008 183  7  1 0100  -37.1  983.2    2.1  111.0   71.6  444.0
2008 183  7  1 0200  -35.5  983.0    1.2  100.0   73.8  444.0
2008 183  7  1 0300  -32.8  983.0    2.1   97.0   77.3  444.0
2008 183  7  1 0400  -31.9  982.7    2.5  110.0   78.2  444.0
2008 183  7  1 0500  -31.8  982.5    2.1  110.0   77.8  444.0
2008 183  7  1 0600  -32.1  982.3    2.1  104.0   78.2  444.0
2008 183  7  1 0700  -30.8  982.2    1.0  119.0   79.1  444.0
2008 183  7  1 0800  -29.9  982.0    1.8  124.0   81.7  444.0
2008 183  7  1 0900  -29.5  982.1    1.4  125.0   80.4  444.0
2008 183  7  1 1000  -30.0  982.1    0.8  143.0   80.8  444.0
2008 183  7  1 1100  -29.9  982.4    0.0    0.0   82.6  444.0
2008 183  7  1 1200  -28.2  982.3    2.3   21.0   81.7  444.0
2008 183  7  1 1300  -26.2  982.5    2.1   48.0   83.9  444.0
2008 183  7  1 1400  -27.0  982.6    2.1   31.0   85.7  444.0
2008 183  7  1 1500  -28.4  983.1    1.4  134.0   82.6  444.0
2008 183  7  1 1600  -30.4  983.2    1.8  152.0   80.4  444.0
2008 183  7  1 1700  -34.4  983.5    2.5  108.0   75.1  444.0
2008 183  7  1 1800  -35.2  983.8    2.1  114.0   74.7  444.0
2008 183  7  1 1900  -36.6  984.2    2.1  126.0   72.5  444.0
2008 183  7  1 2000  -37.1  984.8    2.5  118.0   72.0  444.0
2008 183  7  1 2100  -34.4  985.6    2.7  129.0   75.1  444.0
2008 183  7  1 2200  -33.0  986.5    2.3  131.0   76.9  444.0
2008 183  7  1 2300  -32.0  987.4    2.3  145.0   78.2  444.0
2008 184  7  2 0000  -32.9  988.0    2.5  162.0   76.9  444.0
2008 184  7  2 0100  -34.2  988.9    3.3  209.0   75.1  444.0
2008 184  7  2 0200  -34.0  989.7    3.9  173.0   76.0  444.0
2008 184  7  2 0300  -33.5  990.4    5.8  160.0   76.0  444.0
2008 184  7  2 0400  -36.5  991.0    7.4  159.0   72.0  444.0
2008 184  7  2 0500  -39.8  992.8    6.2  202.0   69.4  444.0
