Year: 2006  Month: 04  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.50S  Lon: 170.79E  Elev:   34m
2006  91  4  1 0000  -34.0  978.4    2.7  159.0   76.9  444.0
2006  91  4  1 0100  -34.0  978.0    2.3  200.0   76.9  444.0
2006  91  4  1 0200  -34.4  977.7    4.1  208.0   76.0  444.0
2006  91  4  1 0300  -34.0  977.7    3.3  233.0   76.4  444.0
2006  91  4  1 0400  -33.2  977.5    3.5  200.0   76.4  444.0
2006  91  4  1 0500  -32.1  977.0    3.7  195.0   77.8  444.0
2006  91  4  1 0600  -28.5  976.9    4.3  157.0   81.7  444.0
2006  91  4  1 0700  -27.5  976.7    3.1  197.0   82.6  444.0
2006  91  4  1 0800  -27.0  976.7    2.9  236.0   83.5  444.0
2006  91  4  1 0900  -25.0  976.5    3.7  238.0   86.1  444.0
2006  91  4  1 1000  -25.1  976.1    4.5  238.0   85.2  444.0
2006  91  4  1 1100  -25.2  976.0    4.9  231.0   85.2  444.0
2006  91  4  1 1200  -21.2  975.3    8.0  198.0   90.1  444.0
2006  91  4  1 1300  -20.8  975.7    9.2  169.0   90.5  444.0
2006  91  4  1 1400  -21.0  975.7    9.4  176.0   90.1  444.0
2006  91  4  1 1500  -21.2  975.5   10.3  186.0   90.1  444.0
2006  91  4  1 1600  -21.5  975.5    8.6  188.0   90.1  444.0
2006  91  4  1 1700  -21.6  975.4    8.6  186.0   90.1  444.0
2006  91  4  1 1800  -21.6  975.4    8.6  200.0   89.6  444.0
2006  91  4  1 1900  -21.6  975.6    5.8  183.0   87.9  444.0
2006  91  4  1 2000  -21.6  975.7    7.0  207.0   81.7  444.0
2006  91  4  1 2100  -22.1  975.4    4.7  205.0   83.9  444.0
2006  91  4  1 2200  -22.1  975.7    4.3  209.0   83.9  444.0
2006  91  4  1 2300  -20.4  975.9    7.0  178.0   80.4  444.0
2006  92  4  2 0000  -20.1  975.9    7.0  174.0   83.0  444.0
2006  92  4  2 0100  -21.6  975.4    8.4  166.0   83.0  444.0
2006  92  4  2 0200  -21.2  974.5    9.4  155.0   87.0  444.0
2006  92  4  2 0300  -19.1  975.2    8.4  186.0   89.6  444.0
2006  92  4  2 0400  -22.4  975.5   10.9  176.0   85.7  444.0
2006  92  4  2 0500  -22.8  975.3    8.4  176.0   81.3  444.0
2006  92  4  2 0600  -23.2  975.0    8.4  157.0   79.1  444.0
2006  92  4  2 0700  -23.5  974.4    9.4  155.0   82.6  444.0
2006  92  4  2 0800  -22.8  974.1    8.4  159.0   81.3  444.0
2006  92  4  2 0900  -24.5  973.9   11.1  166.0   81.3  444.0
2006  92  4  2 1000  -24.4  973.9    8.8  162.0   81.7  444.0
2006  92  4  2 1100  -25.2  974.6    6.8  163.0   83.0  444.0
