Year: 2006  Month: 03  ID: WDB  ARGOS:  8982  Name: Windless Bight      
Lat: 77.73S  Lon: 167.70E  Elev:   40m
2006  63  3  4 1300  -28.9  991.3    1.8  352.0   78.5  444.0
2006  63  3  4 1400  -28.8  992.0    0.5  331.0   79.1  444.0
2006  63  3  4 1500  444.0  444.0  444.0  444.0  444.0  444.0
2006  63  3  4 1600  -28.3  991.6    2.7  347.0   72.8  444.0
2006  63  3  4 1700  444.0  444.0  444.0  444.0  444.0  444.0
2006  63  3  4 1800  -29.0  990.4    1.6   33.0   73.0  444.0
2006  63  3  4 1900  -25.7  990.9    3.3  103.0   76.6  444.0
2006  63  3  4 2000  -22.2  991.1  444.0  444.0   80.7  444.0
2006  63  3  4 2100  -19.9  990.5    4.3  114.0   84.0  444.0
2006  63  3  4 2200  -24.4  990.1    2.3   66.0   78.6  444.0
2006  63  3  4 2300  -21.4  989.4    1.6  146.0   80.2  444.0
2006  64  3  5 0000  444.0  444.0  444.0  444.0  444.0  444.0
2006  64  3  5 0100  -22.8  988.4    2.5   54.0   55.2  444.0
2006  64  3  5 0200  -24.0  987.7    1.2  354.0   50.0  444.0
2006  64  3  5 0300  -23.6  986.7    2.5    4.0  444.0  444.0
2006  64  3  5 0400  444.0  986.3    0.8  281.0   53.4  444.0
2006  64  3  5 0500  -20.9  985.9    2.0  294.0   67.2  444.0
2006  64  3  5 0600  -25.0  985.6    1.8   29.0  444.0  444.0
2006  64  3  5 0700  -26.2  985.1    1.8  332.0   63.3  444.0
2006  64  3  5 0800  444.0  444.0  444.0  444.0  444.0  444.0
2006  64  3  5 0900  -30.5  985.1    0.5  171.0   72.0  444.0
2006  64  3  5 1000  -30.1  985.1    0.8  336.0   76.0  444.0
2006  64  3  5 1100  444.0  444.0  444.0  444.0  444.0  444.0
2006  64  3  5 1200  -26.9  984.9    0.8  302.0   77.4  444.0
2006  64  3  5 1300  -24.7  444.0    1.6   18.0  444.0  444.0
2006  64  3  5 1400  -32.2  984.8    1.6   43.0   70.0  444.0
2006  64  3  5 1500  -29.1  984.7    1.1    6.0   75.5  444.0
2006  64  3  5 1600  -30.0  984.7    1.1   31.0   72.3  444.0
2006  64  3  5 1700  -27.7  984.6    1.9   30.0   75.1  444.0
2006  64  3  5 1800  -22.9  984.6    1.9   41.0   77.0  444.0
2006  64  3  5 1900  444.0  984.7    1.2   21.0  444.0  444.0
2006  64  3  5 2000  -28.0  985.2    1.6  132.0   75.8  444.0
2006  64  3  5 2100  -25.9  985.5    2.7   27.0   76.0  444.0
2006  64  3  5 2200  -24.0  985.6    1.2  262.0   81.4  444.0
2006  64  3  5 2300  -23.4  985.6    2.3  172.0   81.2  444.0
2006  65  3  6 0000  -23.2  985.6  444.0  444.0   82.1  444.0
2006  65  3  6 0100  -23.1  985.4  444.0  444.0   73.5  444.0
2006  65  3  6 0200  444.0  444.0  444.0  444.0  444.0  444.0
2006  65  3  6 0300  -24.9  984.5    1.9  355.0   54.7  444.0
2006  65  3  6 0400  444.0  984.4    0.5  162.0   56.2  444.0
2006  65  3  6 0500  -24.6  984.1    2.0   44.0   75.8  444.0
2006  65  3  6 0600  -26.6  983.7    1.8   32.0   70.3  444.0
2006  65  3  6 0700  444.0  444.0  444.0  444.0  444.0  444.0
2006  65  3  6 0800  444.0  444.0  444.0  444.0  444.0  444.0
2006  65  3  6 0900  -30.7  983.4    0.5  128.0   72.3  444.0
2006  65  3  6 1000  -32.0  983.2    0.9   97.0   70.5  444.0
2006  65  3  6 1100  -33.6  983.6    1.6  163.0   68.6  444.0
2006  65  3  6 1200  -33.3  984.2    0.5  217.0   68.9  444.0
2006  65  3  6 1300  -30.8  984.8    2.5  338.0   71.6  444.0
2006  65  3  6 1400  444.0  444.0  444.0  444.0  444.0  444.0
2006  65  3  6 1500  -22.8  985.5    1.2  326.0   79.9  444.0
2006  65  3  6 1600  -21.3  985.8    1.2   13.0   81.5  444.0
2006  65  3  6 1700  444.0  444.0  444.0  444.0  444.0  444.0
2006  65  3  6 1800  -21.4  986.0    1.2   62.0   81.0  444.0
2006  65  3  6 1900  444.0  444.0  444.0  444.0  444.0  444.0
2006  65  3  6 2000  -18.7  986.2    2.0   26.0   84.2  444.0
2006  65  3  6 2100  -17.9  986.4    1.5  101.0   82.6  444.0
2006  65  3  6 2200  -18.8  986.6    2.8   95.0   66.4  444.0
2006  65  3  6 2300  -21.2  986.8    2.5  112.0   55.4  444.0
2006  66  3  7 0000  -19.6  987.3    2.4  106.0   48.4  444.0
2006  66  3  7 0100  -20.3  987.3    2.5   94.0   53.0  444.0
2006  66  3  7 0200  -20.1  987.4    1.7   31.0   52.0  444.0
2006  66  3  7 0300  -21.8  987.3    3.4   96.0   51.9  444.0
2006  66  3  7 0400  -20.0  987.5    2.7  110.0   52.4  444.0
2006  66  3  7 0500  -19.3  987.6    3.7   99.0   62.7  444.0
2006  66  3  7 0600  -19.5  444.0    4.0   94.0   65.0  444.0
2006  66  3  7 0700  -19.8  987.4    3.6   87.0   70.1  444.0
2006  66  3  7 0800  -20.3  987.9    3.9   73.0   69.0  444.0
2006  66  3  7 0900  -20.5  988.4    3.8   67.0   74.3  444.0
2006  66  3  7 1000  -20.4  988.4    2.8   96.0   78.5  444.0
2006  66  3  7 1100  444.0  444.0  444.0  444.0  444.0  444.0
2006  66  3  7 1200  -20.4  989.1    3.3   96.0   58.8  444.0
2006  66  3  7 1300  444.0  444.0  444.0  444.0  444.0  444.0
2006  66  3  7 1400  -21.0  989.5    4.6   95.0   59.5  444.0
2006  66  3  7 1500  -21.7  990.0    3.7   83.0   64.0  444.0
2006  66  3  7 1600  -21.8  990.2    3.8   81.0   59.0  444.0
2006  66  3  7 1700  -21.6  990.1    4.4   88.0   55.9  444.0
2006  66  3  7 1800  -22.4  990.2    4.8  118.0   55.9  444.0
2006  66  3  7 1900  -22.1  990.5    5.5  119.0   52.9  444.0
2006  66  3  7 2000  -22.1  990.6    4.7  116.0   53.1  444.0
2006  66  3  7 2100  -21.6  990.9    2.8  123.0   53.0  444.0
2006  66  3  7 2200  444.0  444.0  444.0  444.0  444.0  444.0
2006  66  3  7 2300  -20.8  991.4    3.0   71.0   51.1  444.0
2006  67  3  8 0000  -20.2  991.3    3.8   68.0   48.5  444.0
2006  67  3  8 0100  -19.7  991.3    2.9   65.0   45.9  444.0
2006  67  3  8 0200  -19.4  991.5    3.7  102.0   47.9  444.0
2006  67  3  8 0300  -19.0  991.8    4.2   78.0   41.9  444.0
2006  67  3  8 0400  -19.1  991.8    3.5   58.0   47.0  444.0
2006  67  3  8 0500  -19.2  992.1    4.1   90.0  444.0  444.0
2006  67  3  8 0600  444.0  444.0  444.0  444.0  444.0  444.0
2006  67  3  8 0700  -20.5  992.6    2.0   92.0   58.2  444.0
2006  67  3  8 0800  -20.8  992.7    2.8   27.0   58.0  444.0
