Year: 2012  Month: 07  ID: WDB  ARGOS:  8982  Name: Windless Bight      
Lat: 77.73S  Lon: 167.70E  Elev:   40m
2012 183  7  1 0000  -32.2 1008.6    1.5   96.0   68.5  444.0
2012 183  7  1 0100  -30.1 1008.0    2.8   18.0   70.0  444.0
2012 183  7  1 0200  -38.5 1007.9    1.3   92.0   61.0  444.0
2012 183  7  1 0300  -41.9 1008.3    2.1  241.0   59.0  444.0
2012 183  7  1 0400  -38.8 1008.4    0.9  258.0   61.0  444.0
2012 183  7  1 0500  -42.0 1008.1    1.3   37.0   56.8  444.0
2012 183  7  1 0600  -37.3 1007.8    1.2   74.0   63.4  444.0
2012 183  7  1 0700  -35.2 1007.5    0.5   50.0   65.0  444.0
2012 183  7  1 0800  -38.3 1007.5    0.5  101.0   61.0  444.0
2012 183  7  1 0900  -32.9 1007.3    0.5  128.0   65.0  444.0
2012 183  7  1 1000  -39.8 1007.2    1.1   45.0   62.4  444.0
2012 183  7  1 1100  -38.9 1006.8    0.5   41.0   61.9  444.0
2012 183  7  1 1200  -35.4 1006.5    0.7   17.0   66.0  444.0
2012 183  7  1 1300  -43.5 1006.0    1.9   42.0   57.0  444.0
2012 183  7  1 1400  444.0  444.0  444.0  444.0  444.0  444.0
2012 183  7  1 1500  -31.1 1004.7    2.2  330.0   65.0  444.0
2012 183  7  1 1600  -37.2 1004.4    0.7  120.0   62.1  444.0
2012 183  7  1 1700  -35.9 1003.8    1.7  344.0   57.0  444.0
2012 183  7  1 1800  -39.0 1003.8    0.5  117.0   59.0  444.0
2012 183  7  1 1900  -38.5 1003.5    1.2   20.0   62.0  444.0
2012 183  7  1 2000  -39.1 1002.9    0.5   40.0   58.8  444.0
2012 183  7  1 2100  -34.8 1002.4    1.8  355.0   67.0  444.0
2012 183  7  1 2200  -30.1 1001.7    0.8   24.0   63.0  444.0
2012 183  7  1 2300  -38.9 1001.3    0.9   19.0   62.0  444.0
2012 184  7  2 0000  444.0 1001.0    1.0   70.0   59.0  444.0
2012 184  7  2 0100  -35.9 1000.5    0.5   60.0   63.3  444.0
2012 184  7  2 0200  -30.9 1000.2    0.6  276.0   70.0  444.0
2012 184  7  2 0300  -30.2  999.7    1.0  275.0   70.8  444.0
2012 184  7  2 0400  -38.4  999.3    1.1   55.0   62.7  444.0
2012 184  7  2 0500  -37.2  999.0    0.6    3.0   61.0  444.0
2012 184  7  2 0600  -31.9  998.3    0.8   15.0   70.1  444.0
2012 184  7  2 0700  -32.0  997.7    0.5  251.0   61.0  444.0
2012 184  7  2 0800  -36.5  997.7    0.7  319.0   61.9  444.0
2012 184  7  2 0900  -38.6  997.3    1.1   42.0   60.8  444.0
2012 184  7  2 1000  -32.8  997.1    0.5   49.0   63.0  444.0
2012 184  7  2 1100  -30.0  996.9    0.9  289.0   69.0  444.0
2012 184  7  2 1200  -37.6  997.1    0.9   47.0   56.0  444.0
2012 184  7  2 1300  -37.3  996.9    1.2   37.0   66.0  444.0
2012 184  7  2 1400  -39.1  997.1    0.5  218.0   60.3  444.0
2012 184  7  2 1500  -38.0  997.7    3.0  167.0   61.0  444.0
2012 184  7  2 1600  -40.0  999.2    0.7   12.0   60.0  444.0
2012 184  7  2 1700  -40.9  999.2    3.1  348.0   58.2  444.0
2012 184  7  2 1800  -36.3  999.0    2.4   51.0   66.7  444.0
2012 184  7  2 1900  -33.3  999.1    1.7   77.0   66.0  444.0
2012 184  7  2 2000  -32.8  999.0    2.3   45.0   66.0  444.0
2012 184  7  2 2100  -34.1  999.3    2.0   51.0   68.0  444.0
2012 184  7  2 2200  -34.1  999.7    2.5   64.0   67.0  444.0
2012 184  7  2 2300  -31.5  999.4    4.5   90.0   69.0  444.0
2012 185  7  3 0000  -32.8  999.5    5.4  107.0   68.0  444.0
2012 185  7  3 0100  -29.9  999.7    5.6   94.0   72.0  444.0
2012 185  7  3 0200  -30.0  999.6    3.7  114.0   71.0  444.0
2012 185  7  3 0300  -32.4  999.9    5.8  128.0   68.9  444.0
2012 185  7  3 0400  -32.3 1000.2    4.5  121.0   69.0  444.0
2012 185  7  3 0500  -30.5 1000.6    4.6  101.0   71.0  444.0
2012 185  7  3 0600  -31.5 1001.2    2.7   80.0   69.0  444.0
2012 185  7  3 0700  -30.9 1001.4    2.0  246.0   70.0  444.0
2012 185  7  3 0800  -30.7 1001.8    2.7   95.0   71.1  444.0
2012 185  7  3 0900  -31.5 1002.0    0.9  307.0   71.0  444.0
2012 185  7  3 1000  -31.4 1002.3    0.5   37.0   70.0  444.0
2012 185  7  3 1100  -32.6 1002.7    1.7  347.0   69.0  444.0
2012 185  7  3 1200  -32.6 1003.2    0.5   36.0   69.0  444.0
2012 185  7  3 1300  -30.8 1003.5    0.5  313.0   71.3  444.0
2012 185  7  3 1400  -30.3 1004.0    1.5    9.0   70.0  444.0
2012 185  7  3 1500  -28.4 1004.4    2.8  243.0   77.0  444.0
2012 185  7  3 1600  -29.3 1004.8    1.5   38.0   73.0  444.0
2012 185  7  3 1700  -27.8 1005.0    2.5  328.0   75.7  444.0
2012 185  7  3 1800  -30.9 1005.2    0.8  216.0   71.2  444.0
2012 185  7  3 1900  -34.6 1005.7    2.5  350.0   65.0  444.0
2012 185  7  3 2000  -31.9 1006.0    1.9   26.0   69.9  444.0
2012 185  7  3 2100  -32.5 1006.6    0.9  205.0   67.4  444.0
2012 185  7  3 2200  -29.9 1006.7    0.9  318.0   68.0  444.0
2012 185  7  3 2300  -38.9 1007.0    2.3   71.0   62.5  444.0
2012 186  7  4 0000  -35.6 1006.9    3.3   48.0   64.0  444.0
2012 186  7  4 0100  -34.5 1006.7    1.2   43.0   65.3  444.0
2012 186  7  4 0200  -37.7 1007.5    2.4   16.0   74.0  444.0
2012 186  7  4 0300  -31.7 1007.7    2.5   19.0   66.0  444.0
2012 186  7  4 0400  -30.9 1007.3    2.2   33.0   63.0  444.0
2012 186  7  4 0500  -30.0 1006.5    1.7   26.0   67.0  444.0
2012 186  7  4 0600  -29.3 1005.5    3.9   27.0   55.1  444.0
2012 186  7  4 0700  -31.1 1005.8    6.1  229.0   69.9  444.0
2012 186  7  4 0800  -33.0 1005.7    4.6  245.0   68.0  444.0
2012 186  7  4 0900  -32.6 1005.7    1.2  114.0   69.0  444.0
2012 186  7  4 1000  -33.6 1005.5    2.9  251.0   66.0  444.0
2012 186  7  4 1100  -31.8 1005.5    1.2  264.0   68.7  444.0
2012 186  7  4 1200  -32.5 1005.2    2.3    3.0   65.0  444.0
2012 186  7  4 1300  -33.5 1004.8    2.0   33.0   70.2  444.0
2012 186  7  4 1400  -33.8 1004.4    2.4  119.0   62.0  444.0
