Year: 2012  Month: 05  ID: PGN  ARGOS:  8937  Name: Pegasus North       
Lat: 77.96S  Lon: 166.51E  Elev:    8m
2012 122  5  1 0000  -39.1 1003.9    4.0  106.0   69.0  444.0
2012 122  5  1 0100  -35.0 1004.1    6.0   58.0   71.0  444.0
2012 122  5  1 0200  -35.2 1004.1    5.9   68.0   70.4  444.0
2012 122  5  1 0300  -35.2 1003.6    6.0   56.0   70.0  444.0
2012 122  5  1 0400  -35.5 1003.1    5.9   71.0   70.2  444.0
2012 122  5  1 0500  -39.4 1002.6    3.6   98.0   65.3  444.0
2012 122  5  1 0600  -35.1 1002.4    5.4   62.0   70.6  444.0
2012 122  5  1 0700  -34.5 1001.6    6.9   64.0   70.0  444.0
2012 122  5  1 0800  -34.4 1000.7    8.4   62.0   71.0  444.0
2012 122  5  1 0900  -32.0 1000.0    9.3   45.0   72.7  444.0
2012 122  5  1 1000  -31.2  999.4    8.2   69.0   72.0  444.0
2012 122  5  1 1100  -30.9  998.2    9.1   73.0  444.0  444.0
2012 122  5  1 1200  -30.8  997.1    9.2   66.0   73.0  444.0
2012 122  5  1 1300  -31.2  996.3    8.8   74.0   72.0  444.0
2012 122  5  1 1400  -31.1  995.2    7.6   71.0   70.0  444.0
2012 122  5  1 1500  -31.0  994.3    6.9   73.0   70.0  444.0
2012 122  5  1 1600  -31.3  993.6    6.2   78.0  444.0  444.0
2012 122  5  1 1700  -31.4  992.9    5.8   91.0   72.0  444.0
2012 122  5  1 1800  -31.2  991.9    5.8   82.0   73.0  444.0
2012 122  5  1 1900  -31.4  990.8    6.0   74.0   72.0  444.0
2012 122  5  1 2000  -31.2  989.8    4.9   92.0   72.8  444.0
2012 122  5  1 2100  -31.3  988.9    5.9   85.0  444.0  444.0
2012 122  5  1 2200  -30.8  988.1    6.2  102.0   73.5  444.0
2012 122  5  1 2300  -31.6  987.6    4.0  129.0  444.0  444.0
2012 123  5  2 0000  -32.4  986.7    3.4  117.0   72.7  444.0
2012 123  5  2 0100  -34.0  985.8    3.4  103.0   71.0  444.0
2012 123  5  2 0200  -32.9  985.2    5.4   76.0   72.1  444.0
2012 123  5  2 0300  -33.0  984.7    5.0   74.0   71.8  444.0
2012 123  5  2 0400  -33.5  983.9    5.3   62.0  444.0  444.0
2012 123  5  2 0500  -33.1  983.5    3.4   85.0   71.9  444.0
2012 123  5  2 0600  -33.5  983.1    3.2   97.0   71.6  444.0
2012 123  5  2 0700  -32.7  982.8    3.0   86.0   72.0  444.0
2012 123  5  2 0800  -32.4  982.7    3.1   79.0   72.6  444.0
2012 123  5  2 0900  -32.3  982.1    3.4   74.0  444.0  444.0
2012 123  5  2 1000  -32.5  982.0    3.2   61.0   72.1  444.0
2012 123  5  2 1100  -32.4  981.9    2.2   91.0   72.5  444.0
2012 123  5  2 1200  -32.1  981.7    2.6   89.0   72.7  444.0
2012 123  5  2 1300  -32.6  981.4    2.4  124.0   72.3  444.0
2012 123  5  2 1400  -32.7  981.2    2.1  115.0  444.0  444.0
2012 123  5  2 1500  -32.4  981.1    1.8  162.0   72.8  444.0
2012 123  5  2 1600  -33.9  980.8    3.2  137.0   71.0  444.0
2012 123  5  2 1700  -33.9  980.5    3.6   85.0   71.2  444.0
2012 123  5  2 1800  -34.6  980.5    0.6  159.0   70.3  444.0
