Year: 2012  Month: 07  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.83W  Elev:   10m
2012 183  7  1 0000   -5.7  975.6  444.0  444.0   80.2  444.0
2012 183  7  1 0100   -5.9  976.3  444.0  444.0   79.2  444.0
2012 183  7  1 0200   -5.4  976.3  444.0  444.0   78.8  444.0
2012 183  7  1 0300   -5.7  976.3  444.0  444.0   77.9  444.0
2012 183  7  1 0400   -5.7  977.0  444.0  444.0   77.2  444.0
2012 183  7  1 0500   -5.4  977.0  444.0  444.0   77.0  444.0
2012 183  7  1 0600   -5.9  977.7  444.0  444.0   75.5  444.0
2012 183  7  1 0700   -6.2  977.7  444.0  444.0   75.7  444.0
2012 183  7  1 0800   -6.1  978.4  444.0  444.0   75.0  444.0
2012 183  7  1 0900   -6.2  979.1  444.0  444.0   75.0  444.0
2012 183  7  1 1000   -5.7  979.1  444.0  444.0   75.3  444.0
2012 183  7  1 1100   -6.1  979.1  444.0  444.0   75.4  444.0
2012 183  7  1 1200   -6.0  979.7  444.0  444.0   75.6  444.0
2012 183  7  1 1300   -5.7  979.7  444.0  444.0   75.0  444.0
2012 183  7  1 1400   -6.5  980.4  444.0  444.0   75.2  444.0
2012 183  7  1 1500   -6.2  981.1  444.0  444.0   75.5  444.0
2012 183  7  1 1600   -6.3  981.1  444.0  444.0   75.7  444.0
2012 183  7  1 1700   -6.0  981.1  444.0  444.0   75.7  444.0
2012 183  7  1 1800   -6.5  981.8  444.0  444.0   75.9  444.0
2012 183  7  1 1900   -6.6  982.5  444.0  444.0   75.4  444.0
2012 183  7  1 2000   -6.2  982.5  444.0  444.0   76.1  444.0
2012 183  7  1 2100   -6.7  983.2  444.0  444.0   75.2  444.0
2012 183  7  1 2200   -6.3  983.9  444.0  444.0   76.1  444.0
2012 183  7  1 2300   -6.0  983.9  444.0  444.0   74.4  444.0
2012 184  7  2 0000   -5.8  983.9  444.0  444.0   73.0  444.0
2012 184  7  2 0100   -6.7  983.9  444.0  444.0   72.0  444.0
2012 184  7  2 0200   -6.3  983.9  444.0  444.0   74.5  444.0
2012 184  7  2 0300   -6.1  984.6  444.0  444.0   75.2  444.0
2012 184  7  2 0400   -6.4  984.6  444.0  444.0   75.8  444.0
2012 184  7  2 0500   -6.0  984.6  444.0  444.0   77.7  444.0
2012 184  7  2 0600   -5.9  984.6  444.0  444.0   77.8  444.0
2012 184  7  2 0700   -5.7  984.6  444.0  444.0   77.0  444.0
2012 184  7  2 0800   -5.5  985.3  444.0  444.0   76.1  444.0
2012 184  7  2 0900   -5.6  985.3  444.0  444.0   74.3  444.0
2012 184  7  2 1000   -5.6  985.3  444.0  444.0   72.1  444.0
2012 184  7  2 1100   -6.0  985.3  444.0  444.0   69.7  444.0
2012 184  7  2 1200   -6.1  986.0  444.0  444.0   68.9  444.0
2012 184  7  2 1300   -5.9  986.0  444.0  444.0   68.2  444.0
2012 184  7  2 1400   -6.2  986.0  444.0  444.0   67.7  444.0
2012 184  7  2 1500   -6.8  986.6  444.0  444.0   66.1  444.0
2012 184  7  2 1600   -6.8  986.6  444.0  444.0   66.9  444.0
2012 184  7  2 1700   -6.7  987.3  444.0  444.0   66.0  444.0
2012 184  7  2 1800   -7.0  987.3  444.0  444.0   66.7  444.0
2012 184  7  2 1900   -6.9  988.0  444.0  444.0   66.4  444.0
2012 184  7  2 2000   -7.2  988.0  444.0  444.0   65.6  444.0
2012 184  7  2 2100   -7.4  988.0  444.0  444.0   65.1  444.0
2012 184  7  2 2200   -7.6  988.7  444.0  444.0   64.6  444.0
2012 184  7  2 2300   -7.6  989.4  444.0  444.0   64.8  444.0
2012 185  7  3 0000   -7.9  990.1  444.0  444.0   64.8  444.0
2012 185  7  3 0100   -7.9  990.8  444.0  444.0   64.4  444.0
2012 185  7  3 0200   -8.1  991.5  444.0  444.0   63.8  444.0
2012 185  7  3 0300   -8.0  991.5  444.0  444.0   63.9  444.0
2012 185  7  3 0400   -7.9  992.2  444.0  444.0   63.8  444.0
2012 185  7  3 0500   -8.1  992.8  444.0  444.0   63.6  444.0
2012 185  7  3 0600   -8.5  992.8  444.0  444.0   64.1  444.0
2012 185  7  3 0700   -8.3  993.5  444.0  444.0   63.9  444.0
2012 185  7  3 0800   -8.3  994.2  444.0  444.0   63.7  444.0
2012 185  7  3 0900   -8.6  994.9  444.0  444.0   63.6  444.0
2012 185  7  3 1000   -8.6  994.9  444.0  444.0   63.6  444.0
2012 185  7  3 1100   -8.6  995.6  444.0  444.0   63.4  444.0
2012 185  7  3 1200   -8.8  996.3  444.0  444.0   62.9  444.0
2012 185  7  3 1300   -8.8  444.0  444.0  444.0   62.9  444.0
2012 185  7  3 1400   -9.1  997.0  444.0  444.0   63.1  444.0
