Year: 2010  Month: 08  ID: BPT  ARGOS:  8921  Name: Bonaparte Point     
Lat: 64.78S  Lon:  64.07W  Elev:    8m
2010 213  8  1 0000  -16.3 1005.7    1.6   33.0   85.0  444.0
2010 213  8  1 0100  -15.9 1005.4    1.2   63.0   85.0  444.0
2010 213  8  1 0200  -16.3 1005.8    1.5   32.0   80.6  444.0
2010 213  8  1 0300  -17.1 1005.3    2.2   37.0   82.0  444.0
2010 213  8  1 0400  -16.3 1007.8    1.4   21.0   82.0  444.0
2010 213  8  1 0500  -16.7 1007.5    1.0  326.0   82.9  444.0
2010 213  8  1 0600  -16.5 1016.5    1.1   40.0   91.0  444.0
2010 213  8  1 0700  -16.3 1019.1    1.4   26.0   97.1  444.0
2010 213  8  1 0800  -16.6 1014.6    1.6   45.0   95.1  444.0
2010 213  8  1 0900  -16.9 1012.9    1.5    2.0  444.0  444.0
2010 213  8  1 1000  -17.2 1008.5    0.7    4.0   92.0  444.0
2010 213  8  1 1100  -17.3 1011.4    2.9  315.0   93.0  444.0
2010 213  8  1 1200  -16.9 1015.1    1.7   55.0   94.0  444.0
2010 213  8  1 1300  -16.8 1017.3    1.7   49.0   93.0  444.0
2010 213  8  1 1400  -16.6 1018.3    1.2   39.0   93.0  444.0
2010 213  8  1 1500  -16.5 1018.9    0.9    7.0   92.9  444.0
2010 213  8  1 1600  -16.5  444.0    0.6  102.0   94.0  444.0
2010 213  8  1 1700  -16.3 1021.6    0.6   37.0  444.0  444.0
2010 213  8  1 1800  444.0  444.0  444.0  444.0  444.0  444.0
2010 213  8  1 1900  -16.3 1017.4    1.9  355.0   94.0  444.0
2010 213  8  1 2000  -17.3 1008.3    1.8    9.0   92.6  444.0
2010 213  8  1 2100  -16.4 1010.0    1.2  132.0   93.0  444.0
2010 213  8  1 2200  -16.4 1014.9    0.5  204.0   95.0  444.0
2010 213  8  1 2300  -16.1  444.0    0.6   22.0   94.0  444.0
2010 214  8  2 0000  -15.9 1018.0    0.2   93.0   94.6  444.0
2010 214  8  2 0100  -15.9 1021.2    2.1  113.0   95.0  444.0
2010 214  8  2 0200  -15.8 1022.5    2.3   89.0   95.9  444.0
2010 214  8  2 0300  -15.7 1021.2    3.1  108.0   96.0  444.0
2010 214  8  2 0400  -15.6 1020.0    2.9  109.0   95.9  444.0
2010 214  8  2 0500  -15.5 1020.1    2.1  123.0   96.5  444.0
2010 214  8  2 0600  -15.7 1020.5    2.0  123.0  444.0  444.0
2010 214  8  2 0700  -15.5 1019.4    2.1  116.0   97.0  444.0
2010 214  8  2 0800  -15.5 1019.2    1.7  136.0   96.8  444.0
2010 214  8  2 0900  -15.5 1018.1    0.6  104.0   96.0  444.0
2010 214  8  2 1000  -15.3 1016.1    0.1   40.0   97.0  444.0
2010 214  8  2 1100  -15.6 1017.3    1.4  114.0   97.0  444.0
2010 214  8  2 1200  -15.8 1018.9    0.6  115.0   96.9  444.0
2010 214  8  2 1300  -15.2 1020.2    2.1  244.0   90.6  444.0
2010 214  8  2 1400  -14.7 1020.6    1.9  206.0   90.2  444.0
2010 214  8  2 1500  -11.5  444.0    3.7  334.0  444.0  444.0
2010 214  8  2 1600  444.0  444.0  444.0  444.0  444.0  444.0
2010 214  8  2 1700   -8.8 1019.6    8.9  340.0   88.6  444.0
2010 214  8  2 1800  444.0  444.0  444.0  444.0  444.0  444.0
2010 214  8  2 1900  444.0  444.0  444.0  444.0  444.0  444.0
2010 214  8  2 2000   -7.8  444.0    2.4  340.0   82.0  444.0
2010 214  8  2 2100   -7.8 1014.6    5.6   22.0  444.0  444.0
2010 214  8  2 2200  444.0  444.0  444.0  444.0  444.0  444.0
2010 214  8  2 2300   -7.7 1012.2   12.4   24.0   78.5  444.0
2010 215  8  3 0000   -7.8 1009.6   12.5   30.0  444.0  444.0
2010 215  8  3 0100   -7.3  444.0  444.0  444.0  444.0  444.0
2010 215  8  3 0200   -7.4 1008.0   14.0   18.0   88.9  444.0
2010 215  8  3 0300   -7.2 1005.7   17.0   30.0   94.0  444.0
2010 215  8  3 0400   -6.7  444.0   16.5   29.0  444.0  444.0
2010 215  8  3 0500   -6.2 1003.3   13.0   24.0   82.3  444.0
2010 215  8  3 0600   -6.1 1002.0   10.9   30.0   80.2  444.0
2010 215  8  3 0700   -5.9 1000.0   10.7   24.0  444.0  444.0
2010 215  8  3 0800   -6.1  997.6    9.1   21.0   78.1  444.0
2010 215  8  3 0900   -5.7  996.2   10.0   21.0   72.0  444.0
2010 215  8  3 1000   -5.6  994.0    7.4   11.0   70.7  444.0
2010 215  8  3 1100   -8.0  986.3    2.1  173.0   97.0  444.0
2010 215  8  3 1200   -7.0  984.9    1.7   12.0   96.9  444.0
2010 215  8  3 1300   -6.1  989.0    6.6    8.0   82.1  444.0
2010 215  8  3 1400  444.0  444.0  444.0  444.0  444.0  444.0
2010 215  8  3 1500   -6.5  987.4    4.7  323.0  444.0  444.0
2010 215  8  3 1600  444.0  444.0  444.0  444.0  444.0  444.0
2010 215  8  3 1700   -7.6  982.7    4.4  301.0   96.9  444.0
2010 215  8  3 1800   -8.2  444.0    4.2  293.0  444.0  444.0
2010 215  8  3 1900   -8.5  979.2    4.1  282.0   98.0  444.0
2010 215  8  3 2000   -8.5  978.4    3.7  288.0   97.0  444.0
2010 215  8  3 2100  -12.1  977.4    1.4  224.0   95.0  444.0
2010 215  8  3 2200  -12.1  444.0    2.6  303.0  444.0  444.0
2010 215  8  3 2300  -12.1  979.7    1.4  182.0   88.9  444.0
2010 216  8  4 0000  -12.2  980.7    2.5   81.0   93.0  444.0
2010 216  8  4 0100  -12.2  981.7    8.4   17.0  444.0  444.0
2010 216  8  4 0200  -12.2  983.2    3.7  358.0   94.0  444.0
2010 216  8  4 0300  -12.4  982.8    2.3  315.0   97.0  444.0
2010 216  8  4 0400  -12.1  981.8    3.1  124.0   98.0  444.0
2010 216  8  4 0500  -12.3  982.2    2.8  116.0   98.0  444.0
2010 216  8  4 0600  -12.4  983.0    2.7  116.0  444.0  444.0
2010 216  8  4 0700  -12.2  983.0    2.7  151.0   98.0  444.0
2010 216  8  4 0800  -12.1  983.3    1.4  176.0   98.5  444.0
2010 216  8  4 0900  -12.0  983.3    4.8  205.0   97.8  444.0
2010 216  8  4 1000  -12.0  984.2    2.7  224.0   98.0  444.0
2010 216  8  4 1100  -12.1  984.9    3.7  240.0   97.5  444.0
2010 216  8  4 1200  -12.1  444.0    4.5  258.0  444.0  444.0
2010 216  8  4 1300  -12.6  983.2    3.4  287.0   97.6  444.0
2010 216  8  4 1400  -12.8  984.0    3.6  287.0   97.4  444.0
2010 216  8  4 1500  444.0  444.0  444.0  444.0  444.0  444.0
2010 216  8  4 1600  -13.5  444.0    3.9  358.0  444.0  444.0
2010 216  8  4 1700  -14.0  986.1    0.3   55.0   96.0  444.0
2010 216  8  4 1800  -13.9  444.0    1.6  104.0  444.0  444.0
2010 216  8  4 1900  -13.8  985.3    1.1   54.0  444.0  444.0
2010 216  8  4 2000  -13.6  987.0    1.5  124.0  444.0  444.0
