Year: 2012  Month: 07  ID: BAT  ARGOS:  8987  Name: ALEXANDER (TT!)     
Lat: 79.05S  Lon: 170.66E  Elev:   55m
2012 183  7  1 0000  -33.2 1005.2  444.0  444.0  444.0  444.0
2012 183  7  1 0100  -32.0 1004.7  444.0  444.0  444.0  444.0
2012 183  7  1 0200  -31.2 1005.0  444.0  444.0  444.0  444.0
2012 183  7  1 0300  -31.5 1004.9  444.0  444.0  444.0  444.0
2012 183  7  1 0400  -31.2 1005.0  444.0  444.0  444.0  444.0
2012 183  7  1 0500  -30.1 1004.5  444.0  444.0  444.0  444.0
2012 183  7  1 0600  -29.9 1004.3  444.0  444.0  444.0  444.0
2012 183  7  1 0700  -30.0 1004.3  444.0  444.0  444.0  444.0
2012 183  7  1 0800  -30.4 1004.1  444.0  444.0  444.0  444.0
2012 183  7  1 0900  -30.8 1004.0  444.0  444.0  444.0  444.0
2012 183  7  1 1000  -32.2 1004.0  444.0  444.0  444.0  444.0
2012 183  7  1 1100  -32.6 1003.5  444.0  444.0  444.0  444.0
2012 183  7  1 1200  -32.9 1003.1  444.0  444.0  444.0  444.0
2012 183  7  1 1300  -31.8 1002.4  444.0  444.0  444.0  444.0
2012 183  7  1 1400  -32.2 1002.1  444.0  444.0  444.0  444.0
2012 183  7  1 1500  -30.7 1001.5  444.0  444.0  444.0  444.0
2012 183  7  1 1600  -34.0 1001.6  444.0  444.0  444.0  444.0
2012 183  7  1 1700  -35.2 1001.1  444.0  444.0  444.0  444.0
2012 183  7  1 1800  -36.4 1000.5  444.0  444.0  444.0  444.0
2012 183  7  1 1900  -36.6 1000.0  444.0  444.0  444.0  444.0
2012 183  7  1 2000  -38.2  999.8  444.0  444.0  444.0  444.0
2012 183  7  1 2100  -40.0  999.8  444.0  444.0  444.0  444.0
2012 183  7  1 2200  -40.7  999.2  444.0  444.0  444.0  444.0
2012 183  7  1 2300  -40.0  998.8  444.0  444.0  444.0  444.0
2012 184  7  2 0000  -39.0  998.7  444.0  444.0  444.0  444.0
2012 184  7  2 0100  -38.7  998.4  444.0  444.0  444.0  444.0
2012 184  7  2 0200  -37.9  997.8  444.0  444.0  444.0  444.0
2012 184  7  2 0300  -38.8  997.5  444.0  444.0  444.0  444.0
2012 184  7  2 0400  -40.9  997.3  444.0  444.0  444.0  444.0
2012 184  7  2 0500  -42.1  996.9  444.0  444.0  444.0  444.0
2012 184  7  2 0600  -40.7  996.6  444.0  444.0  444.0  444.0
2012 184  7  2 0700  -38.2  996.3  444.0  444.0  444.0  444.0
2012 184  7  2 0800  -38.2  995.9  444.0  444.0  444.0  444.0
2012 184  7  2 0900  -37.2  996.1  444.0  444.0  444.0  444.0
2012 184  7  2 1000  -37.2  996.3  444.0  444.0  444.0  444.0
2012 184  7  2 1100  -40.0  996.9  444.0  444.0  444.0  444.0
2012 184  7  2 1200  -39.1  997.1  444.0  444.0  444.0  444.0
2012 184  7  2 1300  -34.3  997.1  444.0  444.0  444.0  444.0
2012 184  7  2 1400  -36.4  997.0  444.0  444.0  444.0  444.0
2012 184  7  2 1500  -37.1  997.1  444.0  444.0  444.0  444.0
2012 184  7  2 1600  -36.2  997.0  444.0  444.0  444.0  444.0
2012 184  7  2 1700  -36.4  996.5  444.0  444.0  444.0  444.0
2012 184  7  2 1800  -35.0  996.3  444.0  444.0  444.0  444.0
2012 184  7  2 1900  -37.0  996.3  444.0  444.0  444.0  444.0
2012 184  7  2 2000  -35.1  996.3  444.0  444.0  444.0  444.0
2012 184  7  2 2100  -33.6  996.6  444.0  444.0  444.0  444.0
2012 184  7  2 2200  -34.5  996.8  444.0  444.0  444.0  444.0
2012 184  7  2 2300  -37.1  997.2  444.0  444.0  444.0  444.0
2012 185  7  3 0000  -37.0  996.9  444.0  444.0  444.0  444.0
2012 185  7  3 0100  -39.8  997.2  444.0  444.0  444.0  444.0
2012 185  7  3 0200  -40.2  997.2  444.0  444.0  444.0  444.0
2012 185  7  3 0300  -39.2  997.4  444.0  444.0  444.0  444.0
2012 185  7  3 0400  -37.7  997.3  444.0  444.0  444.0  444.0
2012 185  7  3 0500  -34.6  997.4  444.0  444.0  444.0  444.0
2012 185  7  3 0600  -35.3  997.8  444.0  444.0  444.0  444.0
2012 185  7  3 0700  -35.8  997.9  444.0  444.0  444.0  444.0
2012 185  7  3 0800  -36.3  998.5  444.0  444.0  444.0  444.0
2012 185  7  3 0900  -34.8  998.7  444.0  444.0  444.0  444.0
2012 185  7  3 1000  -34.1  998.2  444.0  444.0  444.0  444.0
2012 185  7  3 1100  -36.9  999.0  444.0  444.0  444.0  444.0
2012 185  7  3 1200  -36.6  999.3  444.0  444.0  444.0  444.0
2012 185  7  3 1300  -38.1  999.5  444.0  444.0  444.0  444.0
2012 185  7  3 1400  -40.6 1000.0  444.0  444.0  444.0  444.0
2012 185  7  3 1500  -40.3 1000.1  444.0  444.0  444.0  444.0
2012 185  7  3 1600  -40.0 1000.4  444.0  444.0  444.0  444.0
2012 185  7  3 1700  -39.9 1000.8  444.0  444.0  444.0  444.0
2012 185  7  3 1800  -39.4 1001.3  444.0  444.0  444.0  444.0
2012 185  7  3 1900  -40.0 1001.9  444.0  444.0  444.0  444.0
2012 185  7  3 2000  -40.5 1002.1  444.0  444.0  444.0  444.0
2012 185  7  3 2100  -40.6 1002.3  444.0  444.0  444.0  444.0
2012 185  7  3 2200  -40.0 1002.5  444.0  444.0  444.0  444.0
2012 185  7  3 2300  -39.5 1002.3  444.0  444.0  444.0  444.0
2012 186  7  4 0000  -40.1 1002.5  444.0  444.0  444.0  444.0
2012 186  7  4 0100  -40.3 1002.6  444.0  444.0  444.0  444.0
2012 186  7  4 0200  -40.4 1003.9  444.0  444.0  444.0  444.0
2012 186  7  4 0300  -38.5 1003.4  444.0  444.0  444.0  444.0
2012 186  7  4 0400  -38.2 1002.9  444.0  444.0  444.0  444.0
2012 186  7  4 0500  -37.0 1002.5  444.0  444.0  444.0  444.0
2012 186  7  4 0600  -37.3 1002.4  444.0  444.0  444.0  444.0
2012 186  7  4 0700  -37.9 1002.1  444.0  444.0  444.0  444.0
2012 186  7  4 0800  -34.2 1002.4  444.0  444.0  444.0  444.0
2012 186  7  4 0900  -34.2 1002.1  444.0  444.0  444.0  444.0
2012 186  7  4 1000  -35.4 1002.0  444.0  444.0  444.0  444.0
2012 186  7  4 1100  -36.0 1001.8  444.0  444.0  444.0  444.0
2012 186  7  4 1200  -34.1 1001.3  444.0  444.0  444.0  444.0
2012 186  7  4 1300  -34.2 1001.2  444.0  444.0  444.0  444.0
2012 186  7  4 1400  -34.5 1000.9  444.0  444.0  444.0  444.0
2012 186  7  4 1500  -34.7 1000.6  444.0  444.0  444.0  444.0
2012 186  7  4 1600  -35.9 1000.4  444.0  444.0  444.0  444.0
2012 186  7  4 1700  -35.9  999.8  444.0  444.0  444.0  444.0
2012 186  7  4 1800  -37.1  999.3  444.0  444.0  444.0  444.0
2012 186  7  4 1900  -38.3  999.5  444.0  444.0  444.0  444.0
2012 186  7  4 2000  -38.3  999.1  444.0  444.0  444.0  444.0
2012 186  7  4 2100  -35.3  998.8  444.0  444.0  444.0  444.0
2012 186  7  4 2200  -36.4  998.6  444.0  444.0  444.0  444.0
2012 186  7  4 2300  -38.3  998.6  444.0  444.0  444.0  444.0
