Year: 2001  Month: 10  ID: RAC  ARGOS:  8947  Name: Racer Rock          
Lat: 64.07S  Lon:  61.60W  Elev:   17m
2001 277 10  4 1300   -1.6  998.9   10.0   18.0  444.0  444.0
2001 277 10  4 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 277 10  4 1500  444.0  444.0  444.0  444.0  444.0  444.0
2001 277 10  4 1600   -0.5  996.5   15.0  329.0  444.0  444.0
2001 277 10  4 1700   -0.5  995.9  444.0  444.0  444.0  444.0
2001 277 10  4 1800   -0.2  996.5   15.8  328.0  444.0  444.0
2001 277 10  4 1900   -0.2  996.4   14.2  330.0  444.0  444.0
2001 277 10  4 2000  444.0  444.0  444.0  444.0  444.0  444.0
2001 277 10  4 2100   -0.8  995.7   11.5  338.0  444.0  444.0
2001 277 10  4 2200   -1.0  995.9   10.2  356.0  444.0  444.0
2001 277 10  4 2300   -0.5  995.5   10.5  340.0  444.0  444.0
2001 278 10  5 0000   -0.9  995.6   11.0  346.0  444.0  444.0
2001 278 10  5 0100   -1.1  995.0   11.5  347.0  444.0  444.0
2001 278 10  5 0200  444.0  444.0  444.0  444.0  444.0  444.0
2001 278 10  5 0300  444.0  444.0  444.0  444.0  444.0  444.0
2001 278 10  5 0400  444.0  444.0  444.0  444.0  444.0  444.0
2001 278 10  5 0500  444.0  444.0  444.0  444.0  444.0  444.0
2001 278 10  5 0600  444.0  444.0  444.0  444.0  444.0  444.0
2001 278 10  5 0700   -0.5  991.8   13.0  356.0  444.0  444.0
2001 278 10  5 0800  444.0  444.0  444.0  444.0  444.0  444.0
2001 278 10  5 0900   -0.8  991.1   10.5  350.0  444.0  444.0
2001 278 10  5 1000   -0.5  989.8   12.8  340.0  444.0  444.0
2001 278 10  5 1100   -0.5  444.0   14.0  339.0  444.0  444.0
2001 278 10  5 1200  444.0  444.0  444.0  444.0  444.0  444.0
2001 278 10  5 1300  444.0  444.0  444.0  444.0  444.0  444.0
2001 278 10  5 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 278 10  5 1500  444.0  444.0  444.0  444.0  444.0  444.0
2001 278 10  5 1600   -0.5  987.4   10.8  328.0  444.0  444.0
2001 278 10  5 1700   -0.5  986.8    8.2  349.0  444.0  444.0
2001 278 10  5 1800  444.0  444.0  444.0  444.0  444.0  444.0
2001 278 10  5 1900   -0.5  985.5   10.0  335.0  444.0  444.0
2001 278 10  5 2000  444.0  444.0  444.0  444.0  444.0  444.0
2001 278 10  5 2100    0.0  984.9   14.0  322.0  444.0  444.0
2001 278 10  5 2200   -0.1  985.6   10.2  302.0  444.0  444.0
2001 278 10  5 2300   -0.5  986.2   12.8  305.0  444.0  444.0
2001 279 10  6 0000   -0.5  986.4   12.5  316.0  444.0  444.0
2001 279 10  6 0100  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 0200  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 0300   -1.0  989.1    4.8  266.0  444.0  444.0
2001 279 10  6 0400  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 0500  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 0600  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 0700  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 0800  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 0900  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 1000  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 1100  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 1200  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 1300  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 1500  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 1600  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 1700    1.0 1008.2    1.5  187.0  444.0  444.0
2001 279 10  6 1800  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 1900  444.0  444.0  444.0  444.0  444.0  444.0
2001 279 10  6 2000   -0.1 1009.8    0.0    0.0  444.0  444.0
2001 279 10  6 2100   -0.6 1009.9    0.0    0.0  444.0  444.0
2001 279 10  6 2200   -1.4 1010.0    0.0    0.0  444.0  444.0
2001 279 10  6 2300  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 0000  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 0100  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 0200  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 0300  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 0400  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 0500  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 0600  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 0700  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 0800  444.0  444.0  444.0  444.0  444.0  444.0
2001 280 10  7 0900  444.0  444.0  444.0  444.0  444.0  444.0
