Year: 2001  Month: 09  ID: PPT  ARGOS:  8910  Name: Penguin Point       
Lat: 67.62S  Lon: 146.18E  Elev:   30m
2001 247  9  4 1200  -15.2  967.5   22.3  197.0   75.6  444.0
2001 247  9  4 1300  -15.2  967.9   23.3  181.0   75.1  444.0
2001 247  9  4 1400  -15.4  967.7   27.6  181.0   75.6  444.0
2001 247  9  4 1500  444.0  444.0  444.0  444.0  444.0  444.0
2001 247  9  4 1600  -15.4  965.4   20.6  191.0   74.2  444.0
2001 247  9  4 1700  -15.6  964.8   20.3  183.0   74.2  444.0
2001 247  9  4 1800  -16.5  966.0   25.3  190.0   74.7  444.0
2001 247  9  4 1900  -16.0  964.2   22.6  183.0   75.1  444.0
2001 247  9  4 2000  444.0  444.0  444.0  444.0  444.0  444.0
2001 247  9  4 2100  -15.1  962.8   11.7  180.0   75.1  444.0
2001 247  9  4 2200  -15.0  962.3    6.7  210.0   74.7  444.0
2001 247  9  4 2300  -15.9  962.8    6.3  267.0   74.2  444.0
2001 248  9  5 0000  -17.2  963.4   16.6  205.0   74.2  444.0
2001 248  9  5 0100  -16.1  962.6   14.3  200.0   75.1  444.0
2001 248  9  5 0200  -16.8  962.3    0.7  326.0   73.4  444.0
2001 248  9  5 0300  444.0  444.0  444.0  444.0  444.0  444.0
2001 248  9  5 0400  -16.2  962.5   10.0  188.0   75.6  444.0
2001 248  9  5 0500  -15.8  962.6    4.7  194.0   76.0  444.0
2001 248  9  5 0600  -17.1  963.0    1.3  248.0   74.7  444.0
2001 248  9  5 0700  -17.9  963.5    7.3  197.0   73.4  444.0
2001 248  9  5 0800  -18.2  963.7    8.0  197.0   72.9  444.0
2001 248  9  5 0900  -18.0  964.2    6.3  194.0   72.9  444.0
2001 248  9  5 1000  -18.0  964.6    2.0  250.0   72.9  444.0
2001 248  9  5 1100  -16.4  965.0    3.0  197.0   72.9  444.0
2001 248  9  5 1200  -17.9  965.5    0.0    0.0   73.4  444.0
2001 248  9  5 1300  444.0  444.0  444.0  444.0  444.0  444.0
2001 248  9  5 1400  -20.0  966.3    3.0  160.0   72.5  444.0
2001 248  9  5 1500  -17.2  966.6    3.0  170.0   73.4  444.0
2001 248  9  5 1600  -17.9  966.7    4.0  142.0   73.4  444.0
2001 248  9  5 1700  -17.2  967.0    1.0  141.0   72.9  444.0
2001 248  9  5 1800  -19.0  967.4    0.0    0.0   72.5  444.0
2001 248  9  5 1900  -18.5  967.8    0.0    0.0   72.5  444.0
2001 248  9  5 2000  -18.5  968.2    0.0    0.0   72.5  444.0
2001 248  9  5 2100  444.0  444.0  444.0  444.0  444.0  444.0
2001 248  9  5 2200  -18.6  969.1    0.0    0.0   72.5  444.0
2001 248  9  5 2300  444.0  444.0  444.0  444.0  444.0  444.0
2001 249  9  6 0000  -18.4  969.2    1.7  207.0   73.4  444.0
2001 249  9  6 0100  -18.4  969.4    4.0  291.0   73.4  444.0
2001 249  9  6 0200  -17.6  969.1    2.7  249.0   74.7  444.0
2001 249  9  6 0300  444.0  444.0  444.0  444.0  444.0  444.0
2001 249  9  6 0400  -16.6  969.4    1.7  153.0   75.6  444.0
2001 249  9  6 0500  -17.8  970.5   13.3  201.0   73.8  444.0
2001 249  9  6 0600  -18.2  970.9   14.0  198.0   73.4  444.0
2001 249  9  6 0700  -20.5  972.4   18.3  197.0   72.0  444.0
2001 249  9  6 0800  -21.0  973.7   20.6  197.0   71.2  444.0
2001 249  9  6 0900  -21.0  974.2   18.3  200.0   70.7  444.0
2001 249  9  6 1000  -21.9  975.3   17.6  201.0   70.3  444.0
2001 249  9  6 1100  -23.1  977.6   23.3  207.0   69.8  444.0
2001 249  9  6 1200  -23.2  978.6   22.3  210.0   69.4  444.0
2001 249  9  6 1300  -23.2  978.6   19.3  208.0   69.8  444.0
2001 249  9  6 1400  -24.9  978.4    3.7  281.0   68.1  444.0
2001 249  9  6 1500  -24.9  979.5    0.0    0.0   68.5  444.0
2001 249  9  6 1600  -25.5  980.8   13.7  197.0   68.5  444.0
2001 249  9  6 1700  -26.0  982.5   19.6  208.0   68.1  444.0
2001 249  9  6 1800  -28.0  983.2   19.6  198.0   66.3  444.0
2001 249  9  6 1900  444.0  444.0  444.0  444.0  444.0  444.0
2001 249  9  6 2000  -28.0  983.2   14.3  205.0   65.9  444.0
2001 249  9  6 2100  -28.9  982.8    5.7  207.0   65.4  444.0
2001 249  9  6 2200  -28.6  984.0   13.7  198.0   66.3  444.0
2001 249  9  6 2300  -27.9  985.1   17.6  204.0   66.3  444.0
2001 250  9  7 0000  -27.0  985.0   15.7  201.0   67.2  444.0
2001 250  9  7 0100  444.0  444.0  444.0  444.0  444.0  444.0
2001 250  9  7 0200  -26.0  985.6   12.0  202.0   69.4  444.0
2001 250  9  7 0300  -26.6  985.4   10.3  198.0   67.6  444.0
2001 250  9  7 0400  -26.6  985.5    4.0  202.0   67.2  444.0
2001 250  9  7 0500  -26.1  987.6   18.6  184.0   67.6  444.0
2001 250  9  7 0600  -27.2  989.7   25.3  204.0   66.3  444.0
2001 250  9  7 0700  -27.5  990.2   14.7  183.0   66.8  444.0
2001 250  9  7 0800  -27.4  992.7   29.0  194.0   66.3  444.0
2001 250  9  7 0900  -26.0  990.6   20.0  176.0   67.2  444.0
2001 250  9  7 1000  -25.2  991.8   18.3  184.0   67.2  444.0
2001 250  9  7 1100  -25.5  993.0   11.7  166.0   67.6  444.0
2001 250  9  7 1200  -25.2  994.3    7.3  166.0   67.6  444.0
2001 250  9  7 1300  -25.8  995.0    0.0    0.0   67.2  444.0
2001 250  9  7 1400  -26.8  996.4    1.0  255.0   67.2  444.0
2001 250  9  7 1500  -28.1  997.0    5.7  210.0   66.3  444.0
2001 250  9  7 1600  -24.2  998.1    4.0  118.0   67.6  444.0
2001 250  9  7 1700  -29.8  999.2    1.3  318.0   65.0  444.0
2001 250  9  7 1800  -25.2  999.2    2.0  121.0   67.2  444.0
2001 250  9  7 1900  -25.1 1001.5   15.3  181.0   67.2  444.0
2001 250  9  7 2000  -25.6 1002.3   13.7  170.0   67.6  444.0
2001 250  9  7 2100  -23.9 1001.6   14.0  193.0   68.1  444.0
2001 250  9  7 2200  444.0  444.0  444.0  444.0  444.0  444.0
2001 250  9  7 2300  -23.6 1003.5    6.7  169.0   69.0  444.0
2001 251  9  8 0000  -23.1 1003.0   15.3  173.0   69.4  444.0
2001 251  9  8 0100  444.0  444.0  444.0  444.0  444.0  444.0
2001 251  9  8 0200  -24.2 1003.1    2.7  248.0   69.0  444.0
2001 251  9  8 0300  -25.5 1003.6    1.3  266.0   68.5  444.0
2001 251  9  8 0400  -25.5 1003.2    0.0    0.0   67.6  444.0
2001 251  9  8 0500  -24.9 1003.4    0.0    0.0   67.6  444.0
2001 251  9  8 0600  -20.9 1003.2    2.3  170.0   70.3  444.0
2001 251  9  8 0700  -19.9 1004.2   21.0  180.0   71.6  444.0
2001 251  9  8 0800  -21.0 1003.6   25.3  180.0   70.3  444.0
2001 251  9  8 0900  -20.6 1003.8   18.0  184.0   70.7  444.0
2001 251  9  8 1000  -20.6 1003.8   15.7  194.0   70.7  444.0
2001 251  9  8 1100  -20.4 1004.5   17.0  179.0   71.2  444.0
2001 251  9  8 1200  -19.6 1004.0   17.3  181.0   71.2  444.0
2001 251  9  8 1300  -19.0 1002.9   14.0  188.0   71.2  444.0
2001 251  9  8 1400  -18.4 1002.9   14.0  191.0   71.6  444.0
2001 251  9  8 1500  -17.6 1001.1   11.3  177.0   72.0  444.0
2001 251  9  8 1600  -18.5 1001.7   19.0  172.0   72.5  444.0
2001 251  9  8 1700  -18.2 1001.7   25.6  181.0   72.0  444.0
2001 251  9  8 1800  -18.4 1001.5   27.0  187.0   71.6  444.0
2001 251  9  8 1900  -18.0  999.3   25.0  183.0   72.5  444.0
2001 251  9  8 2000  444.0  444.0  444.0  444.0  444.0  444.0
2001 251  9  8 2100  -16.1  997.2   29.0  180.0   72.5  444.0
2001 251  9  8 2200  -15.9  996.2   27.6  159.0   73.4  444.0
2001 251  9  8 2300  -15.6  994.6   23.0  139.0   73.4  444.0
2001 252  9  9 0000  -15.5  993.3   23.0  155.0   73.4  444.0
2001 252  9  9 0100  -15.9  992.1   27.0  159.0   73.4  444.0
2001 252  9  9 0200  -15.6  990.1   21.0  160.0   73.8  444.0
2001 252  9  9 0300  -15.5  987.8   20.0  158.0   74.2  444.0
2001 252  9  9 0400  444.0  444.0  444.0  444.0  444.0  444.0
2001 252  9  9 0500  -14.5  983.5   21.0  152.0   74.7  444.0
2001 252  9  9 0600  -14.4  981.7   24.3  156.0   75.1  444.0
2001 252  9  9 0700  -14.1  980.9   22.6  145.0   75.1  444.0
2001 252  9  9 0800  -13.8  979.7   22.0  156.0   75.1  444.0
2001 252  9  9 0900  -13.0  979.1   21.0  149.0   76.0  444.0
2001 252  9  9 1000  -13.4  978.5   20.6  134.0   75.6  444.0
2001 252  9  9 1100  -12.8  979.0   24.0  138.0   76.0  444.0
2001 252  9  9 1200  -13.0  979.2   24.3  141.0   76.0  444.0
2001 252  9  9 1300  -13.0  977.7   22.6  145.0   76.4  444.0
2001 252  9  9 1400  -13.1  977.3   22.0  139.0   76.4  444.0
2001 252  9  9 1500  -13.2  976.6   20.6  152.0   76.0  444.0
2001 252  9  9 1600  -13.8  976.2   17.3  145.0   76.0  444.0
2001 252  9  9 1700  -13.8  975.5   16.3  146.0   76.0  444.0
2001 252  9  9 1800  -13.6  976.9   20.3  149.0   76.0  444.0
2001 252  9  9 1900  -14.2  976.6   16.0  149.0   76.0  444.0
2001 252  9  9 2000  -14.9  978.5   20.6  145.0   75.1  444.0
2001 252  9  9 2100  -15.2  980.5   25.6  155.0   75.1  444.0
2001 252  9  9 2200  -15.4  980.1   17.3  156.0   75.6  444.0
2001 252  9  9 2300  444.0  444.0  444.0  444.0  444.0  444.0
2001 253  9 10 0000  -16.2  982.7   11.0  139.0   74.7  444.0
2001 253  9 10 0100  -16.1  983.5   10.7  146.0   75.1  444.0
2001 253  9 10 0200  444.0  444.0  444.0  444.0  444.0  444.0
2001 253  9 10 0300  -15.4  984.7   11.0  145.0   75.6  444.0
2001 253  9 10 0400  -15.0  985.5    9.3  136.0   75.6  444.0
2001 253  9 10 0500  -14.8  985.1    8.0  159.0   76.0  444.0
2001 253  9 10 0600  -15.0  984.7   12.0  155.0   75.6  444.0
2001 253  9 10 0700  -15.4  985.5   10.7  145.0   75.1  444.0
2001 253  9 10 0800  -16.2  985.7    9.0  150.0   74.7  444.0
2001 253  9 10 0900  -15.4  986.0    9.7  158.0   74.7  444.0
2001 253  9 10 1000  -16.6  987.0   19.6  177.0   74.7  444.0
2001 253  9 10 1100  -17.1  986.9   17.6  170.0   73.8  444.0
2001 253  9 10 1200  -17.1  985.8   13.0  181.0   74.2  444.0
2001 253  9 10 1300  -17.9  985.8   11.0  179.0   74.7  444.0
2001 253  9 10 1400  -17.5  988.1   21.6  177.0   73.8  444.0
2001 253  9 10 1500  -18.0  988.0   22.0  180.0   74.2  444.0
2001 253  9 10 1600  -18.4  988.1   22.3  181.0   73.4  444.0
2001 253  9 10 1700  -19.1  986.0   11.0  176.0   72.5  444.0
2001 253  9 10 1800  -18.4  987.1   21.6  173.0   72.9  444.0
2001 253  9 10 1900  -18.9  988.1   23.3  179.0   72.5  444.0
2001 253  9 10 2000  -18.6  987.4   16.0  186.0   72.9  444.0
2001 253  9 10 2100  444.0  444.0  444.0  444.0  444.0  444.0
2001 253  9 10 2200  -17.4  989.8   21.6  197.0   73.8  444.0
2001 253  9 10 2300  -17.2  989.7   16.6  195.0   73.8  444.0
2001 254  9 11 0000  -17.1  990.8   22.0  180.0   74.2  444.0
2001 254  9 11 0100  -16.6  991.1   19.0  180.0   75.6  444.0
2001 254  9 11 0200  444.0  444.0  444.0  444.0  444.0  444.0
2001 254  9 11 0300  -16.0  990.9   16.0  183.0   75.6  444.0
2001 254  9 11 0400  -15.5  990.8   16.0  183.0   76.0  444.0
2001 254  9 11 0500  -16.0  991.1   16.0  183.0   75.1  444.0
2001 254  9 11 0600  -16.0  991.4   16.3  193.0   75.1  444.0
2001 254  9 11 0700  -15.2  990.4   11.0  174.0   75.1  444.0
2001 254  9 11 0800  -16.9  990.5    2.3  180.0   73.8  444.0
2001 254  9 11 0900  -19.2  990.8    0.0    0.0   72.9  444.0
2001 254  9 11 1000  -18.8  991.2    0.0    0.0   72.9  444.0
2001 254  9 11 1100  -16.9  990.6    7.0  155.0   74.2  444.0
2001 254  9 11 1200  -16.9  989.7   11.0  166.0   74.2  444.0
2001 254  9 11 1300  -16.8  989.9   11.3  156.0   73.8  444.0
2001 254  9 11 1400  -16.9  988.8   12.0  152.0   73.8  444.0
2001 254  9 11 1500  -16.6  988.5   15.3  152.0   73.4  444.0
2001 254  9 11 1600  -17.1  987.6   14.7  149.0   73.4  444.0
2001 254  9 11 1700  -17.4  987.4   13.3  207.0   73.4  444.0
2001 254  9 11 1800  -20.6  987.3   11.0  139.0   71.6  444.0
2001 254  9 11 1900  444.0  444.0  444.0  444.0  444.0  444.0
2001 254  9 11 2000  -21.2  986.6    9.0  153.0   70.7  444.0
2001 254  9 11 2100  -21.2  987.0    9.7  127.0   71.2  444.0
2001 254  9 11 2200  -21.0  987.6    6.3  135.0   71.6  444.0
2001 254  9 11 2300  -20.6  987.4    7.3  152.0   71.6  444.0
2001 255  9 12 0000  444.0  444.0  444.0  444.0  444.0  444.0
2001 255  9 12 0100  -20.0  987.2    3.0  150.0   72.0  444.0
2001 255  9 12 0200  444.0  444.0  444.0  444.0  444.0  444.0
2001 255  9 12 0300  -19.2  985.9    0.3  134.0   75.1  444.0
2001 255  9 12 0400  -18.8  985.4    1.0  260.0   78.2  444.0
2001 255  9 12 0500  -18.2  985.1    0.0    0.0   72.0  444.0
2001 255  9 12 0600  -19.0  983.7    1.3  232.0   72.0  444.0
2001 255  9 12 0700  444.0  444.0  444.0  444.0  444.0  444.0
2001 255  9 12 0800  -18.5  983.1    0.0    0.0   72.0  444.0
2001 255  9 12 0900  -17.4  982.6    9.0  183.0   72.5  444.0
2001 255  9 12 1000  -17.8  982.6    8.0  202.0   72.5  444.0
2001 255  9 12 1100  -19.1  982.3    0.0    0.0   71.2  444.0
2001 255  9 12 1200  444.0  444.0  444.0  444.0  444.0  444.0
2001 255  9 12 1300  -18.2  982.1    0.0    0.0   71.2  444.0
2001 255  9 12 1400  -19.2  982.3    3.0  149.0   70.3  444.0
2001 255  9 12 1500  -19.9  982.7    7.7  195.0   70.3  444.0
2001 255  9 12 1600  -22.0  983.1    0.0    0.0   69.4  444.0
2001 255  9 12 1700  -22.8  983.3    3.7  204.0   69.4  444.0
2001 255  9 12 1800  -23.1  982.7    1.7  127.0   68.5  444.0
2001 255  9 12 1900  -24.6  982.7    1.0  170.0   67.6  444.0
2001 255  9 12 2000  444.0  444.0  444.0  444.0  444.0  444.0
2001 255  9 12 2100  -25.8  982.3    0.0    0.0   67.6  444.0
2001 255  9 12 2200  -28.4  982.0    0.0    0.0   66.8  444.0
2001 255  9 12 2300  -25.2  981.1    0.0    0.0   65.9  444.0
2001 256  9 13 0000  444.0  444.0  444.0  444.0  444.0  444.0
2001 256  9 13 0100  -28.0  979.0    0.7  264.0   67.6  444.0
2001 256  9 13 0200  -24.2  977.2    0.0    0.0   69.0  444.0
2001 256  9 13 0300  -26.6  976.0    0.3   65.0   64.6  444.0
2001 256  9 13 0400  -19.5  973.7   17.6  181.0   71.2  444.0
2001 256  9 13 0500  -20.4  972.2   21.0  183.0   70.3  444.0
2001 256  9 13 0600  -20.2  972.9   24.6  170.0   71.2  444.0
2001 256  9 13 0700  -19.5  972.1   19.0  165.0   71.6  444.0
2001 256  9 13 0800  -20.4  971.9   19.3  145.0   70.7  444.0
2001 256  9 13 0900  -23.2  971.6   20.0  153.0   69.4  444.0
2001 256  9 13 1000  444.0  444.0  444.0  444.0  444.0  444.0
2001 256  9 13 1100  -21.0  971.0   25.6  145.0   70.3  444.0
2001 256  9 13 1200  -19.0  969.4   21.6  158.0   71.6  444.0
2001 256  9 13 1300  -18.4  969.1   25.6  167.0   72.0  444.0
2001 256  9 13 1400  -17.6  968.0   24.0  163.0   72.5  444.0
2001 256  9 13 1500  -16.5  969.1   28.6  160.0   72.5  444.0
2001 256  9 13 1600  -15.4  966.3   18.6  158.0   72.9  444.0
2001 256  9 13 1700  -16.2  966.9   21.6  166.0   73.4  444.0
2001 256  9 13 1800  -15.5  966.7   22.6  152.0   73.4  444.0
2001 256  9 13 1900  -15.4  967.8   25.6  148.0   73.4  444.0
2001 256  9 13 2000  -15.1  967.0   24.6  167.0   73.4  444.0
2001 256  9 13 2100  -15.1  967.1   23.3  160.0   73.8  444.0
2001 256  9 13 2200  -14.4  967.1   20.6  159.0   74.2  444.0
2001 256  9 13 2300  444.0  444.0  444.0  444.0  444.0  444.0
2001 257  9 14 0000  -15.6  967.3   24.6  160.0   73.8  444.0
2001 257  9 14 0100  -16.0  968.6   26.6  162.0   73.8  444.0
2001 257  9 14 0200  -16.0  968.6   22.3  152.0   73.8  444.0
2001 257  9 14 0300  444.0  444.0  444.0  444.0  444.0  444.0
2001 257  9 14 0400  -16.1  970.6   19.6  156.0   73.4  444.0
2001 257  9 14 0500  444.0  444.0  444.0  444.0  444.0  444.0
2001 257  9 14 0600  -16.5  972.0   17.6  179.0   73.4  444.0
2001 257  9 14 0700  -15.9  972.3   11.7  145.0   73.4  444.0
2001 257  9 14 0800  -16.0  972.9   15.0  177.0   73.8  444.0
2001 257  9 14 0900  -16.5  973.8   16.6  169.0   73.4  444.0
2001 257  9 14 1000  -16.5  974.9   19.6  173.0   72.9  444.0
2001 257  9 14 1100  -16.9  974.1   14.3  155.0   72.9  444.0
2001 257  9 14 1200  -14.5  975.0   20.3  152.0   73.8  444.0
2001 257  9 14 1300  -14.5  974.7   17.3  153.0   73.8  444.0
2001 257  9 14 1400  -15.4  973.8   18.0  156.0   73.8  444.0
2001 257  9 14 1500  -15.2  974.6   20.3  166.0   73.4  444.0
2001 257  9 14 1600  -14.4  973.9   19.6  139.0   74.2  444.0
2001 257  9 14 1700  -14.9  972.9   19.0  143.0   73.4  444.0
2001 257  9 14 1800  -14.4  972.0   24.0  149.0   73.8  444.0
2001 257  9 14 1900  -14.4  971.2   24.6  159.0   73.8  444.0
2001 257  9 14 2000  -13.9  971.6   25.0  152.0   74.2  444.0
2001 257  9 14 2100  444.0  444.0  444.0  444.0  444.0  444.0
2001 257  9 14 2200  -13.2  970.3   29.3  146.0   75.1  444.0
2001 257  9 14 2300  -13.1  968.8   27.0  145.0   75.1  444.0
2001 258  9 15 0000  -12.6  967.2   26.3  125.0   75.6  444.0
2001 258  9 15 0100  -12.8  968.2   24.0  135.0   75.6  444.0
2001 258  9 15 0200  -12.1  967.7   22.0  150.0   76.0  444.0
2001 258  9 15 0300  444.0  444.0  444.0  444.0  444.0  444.0
2001 258  9 15 0400  -12.4  967.3   14.7  150.0   76.4  444.0
2001 258  9 15 0500  -12.5  969.5   26.0  136.0   76.0  444.0
2001 258  9 15 0600  -12.6  968.7   18.0  122.0   76.0  444.0
2001 258  9 15 0700  -12.6  969.2   20.0  145.0   76.0  444.0
2001 258  9 15 0800  -13.0  970.5   25.3  150.0   76.4  444.0
2001 258  9 15 0900  -13.1  971.6   27.0  153.0   76.4  444.0
2001 258  9 15 1000  -12.9  971.0   26.3  152.0   76.4  444.0
2001 258  9 15 1100  -12.6  969.7   20.3  141.0   76.4  444.0
2001 258  9 15 1200  -12.6  970.6   22.6  138.0   76.9  444.0
2001 258  9 15 1300  -12.6  970.6   22.0  149.0   76.9  444.0
2001 258  9 15 1400  -12.5  969.2   20.3  156.0   77.3  444.0
2001 258  9 15 1500  -12.6  968.8   18.6  136.0   76.9  444.0
2001 258  9 15 1600  -12.9  968.7   24.0  143.0   76.9  444.0
2001 258  9 15 1700  -12.8  967.4   21.0  145.0   76.9  444.0
2001 258  9 15 1800  -12.6  965.7   17.3  131.0   77.8  444.0
2001 258  9 15 1900  444.0  444.0  444.0  444.0  444.0  444.0
2001 258  9 15 2000  -12.4  967.1   26.6  159.0   77.3  444.0
2001 258  9 15 2100  -11.2  444.0   29.3  143.0   77.8  444.0
2001 258  9 15 2200  -11.8  964.6   22.0  145.0   78.2  444.0
2001 258  9 15 2300  -11.1  963.7   22.0  156.0   78.6  444.0
2001 259  9 16 0000  -10.9  963.2   26.0  143.0   78.6  444.0
2001 259  9 16 0100  444.0  444.0  444.0  444.0  444.0  444.0
2001 259  9 16 0200  -10.6  961.2   22.6  138.0   78.6  444.0
2001 259  9 16 0300  444.0  444.0  444.0  444.0  444.0  444.0
2001 259  9 16 0400  -11.4  959.7   21.0  141.0   78.6  444.0
2001 259  9 16 0500  -11.8  958.3   19.3  139.0   78.2  444.0
2001 259  9 16 0600  -11.8  957.2   21.6  127.0   78.6  444.0
2001 259  9 16 0700  -11.4  956.3   23.0  145.0   78.6  444.0
