Year: 2001  Month: 09  ID: PGS  ARGOS:  8937  Name: Pegasus South       
Lat: 77.99S  Lon: 166.58E  Elev:    5m
2001 244  9  1 0000  -41.0  999.7  444.0  444.0  444.0    1.1
2001 244  9  1 0100  -42.2  999.6  444.0  444.0  444.0    1.2
2001 244  9  1 0200  -41.0  999.7  444.0  444.0  444.0  -12.6
2001 244  9  1 0300  -44.2 1000.2  444.0  444.0  444.0    1.2
2001 244  9  1 0400  -44.0 1000.6  444.0  444.0  444.0  -12.6
2001 244  9  1 0500  -43.0 1001.5  444.0  444.0  444.0  -12.6
2001 244  9  1 0600  -42.1 1001.8  444.0  444.0  444.0  -12.6
2001 244  9  1 0700  -41.1 1001.8  444.0  444.0  444.0  -12.1
2001 244  9  1 0800  -41.9 1002.2  444.0  444.0  444.0    1.2
2001 244  9  1 0900  -41.6 1002.5  444.0  444.0  444.0  -12.6
2001 244  9  1 1000  -39.1 1002.6  444.0  444.0  444.0  -12.6
2001 244  9  1 1100  -39.4 1003.3  444.0  444.0  444.0  -12.6
2001 244  9  1 1200  -37.5 1003.3  444.0  444.0  444.0  -12.6
2001 244  9  1 1300  -36.1 1003.8  444.0  444.0  444.0    1.2
2001 244  9  1 1400  -36.5 1004.0  444.0  444.0  444.0  -12.6
2001 244  9  1 1500  -38.1 1004.5  444.0  444.0  444.0  -12.6
2001 244  9  1 1600  -38.5 1005.0  444.0  444.0  444.0  -12.6
2001 244  9  1 1700  -36.6 1005.3  444.0  444.0  444.0    1.2
2001 244  9  1 1800  -40.4 1005.7  444.0  444.0  444.0  -12.6
2001 244  9  1 1900  -39.9 1006.2  444.0  444.0  444.0  -12.6
2001 244  9  1 2000  -37.6 1006.8  444.0  444.0  444.0    1.2
2001 244  9  1 2100  444.0  444.0  444.0  444.0  444.0  444.0
2001 244  9  1 2200  -41.0 1007.1  444.0  444.0  444.0    1.1
2001 244  9  1 2300  -43.0 1007.1  444.0  444.0  444.0  -12.6
2001 245  9  2 0000  -41.2 1007.2  444.0  444.0  444.0  -12.6
2001 245  9  2 0100  -40.9 1007.6  444.0  444.0  444.0    1.1
2001 245  9  2 0200  444.0  444.0  444.0  444.0  444.0  444.0
