Year: 2001  Month: 09  ID: CDN  ARGOS:  8988  Name: Cape Denison        
Lat: 67.00S  Lon: 142.67E  Elev:   31m
2001 244  9  1 0000  -14.4 1004.7   22.0  163.0   34.6  444.0
2001 244  9  1 0100  -14.2 1005.2   29.3  163.0   34.2  444.0
2001 244  9  1 0200  444.0  444.0  444.0  444.0  444.0  444.0
2001 244  9  1 0300  -13.5 1002.4   22.0  174.0   30.7  444.0
2001 244  9  1 0400  444.0  444.0  444.0  444.0  444.0  444.0
2001 244  9  1 0500  -13.1  998.4   27.3  165.0   36.0  444.0
2001 244  9  1 0600  -11.9  996.7   30.6  159.0   28.9  444.0
2001 244  9  1 0700  -12.4  996.1   29.3  153.0   35.5  444.0
2001 244  9  1 0800  -12.6  995.9   33.0  156.0   35.1  444.0
2001 244  9  1 0900  -12.6  995.1   29.6  156.0   37.3  444.0
2001 244  9  1 1000  -12.4  996.3   30.6  149.0   36.8  444.0
2001 244  9  1 1100  -11.9  993.0   30.3  152.0   45.6  444.0
2001 244  9  1 1200  -12.5  993.2   29.3  170.0   78.6  444.0
2001 244  9  1 1300  -11.8  990.7   30.0  141.0   83.9  444.0
2001 244  9  1 1400  -11.5  988.1   26.6  143.0   90.1  444.0
2001 244  9  1 1500  -11.5  988.9   35.0  156.0   91.8  444.0
2001 244  9  1 1600  -11.4  988.3   31.3  146.0   90.1  444.0
2001 244  9  1 1700  -11.4  987.2   31.0  146.0   91.0  444.0
2001 244  9  1 1800  -11.5  986.1   32.0  152.0   92.3  444.0
2001 244  9  1 1900  444.0  984.9   29.6  148.0   95.4  444.0
2001 244  9  1 2000  -12.4  984.2   42.6  132.0   97.1  444.0
2001 244  9  1 2100  444.0  444.0  444.0  444.0  444.0  444.0
2001 244  9  1 2200  -11.2  983.8   40.6  139.0   98.9  444.0
2001 244  9  1 2300  -10.6  982.4   30.3  131.0   99.3  444.0
2001 245  9  2 0000  -10.2  983.3   35.6  135.0   98.0  444.0
2001 245  9  2 0100  -10.2  983.4   39.0  135.0   92.3  444.0
2001 245  9  2 0200  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 0300  -10.9  981.6   38.3  134.0   96.7  444.0
2001 245  9  2 0400  -10.6  979.8   43.6  138.0   96.7  444.0
2001 245  9  2 0500  -11.2  978.1   44.6  138.0   94.5  444.0
2001 245  9  2 0600  -11.1  974.7   40.3  132.0   99.3  444.0
2001 245  9  2 0700  -10.6  975.8   38.0  138.0   97.1  444.0
2001 245  9  2 0800  -11.4  975.3   31.0  142.0   95.8  444.0
2001 245  9  2 0900  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 1000  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 1100  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 1200  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 1300  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 1500  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 1600  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 1700  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 1800  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 1900  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 2000  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 2100  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 2200  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 2300  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 0000  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 0100  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 0200  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 0300  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 0400  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 0500  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 0600  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 0700  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 0800  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 0900  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 1000  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 1100  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 1200  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 1300  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 1500  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 1600  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 1700  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 1800  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 1900  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 2000  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 2100  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 2200  444.0  444.0  444.0  444.0  444.0  444.0
2001 246  9  3 2300  444.0  444.0  444.0  444.0  444.0  444.0
2001 247  9  4 0000  444.0  444.0  444.0  444.0  444.0  444.0
2001 247  9  4 0100  444.0  444.0  444.0  444.0  444.0  444.0
