Year: 2009  Month: 07  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
2009 185  7  4 1100  -30.1  973.5    9.8  138.0  444.0  444.0
2009 185  7  4 1200  -29.8  973.2   11.3  148.0  444.0  444.0
2009 185  7  4 1300  -29.9  972.1   10.0  139.0  444.0  444.0
2009 185  7  4 1400  -30.9  971.8   12.2  148.0  444.0  444.0
2009 185  7  4 1500  -31.5  971.5   10.0  153.0  444.0  444.0
2009 185  7  4 1600  -31.9  971.1    9.1  145.0  444.0  444.0
2009 185  7  4 1700  -31.6  970.0    9.8  143.0  444.0  444.0
2009 185  7  4 1800  -31.2  970.4    7.1  141.0  444.0  444.0
2009 185  7  4 1900  -31.2  970.5    7.8  148.0  444.0  444.0
2009 185  7  4 2000  -31.1  970.3    7.6  158.0  444.0  444.0
2009 185  7  4 2100  -31.2  970.8    0.0    0.0  444.0  444.0
2009 185  7  4 2200  -31.2  970.2    3.2  176.0  444.0  444.0
2009 185  7  4 2300  -31.4  970.7    1.7  292.0  444.0  444.0
2009 186  7  5 0000  -29.5  970.3    0.7  278.0  444.0  444.0
2009 186  7  5 0100  -26.6  969.6    2.5  252.0  444.0  444.0
2009 186  7  5 0200  -26.6  968.4    4.4  315.0  444.0  444.0
2009 186  7  5 0300  -24.9  967.4    1.0  236.0  444.0  444.0
2009 186  7  5 0400  -25.4  966.8    0.0    0.0  444.0  444.0
2009 186  7  5 0500  -23.2  966.7    4.7  194.0  444.0  444.0
2009 186  7  5 0600  -23.0  967.1    1.7  218.0  444.0  444.0
2009 186  7  5 0700  -20.5  966.9    3.7  242.0  444.0  444.0
2009 186  7  5 0800  -23.6  967.5    2.9  167.0  444.0  444.0
2009 186  7  5 0900  -22.1  968.5    3.7  233.0  444.0  444.0
2009 186  7  5 1000  -23.6  970.0    4.4  187.0  444.0  444.0
2009 186  7  5 1100  -26.2  971.7    4.2  129.0  444.0  444.0
2009 186  7  5 1200  -26.2  972.5    5.1  160.0  444.0  444.0
2009 186  7  5 1300  -25.8  972.9    3.7  187.0  444.0  444.0
2009 186  7  5 1400  -25.5  972.5    3.7  229.0  444.0  444.0
2009 186  7  5 1500  -25.8  972.6    3.7  245.0  444.0  444.0
2009 186  7  5 1600  -26.0  972.5    5.1  273.0  444.0  444.0
2009 186  7  5 1700  -24.2  972.4    1.7  294.0  444.0  444.0
2009 186  7  5 1800  -24.0  973.0    0.0    0.0  444.0  444.0
2009 186  7  5 1900  -23.8  972.9    1.0  271.0  444.0  444.0
