Year: 2009  Month: 09  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.51S  Lon: 170.81E  Elev:   37m
2009 244  9  1 0000  -37.1 1001.8    9.0  226.0   71.6  444.0
2009 244  9  1 0100  -37.1 1002.1    7.4  231.0   71.2  444.0
2009 244  9  1 0200  -36.2 1002.4   11.1  207.0   72.0  444.0
2009 244  9  1 0300  -37.1 1002.2    7.2  184.0   71.2  444.0
2009 244  9  1 0400  -36.8 1002.5    8.4  193.0   72.0  444.0
2009 244  9  1 0500  -35.8 1003.1    9.4  202.0   73.4  444.0
2009 244  9  1 0600  -35.5 1003.1    9.4  181.0   73.4  444.0
2009 244  9  1 0700  -35.5 1003.1    8.6  200.0   73.4  444.0
2009 244  9  1 0800  -37.0 1003.4    7.2  193.0   71.6  444.0
2009 244  9  1 0900  -36.4 1003.4    9.0  193.0   72.9  444.0
2009 244  9  1 1000  -36.8 1003.1    9.2  198.0   71.6  444.0
2009 244  9  1 1100  -38.5 1003.0    7.4  170.0   69.8  444.0
2009 244  9  1 1200  -38.9 1002.8   10.5  176.0   69.0  444.0
2009 244  9  1 1300  -38.6 1003.0   11.1  187.0   69.8  444.0
2009 244  9  1 1400  -38.8 1002.8    9.2  195.0   69.4  444.0
2009 244  9  1 1500  -38.2 1002.5    8.0  222.0   70.3  444.0
2009 244  9  1 1600  -38.6 1002.0   13.8  209.0   69.8  444.0
2009 244  9  1 1700  -39.2 1002.1   11.5  200.0   69.4  444.0
2009 244  9  1 1800  -40.8 1002.1    9.9  190.0   67.2  444.0
2009 244  9  1 1900  -42.4 1002.7    9.8  190.0   65.9  444.0
2009 244  9  1 2000  -43.9 1001.8   11.5  207.0   63.7  444.0
2009 244  9  1 2100  -44.2 1001.9   10.7  219.0   63.7  444.0
2009 244  9  1 2200  -44.1 1001.8   10.7  222.0   63.7  444.0
2009 244  9  1 2300  -44.6 1001.8   11.5  224.0   62.8  444.0
2009 245  9  2 0000  -45.0 1001.8   13.6  229.0   62.4  444.0
2009 245  9  2 0100  -44.2 1001.4   10.5  226.0   62.8  444.0
2009 245  9  2 0200  -45.0 1001.8   13.5  218.0   61.9  444.0
2009 245  9  2 0300  -46.9 1001.9   12.7  225.0   60.2  444.0
2009 245  9  2 0400  -48.8 1001.7   11.9  211.0   57.5  444.0
2009 245  9  2 0500  -49.2 1001.8   13.3  218.0   57.5  444.0
2009 245  9  2 0600  -49.0 1001.9   14.4  212.0   57.1  444.0
2009 245  9  2 0700  -48.8 1002.0   10.5  209.0   57.5  444.0
2009 245  9  2 0800  -48.9 1002.3   10.3  211.0   57.1  444.0
2009 245  9  2 0900  -48.6 1002.6   10.3  201.0   57.1  444.0
2009 245  9  2 1000  -48.0 1002.0   13.1  202.0   58.0  444.0
2009 245  9  2 1100  -48.0 1002.1    9.8  188.0   58.0  444.0
2009 245  9  2 1200  -48.6 1001.5   12.9  191.0   57.1  444.0
2009 245  9  2 1300  -49.4 1001.2   14.2  188.0   56.2  444.0
2009 245  9  2 1400  -49.5 1000.9   12.9  190.0   56.2  444.0
2009 245  9  2 1500  -50.4 1001.1   12.7  186.0   55.3  444.0
2009 245  9  2 1600  -51.0 1001.3    8.8  208.0   54.4  444.0
2009 245  9  2 1700  -50.8 1001.2    9.8  218.0   54.4  444.0
2009 245  9  2 1800  -50.8 1001.4    8.6  209.0   54.4  444.0
2009 245  9  2 1900  -50.4 1001.5    7.8  201.0   54.9  444.0
2009 245  9  2 2000  -49.9 1001.2    7.6  212.0   55.3  444.0
2009 245  9  2 2100  -49.9 1001.5    9.0  221.0   55.8  444.0
2009 245  9  2 2200  -50.0 1001.0    8.0  218.0   55.8  444.0
2009 245  9  2 2300  -49.5 1001.3    8.0  221.0   56.2  444.0
2009 246  9  3 0000  -48.9 1001.1    7.8  204.0   56.6  444.0
2009 246  9  3 0100  -49.4 1001.1    6.8  204.0   56.2  444.0
2009 246  9  3 0200  -49.2 1001.3    7.8  219.0   56.6  444.0
2009 246  9  3 0300  -49.0 1001.0    7.8  226.0   56.2  444.0
2009 246  9  3 0400  -48.5 1000.5    8.2  232.0   57.1  444.0
2009 246  9  3 0500  -48.0 1000.6    4.9  207.0   61.0  444.0
2009 246  9  3 0600  -48.1 1000.2    5.1  198.0   57.1  444.0
2009 246  9  3 0700  -48.1  999.8    4.1  212.0   57.5  444.0
2009 246  9  3 0800  -46.9  999.2    4.5  221.0   58.8  444.0
2009 246  9  3 0900  -46.6  999.1    4.1  208.0   58.8  444.0
2009 246  9  3 1000  -45.6  999.0    5.1  225.0   59.7  444.0
2009 246  9  3 1100  -45.1  998.5    4.1  209.0   59.7  444.0
2009 246  9  3 1200  -44.0  998.0    5.7  219.0   61.0  444.0
2009 246  9  3 1300  -44.9  997.8    4.7  207.0   59.7  444.0
2009 246  9  3 1400  -44.0  997.6    5.3  207.0   60.6  444.0
2009 246  9  3 1500  -41.9  997.7    6.0  195.0   62.4  444.0
2009 246  9  3 1600  -41.4  997.6    7.8  184.0   63.2  444.0
2009 246  9  3 1700  -43.5  997.0    6.0  212.0   61.0  444.0
2009 246  9  3 1800  -42.9  997.0    5.5  183.0   60.6  444.0
