Year: 2004  Month: 02  ID: PGS  ARGOS:  8937  Name: Pegasus South       
Lat: 77.99S  Lon: 166.57E  Elev:    5m
2004  35  2  4 1200  -13.4  996.7    2.5   82.0  444.0  444.0
2004  35  2  4 1300  -12.9  996.7    1.5   65.0  444.0  444.0
2004  35  2  4 1400  -12.4  996.6    2.0   87.0  444.0  444.0
2004  35  2  4 1500  -12.5  996.9    1.5  101.0  444.0  444.0
2004  35  2  4 1600  -12.4  997.1    1.8  110.0  444.0  444.0
2004  35  2  4 1700  -12.4  997.6    2.0  139.0  444.0  444.0
2004  35  2  4 1800  -10.6  997.8    2.3  125.0  444.0  444.0
2004  35  2  4 1900  -10.6  998.5    1.8   82.0  444.0  444.0
2004  35  2  4 2000  -10.6  999.0    3.0   53.0  444.0  444.0
2004  35  2  4 2100  -10.1  999.5    2.5   66.0  444.0  444.0
2004  35  2  4 2200   -9.6 1000.0    3.0   39.0  444.0  444.0
2004  35  2  4 2300   -8.9 1000.4    3.6   49.0  444.0  444.0
2004  36  2  5 0000   -9.0 1000.9    3.0   56.0  444.0  444.0
2004  36  2  5 0100   -9.8 1001.2    2.8   66.0  444.0  444.0
2004  36  2  5 0200   -9.2 1001.7    2.8   80.0  444.0  444.0
2004  36  2  5 0300   -8.4 1002.1    2.5   86.0  444.0  444.0
2004  36  2  5 0400   -8.1 1002.6    4.1   59.0  444.0  444.0
2004  36  2  5 0500   -8.2 1002.8    3.0   69.0  444.0  444.0
2004  36  2  5 0600   -8.4 1003.3    1.8   55.0  444.0  444.0
2004  36  2  5 0700  -10.6 1003.6    1.8   49.0  444.0  444.0
2004  36  2  5 0800  -12.4 1004.0    3.3   52.0  444.0  444.0
2004  36  2  5 0900  -13.1 1004.5    2.5   60.0  444.0  444.0
2004  36  2  5 1000  -14.5 1004.8    3.0   45.0  444.0  444.0
2004  36  2  5 1100  -15.9 1005.1    3.3   56.0  444.0  444.0
2004  36  2  5 1200  -17.1 1005.7    2.0   66.0  444.0  444.0
2004  36  2  5 1300  -17.2 1006.1    0.0    0.0  444.0  444.0
2004  36  2  5 1400  -18.5 1006.4    2.0   77.0  444.0  444.0
2004  36  2  5 1500  -19.1 1006.5    2.3   79.0  444.0  444.0
2004  36  2  5 1600  -19.1 1006.6    1.8   70.0  444.0  444.0
2004  36  2  5 1700  -17.9 1006.9    2.3   59.0  444.0  444.0
2004  36  2  5 1800  -17.2 1007.3    2.3   51.0  444.0  444.0
2004  36  2  5 1900  -18.1 1007.4    2.0   69.0  444.0  444.0
2004  36  2  5 2000  -15.9 1007.8    2.8   58.0  444.0  444.0
2004  36  2  5 2100  -16.8 1008.1    2.0   46.0  444.0  444.0
2004  36  2  5 2200  -14.8 1008.3    2.8   37.0  444.0  444.0
2004  36  2  5 2300  -13.1 1008.4    1.5   37.0  444.0  444.0
2004  37  2  6 0000  444.0 1008.4    0.0    0.0  444.0  444.0
2004  37  2  6 0100  -12.0 1008.1    2.5   34.0  444.0  444.0
2004  37  2  6 0200  -11.9 1007.9    3.0   56.0  444.0  444.0
