Year: 2004  Month: 02  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.83W  Elev:   10m
2004  35  2  4 1400    2.0  988.7    2.8   69.0   82.4  444.0
2004  35  2  4 1500    1.4  444.0  444.0  444.0  444.0  444.0
2004  35  2  4 1600  444.0  444.0  444.0  444.0  444.0  444.0
2004  35  2  4 1700    1.4  444.0    4.4   70.0   86.5  444.0
2004  35  2  4 1800  444.0  444.0  444.0  444.0  444.0  444.0
2004  35  2  4 1900    0.5  444.0    4.4   69.0   89.0  444.0
2004  35  2  4 2000  444.0  444.0  444.0  444.0  444.0  444.0
2004  35  2  4 2100    1.1  991.5    9.5   57.0   93.8  444.0
2004  35  2  4 2200  444.0  444.0  444.0  444.0  444.0  444.0
2004  35  2  4 2300    0.7  992.2    5.9   55.0   94.8  444.0
2004  36  2  5 0000    0.6  444.0  444.0  444.0   94.7  444.0
2004  36  2  5 0100  444.0  444.0  444.0  444.0  444.0  444.0
2004  36  2  5 0200    0.4  992.8    6.3   55.0   94.5  444.0
2004  36  2  5 0300    0.3  444.0    4.0   55.0   94.6  444.0
2004  36  2  5 0400    0.4  992.2    1.3   57.0   94.4  444.0
2004  36  2  5 0500  444.0  444.0    0.3  124.0  444.0  444.0
2004  36  2  5 0600  444.0  444.0  444.0  444.0  444.0  444.0
2004  36  2  5 0700    1.4  989.4    9.5   69.0   93.6  444.0
2004  36  2  5 0800    1.5  444.0    7.5   75.0   93.1  444.0
2004  36  2  5 0900    0.9  987.3    8.2  111.0   92.3  444.0
2004  36  2  5 1000    0.9  986.6    7.4  100.0   92.3  444.0
2004  36  2  5 1100    1.4  985.3    6.5  115.0   92.0  444.0
2004  36  2  5 1200    1.4  983.9    7.2  112.0   91.6  444.0
2004  36  2  5 1300    1.4  444.0    6.6  115.0   90.5  444.0
2004  36  2  5 1400  444.0  444.0  444.0  444.0  444.0  444.0
2004  36  2  5 1500    1.4  981.1    8.8   75.0   89.8  444.0
2004  36  2  5 1600    2.5  979.7   10.8   78.0   87.3  444.0
2004  36  2  5 1700    2.4  444.0    9.7   96.0   86.7  444.0
2004  36  2  5 1800  444.0  444.0  444.0  444.0  444.0  444.0
2004  36  2  5 1900    2.6  980.4   13.1   86.0   85.1  444.0
2004  36  2  5 2000  444.0  444.0  444.0  444.0  444.0  444.0
2004  36  2  5 2100    2.3  981.8   11.0   74.0   83.4  444.0
2004  36  2  5 2200    2.3  444.0    9.9   74.0   83.1  444.0
2004  36  2  5 2300  444.0  444.0  444.0  444.0  444.0  444.0
2004  37  2  6 0000    2.2  985.3   11.1   74.0   82.1  444.0
2004  37  2  6 0100  444.0  444.0  444.0  444.0  444.0  444.0
