Year: 2004  Month: 10  ID: PGS  ARGOS:  8937  Name: Pegasus South       
Lat: 77.99S  Lon: 166.57E  Elev:    5m
2004 275 10  1 0000  -40.4 1003.6  444.0  444.0  444.0  444.0
2004 275 10  1 0100  -40.6 1003.6  444.0  444.0  444.0  444.0
2004 275 10  1 0200  -41.6 1003.8  444.0  444.0  444.0  444.0
2004 275 10  1 0300  444.0  444.0  444.0  444.0  444.0  444.0
2004 275 10  1 0400  -41.6 1004.2  444.0  444.0  444.0  444.0
2004 275 10  1 0500  -41.6 1004.6  444.0  444.0  444.0  444.0
2004 275 10  1 0600  -41.4 1004.6  444.0  444.0  444.0  444.0
2004 275 10  1 0700  -41.4 1005.1  444.0  444.0  444.0  444.0
2004 275 10  1 0800  -42.6 1005.7  444.0  444.0  444.0  444.0
2004 275 10  1 0900  -42.9 1005.8  444.0  444.0  444.0  444.0
2004 275 10  1 1000  -43.0 1005.8  444.0  444.0  444.0  444.0
2004 275 10  1 1100  -43.4 1005.9  444.0  444.0  444.0  444.0
2004 275 10  1 1200  -43.2 1006.0  444.0  444.0  444.0  444.0
2004 275 10  1 1300  -43.9 1006.0  444.0  444.0  444.0  444.0
2004 275 10  1 1400  -44.0 1005.8  444.0  444.0  444.0  444.0
2004 275 10  1 1500  -44.8 1006.0  444.0  444.0  444.0  444.0
2004 275 10  1 1600  -44.9 1005.9  444.0  444.0  444.0  444.0
2004 275 10  1 1700  -45.4 1006.0  444.0  444.0  444.0  444.0
2004 275 10  1 1800  -45.2 1006.4  444.0  444.0  444.0  444.0
2004 275 10  1 1900  -44.6 1006.3  444.0  444.0  444.0  444.0
2004 275 10  1 2000  -43.5 1006.4  444.0  444.0  444.0  444.0
2004 275 10  1 2100  -43.9 1006.1  444.0  444.0  444.0  444.0
2004 275 10  1 2200  -44.1 1005.5  444.0  444.0  444.0  444.0
2004 275 10  1 2300  -42.9 1005.6  444.0  444.0  444.0  444.0
2004 276 10  2 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004 276 10  2 0100  -41.5 1004.4  444.0  444.0  444.0  444.0
2004 276 10  2 0200  -40.9 1004.3  444.0  444.0  444.0  444.0
2004 276 10  2 0300  -40.4 1003.7  444.0  444.0  444.0  444.0
2004 276 10  2 0400  -38.0 1003.5  444.0  444.0  444.0  444.0
2004 276 10  2 0500  -38.8 1003.2  444.0  444.0  444.0  444.0
2004 276 10  2 0600  -39.5 1003.1  444.0  444.0  444.0  444.0
2004 276 10  2 0700  -41.8 1002.6  444.0  444.0  444.0  444.0
2004 276 10  2 0800  -41.4 1002.4  444.0  444.0  444.0  444.0
2004 276 10  2 0900  -43.1 1002.1  444.0  444.0  444.0  444.0
2004 276 10  2 1000  -42.5 1002.0  444.0  444.0  444.0  444.0
2004 276 10  2 1100  -41.8 1002.1  444.0  444.0  444.0  444.0
2004 276 10  2 1200  -40.6 1002.0  444.0  444.0  444.0  444.0
2004 276 10  2 1300  -40.9 1002.0  444.0  444.0  444.0  444.0
2004 276 10  2 1400  -40.4 1001.8  444.0  444.0  444.0  444.0
2004 276 10  2 1500  -39.9 1001.5  444.0  444.0  444.0  444.0
2004 276 10  2 1600  -40.1 1001.2  444.0  444.0  444.0  444.0
2004 276 10  2 1700  -37.8 1001.1  444.0  444.0  444.0  444.0
2004 276 10  2 1800  -39.0 1001.0  444.0  444.0  444.0  444.0
2004 276 10  2 1900  -39.1 1000.9  444.0  444.0  444.0  444.0
2004 276 10  2 2000  -38.8 1000.3  444.0  444.0  444.0  444.0
2004 276 10  2 2100  -38.2 1000.0  444.0  444.0  444.0  444.0
2004 276 10  2 2200  -37.5  999.8  444.0  444.0  444.0  444.0
2004 276 10  2 2300  -36.2  999.5  444.0  444.0  444.0  444.0
2004 277 10  3 0000  -37.5  999.3  444.0  444.0  444.0  444.0
2004 277 10  3 0100  444.0  444.0  444.0  444.0  444.0  444.0
2004 277 10  3 0200  -36.5  998.4  444.0  444.0  444.0  444.0
2004 277 10  3 0300  -35.9  998.2  444.0  444.0  444.0  444.0
2004 277 10  3 0400  -36.2  997.8  444.0  444.0  444.0  444.0
2004 277 10  3 0500  -36.0  997.3  444.0  444.0  444.0  444.0
2004 277 10  3 0600  -34.5  997.1  444.0  444.0  444.0  444.0
2004 277 10  3 0700  -35.0  997.2  444.0  444.0  444.0  444.0
2004 277 10  3 0800  -35.6  997.2  444.0  444.0  444.0  444.0
2004 277 10  3 0900  -37.8  997.4  444.0  444.0  444.0  444.0
2004 277 10  3 1000  -36.2  997.4  444.0  444.0  444.0  444.0
2004 277 10  3 1100  -36.8  997.0  444.0  444.0  444.0  444.0
2004 277 10  3 1200  -38.2  996.9  444.0  444.0  444.0  444.0
2004 277 10  3 1300  -38.1  996.6  444.0  444.0  444.0  444.0
2004 277 10  3 1400  -36.9  996.4  444.0  444.0  444.0  444.0
2004 277 10  3 1500  -40.1  996.0  444.0  444.0  444.0  444.0
2004 277 10  3 1600  -41.6  996.3  444.0  444.0  444.0  444.0
2004 277 10  3 1700  -40.1  996.2  444.0  444.0  444.0  444.0
2004 277 10  3 1800  -40.9  996.1  444.0  444.0  444.0  444.0
2004 277 10  3 1900  -41.9  995.9  444.0  444.0  444.0  444.0
2004 277 10  3 2000  -41.2  995.8  444.0  444.0  444.0  444.0
2004 277 10  3 2100  -40.0  995.6  444.0  444.0  444.0  444.0
2004 277 10  3 2200  -39.4  995.5  444.0  444.0  444.0  444.0
2004 277 10  3 2300  444.0  444.0  444.0  444.0  444.0  444.0
2004 278 10  4 0000  -39.2  995.5  444.0  444.0  444.0  444.0
2004 278 10  4 0100  -37.8  995.0  444.0  444.0  444.0  444.0
2004 278 10  4 0200  -35.2  994.9  444.0  444.0  444.0  444.0
2004 278 10  4 0300  -33.9  994.4  444.0  444.0  444.0  444.0
2004 278 10  4 0400  444.0  444.0  444.0  444.0  444.0  444.0
2004 278 10  4 0500  -36.2  994.2  444.0  444.0  444.0  444.0
2004 278 10  4 0600  -35.4  993.9  444.0  444.0  444.0  444.0
2004 278 10  4 0700  444.0  993.5  444.0  444.0  444.0  444.0
2004 278 10  4 0800  -41.9  993.0  444.0  444.0  444.0  444.0
2004 278 10  4 0900  -42.9  993.0  444.0  444.0  444.0  444.0
2004 278 10  4 1000  -43.2  992.8  444.0  444.0  444.0  444.0
2004 278 10  4 1100  -44.1  992.7  444.0  444.0  444.0  444.0
2004 278 10  4 1200  -44.5  992.5  444.0  444.0  444.0  444.0
2004 278 10  4 1300  -43.0  992.4  444.0  444.0  444.0  444.0
2004 278 10  4 1400  -40.0  992.4  444.0  444.0  444.0  444.0
2004 278 10  4 1500  -41.8  992.6  444.0  444.0  444.0  444.0
2004 278 10  4 1600  444.0  444.0  444.0  444.0  444.0  444.0
2004 278 10  4 1700  -40.9  993.1  444.0  444.0  444.0  444.0
2004 278 10  4 1800  -37.6  993.3  444.0  444.0  444.0  444.0
2004 278 10  4 1900  -37.8  993.4  444.0  444.0  444.0  444.0
2004 278 10  4 2000  -37.0  993.5  444.0  444.0  444.0  444.0
2004 278 10  4 2100  444.0  444.0  444.0  444.0  444.0  444.0
2004 278 10  4 2200  -32.6  993.8  444.0  444.0  444.0  444.0
2004 278 10  4 2300  -32.6  993.0  444.0  444.0  444.0  444.0
2004 279 10  5 0000  -31.8  993.3  444.0  444.0  444.0  444.0
2004 279 10  5 0100  -31.0  993.0  444.0  444.0  444.0  444.0
2004 279 10  5 0200  444.0  444.0  444.0  444.0  444.0  444.0
2004 279 10  5 0300  -29.2  992.9  444.0  444.0  444.0  444.0
2004 279 10  5 0400  -28.1  992.7  444.0  444.0  444.0  444.0
2004 279 10  5 0500  -27.2  992.9  444.0  444.0  444.0  444.0
2004 279 10  5 0600  -25.5  992.8  444.0  444.0  444.0  444.0
2004 279 10  5 0700  -26.0  993.0  444.0  444.0  444.0  444.0
2004 279 10  5 0800  -23.5  993.4  444.0  444.0  444.0  444.0
2004 279 10  5 0900  444.0  444.0  444.0  444.0  444.0  444.0
2004 279 10  5 1000  444.0  994.1  444.0  444.0  444.0  444.0
2004 279 10  5 1100  -12.8  994.8  444.0  444.0  444.0  444.0
2004 279 10  5 1200  -16.1  995.5  444.0  444.0  444.0  444.0
2004 279 10  5 1300  -17.1  997.0  444.0  444.0  444.0  444.0
2004 279 10  5 1400  444.0  444.0  444.0  444.0  444.0  444.0
2004 279 10  5 1500  -18.8  997.9  444.0  444.0  444.0  444.0
2004 279 10  5 1600  -21.0  998.2  444.0  444.0  444.0  444.0
2004 279 10  5 1700  -22.2  998.6  444.0  444.0  444.0  444.0
2004 279 10  5 1800  -23.1  998.5  444.0  444.0  444.0  444.0
2004 279 10  5 1900  444.0  444.0  444.0  444.0  444.0  444.0
2004 279 10  5 2000  -21.9  998.5  444.0  444.0  444.0  444.0
2004 279 10  5 2100  -22.6  998.8  444.0  444.0  444.0  444.0
2004 279 10  5 2200  444.0  998.8  444.0  444.0  444.0  444.0
2004 279 10  5 2300  -19.6  998.7  444.0  444.0  444.0  444.0
2004 280 10  6 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004 280 10  6 0100  -23.5  999.2  444.0  444.0  444.0  444.0
2004 280 10  6 0200  -23.9  998.6  444.0  444.0  444.0  444.0
2004 280 10  6 0300  -19.6  998.2  444.0  444.0  444.0  444.0
2004 280 10  6 0400  444.0  998.1  444.0  444.0  444.0  444.0
2004 280 10  6 0500  444.0  997.4  444.0  444.0  444.0  444.0
2004 280 10  6 0600  444.0  997.3  444.0  444.0  444.0  444.0
2004 280 10  6 0700  -22.6  996.3  444.0  444.0  444.0  444.0
2004 280 10  6 0800  -25.9  996.2  444.0  444.0  444.0  444.0
2004 280 10  6 0900  -24.2  995.8  444.0  444.0  444.0  444.0
2004 280 10  6 1000  -27.2  995.2  444.0  444.0  444.0  444.0
2004 280 10  6 1100  -28.8  994.5  444.0  444.0  444.0  444.0
2004 280 10  6 1200  444.0  444.0  444.0  444.0  444.0  444.0
2004 280 10  6 1300  -31.6  992.5  444.0  444.0  444.0  444.0
2004 280 10  6 1400  -30.6  991.1  444.0  444.0  444.0  444.0
2004 280 10  6 1500  444.0  990.2  444.0  444.0  444.0  444.0
2004 280 10  6 1600  -33.9  989.2  444.0  444.0  444.0  444.0
2004 280 10  6 1700  444.0  444.0  444.0  444.0  444.0  444.0
2004 280 10  6 1800  -36.9  987.8  444.0  444.0  444.0  444.0
2004 280 10  6 1900  -31.8  986.9  444.0  444.0  444.0  444.0
2004 280 10  6 2000  -28.1  986.3  444.0  444.0  444.0  444.0
2004 280 10  6 2100  -28.6  986.1  444.0  444.0  444.0  444.0
2004 280 10  6 2200  -29.4  986.7  444.0  444.0  444.0  444.0
2004 280 10  6 2300  -28.5  986.1  444.0  444.0  444.0  444.0
2004 281 10  7 0000  -28.5  986.2  444.0  444.0  444.0  444.0
2004 281 10  7 0100  -27.0  985.3  444.0  444.0  444.0  444.0
2004 281 10  7 0200  -23.4  984.6  444.0  444.0  444.0  444.0
2004 281 10  7 0300  -23.2  984.1  444.0  444.0  444.0  444.0
2004 281 10  7 0400  -20.2  983.4  444.0  444.0  444.0  444.0
2004 281 10  7 0500  -19.8  983.9  444.0  444.0  444.0  444.0
2004 281 10  7 0600  -21.0  983.3  444.0  444.0  444.0  444.0
2004 281 10  7 0700  -21.4  983.9  444.0  444.0  444.0  444.0
2004 281 10  7 0800  -21.4  983.6  444.0  444.0  444.0  444.0
2004 281 10  7 0900  -21.6  983.5  444.0  444.0  444.0  444.0
2004 281 10  7 1000  444.0  444.0  444.0  444.0  444.0  444.0
2004 281 10  7 1100  -22.9  984.8  444.0  444.0  444.0  444.0
2004 281 10  7 1200  -21.9  985.0  444.0  444.0  444.0  444.0
2004 281 10  7 1300  -24.5  985.5  444.0  444.0  444.0  444.0
2004 281 10  7 1400  -25.6  986.3  444.0  444.0  444.0  444.0
2004 281 10  7 1500  444.0  444.0  444.0  444.0  444.0  444.0
2004 281 10  7 1600  -30.0  986.7  444.0  444.0  444.0  444.0
2004 281 10  7 1700  -29.4  987.5  444.0  444.0  444.0  444.0
2004 281 10  7 1800  -26.4  987.9  444.0  444.0  444.0  444.0
2004 281 10  7 1900  -26.8  988.2  444.0  444.0  444.0  444.0
2004 281 10  7 2000  444.0  444.0  444.0  444.0  444.0  444.0
2004 281 10  7 2100  -22.1  989.5  444.0  444.0  444.0  444.0
2004 281 10  7 2200  -22.8  989.3  444.0  444.0  444.0  444.0
2004 281 10  7 2300  -25.2  990.1  444.0  444.0  444.0  444.0
2004 282 10  8 0000  -22.6  990.0  444.0  444.0  444.0  444.0
2004 282 10  8 0100  -20.0  989.9  444.0  444.0  444.0  444.0
2004 282 10  8 0200  -20.6  990.0  444.0  444.0  444.0  444.0
2004 282 10  8 0300  -20.0  989.9  444.0  444.0  444.0  444.0
2004 282 10  8 0400  -23.9  990.0  444.0  444.0  444.0  444.0
2004 282 10  8 0500  -24.4  990.6  444.0  444.0  444.0  444.0
2004 282 10  8 0600  -24.9  990.2  444.0  444.0  444.0  444.0
2004 282 10  8 0700  -26.1  990.1  444.0  444.0  444.0  444.0
2004 282 10  8 0800  -27.0  989.7  444.0  444.0  444.0  444.0
2004 282 10  8 0900  -25.9  989.3  444.0  444.0  444.0  444.0
2004 282 10  8 1000  -24.6  989.1  444.0  444.0  444.0  444.0
2004 282 10  8 1100  -26.0  988.8  444.0  444.0  444.0  444.0
2004 282 10  8 1200  -24.0  988.1  444.0  444.0  444.0  444.0
2004 282 10  8 1300  -24.0  988.5  444.0  444.0  444.0  444.0
2004 282 10  8 1400  -16.8  987.6  444.0  444.0  444.0  444.0
2004 282 10  8 1500  -15.1  988.1  444.0  444.0  444.0  444.0
2004 282 10  8 1600  -14.8  987.4  444.0  444.0  444.0  444.0
2004 282 10  8 1700  -14.4  987.5  444.0  444.0  444.0  444.0
2004 282 10  8 1800  444.0  444.0  444.0  444.0  444.0  444.0
2004 282 10  8 1900  -15.2  989.3  444.0  444.0  444.0  444.0
2004 282 10  8 2000  -17.1  990.3  444.0  444.0  444.0  444.0
