Year: 2011  Month: 11  ID: WDB  ARGOS:  8982  Name: Windless Bight      
Lat: 77.73S  Lon: 167.70E  Elev:   40m
2011 305 11  1 0000  -11.7  984.1    5.2  119.0   60.0  444.0
2011 305 11  1 0100  -11.5  985.5    8.7  170.0   58.0  444.0
2011 305 11  1 0200  -12.1  984.3    6.8   37.0   73.3  444.0
2011 305 11  1 0300   -9.3  984.4    3.2  313.0   50.0  444.0
2011 305 11  1 0400  -11.1  985.2    4.0   61.0   64.0  444.0
2011 305 11  1 0500  -10.9  985.1    3.8   75.0   62.0  444.0
2011 305 11  1 0600  -10.4  985.7    1.8  220.0   55.0  444.0
2011 305 11  1 0700  -11.1  986.0    2.4   52.0   51.4  444.0
2011 305 11  1 0800  -13.4  986.7    4.2  351.0   65.0  444.0
2011 305 11  1 0900  -11.8  986.4    2.4  333.0   56.3  444.0
2011 305 11  1 1000  -12.2  986.7    8.4  346.0   49.0  444.0
2011 305 11  1 1100  -12.9  986.8    4.9   18.0   47.0  444.0
2011 305 11  1 1200  -12.9  987.0    3.0   17.0   46.0  444.0
2011 305 11  1 1300  -14.7  987.0    2.4    7.0   43.0  444.0
2011 305 11  1 1400  -15.1  986.7    3.0    9.0   45.4  444.0
2011 305 11  1 1500   -9.6  986.4    4.0   18.0   33.0  444.0
2011 305 11  1 1600   -8.7  986.2    1.6  251.0   26.0  444.0
2011 305 11  1 1700   -9.8  986.7    2.3  102.0   31.4  444.0
2011 305 11  1 1800  -15.5  987.4    3.5   43.0   51.1  444.0
2011 305 11  1 1900  -13.9  987.7    3.5  347.0   39.7  444.0
2011 305 11  1 2000   -9.9  988.0    2.3   87.0   24.0  444.0
2011 305 11  1 2100   -6.5  988.3    1.4  341.0   15.0  444.0
2011 305 11  1 2200   -9.8  989.4    4.6  159.0   28.0  444.0
2011 305 11  1 2300   -9.3  990.1    2.7   40.0   32.0  444.0
2011 306 11  2 0000   -8.7  989.6    3.9   76.0   20.7  444.0
2011 306 11  2 0100   -8.8  989.6    4.1   83.0   19.0  444.0
2011 306 11  2 0200   -8.6  990.4    3.9  214.0   20.6  444.0
2011 306 11  2 0300  -10.4  990.7    3.0  190.0   28.0  444.0
2011 306 11  2 0400   -8.5  991.5    2.2  286.0   26.0  444.0
2011 306 11  2 0500  -10.6  992.6    1.4   56.0   35.0  444.0
2011 306 11  2 0600  -13.5  993.5    2.9  325.0   49.0  444.0
2011 306 11  2 0700  -10.0  993.7    1.7   25.0   33.7  444.0
2011 306 11  2 0800  -11.6  994.4    1.4  276.0   37.0  444.0
