Year: 2011  Month: 09  ID: BPT  ARGOS:  8921  Name: Bonaparte Point     
Lat: 64.78S  Lon:  64.07W  Elev:    8m
2011 244  9  1 0000    1.9 1011.5    1.7  147.0   68.0  444.0
2011 244  9  1 0100    0.3 1010.6    3.8   68.0   66.0  444.0
2011 244  9  1 0200   -0.6 1007.8    3.1  132.0   53.0  444.0
2011 244  9  1 0300   -1.2 1003.0    0.4  104.0   73.6  444.0
2011 244  9  1 0400   -0.2 1004.6    2.7   93.0   67.0  444.0
2011 244  9  1 0500   -0.1 1002.5    6.0  104.0   73.7  444.0
2011 244  9  1 0600    0.0 1001.0    3.4  110.0   73.6  444.0
2011 244  9  1 0700    1.9 1001.5   16.5   40.0   70.0  444.0
2011 244  9  1 0800  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 0900  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 1000  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 1100  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 1200    0.9  993.7    5.8  106.0   76.2  444.0
2011 244  9  1 1300  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 1400  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 1500  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 1600  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 1700  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 1800  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 1900  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 2000    2.7  444.0   18.1   24.0  444.0  444.0
2011 244  9  1 2100  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 2200  444.0  444.0  444.0  444.0  444.0  444.0
2011 244  9  1 2300  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 0000    3.8  444.0    4.1  101.0  444.0  444.0
2011 245  9  2 0100  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 0200    3.4  992.2   10.4   30.0   79.9  444.0
2011 245  9  2 0300    2.3  988.9    8.9   59.0   81.3  444.0
2011 245  9  2 0400  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 0500  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 0600  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 0700  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 0800  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 0900  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 1000  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 1100    0.5  982.9    3.5  330.0  444.0  444.0
2011 245  9  2 1200  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 1300   -0.8  444.0    2.9   95.0  444.0  444.0
2011 245  9  2 1400  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 1500  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 1600  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 1700  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 1800  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 1900  444.0  444.0  444.0  444.0  444.0  444.0
2011 245  9  2 2000   -1.9  977.8    3.5  104.0   99.0  444.0
2011 245  9  2 2100   -2.3  975.8    3.1   88.0   99.0  444.0
2011 245  9  2 2200   -2.2  975.7    4.8  103.0   98.4  444.0
2011 245  9  2 2300   -1.9  976.4    2.4  122.0   98.4  444.0
2011 246  9  3 0000   -2.0  976.8    0.3  115.0  444.0  444.0
2011 246  9  3 0100   -2.0  976.8    1.7  310.0   98.6  444.0
2011 246  9  3 0200   -2.0  976.8    1.1  309.0   99.0  444.0
2011 246  9  3 0300   -1.9  976.9    0.6  117.0   98.7  444.0
2011 246  9  3 0400   -0.5  979.9    1.1  130.0   98.0  444.0
2011 246  9  3 0500   -0.2  982.6    3.1  163.0   93.6  444.0
2011 246  9  3 0600    1.0  983.9    1.1  203.0   89.1  444.0
2011 246  9  3 0700  444.0  444.0    5.8   26.0   94.0  444.0
2011 246  9  3 0800    0.4  983.9    0.6  219.0   88.0  444.0
2011 246  9  3 0900    0.9  983.3    0.5   58.0   83.0  444.0
2011 246  9  3 1000    0.1  981.4    1.5  123.0  444.0  444.0
2011 246  9  3 1100    0.9  982.0    0.3  149.0   80.8  444.0
2011 246  9  3 1200   -0.2  444.0    2.0  289.0   89.0  444.0
2011 246  9  3 1300   -0.8  985.8    1.4  156.0   92.2  444.0
2011 246  9  3 1400  444.0  444.0  444.0  444.0  444.0  444.0
2011 246  9  3 1500  444.0  444.0  444.0  444.0  444.0  444.0
2011 246  9  3 1600   -0.7  988.1    0.9  253.0  444.0  444.0
2011 246  9  3 1700  444.0  444.0  444.0  444.0  444.0  444.0
2011 246  9  3 1800   -0.3  985.8    2.7  306.0   93.0  444.0
2011 246  9  3 1900  444.0  444.0  444.0  444.0  444.0  444.0
2011 246  9  3 2000   -1.0  982.0    2.4  302.0   95.0  444.0
2011 246  9  3 2100   -0.7  980.3    1.3  234.0   94.0  444.0
2011 246  9  3 2200   -1.1  444.0    1.8  234.0  444.0  444.0
2011 246  9  3 2300    1.4  444.0    2.4  123.0   78.4  444.0
2011 247  9  4 0000    1.7  983.9    2.3   71.0   98.4  444.0
2011 247  9  4 0100   -0.4  981.4    2.7  295.0   86.9  444.0
2011 247  9  4 0200    0.4  979.4    2.7   43.0   84.5  444.0
2011 247  9  4 0300    0.3  981.0    2.7   47.0   82.0  444.0
2011 247  9  4 0400    2.4  985.7    6.2   86.0   71.0  444.0
2011 247  9  4 0500    2.0  984.5    3.2   48.0  444.0  444.0
2011 247  9  4 0600    1.1  984.6  444.0  444.0   66.1  444.0
2011 247  9  4 0700  444.0  444.0  444.0  444.0  444.0  444.0
2011 247  9  4 0800    0.8  983.6    8.8   85.0   64.0  444.0
2011 247  9  4 0900    1.1  984.5    4.7   95.0   65.9  444.0
2011 247  9  4 1000  444.0  444.0  444.0  444.0  444.0  444.0
2011 247  9  4 1100   -0.1  444.0    2.8   62.0   66.0  444.0
2011 247  9  4 1200  444.0  444.0  444.0  444.0  444.0  444.0
2011 247  9  4 1300  444.0  444.0  444.0  444.0  444.0  444.0
2011 247  9  4 1400  444.0  444.0  444.0  444.0  444.0  444.0
2011 247  9  4 1500  444.0  444.0  444.0  444.0  444.0  444.0
2011 247  9  4 1600  444.0  444.0  444.0  444.0  444.0  444.0
2011 247  9  4 1700  444.0  444.0  444.0  444.0  444.0  444.0
2011 247  9  4 1800   -1.3  985.4    1.6  214.0   89.8  444.0
2011 247  9  4 1900  444.0  984.7    0.7  185.0  444.0  444.0
2011 247  9  4 2000  444.0  444.0  444.0  444.0  444.0  444.0
2011 247  9  4 2100  444.0  444.0  444.0  444.0  444.0  444.0
2011 247  9  4 2200   -1.7  977.2    1.2  304.0  444.0  444.0
2011 247  9  4 2300   -1.9  444.0    2.2   49.0   88.0  444.0
2011 248  9  5 0000   -2.2  974.0    1.9   47.0   81.0  444.0
2011 248  9  5 0100   -2.5  444.0    0.8   38.0  444.0  444.0
2011 248  9  5 0200   -2.5  974.1    1.6   30.0   84.0  444.0
2011 248  9  5 0300   -2.7  974.6    2.0   49.0  444.0  444.0
2011 248  9  5 0400   -2.5  974.7    1.2  109.0   80.0  444.0
2011 248  9  5 0500   -2.7  444.0    0.7  279.0  444.0  444.0
2011 248  9  5 0600   -3.1  978.0    1.5   19.0   90.0  444.0
2011 248  9  5 0700   -3.1  978.9    1.1  266.0   89.4  444.0
2011 248  9  5 0800   -3.0  980.6    1.6  278.0  444.0  444.0
2011 248  9  5 0900   -3.1  981.3    1.1  310.0   87.7  444.0
2011 248  9  5 1000   -3.1  982.7    0.5  187.0   91.0  444.0
2011 248  9  5 1100   -3.2  444.0    2.1  234.0  444.0  444.0
2011 248  9  5 1200   -3.0  986.9    1.9    8.0   90.4  444.0
2011 248  9  5 1300   -3.1  987.9    2.2  244.0  444.0  444.0
2011 248  9  5 1400   -3.1  444.0    0.9  234.0   91.6  444.0
2011 248  9  5 1500   -3.1  444.0    1.9  249.0  444.0  444.0
2011 248  9  5 1600   -2.8  994.3    0.4   51.0   88.6  444.0
2011 248  9  5 1700   -2.4  998.5    0.1   70.0  444.0  444.0
2011 248  9  5 1800   -2.6  444.0    0.4  205.0   86.0  444.0
2011 248  9  5 1900   -2.9  994.1    0.7  258.0   87.0  444.0
2011 248  9  5 2000   -3.0  444.0    0.3  357.0  444.0  444.0
2011 248  9  5 2100   -3.3  984.5    0.7  319.0   90.0  444.0
2011 248  9  5 2200   -3.7  981.4    0.7  302.0   93.0  444.0
2011 248  9  5 2300   -3.9  981.7    1.7  340.0   93.4  444.0
2011 249  9  6 0000   -4.3  980.0    1.8  348.0   96.8  444.0
2011 249  9  6 0100   -4.8  444.0    1.4  329.0   95.2  444.0
2011 249  9  6 0200   -4.6  981.4    2.1    2.0   95.0  444.0
2011 249  9  6 0300   -5.1  979.4    1.8   15.0   95.0  444.0
2011 249  9  6 0400   -5.0  979.4    1.4   42.0   94.2  444.0
2011 249  9  6 0500   -4.6  983.2    2.1  332.0   94.0  444.0
2011 249  9  6 0600   -5.2  978.9    1.2  301.0  444.0  444.0
2011 249  9  6 0700   -5.5  980.2    1.7   26.0   94.0  444.0
2011 249  9  6 0800   -5.2  983.2    1.0  300.0   95.5  444.0
2011 249  9  6 0900   -5.6  444.0    1.9    7.0  444.0  444.0
2011 249  9  6 1000   -5.7  983.7    1.1  315.0   97.8  444.0
2011 249  9  6 1100   -5.9  983.7    1.9  333.0  444.0  444.0
2011 249  9  6 1200   -5.8  985.4    0.2   29.0   96.8  444.0
2011 249  9  6 1300   -5.8  444.0    0.0    0.0   96.0  444.0
2011 249  9  6 1400   -5.7  991.2    0.4  272.0   96.1  444.0
2011 249  9  6 1500   -5.5  992.5    0.4  244.0   97.0  444.0
2011 249  9  6 1600   -5.9  990.5    1.9  295.0   95.8  444.0
2011 249  9  6 1700   -6.2  988.5    2.4  250.0   97.0  444.0
2011 249  9  6 1800  444.0  444.0  444.0  444.0  444.0  444.0
2011 249  9  6 1900   -6.2  987.2    2.5  304.0   95.4  444.0
2011 249  9  6 2000   -6.2  444.0    2.6  290.0   96.0  444.0
2011 249  9  6 2100   -6.3  984.3    2.3  298.0   96.0  444.0
2011 249  9  6 2200   -6.7  983.4    2.2  240.0   95.0  444.0
2011 249  9  6 2300  444.0  444.0    1.6  344.0  444.0  444.0
2011 250  9  7 0000   -7.1  982.4    0.4  237.0   95.3  444.0
2011 250  9  7 0100   -7.0  982.7    1.7  321.0   96.0  444.0
2011 250  9  7 0200   -6.8  983.7    2.4  342.0   95.4  444.0
2011 250  9  7 0300   -6.8  984.2    1.1  250.0   96.0  444.0
2011 250  9  7 0400   -6.7  444.0    1.1  292.0  444.0  444.0
2011 250  9  7 0500   -7.2  984.3    2.8  254.0   94.8  444.0
2011 250  9  7 0600   -7.0  985.0    4.1  245.0   94.0  444.0
2011 250  9  7 0700   -7.4  984.1    7.8  236.0   93.4  444.0
2011 250  9  7 0800   -7.8  983.2    9.4  234.0   91.0  444.0
2011 250  9  7 0900   -8.3  981.5    9.2  208.0  444.0  444.0
