Year: 2011  Month: 09  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.83W  Elev:   10m
2011 244  9  1 0000   -1.4  997.7    8.2   38.0   91.9  444.0
2011 244  9  1 0100   -1.3  996.3   11.7   48.0   91.5  444.0
2011 244  9  1 0200   -1.1  994.2   15.7   36.0   91.7  444.0
2011 244  9  1 0300   -1.6  992.8   17.0   43.0   91.5  444.0
2011 244  9  1 0400   -1.7  991.5   11.5   52.0   91.3  444.0
2011 244  9  1 0500   -1.6  989.4   18.5   52.0   91.3  444.0
2011 244  9  1 0600   -1.6  989.4   13.3   54.0   91.2  444.0
2011 244  9  1 0700   -1.0  987.3   16.7   62.0   91.3  444.0
2011 244  9  1 0800   -0.6  985.3   12.9   58.0   91.2  444.0
2011 244  9  1 0900   -0.3  983.2   19.1   52.0   91.2  444.0
2011 244  9  1 1000    0.6  981.8   18.2   44.0   91.3  444.0
2011 244  9  1 1100    0.7  980.4   19.2   42.0   91.0  444.0
2011 244  9  1 1200    0.5  980.4   14.9   44.0   91.0  444.0
2011 244  9  1 1300    0.4  980.4   12.6   47.0   91.0  444.0
2011 244  9  1 1400    0.4  979.7   12.2   32.0   91.0  444.0
2011 244  9  1 1500    0.7  979.7   18.6   48.0   91.3  444.0
2011 244  9  1 1600    0.9  979.7   10.5   38.0   91.4  444.0
2011 244  9  1 1700    1.1  979.1    8.1   43.0   91.6  444.0
2011 244  9  1 1800    1.5  977.7    7.2   24.0   90.9  444.0
2011 244  9  1 1900    1.5  977.0    9.3   35.0   89.1  444.0
2011 244  9  1 2000    0.9  977.0    6.8   33.0   88.1  444.0
2011 244  9  1 2100    0.0  976.3    4.3   42.0   88.9  444.0
2011 244  9  1 2200    0.5  975.6    7.5   35.0   89.2  444.0
2011 244  9  1 2300    1.0  973.5   11.9   51.0   89.4  444.0
2011 245  9  2 0000    1.1  971.5   13.1   49.0   89.4  444.0
2011 245  9  2 0100    0.9  970.1   20.9   44.0   89.2  444.0
2011 245  9  2 0200    0.3  970.8   14.3   38.0   90.1  444.0
2011 245  9  2 0300    0.4  970.1   10.5   41.0   91.0  444.0
2011 245  9  2 0400    0.4  970.1    9.2   25.0   91.8  444.0
2011 245  9  2 0500    1.6  970.1    9.7    7.0   93.7  444.0
2011 245  9  2 0600   -0.8  968.0   23.6  358.0   92.5  444.0
2011 245  9  2 0700   -0.9  969.4   22.1  347.0   91.8  444.0
2011 245  9  2 0800   -1.6  972.2   26.6  355.0   92.0  444.0
2011 245  9  2 0900   -1.3  972.9   18.2  346.0   91.8  444.0
2011 245  9  2 1000   -1.6  974.2   15.4  359.0   91.7  444.0
2011 245  9  2 1100   -1.6  976.3   13.9  355.0   91.4  444.0
2011 245  9  2 1200   -2.3  977.0   13.7  348.0   91.4  444.0
2011 245  9  2 1300   -2.6  977.7   16.9  341.0   91.5  444.0
2011 245  9  2 1400   -2.5  979.1   16.4  330.0   91.6  444.0
2011 245  9  2 1500   -2.5  981.1   12.5  337.0   91.3  444.0
2011 245  9  2 1600   -2.2  983.2    6.8  345.0   90.8  444.0
2011 245  9  2 1700   -2.3  983.2   11.8  336.0   90.0  444.0
2011 245  9  2 1800   -2.2  983.9    9.7  342.0   88.7  444.0
2011 245  9  2 1900   -1.9  985.3    6.7  338.0   88.0  444.0
2011 245  9  2 2000   -2.8  986.0    4.1  337.0   88.2  444.0
2011 245  9  2 2100   -3.4  986.6    3.1    3.0   86.2  444.0
2011 245  9  2 2200   -3.8  987.3    3.6  357.0   87.4  444.0
2011 245  9  2 2300   -3.3  988.0    6.4   66.0   85.9  444.0
2011 246  9  3 0000   -3.6  988.7    7.2   69.0   87.0  444.0
2011 246  9  3 0100   -3.0  990.1    7.3   61.0   87.4  444.0
2011 246  9  3 0200   -2.8  990.8    5.6   82.0   86.2  444.0
2011 246  9  3 0300   -3.6  990.8    5.7   91.0   87.3  444.0
2011 246  9  3 0400   -4.4  991.5    6.6   94.0   87.6  444.0
2011 246  9  3 0500   -4.1  992.2    4.4   97.0   88.0  444.0
2011 246  9  3 0600   -4.1  992.8    3.4  103.0   88.0  444.0
2011 246  9  3 0700   -4.1  992.8    2.9  113.0   88.1  444.0
2011 246  9  3 0800   -4.7  993.5    2.9  122.0   88.3  444.0
2011 246  9  3 0900   -6.0  993.5    4.2  124.0   88.4  444.0
2011 246  9  3 1000   -8.1  993.5    5.7  127.0   88.2  444.0
2011 246  9  3 1100   -7.9  994.2    4.4  127.0   88.5  444.0
2011 246  9  3 1200   -8.4  994.2    2.7  138.0   87.6  444.0
2011 246  9  3 1300   -8.8  994.9    3.1  163.0   87.6  444.0
2011 246  9  3 1400   -8.4  994.9    4.8  158.0   87.4  444.0
2011 246  9  3 1500   -7.8  994.9    5.6  154.0   86.4  444.0
2011 246  9  3 1600   -6.2  994.9    6.2  149.0   84.6  444.0
2011 246  9  3 1700   -5.4  994.9    4.6  130.0   83.8  444.0
2011 246  9  3 1800   -3.8  994.9    1.8  124.0   84.6  444.0
2011 246  9  3 1900   -5.2  994.9    3.1  132.0   82.8  444.0
2011 246  9  3 2000   -5.5  994.9    4.6  139.0   84.2  444.0
2011 246  9  3 2100   -5.2  994.9    7.8  137.0   83.8  444.0
2011 246  9  3 2200   -4.9  994.9    5.3  145.0   84.2  444.0
2011 246  9  3 2300   -4.9  994.2    6.3  122.0   84.2  444.0
2011 247  9  4 0000   -3.3  994.2    9.1  122.0   82.7  444.0
2011 247  9  4 0100   -3.2  994.9    9.6  119.0   82.1  444.0
2011 247  9  4 0200   -3.1  994.2   10.7   95.0   82.0  444.0
2011 247  9  4 0300   -2.5  994.9    7.1  119.0   80.5  444.0
2011 247  9  4 0400   -2.2  994.9    7.2  109.0   80.7  444.0
2011 247  9  4 0500   -2.7  995.6    5.9  111.0   80.5  444.0
2011 247  9  4 0600   -2.7  994.9    7.6  120.0   79.7  444.0
2011 247  9  4 0700   -2.1  994.9    9.6  116.0   79.5  444.0
2011 247  9  4 0800   -2.8  995.6   10.1   98.0   78.9  444.0
2011 247  9  4 0900   -3.5  996.3    6.8   89.0   78.9  444.0
2011 247  9  4 1000   -3.5  996.3    7.6   84.0   79.3  444.0
2011 247  9  4 1100   -3.6  996.3    9.2  103.0   78.0  444.0
2011 247  9  4 1200   -3.4  996.3   10.1  104.0   78.3  444.0
2011 247  9  4 1300   -3.6  996.3    5.7  112.0   76.9  444.0
2011 247  9  4 1400   -3.1  997.0    6.1  147.0   76.2  444.0
2011 247  9  4 1500   -2.1  996.3   11.1   94.0   77.2  444.0
2011 247  9  4 1600   -2.9  995.6   12.7   82.0   75.4  444.0
2011 247  9  4 1700   -2.3  996.3   12.1   95.0   75.6  444.0
2011 247  9  4 1800   -2.5  997.0    9.6   85.0   74.6  444.0
2011 247  9  4 1900   -2.0  444.0    7.7   96.0   74.6  444.0
2011 247  9  4 2000   -2.9  997.7    5.5  121.0   76.5  444.0
2011 247  9  4 2100   -3.2  997.7    5.2  117.0   76.6  444.0
2011 247  9  4 2200   -3.1  998.4    5.9  124.0   77.5  444.0
2011 247  9  4 2300   -3.9  998.4    5.9  130.0   80.2  444.0
2011 248  9  5 0000   -5.7  998.4    5.1  156.0   78.2  444.0
2011 248  9  5 0100   -5.2  999.1    6.0  145.0   78.9  444.0
2011 248  9  5 0200   -5.4  999.1    5.0  130.0   78.2  444.0
2011 248  9  5 0300   -6.0  999.1    4.4  138.0   79.9  444.0
2011 248  9  5 0400   -4.4  999.1    3.7  133.0   79.6  444.0
2011 248  9  5 0500   -4.5  999.7    3.1  148.0   79.4  444.0
2011 248  9  5 0600   -4.7  999.1    3.6  157.0   81.5  444.0
2011 248  9  5 0700   -6.6  999.7    3.2  135.0   80.7  444.0
2011 248  9  5 0800   -4.6  999.7    2.7   75.0   82.1  444.0
2011 248  9  5 0900   -6.6 1000.4    3.6  133.0   82.6  444.0
2011 248  9  5 1000   -7.5 1000.4    3.5  135.0   83.2  444.0
2011 248  9  5 1100   -7.5 1000.4    2.5  137.0   83.6  444.0
2011 248  9  5 1200   -7.0 1000.4    0.0    0.0   83.9  444.0
2011 248  9  5 1300   -6.3 1000.4    0.8  139.0   83.6  444.0
2011 248  9  5 1400  444.0 1000.4    0.0    0.0   78.3  444.0
2011 248  9  5 1500  444.0 1000.4    1.2  177.0   72.6  444.0
2011 248  9  5 1600   -1.5  999.7    2.1  206.0   72.1  444.0
2011 248  9  5 1700   -2.7  444.0    2.4  200.0   70.9  444.0
2011 248  9  5 1800   -2.9  999.7    2.0  219.0   74.6  444.0
2011 248  9  5 1900   -3.6  999.7    0.0    0.0   76.0  444.0
2011 248  9  5 2000   -6.2  999.1    3.0  163.0   76.0  444.0
2011 248  9  5 2100   -7.6  999.1    2.6  169.0   78.6  444.0
2011 248  9  5 2200   -8.5  998.4    2.2  196.0   81.4  444.0
2011 248  9  5 2300   -9.4  998.4    1.7  163.0   83.0  444.0
2011 249  9  6 0000   -9.7  998.4    1.7  241.0   84.1  444.0
2011 249  9  6 0100   -9.9  998.4    0.7  204.0   84.7  444.0
2011 249  9  6 0200  -10.9  997.7    0.0    0.0   85.7  444.0
2011 249  9  6 0300  -10.8  997.0    0.7  183.0   86.0  444.0
2011 249  9  6 0400  -10.2  997.0    2.9  222.0   85.9  444.0
2011 249  9  6 0500  -10.2  996.3    3.4  196.0   87.5  444.0
2011 249  9  6 0600   -9.7  995.6    2.4  187.0   87.3  444.0
2011 249  9  6 0700   -9.1  995.6    3.1  240.0   86.8  444.0
