Year: 2011  Month: 10  ID: WDB  ARGOS:  8982  Name: Windless Bight      
Lat: 77.73S  Lon: 167.70E  Elev:   40m
2011 274 10  1 0000  -27.3  994.9    2.6  352.0   58.0  444.0
2011 274 10  1 0100  -27.3  994.4    1.5   79.0   55.7  444.0
2011 274 10  1 0200  -27.9  993.6    2.2  106.0   48.0  444.0
2011 274 10  1 0300  -31.8  992.9    3.0  132.0   45.0  444.0
2011 274 10  1 0400  -31.7  992.1    1.4   66.0   59.0  444.0
2011 274 10  1 0500  -34.2  992.0    2.5  227.0   56.3  444.0
2011 274 10  1 0600  -32.7  991.5    0.8  320.0   67.4  444.0
2011 274 10  1 0700  -37.5  990.8    2.0   38.0   64.0  444.0
2011 274 10  1 0800  -38.0  990.1    0.7   35.0   66.0  444.0
2011 274 10  1 0900  -40.2  989.5    2.6   38.0   59.0  444.0
2011 274 10  1 1000  -41.9  988.8    0.5   33.0   58.9  444.0
2011 274 10  1 1100  -38.5  988.1    0.8   32.0   66.0  444.0
2011 274 10  1 1200  444.0  987.2    0.8  273.0   66.0  444.0
2011 274 10  1 1300  -43.8  986.2    2.0   37.0   56.0  444.0
2011 274 10  1 1400  -44.3  984.9    1.4   40.0   57.0  444.0
2011 274 10  1 1500  -43.0  984.1    0.5  197.0   56.9  444.0
2011 274 10  1 1600  -41.9  983.6    3.1   25.0   58.0  444.0
2011 274 10  1 1700  -38.0  982.2    0.5   19.0   63.0  444.0
2011 274 10  1 1800  -33.2  981.5    2.4  288.0   67.5  444.0
2011 274 10  1 1900  -31.1  981.1    1.9  331.0   71.0  444.0
2011 274 10  1 2000  -30.6  980.0    0.5  270.0   72.0  444.0
2011 274 10  1 2100  -28.1  979.5    1.6  241.0   75.0  444.0
2011 274 10  1 2200  -27.2  978.9    0.5   59.0   77.2  444.0
2011 274 10  1 2300  -26.0  978.2    1.1  220.0   78.4  444.0
2011 275 10  2 0000  -25.4  977.9    0.5    7.0   71.0  444.0
2011 275 10  2 0100  -25.2  977.5    1.6   43.0   61.0  444.0
2011 275 10  2 0200  -24.7  977.2    0.5   79.0   59.0  444.0
2011 275 10  2 0300  -24.0  976.9    1.5  135.0   55.0  444.0
2011 275 10  2 0400  -23.8  976.8    2.0    3.0   64.1  444.0
2011 275 10  2 0500  -23.3  976.1    2.2  295.0   65.0  444.0
2011 275 10  2 0600  -23.6  975.6    1.1  202.0   69.1  444.0
2011 275 10  2 0700  -22.9  975.0    2.3  246.0   75.0  444.0
2011 275 10  2 0800  -22.4  974.2    2.1  355.0   78.0  444.0
2011 275 10  2 0900  -21.2  973.6    2.4  208.0   80.0  444.0
2011 275 10  2 1000  -20.8  972.8    1.1  208.0   82.0  444.0
2011 275 10  2 1100  -19.8  972.1    2.1  168.0   83.5  444.0
2011 275 10  2 1200  -19.3  971.7    4.7  191.0   83.0  444.0
2011 275 10  2 1300  -19.4  971.1    2.6   60.0   83.0  444.0
2011 275 10  2 1400  -18.6  969.8    0.7  325.0   82.0  444.0
2011 275 10  2 1500  -17.2  969.1    4.0  210.0   85.0  444.0
2011 275 10  2 1600  -15.0  968.1    2.4  155.0   88.1  444.0
2011 275 10  2 1700  -15.2  968.0    2.9   52.0   86.0  444.0
2011 275 10  2 1800  -15.8  968.5    8.0  229.0   85.0  444.0
2011 275 10  2 1900  -14.3  968.8    3.5  196.0   89.0  444.0
2011 275 10  2 2000  -15.2  969.4    3.9  354.0   83.9  444.0
2011 275 10  2 2100  -12.6  971.2    2.8  206.0   76.4  444.0
2011 275 10  2 2200  -15.0  972.3    6.3  244.0   78.0  444.0
2011 275 10  2 2300  -17.3  973.6    2.2  168.0   73.8  444.0
2011 276 10  3 0000  -19.1  974.6    6.8  158.0   71.0  444.0
2011 276 10  3 0100  -19.6  976.8    3.8   32.0   69.0  444.0
2011 276 10  3 0200  -18.5  977.6    2.5   86.0   68.5  444.0
2011 276 10  3 0300  -18.6  978.8    2.2  111.0   60.0  444.0
2011 276 10  3 0400  -20.4  980.6    1.2  119.0   58.0  444.0
2011 276 10  3 0500  -21.4  982.2    1.3  130.0   63.0  444.0
2011 276 10  3 0600  -26.0  983.5    3.9  146.0   67.0  444.0
2011 276 10  3 0700  -25.7  985.3    2.5   13.0   73.7  444.0
2011 276 10  3 0800  -28.0  986.4    2.5    8.0   74.6  444.0
2011 276 10  3 0900  -24.6  987.2    1.5    3.0   80.8  444.0
2011 276 10  3 1000  -25.8  987.1    2.7  299.0   79.0  444.0
2011 276 10  3 1100  -30.7  989.2    1.3  300.0   72.0  444.0
2011 276 10  3 1200  -22.5  989.8    5.7  224.0   79.0  444.0
2011 276 10  3 1300  -20.7  989.6    9.5  208.0   71.4  444.0
