Year: 2011  Month: 04  ID: FE2  ARGOS:  8947  Name: Ferrell II          
Lat: 77.85S  Lon: 170.82E  Elev:   45m
2011  94  4  4 1200  -27.8  995.8    1.2   42.0   76.3  444.0
2011  94  4  4 1300  -28.3  995.3    1.7  168.0   76.0  444.0
2011  94  4  4 1400  -27.5  994.8    0.6  219.0   77.5  444.0
2011  94  4  4 1500  -27.5  994.1    1.9  216.0   77.0  444.0
2011  94  4  4 1600  -27.6  993.6    2.1  228.0   77.0  444.0
2011  94  4  4 1700  -27.8  993.0    2.5  210.0   76.6  444.0
2011  94  4  4 1800  -30.4  992.5    1.3  199.0   74.0  444.0
2011  94  4  4 1900  -30.1  992.2    1.7  237.0   74.5  444.0
2011  94  4  4 2000  -30.2  991.9    2.9  197.0   74.5  444.0
2011  94  4  4 2100  -30.4  991.9    0.8  146.0   74.0  444.0
2011  94  4  4 2200  -30.4  991.6    1.9  187.0   74.0  444.0
2011  94  4  4 2300  -32.2  991.8    1.3  292.0   72.0  444.0
2011  95  4  5 0000  -33.6  991.8    2.5  246.0   68.5  444.0
2011  95  4  5 0100  -32.0  992.0    1.8  234.0   72.0  444.0
2011  95  4  5 0200  -31.4  991.6    2.9  228.0   73.0  444.0
2011  95  4  5 0300  -31.5  991.7    1.2  238.0   72.0  444.0
2011  95  4  5 0400  -31.5  992.0    1.3  312.0   72.7  444.0
2011  95  4  5 0500  -34.7  992.2    0.3  111.0   71.0  444.0
2011  95  4  5 0600  -33.5  992.3    2.5  251.0   70.0  444.0
2011  95  4  5 0700  -34.2  992.7    2.7  191.0   70.0  444.0
2011  95  4  5 0800  -33.2  992.9    2.0  231.0   69.0  444.0
2011  95  4  5 0900  -32.9  992.9    3.9  206.0   71.0  444.0
2011  95  4  5 1000  -33.8  993.4    0.5  183.0   69.0  444.0
2011  95  4  5 1100  -33.2  993.6    3.1  198.0   71.0  444.0
2011  95  4  5 1200  -34.1  993.9    2.9  246.0   73.0  444.0
2011  95  4  5 1300  -31.0  994.0    3.9  238.0   73.9  444.0
