Year: 2011  Month: 04  ID: BAT  ARGOS:  8987  Name: Alexander (TT!)     
Lat: 79.04S  Lon: 170.65E  Elev:   55m
2011  94  4  4 1200  -30.9  994.0    4.9  255.0   73.2  444.0
2011  94  4  4 1300  -31.1  993.0    5.0  264.0   72.0  444.0
2011  94  4  4 1400  -29.5  993.0    5.0  251.0   73.5  444.0
2011  94  4  4 1500  -28.7  992.0    7.5  260.0   72.0  444.0
2011  94  4  4 1600  -29.9  991.0    8.3  244.0   73.0  444.0
2011  94  4  4 1700  -29.9  991.0    6.8  233.0   73.0  444.0
2011  94  4  4 1800  -29.8  990.0    6.8  234.0   74.0  444.0
2011  94  4  4 1900  -29.6  990.0    7.5  262.0   72.0  444.0
2011  94  4  4 2000  -31.4  989.0    9.9  258.0   69.1  444.0
2011  94  4  4 2100  -31.7  989.0    8.7  258.0   70.0  444.0
2011  94  4  4 2200  -31.1  989.0   10.4  252.0   71.0  444.0
2011  94  4  4 2300  -31.7  989.0   12.1  254.0   70.4  444.0
2011  95  4  5 0000  -31.8  989.0   13.0  247.0   70.8  444.0
2011  95  4  5 0100  -30.6  989.0   11.4  244.0   72.0  444.0
2011  95  4  5 0200  -32.2  989.0   10.0  237.0   70.0  444.0
2011  95  4  5 0300  -33.1  989.0    8.6  243.0   69.0  444.0
2011  95  4  5 0400  -32.9  989.0    9.8  241.0   68.0  444.0
2011  95  4  5 0500  -33.8  989.0   10.0  242.0   68.4  444.0
2011  95  4  5 0600  -34.0  990.0    9.3  236.0   68.0  444.0
2011  95  4  5 0700  -33.6  990.0    9.0  240.0   69.0  444.0
2011  95  4  5 0800  -33.5  990.0    8.3  234.0   68.0  444.0
2011  95  4  5 0900  -36.5  990.0    9.5  227.0   66.0  444.0
2011  95  4  5 1000  -38.4  991.0    9.2  233.0   62.5  444.0
2011  95  4  5 1100  -39.5  991.0    9.9  228.0   62.0  444.0
2011  95  4  5 1200  -39.5  991.0    9.9  234.0   62.0  444.0
2011  95  4  5 1300  -39.8  992.0   10.0  225.0   61.8  444.0
2011  95  4  5 1400  -39.8  992.0   10.0  223.0   62.0  444.0
2011  95  4  5 1500  -39.9  992.0    8.2  222.0   61.0  444.0
2011  95  4  5 1600  -39.5  993.0    9.0  226.0   62.0  444.0
2011  95  4  5 1700  -37.5  993.0   10.3  225.0   65.7  444.0
2011  95  4  5 1800  -34.8  993.0    9.2  228.0   67.0  444.0
2011  95  4  5 1900  -32.3  993.0   11.1  232.0   70.0  444.0
2011  95  4  5 2000  -33.6  993.0    8.5  254.0   70.0  444.0
2011  95  4  5 2100  -32.0  993.0   10.1  248.0   70.0  444.0
2011  95  4  5 2200  -31.5  993.0   10.2  235.0   67.7  444.0
2011  95  4  5 2300  -31.2  993.0   11.5  239.0   73.0  444.0
2011  96  4  6 0000  -32.3  993.0    9.8  234.0   70.0  444.0
2011  96  4  6 0100  -32.6  993.0    7.7  226.0   69.9  444.0
2011  96  4  6 0200  -34.0  993.0    5.6  222.0   68.0  444.0
2011  96  4  6 0300  -34.3  993.0    4.6  232.0   70.0  444.0
2011  96  4  6 0400  -34.2  993.0    5.9  210.0   67.0  444.0
2011  96  4  6 0500  -34.3  992.0    6.4  209.0   68.0  444.0
2011  96  4  6 0600  -32.1  992.0    5.2  194.0   71.0  444.0
2011  96  4  6 0700  -32.9  992.0    4.5  230.0   68.0  444.0
2011  96  4  6 0800  -32.7  992.0    5.0  256.0   71.0  444.0
2011  96  4  6 0900  -30.7  992.0    6.5  232.0   72.0  444.0
2011  96  4  6 1000  -29.9  992.0    6.1  226.0   73.0  444.0
2011  96  4  6 1100  -32.3  992.0    4.6  239.0   71.0  444.0
