Year: 2011  Month: 08  ID: FSB  ARGOS:  8920  Name: Fossil Bluff        
Lat: 71.34S  Lon:  68.29W  Elev:   63m
2011 216  8  4 1100  444.0  444.0  444.0  444.0  444.0  444.0
2011 216  8  4 1200  -34.0 1005.6    0.2  298.0   70.5  444.0
2011 216  8  4 1300  -33.6 1005.9    0.0    0.0   71.3  444.0
2011 216  8  4 1400  -34.9 1005.9  444.0  444.0   68.7  444.0
2011 216  8  4 1500  444.0  444.0  444.0  444.0  444.0  444.0
2011 216  8  4 1600  444.0  444.0  444.0  444.0  444.0  444.0
2011 216  8  4 1700  -31.3 1006.2    0.0    0.0   73.9  444.0
2011 216  8  4 1800  444.0  444.0  444.0  444.0  444.0  444.0
2011 216  8  4 1900  -32.9 1006.8    0.9  240.0   71.7  444.0
2011 216  8  4 2000  -27.5 1006.4    1.3  174.0   76.8  444.0
2011 216  8  4 2100  -30.3 1006.6    0.9  330.0   75.0  444.0
2011 216  8  4 2200  -31.0 1006.2    0.5  320.0   73.7  444.0
2011 216  8  4 2300  -31.8 1006.2    0.8  314.0   72.5  444.0
2011 217  8  5 0000  -31.1 1005.9    0.4  141.0   72.7  444.0
2011 217  8  5 0100  -31.8 1005.5    0.6  324.0   73.1  444.0
2011 217  8  5 0200  -30.9 1005.2    0.2   13.0   73.3  444.0
2011 217  8  5 0300  -31.1 1004.6    0.8  331.0   73.6  444.0
2011 217  8  5 0400  444.0  444.0  444.0  444.0  444.0  444.0
2011 217  8  5 0500  -28.0 1004.1    1.9  171.0   76.8  444.0
2011 217  8  5 0600  -23.6 1003.2    1.9  180.0   81.9  444.0
2011 217  8  5 0700  -26.4 1003.0    2.4  187.0   78.2  444.0
2011 217  8  5 0800  -26.4 1002.6  444.0  444.0   77.7  444.0
2011 217  8  5 0900  444.0  444.0  444.0  444.0  444.0  444.0
2011 217  8  5 1000  444.0  444.0  444.0  444.0  444.0  444.0
2011 217  8  5 1100  -20.5 1000.1    0.9  192.0   83.7  444.0
2011 217  8  5 1200  -21.1  999.0    3.2  334.0   83.5  444.0
2011 217  8  5 1300  -19.0  997.9    1.6  286.0   85.3  444.0
2011 217  8  5 1400  444.0  444.0  444.0  444.0  444.0  444.0
2011 217  8  5 1500  -17.4  994.5    1.8  229.0   86.8  444.0
2011 217  8  5 1600  444.0  444.0  444.0  444.0  444.0  444.0
2011 217  8  5 1700  -15.6  994.2    2.2  214.0   88.7  444.0
2011 217  8  5 1800  444.0  444.0  444.0  444.0  444.0  444.0
2011 217  8  5 1900  -15.3  995.1    4.3   77.0   88.4  444.0
2011 217  8  5 2000  -15.7  995.9    6.9   40.0   88.0  444.0
2011 217  8  5 2100  444.0  444.0  444.0  444.0  444.0  444.0
2011 217  8  5 2200  -14.5  995.8    6.9   38.0   89.3  444.0
2011 217  8  5 2300  -13.6  995.2  444.0  444.0   89.8  444.0
2011 218  8  6 0000  -13.6  995.2    1.7   29.0   90.0  444.0
2011 218  8  6 0100  -13.4  995.1    1.3  210.0   90.2  444.0
2011 218  8  6 0200  444.0  444.0  444.0  444.0  444.0  444.0
2011 218  8  6 0300  -12.7  995.7    2.9   86.0   90.6  444.0
2011 218  8  6 0400  -12.4  996.0    2.5    4.0   90.9  444.0
2011 218  8  6 0500  -13.4  996.5    1.2  214.0   89.8  444.0
2011 218  8  6 0600  -12.1  997.3    3.2  231.0   91.0  444.0
2011 218  8  6 0700  444.0  444.0  444.0  444.0  444.0  444.0
2011 218  8  6 0800  -11.3  998.3    2.4  249.0   92.2  444.0
2011 218  8  6 0900  -11.3  998.9    1.3  223.0   91.8  444.0
2011 218  8  6 1000  -10.9  999.5    2.1  168.0   92.0  444.0
2011 218  8  6 1100  -12.2 1000.2    0.9  332.0   90.5  444.0
2011 218  8  6 1200  444.0  444.0  444.0  444.0  444.0  444.0
2011 218  8  6 1300  -11.5  999.7    1.1  326.0   91.5  444.0
2011 218  8  6 1400  444.0  444.0  444.0  444.0  444.0  444.0
2011 218  8  6 1500  -11.0  999.5    1.1  338.0   91.8  444.0
2011 218  8  6 1600  444.0  444.0  444.0  444.0  444.0  444.0
2011 218  8  6 1700   -9.1  998.4    0.3  320.0   93.2  444.0
2011 218  8  6 1800  444.0  444.0  444.0  444.0  444.0  444.0
2011 218  8  6 1900  444.0  444.0  444.0  444.0  444.0  444.0
2011 218  8  6 2000   -6.0  997.6    3.6  186.0   95.6  444.0
2011 218  8  6 2100   -5.6  997.1    5.5  180.0   94.9  444.0
