Year: 2007  Month: 07  ID: BUT  ARGOS:  8902  Name: Butler Island       
Lat: 72.21S  Lon:  60.17W  Elev:   91m
2007 185  7  4 1300  -25.3  990.0   13.7  173.0   78.0  444.0
2007 185  7  4 1400  444.0  444.0  444.0  444.0  444.0  444.0
2007 185  7  4 1500  -24.5  991.8   13.8  170.0   78.7  444.0
2007 185  7  4 1600  -24.0  992.5   14.0  167.0   79.2  444.0
2007 185  7  4 1700  -23.7  993.3   13.4  168.0   78.8  444.0
2007 185  7  4 1800  -23.6  994.8   11.8  168.0   79.8  444.0
2007 185  7  4 1900  -23.4  995.1   13.8  165.0   79.5  444.0
2007 185  7  4 2000  -23.7  996.2   11.7  169.0   79.2  444.0
2007 185  7  4 2100  -24.1  997.1   11.9  169.0   79.6  444.0
2007 185  7  4 2200  -23.9  997.8   12.7  170.0   79.6  444.0
2007 185  7  4 2300  -24.5  998.3   12.9  168.0   79.0  444.0
2007 186  7  5 0000  -24.9  999.3   13.2  164.0   78.6  444.0
2007 186  7  5 0100  -24.7  999.8   13.6  166.0   78.6  444.0
2007 186  7  5 0200  -24.6 1000.9   14.1  163.0   78.8  444.0
2007 186  7  5 0300  -24.6 1001.7   12.5  170.0   78.9  444.0
2007 186  7  5 0400  -24.6 1002.7   10.5  169.0   79.1  444.0
2007 186  7  5 0500  -24.4 1003.2   10.8  166.0   79.4  444.0
2007 186  7  5 0600  -24.3 1003.8    9.5  168.0   79.7  444.0
2007 186  7  5 0700  -23.9 1004.3   11.4  176.0   79.6  444.0
2007 186  7  5 0800  -24.2 1004.4   11.9  176.0   79.2  444.0
2007 186  7  5 0900  -24.6 1004.9   11.3  174.0   79.0  444.0
2007 186  7  5 1000  -24.9 1006.0   10.2  167.0   78.9  444.0
2007 186  7  5 1100  -25.2 1006.2    8.8  168.0   78.6  444.0
2007 186  7  5 1200  444.0  444.0  444.0  444.0  444.0  444.0
2007 186  7  5 1300  -25.5 1006.6    7.0  178.0   77.5  444.0
2007 186  7  5 1400  -25.7 1006.6    7.3  178.0   76.2  444.0
2007 186  7  5 1500  -25.8 1006.7    7.2  173.0   76.4  444.0
2007 186  7  5 1600  -25.9 1006.4    5.6  183.0   76.3  444.0
2007 186  7  5 1700  444.0  444.0  444.0  444.0  444.0  444.0
2007 186  7  5 1800  -26.0 1005.8    2.4  192.0   77.1  444.0
2007 186  7  5 1900  -25.9 1005.7    1.3  172.0   76.1  444.0
2007 186  7  5 2000  -25.6 1005.5    0.2  158.0   76.2  444.0
2007 186  7  5 2100  -26.0 1005.2    2.4  326.0   76.8  444.0
2007 186  7  5 2200  -25.7 1005.0    3.6  323.0   76.1  444.0
2007 186  7  5 2300  -26.5 1004.6    4.5  327.0   75.4  444.0
2007 187  7  6 0000  -27.4 1004.0    5.8  309.0   77.3  444.0
2007 187  7  6 0100  -27.6 1003.7    5.3  301.0   78.0  444.0
2007 187  7  6 0200  -27.0 1002.9    4.5  308.0   78.7  444.0
2007 187  7  6 0300  -25.5 1002.7    3.6  274.0   77.2  444.0
2007 187  7  6 0400  -22.9 1002.1    2.2  292.0   70.6  444.0
2007 187  7  6 0500  -25.4 1001.9    1.3  320.0   72.5  444.0
2007 187  7  6 0600  -25.3 1001.3    3.3  283.0   75.9  444.0
2007 187  7  6 0700  -25.2 1000.8    3.5  238.0   74.6  444.0
2007 187  7  6 0800  -22.2 1000.5    2.6  236.0   65.3  444.0
2007 187  7  6 0900  -26.9 1000.4    5.1  198.0   68.9  444.0
2007 187  7  6 1000  444.0  444.0  444.0  444.0  444.0  444.0
2007 187  7  6 1100  -22.5 1000.2    3.0  165.0   60.7  444.0
2007 187  7  6 1200  -23.0  999.2    2.0  218.0   58.8  444.0
2007 187  7  6 1300  -23.3  998.9    2.6  250.0   58.5  444.0
2007 187  7  6 1400  -22.6  998.0    0.3  146.0   62.4  444.0
2007 187  7  6 1500  444.0  444.0  444.0  444.0  444.0  444.0
2007 187  7  6 1600  -23.6  997.1    2.3  128.0   59.7  444.0
2007 187  7  6 1700  444.0  444.0  444.0  444.0  444.0  444.0
2007 187  7  6 1800  -25.3  995.9    2.8  167.0   66.7  444.0
2007 187  7  6 1900  -23.5  995.8    2.9  207.0   60.3  444.0
2007 187  7  6 2000  444.0  444.0  444.0  444.0  444.0  444.0
2007 187  7  6 2100  -24.9  994.8    0.8    3.0   64.3  444.0
2007 187  7  6 2200  444.0  444.0  444.0  444.0  444.0  444.0
2007 187  7  6 2300  -25.5  993.6    2.0   33.0   76.0  444.0
2007 188  7  7 0000  -25.8  992.7    3.1  348.0   72.5  444.0
2007 188  7  7 0100  -26.6  992.1    3.6  350.0   74.5  444.0
2007 188  7  7 0200  -27.2  991.4    4.7  342.0   73.4  444.0
2007 188  7  7 0300  444.0  444.0  444.0  444.0  444.0  444.0
2007 188  7  7 0400  -28.4  989.8    5.6  341.0   77.9  444.0
2007 188  7  7 0500  -28.2  989.0    7.1  349.0   76.6  444.0
2007 188  7  7 0600  -28.7  988.3    8.2  342.0   75.4  444.0
2007 188  7  7 0700  -28.6  987.5    8.4  343.0   75.5  444.0
2007 188  7  7 0800  444.0  444.0  444.0  444.0  444.0  444.0
2007 188  7  7 0900  -29.1  985.9    8.8  348.0   74.2  444.0
2007 188  7  7 1000  -28.7  985.4   10.4  343.0   75.0  444.0
2007 188  7  7 1100  -28.6  984.8    9.0  354.0   75.2  444.0
2007 188  7  7 1200  -27.8  983.8    9.4  346.0   75.8  444.0
2007 188  7  7 1300  444.0  444.0  444.0  444.0  444.0  444.0
2007 188  7  7 1400  -27.1  981.3   11.5  351.0   76.4  444.0
2007 188  7  7 1500  444.0  444.0  444.0  444.0  444.0  444.0
2007 188  7  7 1600  -26.1  978.4   12.6  341.0   77.8  444.0
2007 188  7  7 1700  -25.2  977.1   11.5  344.0   78.5  444.0
2007 188  7  7 1800  444.0  444.0  444.0  444.0  444.0  444.0
2007 188  7  7 1900  -22.7  974.0   10.1  329.0   81.1  444.0
2007 188  7  7 2000  444.0  444.0  444.0  444.0  444.0  444.0
2007 188  7  7 2100  -20.0  971.1    8.0  337.0   83.6  444.0
2007 188  7  7 2200  -10.3  970.3    3.8  268.0   81.7  444.0
2007 188  7  7 2300   -8.8  969.1    4.5  300.0  444.0  444.0
2007 189  7  8 0000   -9.8  969.3    1.2  248.0  444.0  444.0
2007 189  7  8 0100  444.0  444.0    8.2  189.0  444.0  444.0
2007 189  7  8 0200  -20.2  971.9   12.1  164.0   82.6  444.0
2007 189  7  8 0300  -23.3  973.4   14.2  155.0   80.0  444.0
2007 189  7  8 0400  -24.4  973.5   15.4  157.0   79.0  444.0
2007 189  7  8 0500  -25.3  975.0   14.8  163.0   77.9  444.0
2007 189  7  8 0600  444.0  444.0  444.0  444.0  444.0  444.0
2007 189  7  8 0700  -26.8  977.1   11.9  167.0   76.7  444.0
2007 189  7  8 0800  -26.8  977.6   14.2  164.0   76.5  444.0
2007 189  7  8 0900  -28.0  978.4   12.2  158.0   75.3  444.0
2007 189  7  8 1000  -28.6  979.6    7.6  182.0   74.7  444.0
2007 189  7  8 1100  444.0  444.0  444.0  444.0  444.0  444.0
2007 189  7  8 1200  -27.7  980.4    8.2  174.0   75.8  444.0
2007 189  7  8 1300  -29.4  981.0    5.2  205.0   72.9  444.0
2007 189  7  8 1400  -29.7  981.3    6.9  191.0   72.2  444.0
2007 189  7  8 1500  -29.5  981.6    7.1  199.0   72.4  444.0
2007 189  7  8 1600  444.0  444.0  444.0  444.0  444.0  444.0
2007 189  7  8 1700  -30.1  981.6    3.8  267.0   71.0  444.0
2007 189  7  8 1800  -30.5  981.6    5.0  274.0   71.9  444.0
2007 189  7  8 1900  -29.3  981.7    3.7  269.0   71.3  444.0
2007 189  7  8 2000  -29.3  982.4    3.5  241.0   69.7  444.0
2007 189  7  8 2100  444.0  444.0  444.0  444.0  444.0  444.0
2007 189  7  8 2200  -27.6  984.4    7.3  181.0   74.0  444.0
2007 189  7  8 2300  444.0  444.0  444.0  444.0  444.0  444.0
2007 190  7  9 0000  -26.9  985.9    7.6  198.0   76.4  444.0
2007 190  7  9 0100  444.0  444.0  444.0  444.0  444.0  444.0
