Year: 2013  Month: 09  ID: HUG  ARGOS:  8935  Name: Hugo Island         
Lat: 64.96S  Lon:  64.67W  Elev:   25m
2013 247  9  4 1100   -9.6  996.0  444.0  444.0   96.0  444.0
2013 247  9  4 1200   -8.3  995.3  444.0  444.0   96.1  444.0
2013 247  9  4 1300   -6.8  995.2  444.0  444.0  444.0  444.0
2013 247  9  4 1400   -5.7  994.3  444.0  444.0  444.0  444.0
2013 247  9  4 1500   -5.4  993.9  444.0  444.0  100.0  444.0
2013 247  9  4 1600   -5.2  993.2  444.0  444.0  444.0  444.0
2013 247  9  4 1700   -4.9  991.4  444.0  444.0   99.7  444.0
2013 247  9  4 1800   -4.4  988.1  444.0  444.0   98.4  444.0
2013 247  9  4 1900   -2.3  986.4  444.0  444.0   96.0  444.0
2013 247  9  4 2000   -1.3  984.8  444.0  444.0   94.0  444.0
2013 247  9  4 2100   -1.3  983.3  444.0  444.0   92.0  444.0
2013 247  9  4 2200   -1.1  981.5  444.0  444.0   89.9  444.0
2013 247  9  4 2300   -1.1  979.3  444.0  444.0   92.0  444.0
2013 248  9  5 0000   -0.9  977.2  444.0  444.0   93.0  444.0
2013 248  9  5 0100   -4.2  974.2  444.0  444.0   98.0  444.0
2013 248  9  5 0200   -7.1  976.2  444.0  444.0   84.0  444.0
2013 248  9  5 0300  -10.3  980.0  444.0  444.0   82.1  444.0
2013 248  9  5 0400  -12.6  985.8  444.0  444.0   78.0  444.0
2013 248  9  5 0500  -13.5  988.6  444.0  444.0   75.0  444.0
2013 248  9  5 0600  -13.5  991.7  444.0  444.0   74.0  444.0
2013 248  9  5 0700  -13.7  995.0  444.0  444.0   73.0  444.0
2013 248  9  5 0800  -13.9  997.1  444.0  444.0   75.8  444.0
2013 248  9  5 0900  -13.6  998.1  444.0  444.0   75.0  444.0
2013 248  9  5 1000  -13.5  999.0  444.0  444.0   77.0  444.0
2013 248  9  5 1100  -13.5  999.5  444.0  444.0   77.0  444.0
2013 248  9  5 1200  -12.7  999.5  444.0  444.0   72.0  444.0
2013 248  9  5 1300  -12.2  999.2  444.0  444.0   69.0  444.0
2013 248  9  5 1400  -11.3  999.2  444.0  444.0   72.0  444.0
2013 248  9  5 1500  -10.9  998.9  444.0  444.0   66.2  444.0
2013 248  9  5 1600  -10.4  998.0  444.0  444.0   69.1  444.0
2013 248  9  5 1700  -10.6  997.5  444.0  444.0   74.0  444.0
2013 248  9  5 1800   -9.6  996.8  444.0  444.0   77.8  444.0
2013 248  9  5 1900   -8.7  995.1  444.0  444.0   84.0  444.0
2013 248  9  5 2000   -7.8  995.5  444.0  444.0   85.0  444.0
2013 248  9  5 2100   -6.5  995.0  444.0  444.0   89.4  444.0
2013 248  9  5 2200   -5.6  994.6  444.0  444.0   91.0  444.0
2013 248  9  5 2300   -3.9  994.0  444.0  444.0   93.0  444.0
2013 249  9  6 0000   -2.7  993.4  444.0  444.0   91.0  444.0
2013 249  9  6 0100   -2.4  992.2  444.0  444.0   92.0  444.0
2013 249  9  6 0200   -2.2  991.7  444.0  444.0   95.0  444.0
2013 249  9  6 0300   -1.9  991.3  444.0  444.0   96.0  444.0
2013 249  9  6 0400   -1.6  991.1  444.0  444.0   99.0  444.0
2013 249  9  6 0500   -1.3  991.1  444.0  444.0  100.0  444.0
2013 249  9  6 0600   -1.1  991.0  444.0  444.0   99.0  444.0
2013 249  9  6 0700   -1.0  991.1  444.0  444.0  444.0  444.0
2013 249  9  6 0800   -1.0  991.4  444.0  444.0   98.0  444.0
2013 249  9  6 0900   -1.1  991.0  444.0  444.0   97.0  444.0
2013 249  9  6 1000   -1.1  989.8  444.0  444.0   95.0  444.0
2013 249  9  6 1100   -1.2  989.0  444.0  444.0   96.5  444.0
2013 249  9  6 1200   -1.1  987.9  444.0  444.0   94.0  444.0
2013 249  9  6 1300   -1.0  986.6  444.0  444.0   93.6  444.0
2013 249  9  6 1400   -0.8  985.7  444.0  444.0   93.0  444.0
2013 249  9  6 1500   -0.6  984.9  444.0  444.0   93.0  444.0
2013 249  9  6 1600   -0.4  984.4  444.0  444.0   92.3  444.0
2013 249  9  6 1700   -0.6  982.9  444.0  444.0   93.3  444.0
2013 249  9  6 1800   -0.4  982.6  444.0  444.0   94.0  444.0
2013 249  9  6 1900   -0.4  981.0  444.0  444.0   93.0  444.0
2013 249  9  6 2000   -0.4  979.7  444.0  444.0   93.0  444.0
2013 249  9  6 2100   -0.4  978.7  444.0  444.0   94.0  444.0
2013 249  9  6 2200   -0.3  977.7  444.0  444.0   93.1  444.0
2013 249  9  6 2300   -0.2  976.8  444.0  444.0   93.0  444.0
2013 250  9  7 0000   -0.3  976.8  444.0  444.0   95.0  444.0
2013 250  9  7 0100   -3.0  978.2  444.0  444.0   92.0  444.0
2013 250  9  7 0200   -3.6  979.6  444.0  444.0   73.2  444.0
2013 250  9  7 0300   -4.0  980.5  444.0  444.0   69.2  444.0
2013 250  9  7 0400   -4.6  980.5  444.0  444.0   68.0  444.0
2013 250  9  7 0500   -5.0  982.0  444.0  444.0   70.0  444.0
2013 250  9  7 0600   -6.3  983.8  444.0  444.0   79.2  444.0
2013 250  9  7 0700   -6.4  984.4  444.0  444.0   74.2  444.0
2013 250  9  7 0800   -7.7  985.4  444.0  444.0   81.2  444.0
2013 250  9  7 0900   -8.5  986.0  444.0  444.0   73.0  444.0
