Year: 2013  Month: 10  ID: HUG  ARGOS:  8935  Name: Hugo Island         
Lat: 64.96S  Lon:  64.67W  Elev:   25m
2013 274 10  1 0000   -2.9 1010.4  444.0  444.0   98.0  444.0
2013 274 10  1 0100   -3.1 1008.9  444.0  444.0   97.0  444.0
2013 274 10  1 0200   -3.3 1008.4  444.0  444.0   97.0  444.0
2013 274 10  1 0300   -3.0 1007.8  444.0  444.0   97.0  444.0
2013 274 10  1 0400   -2.8 1007.3  444.0  444.0   97.0  444.0
2013 274 10  1 0500   -2.7 1006.6  444.0  444.0   97.0  444.0
2013 274 10  1 0600   -2.5 1005.5  444.0  444.0   97.0  444.0
2013 274 10  1 0700   -2.5 1005.2  444.0  444.0   97.7  444.0
2013 274 10  1 0800   -2.0 1004.8  444.0  444.0   98.0  444.0
2013 274 10  1 0900   -1.7 1004.3  444.0  444.0   98.0  444.0
2013 274 10  1 1000   -1.6 1004.3  444.0  444.0   98.0  444.0
2013 274 10  1 1100   -1.6 1003.3  444.0  444.0   98.0  444.0
2013 274 10  1 1200   -1.6 1003.6  444.0  444.0   98.0  444.0
2013 274 10  1 1300   -1.1 1003.5  444.0  444.0   97.4  444.0
2013 274 10  1 1400   -0.6 1004.2  444.0  444.0   97.0  444.0
2013 274 10  1 1500   -0.4 1004.2  444.0  444.0   97.0  444.0
2013 274 10  1 1600   -0.1 1003.8  444.0  444.0   97.0  444.0
2013 274 10  1 1700    0.1 1004.3  444.0  444.0   96.7  444.0
2013 274 10  1 1800    0.3 1004.4  444.0  444.0   97.0  444.0
2013 274 10  1 1900    0.2 1003.9  444.0  444.0   97.9  444.0
2013 274 10  1 2000   -0.0 1003.9  444.0  444.0   98.0  444.0
2013 274 10  1 2100   -0.1 1003.6  444.0  444.0   99.0  444.0
2013 274 10  1 2200   -0.3 1003.5  444.0  444.0  100.0  444.0
2013 274 10  1 2300   -0.3 1003.4  444.0  444.0  100.0  444.0
2013 275 10  2 0000   -0.4 1003.4  444.0  444.0   99.8  444.0
2013 275 10  2 0100   -0.5 1003.2  444.0  444.0  100.0  444.0
2013 275 10  2 0200   -0.6 1003.1  444.0  444.0  100.0  444.0
2013 275 10  2 0300   -0.7 1002.9  444.0  444.0  100.0  444.0
2013 275 10  2 0400   -0.8 1002.7  444.0  444.0  100.0  444.0
2013 275 10  2 0500   -0.9 1001.9  444.0  444.0   99.8  444.0
2013 275 10  2 0600   -1.1 1002.1  444.0  444.0  100.0  444.0
2013 275 10  2 0700   -1.4 1002.2  444.0  444.0  100.0  444.0
2013 275 10  2 0800   -1.8 1002.2  444.0  444.0   99.0  444.0
2013 275 10  2 0900   -1.5 1002.2  444.0  444.0  100.0  444.0
2013 275 10  2 1000   -1.3 1002.3  444.0  444.0   99.4  444.0
2013 275 10  2 1100   -1.0 1002.5  444.0  444.0   99.2  444.0
2013 275 10  2 1200   -1.0 1002.6  444.0  444.0   99.0  444.0
2013 275 10  2 1300   -0.5 1002.7  444.0  444.0   96.0  444.0
2013 275 10  2 1400   -0.6 1002.9  444.0  444.0   96.0  444.0
2013 275 10  2 1500   -0.4 1003.0  444.0  444.0   94.5  444.0
2013 275 10  2 1600   -1.3 1003.3  444.0  444.0   94.0  444.0
2013 275 10  2 1700   -1.6 1003.6  444.0  444.0   93.4  444.0
2013 275 10  2 1800   -2.0 1003.6  444.0  444.0   94.0  444.0
2013 275 10  2 1900   -2.1 1003.0  444.0  444.0   95.1  444.0
2013 275 10  2 2000   -2.2 1003.6  444.0  444.0   95.0  444.0
2013 275 10  2 2100   -2.3 1004.2  444.0  444.0   97.0  444.0
2013 275 10  2 2200   -2.9 1004.1  444.0  444.0   96.4  444.0
2013 275 10  2 2300   -3.4 1004.0  444.0  444.0   96.0  444.0
2013 276 10  3 0000   -3.9 1004.4  444.0  444.0   96.1  444.0
2013 276 10  3 0100   -4.2 1004.3  444.0  444.0   95.0  444.0
2013 276 10  3 0200   -5.1 1004.5  444.0  444.0   95.0  444.0
2013 276 10  3 0300   -5.1 1004.5  444.0  444.0   94.4  444.0
2013 276 10  3 0400   -5.7 1004.5  444.0  444.0   94.1  444.0
2013 276 10  3 0500   -6.6 1004.5  444.0  444.0   93.0  444.0
2013 276 10  3 0600   -7.7 1004.7  444.0  444.0   92.0  444.0
2013 276 10  3 0700   -7.0 1004.7  444.0  444.0   93.0  444.0
2013 276 10  3 0800   -7.3 1004.9  444.0  444.0   92.6  444.0
2013 276 10  3 0900   -7.3 1004.5  444.0  444.0   92.5  444.0
2013 276 10  3 1000   -6.5 1004.7  444.0  444.0   93.4  444.0
2013 276 10  3 1100   -6.0 1004.9  444.0  444.0   93.0  444.0
2013 276 10  3 1200   -5.1 1004.9  444.0  444.0   94.0  444.0
2013 276 10  3 1300   -3.6 1004.9  444.0  444.0   94.1  444.0
2013 276 10  3 1400   -2.3 1004.7  444.0  444.0   95.0  444.0
2013 276 10  3 1500   -1.4 1004.8  444.0  444.0   96.1  444.0
2013 276 10  3 1600   -0.1 1004.7  444.0  444.0   97.0  444.0
2013 276 10  3 1700   -0.9 1004.6  444.0  444.0   97.0  444.0
2013 276 10  3 1800   -2.0 1004.5  444.0  444.0   96.0  444.0
2013 276 10  3 1900   -1.5 1004.1  444.0  444.0   96.0  444.0
2013 276 10  3 2000   -1.7 1003.9  444.0  444.0   95.8  444.0
2013 276 10  3 2100   -2.4 1003.5  444.0  444.0   96.3  444.0
2013 276 10  3 2200   -2.5 1003.5  444.0  444.0   96.7  444.0
2013 276 10  3 2300   -2.7 1003.2  444.0  444.0   97.0  444.0
2013 277 10  4 0000   -2.6 1003.4  444.0  444.0   97.0  444.0
