Year: 2013  Month: 06  ID: CHA  ARGOS: 28338  Name: Cape Hallett        
Lat: 72.19S  Lon: 170.17E  Elev:    1m
2013 152  6  1 0000  -23.8  995.2    0.4  199.0   78.1  444.0
2013 152  6  1 0100  -22.5  995.0    0.7  230.0   72.3  444.0
2013 152  6  1 0200  -22.0  995.1    0.3  145.0   69.0  444.0
2013 152  6  1 0300  -21.4  995.1    0.3  161.0   64.7  444.0
2013 152  6  1 0400  -24.3  995.4    0.1  220.0   77.0  444.0
2013 152  6  1 0500  -23.3  995.3    0.1  208.0   74.4  444.0
2013 152  6  1 0600  -20.9  995.6    2.2  116.0   63.0  444.0
2013 152  6  1 0700  -22.2  995.7    1.2  360.0   68.9  444.0
2013 152  6  1 0800  -21.8  995.9    2.1   39.0   62.8  444.0
2013 152  6  1 0900  -20.9  995.9    5.3  145.0   58.0  444.0
2013 152  6  1 1000  -21.7  996.3    3.0  121.0   66.0  444.0
2013 152  6  1 1100  -24.6  996.6    2.3   59.0   73.0  444.0
2013 152  6  1 1200  -22.0  997.4    0.4  221.0   63.4  444.0
2013 152  6  1 1300  -22.3  997.2    0.9  124.0   65.5  444.0
2013 152  6  1 1400  -24.8  997.1    1.6   28.0   71.0  444.0
2013 152  6  1 1500  -25.7  997.2    0.8  263.0   75.0  444.0
2013 152  6  1 1600  -25.2  997.8    0.0    0.0   74.0  444.0
2013 152  6  1 1700  -24.3  997.9    0.5  112.0   71.5  444.0
2013 152  6  1 1800  -22.9  997.5    0.5  122.0   70.0  444.0
2013 152  6  1 1900  -23.0  996.8    1.2   54.0   69.0  444.0
2013 152  6  1 2000  -22.7  996.8    3.9  135.0   67.0  444.0
2013 152  6  1 2100  -25.4  996.9    0.5  219.0   77.0  444.0
2013 152  6  1 2200  -25.6  996.4    0.0    0.0   73.6  444.0
2013 152  6  1 2300  -26.2  995.9    0.7  243.0   76.1  444.0
2013 153  6  2 0000  -25.4  995.6    0.8  211.0   73.0  444.0
2013 153  6  2 0100  -24.9  995.3    0.0    0.0   72.0  444.0
2013 153  6  2 0200  -23.2  994.6    1.7  160.0   69.0  444.0
2013 153  6  2 0300  -22.9  994.3    2.4  148.0   71.6  444.0
2013 153  6  2 0400  -24.0  993.8    0.1  143.0   74.0  444.0
2013 153  6  2 0500  -23.5  993.3    0.8  151.0   75.1  444.0
2013 153  6  2 0600  -23.2  992.7    3.2  125.0   63.0  444.0
2013 153  6  2 0700  -23.4  992.3    5.4  134.0   65.0  444.0
2013 153  6  2 0800  -23.6  992.2    2.1  185.0   72.8  444.0
2013 153  6  2 0900  -23.8  991.6    0.8   95.0   75.0  444.0
2013 153  6  2 1000  -24.0  991.4    0.6  321.0   73.6  444.0
2013 153  6  2 1100  -24.6  990.8    1.6  200.0   76.0  444.0
2013 153  6  2 1200  -24.8  990.5    0.8  186.0   73.0  444.0
2013 153  6  2 1300  -25.6  989.8    1.1  202.0   74.0  444.0
2013 153  6  2 1400  -25.5  989.7    1.5  214.0   76.0  444.0
2013 153  6  2 1500  -26.4  989.3    0.6  182.0   75.6  444.0
2013 153  6  2 1600  -26.4  988.9    1.3   36.0   75.0  444.0
2013 153  6  2 1700  -26.9  989.0    0.6  162.0   71.0  444.0
2013 153  6  2 1800  -27.1  988.7    0.4  135.0   70.0  444.0
2013 153  6  2 1900  -27.5  988.6    1.2  173.0   73.0  444.0
2013 153  6  2 2000  -28.6  988.5    0.0    0.0   65.5  444.0
2013 153  6  2 2100  -29.1  988.4    0.0    0.0   72.5  444.0
2013 153  6  2 2200  -29.9  988.7    0.2  243.0   71.0  444.0
2013 153  6  2 2300  -29.8  988.7    0.4  314.0   68.0  444.0
2013 154  6  3 0000  -29.2  988.8    0.3  226.0   60.0  444.0
2013 154  6  3 0100  -30.2  989.1    0.7  198.0   72.1  444.0
2013 154  6  3 0200  -27.5  988.9    0.9  193.0   58.6  444.0
2013 154  6  3 0300  -30.0  989.3    0.4  176.0   68.0  444.0
2013 154  6  3 0400  -29.6  989.7    1.2  208.0   67.0  444.0
2013 154  6  3 0500  -27.8  989.7    1.4  235.0   58.1  444.0
2013 154  6  3 0600  -28.1  990.1    2.0  205.0   58.4  444.0
2013 154  6  3 0700  -28.1  990.4    0.7  272.0   61.0  444.0
2013 154  6  3 0800  -28.1  990.6    0.0    0.0   61.0  444.0
2013 154  6  3 0900  -27.5  990.9    2.2  232.0   56.2  444.0
2013 154  6  3 1000  -24.3  991.3    1.8  218.0   51.0  444.0
2013 154  6  3 1100  -25.4  991.5    0.5  107.0   49.0  444.0
2013 154  6  3 1200  -23.4  991.8    1.1  231.0   56.0  444.0
2013 154  6  3 1300  -23.2  992.4    2.6  101.0   44.7  444.0
2013 154  6  3 1400  -25.2  993.1    2.9   56.0   56.0  444.0
2013 154  6  3 1500  -23.7  993.2    2.8  229.0   52.0  444.0
2013 154  6  3 1600  -23.6  993.5    1.3  261.0   50.0  444.0
2013 154  6  3 1700  -23.5  994.5    0.8  142.0   46.0  444.0
2013 154  6  3 1800  -23.1  994.7    5.7  222.0   48.9  444.0
2013 154  6  3 1900  -23.2  995.4    3.3   28.0   49.0  444.0
2013 154  6  3 2000  -24.2  996.2    0.7  115.0   48.0  444.0
2013 154  6  3 2100  -24.3  996.7    2.4  212.0   52.0  444.0
2013 154  6  3 2200  -26.2  997.0    1.3  217.0   54.0  444.0
2013 154  6  3 2300  -27.3  997.1    1.5  223.0   59.5  444.0
2013 155  6  4 0000  -24.2  997.2    3.6  209.0   45.3  444.0
2013 155  6  4 0100  -23.6  997.8    1.9  206.0   47.0  444.0
2013 155  6  4 0200  -24.2  997.8    1.0  207.0   46.1  444.0
2013 155  6  4 0300  -23.7  998.2    2.5  141.0   42.9  444.0
2013 155  6  4 0400  -23.7  998.4    1.2  147.0   44.0  444.0
2013 155  6  4 0500  -25.1  998.2    0.9  258.0   46.9  444.0
2013 155  6  4 0600  -27.6  998.4    0.2  280.0   56.4  444.0
2013 155  6  4 0700  -28.5  998.2    1.1  274.0   60.0  444.0
2013 155  6  4 0800  -27.6  998.0    1.4  211.0   53.2  444.0
2013 155  6  4 0900  -26.8  998.1    1.5   39.0   53.0  444.0
2013 155  6  4 1000  -26.9  998.2    1.2  212.0   50.0  444.0
2013 155  6  4 1100  -25.8  998.5    1.1  208.0   43.8  444.0
2013 155  6  4 1200  -24.4  999.1    0.6  209.0   40.0  444.0
2013 155  6  4 1300  -25.6  999.0    0.6  194.0   47.0  444.0
2013 155  6  4 1400  -25.7  999.0    1.0  207.0   47.0  444.0
2013 155  6  4 1500  -27.2  999.0    0.9  209.0   55.0  444.0
2013 155  6  4 1600  -27.9  999.3    0.3  226.0   59.6  444.0
2013 155  6  4 1700  -28.0  999.7    0.0    0.0   55.0  444.0
2013 155  6  4 1800  -28.4  999.6    1.9  253.0   61.0  444.0
2013 155  6  4 1900  -27.0 1000.0    1.8  223.0   56.0  444.0
2013 155  6  4 2000  -25.2 1000.3    0.7  220.0   45.0  444.0
2013 155  6  4 2100  -28.1 1000.5    0.7  239.0   57.0  444.0
2013 155  6  4 2200  -27.1 1000.7    0.3  258.0   53.8  444.0
2013 155  6  4 2300  -28.4 1001.4    0.0    0.0   64.0  444.0
2013 156  6  5 0000  -28.8 1001.6    1.3  230.0   66.0  444.0
2013 156  6  5 0100  -28.1 1001.9    1.5  234.0   62.0  444.0
2013 156  6  5 0200  -29.1 1002.3    1.3  224.0   64.0  444.0
2013 156  6  5 0300  -28.5 1002.5    2.2  214.0   62.1  444.0
2013 156  6  5 0400  -28.1 1002.6    2.2  227.0   59.2  444.0
2013 156  6  5 0500  -28.8 1002.9    1.3  249.0   63.0  444.0
2013 156  6  5 0600  -27.4 1003.6    1.7  206.0   52.0  444.0
2013 156  6  5 0700  -28.4 1003.7    2.4  225.0   58.0  444.0
2013 156  6  5 0800  -28.2 1003.9    1.7  237.0   58.6  444.0
2013 156  6  5 0900  -27.6 1004.3    1.8  208.0   55.6  444.0
2013 156  6  5 1000  -28.3 1004.5    1.2  223.0   59.0  444.0
2013 156  6  5 1100  -28.6 1004.5    1.5  223.0   60.0  444.0
2013 156  6  5 1200  -29.5 1004.9    1.0  276.0   63.0  444.0
2013 156  6  5 1300  -28.4 1005.1    1.8  203.0   61.2  444.0
2013 156  6  5 1400  -28.4 1004.9    2.2  215.0   62.1  444.0
2013 156  6  5 1500  -27.4 1005.0    1.8  220.0   59.0  444.0
2013 156  6  5 1600  -26.5 1004.9    1.3  234.0   57.0  444.0
2013 156  6  5 1700  -25.7 1004.8    0.9  200.0   62.0  444.0
2013 156  6  5 1800  -27.8 1005.1    0.1  148.0   66.8  444.0
2013 156  6  5 1900  -28.9 1005.1    1.6  226.0   69.0  444.0
2013 156  6  5 2000  -29.4 1005.1    0.3  181.0   70.0  444.0
2013 156  6  5 2100  -27.7 1004.7    0.1  123.0   67.0  444.0
2013 156  6  5 2200  -27.8 1004.8    0.9  207.0   65.7  444.0
