Year: 2013  Month: 07  ID: CHA  ARGOS: 28338  Name: Cape Hallett        
Lat: 72.19S  Lon: 170.17E  Elev:    1m
2013 185  7  4 1200  -29.9  987.5    1.3  218.0   73.0  444.0
2013 185  7  4 1300  -28.5  988.0    0.7  218.0   74.0  444.0
2013 185  7  4 1400  -27.8  988.6    0.3  275.0   74.0  444.0
2013 185  7  4 1500  -27.9  989.4    1.0  221.0   73.3  444.0
2013 185  7  4 1600  -27.9  990.1    1.1  231.0   73.0  444.0
2013 185  7  4 1700  -27.8  990.6    0.3  227.0   74.0  444.0
2013 185  7  4 1800  -28.3  991.0    0.0    0.0   73.8  444.0
2013 185  7  4 1900  -27.9  992.1    0.0    0.0   73.0  444.0
2013 185  7  4 2000  -27.8  992.5    0.9  228.0   73.0  444.0
2013 185  7  4 2100  -27.2  993.1    1.5  242.0   73.0  444.0
2013 185  7  4 2200  -26.1  994.0    1.8  260.0   73.0  444.0
2013 185  7  4 2300  -25.9  995.0    1.6  233.0   73.2  444.0
2013 186  7  5 0000  -25.2  995.1    2.1  223.0   72.0  444.0
2013 186  7  5 0100  -25.3  995.4    1.7  215.0   72.1  444.0
2013 186  7  5 0200  -25.2  995.9    2.3  225.0   72.0  444.0
2013 186  7  5 0300  -25.2  995.9    2.4  224.0   72.0  444.0
2013 186  7  5 0400  -25.1  995.8    1.7  235.0   72.6  444.0
2013 186  7  5 0500  -25.2  995.7    1.5  239.0   72.0  444.0
2013 186  7  5 0600  -24.8  996.0    1.3  232.0   70.6  444.0
2013 186  7  5 0700  -25.2  995.8    1.7  223.0   71.9  444.0
2013 186  7  5 0800  -25.1  995.3    2.6  215.0   71.0  444.0
2013 186  7  5 0900  -25.4  995.0    3.5  203.0   71.0  444.0
2013 186  7  5 1000  -25.9  995.1    3.2  216.0   72.0  444.0
2013 186  7  5 1100  -25.7  995.0    2.5  216.0   70.9  444.0
2013 186  7  5 1200  -25.5  994.5    2.5  220.0   71.4  444.0
2013 186  7  5 1300  -26.1  994.3    0.7  291.0   72.0  444.0
2013 186  7  5 1400  -26.5  994.4    0.5  206.0   74.0  444.0
2013 186  7  5 1500  -26.8  994.2    1.5  220.0   74.0  444.0
2013 186  7  5 1600  -26.6  994.2    0.4  229.0   73.5  444.0
2013 186  7  5 1700  -26.6  993.7    0.7  207.0   73.0  444.0
2013 186  7  5 1800  -27.1  993.6    1.1  224.0   74.0  444.0
2013 186  7  5 1900  -26.8  993.5    1.9  217.0   73.0  444.0
2013 186  7  5 2000  -26.8  993.4    0.4  202.0   73.0  444.0
2013 186  7  5 2100  -26.6  993.0    1.8  222.0   71.5  444.0
2013 186  7  5 2200  -26.3  992.6    0.0    0.0   71.9  444.0
2013 186  7  5 2300  -26.3  992.5    0.9  234.0   73.0  444.0
2013 187  7  6 0000  -26.2  992.2    0.9  231.0   73.0  444.0
2013 187  7  6 0100  -26.2  991.5    0.7  241.0   70.8  444.0
2013 187  7  6 0200  -26.6  990.9    2.0  216.0   72.0  444.0
2013 187  7  6 0300  -25.3  990.4    1.8  203.0   73.6  444.0
2013 187  7  6 0400  -25.3  989.9    1.1  318.0   70.0  444.0
2013 187  7  6 0500  -25.5  989.4    1.0  234.0   72.0  444.0
2013 187  7  6 0600  -24.9  989.0    0.3  206.0   76.0  444.0
2013 187  7  6 0700  -24.8  989.6    0.1  175.0   73.8  444.0
2013 187  7  6 0800  -24.7  989.9    0.2  133.0   76.6  444.0
2013 187  7  6 0900  -23.5  990.8    0.6  167.0   76.3  444.0
2013 187  7  6 1000  -26.0  991.7    0.0    0.0   74.0  444.0
2013 187  7  6 1100  -24.9  992.0    1.8   36.0   77.0  444.0
2013 187  7  6 1200  -23.4  992.6    0.9   77.0   76.0  444.0
2013 187  7  6 1300  -25.4  993.0    0.2  212.0   75.0  444.0
2013 187  7  6 1400  -23.4  993.4    0.8  256.0   74.1  444.0
2013 187  7  6 1500  -23.2  993.8    1.2  191.0   76.0  444.0
2013 187  7  6 1600  -24.4  993.8    1.4  235.0   77.0  444.0
2013 187  7  6 1700  -26.5  994.2    0.5  225.0   76.0  444.0
2013 187  7  6 1800  -25.5  994.2    0.5  274.0   77.6  444.0
2013 187  7  6 1900  -27.1  994.5    1.2  234.0   74.9  444.0
2013 187  7  6 2000  -27.2  995.0    0.1  290.0   75.4  444.0
2013 187  7  6 2100  -26.4  995.6    0.6  208.0   77.0  444.0
2013 187  7  6 2200  -26.5  996.0    1.6  222.0   76.0  444.0
