Year: 2013  Month: 01  ID: HUG  ARGOS:  8935  Name: Hugo Island         
Lat: 64.97S  Lon:  64.67W  Elev:   25m
2013   1  1  1 0000    1.3 1004.2    3.6   58.0   97.0  444.0
2013   1  1  1 0100    1.3 1002.9    4.8   62.0   97.0  444.0
2013   1  1  1 0200    1.4 1002.1    5.1   56.0   97.0  444.0
2013   1  1  1 0300    1.4 1001.0    5.7   55.0   97.5  444.0
2013   1  1  1 0400    1.5 1000.2    6.4   56.0   98.0  444.0
2013   1  1  1 0500    1.6  999.4    6.7   52.0   98.0  444.0
2013   1  1  1 0600    1.6  998.7    6.1   48.0   98.0  444.0
2013   1  1  1 0700    1.7  997.9    6.1   54.0   98.0  444.0
2013   1  1  1 0800    1.7  997.4    7.0   54.0   98.2  444.0
2013   1  1  1 0900    1.6  996.7    6.5   45.0   98.0  444.0
2013   1  1  1 1000    1.5  996.2    6.8   27.0   98.0  444.0
2013   1  1  1 1100    1.2  995.8    6.8    1.0   98.3  444.0
2013   1  1  1 1200    1.0  995.7    5.4  352.0   98.1  444.0
2013   1  1  1 1300    1.0  995.3    5.5  332.0   98.2  444.0
2013   1  1  1 1400    1.1  995.3    6.2  312.0   98.0  444.0
2013   1  1  1 1500    1.0  995.3    6.0  303.0   98.0  444.0
2013   1  1  1 1600    1.1  995.3    6.6  298.0   97.9  444.0
2013   1  1  1 1700    1.2  995.3    7.0  292.0   94.0  444.0
2013   1  1  1 1800    1.3  995.6    7.6  291.0   91.8  444.0
2013   1  1  1 1900    1.4  995.7    7.8  290.0   90.0  444.0
2013   1  1  1 2000    1.2  995.9    6.8  288.0   92.0  444.0
2013   1  1  1 2100    1.0  995.9    8.6  295.0   94.2  444.0
2013   1  1  1 2200    0.8  996.0    9.2  294.0   94.0  444.0
2013   1  1  1 2300    0.7  995.5    9.2  295.0   94.2  444.0
2013   2  1  2 0000    0.7  996.0    8.9  293.0   92.0  444.0
2013   2  1  2 0100    0.7  995.7    8.1  289.0   93.5  444.0
2013   2  1  2 0200    0.5  995.9    9.1  296.0   95.0  444.0
2013   2  1  2 0300    0.4  995.6   10.0  301.0   95.0  444.0
2013   2  1  2 0400    0.5  995.6    9.6  299.0   95.0  444.0
2013   2  1  2 0500    0.4  995.4    8.6  299.0   96.0  444.0
2013   2  1  2 0600    0.3  995.3    8.5  295.0   97.0  444.0
2013   2  1  2 0700    0.3  995.4    8.3  297.0   98.0  444.0
2013   2  1  2 0800    0.2  995.1    8.6  294.0   98.0  444.0
2013   2  1  2 0900    0.2  995.3    7.8  295.0   97.9  444.0
2013   2  1  2 1000    0.3  995.1    7.2  295.0   98.0  444.0
2013   2  1  2 1100    0.4  994.9    6.1  296.0   97.5  444.0
2013   2  1  2 1200    0.5  994.6    7.1  298.0   97.0  444.0
2013   2  1  2 1300    0.7  994.5    5.4  293.0   94.0  444.0
2013   2  1  2 1400    0.6  994.4    5.9  302.0   96.0  444.0
2013   2  1  2 1500    0.7  994.4    6.3  301.0   95.4  444.0
2013   2  1  2 1600    0.3  994.0    7.8  311.0   97.0  444.0
2013   2  1  2 1700    0.5  994.4    6.1  306.0   98.0  444.0
2013   2  1  2 1800    0.9  994.3    4.6  303.0   94.0  444.0
2013   2  1  2 1900    0.9  994.4    5.3  309.0   89.7  444.0
2013   2  1  2 2000    0.9  994.2    4.1  309.0   89.0  444.0
2013   2  1  2 2100    0.6  994.3    3.6  312.0   90.1  444.0
2013   2  1  2 2200    0.7  994.0    3.1  299.0   89.0  444.0
2013   2  1  2 2300    0.3  993.7    2.6  314.0   91.0  444.0
2013   3  1  3 0000    0.2  993.7    3.9   24.0   95.0  444.0
2013   3  1  3 0100   -0.3  993.3    2.7   13.0   94.0  444.0
2013   3  1  3 0200   -0.3  993.3    4.0   46.0   95.0  444.0
2013   3  1  3 0300   -0.7  993.2    4.3   66.0   96.0  444.0
2013   3  1  3 0400   -1.2  993.2    3.9   42.0   97.0  444.0
2013   3  1  3 0500   -1.0  992.9    5.8   66.0   97.0  444.0
2013   3  1  3 0600   -0.6  992.4    6.6   74.0   98.0  444.0
2013   3  1  3 0700   -0.1  992.2    7.4   62.0   96.0  444.0
2013   3  1  3 0800    0.4  992.2    8.4   55.0   94.0  444.0
2013   3  1  3 0900    0.5  991.9    8.8   66.0   93.2  444.0
2013   3  1  3 1000    0.4  992.2    8.8   59.0   93.0  444.0
2013   3  1  3 1100    0.6  992.0    8.7   55.0   92.0  444.0
2013   3  1  3 1200    0.8  991.8    8.1   61.0   91.0  444.0
2013   3  1  3 1300    0.9  991.4    8.8   63.0   88.7  444.0
2013   3  1  3 1400    1.2  991.4    8.4   76.0   87.8  444.0
2013   3  1  3 1500    1.2  991.4    8.1   74.0   87.0  444.0
2013   3  1  3 1600    1.2  991.0    8.9   74.0   85.0  444.0
2013   3  1  3 1700    1.4  991.2    8.5   62.0   85.8  444.0
2013   3  1  3 1800    1.6  991.1    8.4   65.0   85.0  444.0
