Year: 2013  Month: 01  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.83W  Elev:   10m
2013   1  1  1 0000    0.9 1001.8  444.0  444.0   94.4  444.0
2013   1  1  1 0010    0.9  444.0  444.0  444.0   94.6  444.0
2013   1  1  1 0020    0.9 1001.8  444.0  444.0   94.6  444.0
2013   1  1  1 0030    0.9 1001.8  444.0  444.0   94.5  444.0
2013   1  1  1 0040    0.9 1001.8  444.0  444.0   94.5  444.0
2013   1  1  1 0050    0.9 1001.1  444.0  444.0   94.7  444.0
2013   1  1  1 0100    0.9 1001.1  444.0  444.0   94.7  444.0
2013   1  1  1 0110    0.9 1001.1  444.0  444.0   94.7  444.0
2013   1  1  1 0120    0.9 1001.1  444.0  444.0   94.7  444.0
2013   1  1  1 0130  444.0  444.0  444.0  444.0  444.0  444.0
2013   1  1  1 0140    0.9 1001.1  444.0  444.0   94.7  444.0
2013   1  1  1 0150    0.9  444.0  444.0  444.0   94.7  444.0
2013   1  1  1 0200    0.9 1000.4  444.0  444.0   94.7  444.0
2013   1  1  1 0210    0.9 1000.4  444.0  444.0   95.1  444.0
2013   1  1  1 0220    0.9 1000.4  444.0  444.0   95.1  444.0
2013   1  1  1 0230    0.9 1000.4  444.0  444.0   95.1  444.0
2013   1  1  1 0240    1.0 1000.4  444.0  444.0   95.5  444.0
2013   1  1  1 0250    1.0 1000.4  444.0  444.0   95.5  444.0
2013   1  1  1 0300    1.0 1000.4  444.0  444.0   95.5  444.0
2013   1  1  1 0310  444.0  444.0  444.0  444.0  444.0  444.0
2013   1  1  1 0320    0.9  999.7  444.0  444.0   95.3  444.0
2013   1  1  1 0330    1.0  444.0  444.0  444.0   95.6  444.0
2013   1  1  1 0340    0.9  999.7  444.0  444.0   95.6  444.0
2013   1  1  1 0350    0.9  999.7  444.0  444.0   95.3  444.0
2013   1  1  1 0400    0.9  999.7  444.0  444.0   95.3  444.0
2013   1  1  1 0410    0.8  999.1  444.0  444.0   95.6  444.0
2013   1  1  1 0420    0.9  999.1  444.0  444.0   95.6  444.0
2013   1  1  1 0430    0.9  999.1  444.0  444.0   95.8  444.0
2013   1  1  1 0440    0.9  999.1  444.0  444.0   95.8  444.0
2013   1  1  1 0450  444.0  444.0  444.0  444.0  444.0  444.0
2013   1  1  1 0500    0.9  998.4  444.0  444.0   96.0  444.0
2013   1  1  1 0510    0.9  444.0  444.0  444.0  444.0  444.0
2013   1  1  1 0520    0.9  998.4  444.0  444.0   96.1  444.0
2013   1  1  1 0530    0.8  998.4  444.0  444.0   96.2  444.0
2013   1  1  1 0540    0.8  998.4  444.0  444.0   96.2  444.0
2013   1  1  1 0550    0.9  998.4  444.0  444.0   96.3  444.0
2013   1  1  1 0600    0.9  998.4  444.0  444.0   96.3  444.0
2013   1  1  1 0610  444.0  444.0  444.0  444.0  444.0  444.0
2013   1  1  1 0620    0.9  998.4  444.0  444.0   96.3  444.0
2013   1  1  1 0630  444.0  444.0  444.0  444.0  444.0  444.0
2013   1  1  1 0640    0.8  998.4  444.0  444.0   96.4  444.0
2013   1  1  1 0650    0.8  444.0  444.0  444.0   96.3  444.0
2013   1  1  1 0700    0.9  998.4  444.0  444.0   96.3  444.0
2013   1  1  1 0710    0.9  998.4  444.0  444.0   96.3  444.0
2013   1  1  1 0720    0.9  998.4  444.0  444.0   96.3  444.0
2013   1  1  1 0730    0.9  997.7  444.0  444.0   96.5  444.0
2013   1  1  1 0740    1.0  997.7  444.0  444.0   96.5  444.0
2013   1  1  1 0750  444.0  444.0  444.0  444.0  444.0  444.0
2013   1  1  1 0800    1.0  997.7  444.0  444.0   96.5  444.0
2013   1  1  1 0810  444.0  444.0  444.0  444.0  444.0  444.0
2013   1  1  1 0820    1.1  997.7  444.0  444.0   96.7  444.0
2013   1  1  1 0830    1.1  444.0  444.0  444.0   96.6  444.0
2013   1  1  1 0840    1.1  997.7  444.0  444.0   96.6  444.0
2013   1  1  1 0850    1.0  997.7  444.0  444.0   96.6  444.0
2013   1  1  1 0900    1.0  997.7  444.0  444.0   96.6  444.0
2013   1  1  1 0910    1.0  997.0  444.0  444.0   96.7  444.0
2013   1  1  1 0920    1.0  997.0  444.0  444.0   96.7  444.0
2013   1  1  1 0930    1.1  444.0  444.0  444.0   96.9  444.0
2013   1  1  1 0940    1.1  997.0  444.0  444.0   96.8  444.0
2013   1  1  1 0950    1.0  997.0  444.0  444.0   96.6  444.0
2013   1  1  1 1000    1.0  997.0  444.0  444.0   96.6  444.0
2013   1  1  1 1010    0.9  997.0  444.0  444.0   96.7  444.0
2013   1  1  1 1020    0.9  997.0  444.0  444.0   96.7  444.0
2013   1  1  1 1030    1.0  997.0  444.0  444.0   96.7  444.0
2013   1  1  1 1040    1.0  997.0  444.0  444.0   96.7  444.0
2013   1  1  1 1050    0.9  997.0  444.0  444.0   96.4  444.0
2013   1  1  1 1100    0.9  997.0  444.0  444.0   96.4  444.0
2013   1  1  1 1110    0.9  444.0  444.0  444.0   96.9  444.0
2013   1  1  1 1120    0.9  444.0  444.0  444.0   96.9  444.0
2013   1  1  1 1130    0.7  997.0  444.0  444.0   96.9  444.0
2013   1  1  1 1140    0.7  997.0  444.0  444.0   96.9  444.0
2013   1  1  1 1150    0.9  996.3  444.0  444.0   96.9  444.0
2013   1  1  1 1200    0.9  996.3  444.0  444.0   96.9  444.0
2013   1  1  1 1210  444.0  444.0  444.0  444.0  444.0  444.0
2013   1  1  1 1220    0.9  996.3  444.0  444.0   96.9  444.0
