sitename,latitude,longitude,2009_1,2009_2,2009_3,2009_4,2009_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2010_1,2010_2,2010_3,2010_4,2010_5,2010_6,2010_7,2010_8,2010_9,2010_10,2010_11,2010_12,2011_1,2011_2,2011_3,2011_4,2011_5,2011_6,2011_7,2011_8,2011_9,2011_10,2011_11,2011_12,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,2016_1,2016_2,2016_3,2016_4,2016_5,2016_6,2016_7,2016_8,2016_9,2016_10,2016_11,2016_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry,-89.001,-0.391,-2.9,-11.5,-20.1,-23,-24.9,-24.6,-23.1,-25.2,-25.3,-21.6,-9.3,-3.3,-3.5,-10.5,-17.6,-24.4,-26.9,-28.7,-29.6,-26.9,-27.3,-19.2,-9.5,-1.9,-3.1,-9.3,-19.2,-22.5,-25.4,-24.3,-23.5,-22.5,-22.6,,,,,-10.2,-18.9,-25,-21.6,-23.6,-27.8,-23.3,-24.6,-19,-9.3,-1.7,-2.8,-11.9,-18.8,-25.4,-23.4,-24.5,-29.1,-25.8,-22,-18.4,-8.8,-1.2,-1.3,-10.6,-20.1,-22.9,-21,-26.1,-27.9,-23.6,-22.1,-16.9,-9.3,-3.2,-3.2,-8.8,-18.2,-24.9,-25.2,-25.8,-27.3,-26.1,-26.5,-17.2,-10.2,-2.1,-2.4,-10.3,-19.7,-26.1,-22.7,-27.3,-26.7,-24.5,-24.7,-19.8,-7.1,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byrd,-80.011,-119.438,-13.3,-20.0,-23.9,-27.5,-32.5,-33.6,-26.1,-33.1,-35.6,-30.2,-15.8,-11.0,-13.1,-17.7,-21.3,-29.2,-35.3,-35.4,-40.2,-31.0,-33.0,-27.6,-21.8,-13.9,-15.0,-21.8,-26.0,-30.4,-31.6,-33.9,-23.4,-29.2,-38.4,-26.2,-20.0,-14.8,-15.4,-19.0,-24.1,-29.8,-26.7,-37.3,-37.1,-36.3,-33.8,-27.0,-22.0,-11.8,-12.4,-19.8,-21.8,-36.6,-32.9,-40.1,-38.2,-33.6,-34.0,-28.4,-23.7,-13.3,-14.2,-21.5,-28.1,-31.4,-26.7,-33.0,-38.3,-29.4,-25.7,-25.2,-24.6,-17.9,-13.3,-17.4,-27.8,-36.9,-27.5,-36.2,-38.3,-42.5,-32.3,-25.9,-23.1,-15.5,-12.2,-22.8,-30.7,-31.4,-29.7,-34.3,-31.7,-33.9,-37.4,-24.8,-21.0,-12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
