Year: 2015  Month: 08  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.50S  Lon: 170.79E  Elev:   34m
2015 213  8  1 0000  -29.9  984.3    3.1  128.0   80.8  444.0
2015 213  8  1 0100  -30.6  984.9    2.7  160.0   80.4  444.0
2015 213  8  1 0200  -29.0  985.4   11.1  172.0   81.7  444.0
2015 213  8  1 0300  -31.4  985.3   13.6  180.0   79.1  444.0
2015 213  8  1 0400  -32.6  986.8   13.6  186.0   77.8  444.0
2015 213  8  1 0500  -36.0  989.4   12.5  193.0   74.2  444.0
2015 213  8  1 0600  -36.8  990.1   14.4  191.0   73.4  444.0
2015 213  8  1 0700  -39.4  990.9   16.0  188.0   69.0  444.0
2015 213  8  1 0800  -41.6  991.8   13.3  176.0   67.2  444.0
2015 213  8  1 0900  -42.2  993.0   12.1  181.0   66.8  444.0
2015 213  8  1 1000  -41.2  994.6    9.8  209.0   67.6  444.0
2015 213  8  1 1100  -42.2  995.6    8.2  176.0   66.3  444.0
2015 213  8  1 1200  -42.8  997.2    4.7  252.0   65.9  444.0
2015 213  8  1 1300  -41.6  997.8    8.4  219.0   66.8  444.0
2015 213  8  1 1400  -41.1  998.8    7.0  197.0   67.2  444.0
2015 213  8  1 1500  -41.1  999.0    6.0  188.0   67.2  444.0
2015 213  8  1 1600  -41.6  999.4    2.9  170.0   66.3  444.0
2015 213  8  1 1700  -40.1  999.0    1.6  141.0   68.5  444.0
2015 213  8  1 1800  -40.9  999.3    1.0  134.0   67.2  444.0
2015 213  8  1 1900  -40.5  999.2    3.1   87.0   67.6  444.0
2015 213  8  1 2000  -38.4  998.9    3.7   60.0   72.0  444.0
2015 213  8  1 2100  -33.9  998.8    2.9  333.0   74.2  444.0
2015 213  8  1 2200  -33.8  998.8    4.9  325.0   77.3  444.0
2015 213  8  1 2300  -32.4  999.0    4.1  326.0   78.2  444.0
2015 214  8  2 0000  -30.8  998.6    5.1  335.0   80.8  444.0
2015 214  8  2 0100  -32.2  998.5    3.1  322.0   78.2  444.0
2015 214  8  2 0200  -31.8  998.0    3.9  347.0   78.2  444.0
2015 214  8  2 0300  -32.2  998.0    5.1  346.0   78.2  444.0
2015 214  8  2 0400  -31.6  997.4    4.1  329.0   80.0  444.0
2015 214  8  2 0500  -32.2  997.6    1.8  350.0   76.9  444.0
2015 214  8  2 0600  -30.9  997.9    4.7  344.0   81.3  444.0
2015 214  8  2 0700  -28.8  998.0    5.3  333.0   82.2  444.0
2015 214  8  2 0800  -28.0  997.9    5.1  333.0   84.4  444.0
2015 214  8  2 0900  -28.1  998.3    5.5  335.0   83.0  444.0
2015 214  8  2 1000  -28.0  999.0    4.1  347.0   83.5  444.0
2015 214  8  2 1100  -27.6  999.3    1.6  333.0   84.4  444.0
2015 214  8  2 1200  -28.9  999.5    0.6  119.0   82.2  444.0
2015 214  8  2 1300  -29.8 1000.0    2.3   94.0   80.4  444.0
2015 214  8  2 1400  -29.0  999.5    1.0   52.0   82.2  444.0
2015 214  8  2 1500  -25.8  999.3    2.7  100.0   85.2  444.0
2015 214  8  2 1600  -30.5  999.6    2.9  114.0   80.4  444.0
2015 214  8  2 1700  -30.0  999.4    3.3  118.0   80.8  444.0
2015 214  8  2 1800  -29.2 1000.0    2.7  117.0   81.7  444.0
2015 214  8  2 1900  -28.8 1000.9    3.1  110.0   82.6  444.0
2015 214  8  2 2000  -27.9 1000.8    2.9  110.0   83.0  444.0
2015 214  8  2 2100  -27.1 1000.9    3.5  121.0   83.9  444.0
2015 214  8  2 2200  -27.0 1002.4    2.9  132.0   84.8  444.0
2015 214  8  2 2300  -26.9 1003.2    3.5  134.0   84.8  444.0
2015 215  8  3 0000  -28.1 1004.1    3.7  146.0   83.0  444.0
2015 215  8  3 0100  -30.9 1004.5    3.5  153.0   80.0  444.0
2015 215  8  3 0200  -32.0 1004.7    4.1  141.0   79.1  444.0
2015 215  8  3 0300  -31.5 1005.2    4.3  150.0   78.6  444.0
2015 215  8  3 0400  -31.1 1006.4    3.3  125.0   79.5  444.0
2015 215  8  3 0500  -29.8 1007.4    3.3  119.0   81.3  444.0
2015 215  8  3 0600  -29.4 1008.0    3.7  153.0   81.7  444.0
2015 215  8  3 0700  -29.0 1007.1    5.7  152.0   82.2  444.0
2015 215  8  3 0800  -28.9 1007.8    4.1  186.0   82.2  444.0
2015 215  8  3 0900  -29.1 1008.5    6.0  191.0   82.2  444.0
2015 215  8  3 1000  -29.6 1008.1    6.0  186.0   81.3  444.0
2015 215  8  3 1100  -28.8 1008.3    4.5  181.0   82.2  444.0
2015 215  8  3 1200  -29.6 1008.1    6.2  180.0   81.7  444.0
2015 215  8  3 1300  -29.8 1008.4    5.7  177.0   81.3  444.0
2015 215  8  3 1400  -29.4 1008.4    6.4  180.0   81.7  444.0
2015 215  8  3 1500  -29.0 1008.2    6.2  191.0   82.2  444.0
2015 215  8  3 1600  -28.0 1007.8    7.4  205.0   83.5  444.0
2015 215  8  3 1700  -27.6 1007.5    6.2  181.0   83.9  444.0
2015 215  8  3 1800  -28.2 1007.3    6.4  188.0   82.6  444.0
2015 215  8  3 1900  -29.8 1007.0    5.3  195.0   80.8  444.0
2015 215  8  3 2000  -32.0 1006.8    4.7  167.0   78.2  444.0
2015 215  8  3 2100  -32.8 1007.0    4.1  214.0   77.8  444.0
2015 215  8  3 2200  -34.5 1006.9    4.3  212.0   75.1  444.0
2015 215  8  3 2300  -34.4 1006.9    4.5  179.0   75.1  444.0
2015 216  8  4 0000  -36.6 1006.4    3.5  177.0   72.9  444.0
