Year: 2016  Month: 11  ID: CBD  ARGOS:  9504  Name: CAPE BIRD           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2016 309 11  4 1100  -16.0  988.7  444.0  444.0   74.7  444.0
2016 309 11  4 1200  -16.5  988.5  444.0  444.0   74.3  444.0
2016 309 11  4 1300  -18.7  988.5  444.0  444.0   72.9  444.0
2016 309 11  4 1400  -17.6  988.2  444.0  444.0   75.0  444.0
2016 309 11  4 1500  -17.5  988.2  444.0  444.0   77.3  444.0
2016 309 11  4 1600  -16.7  988.3  444.0  444.0   76.2  444.0
2016 309 11  4 1700  -20.3  988.5  444.0  444.0   76.1  444.0
2016 309 11  4 1800  -17.7  989.1  444.0  444.0   77.4  444.0
2016 309 11  4 1900  -19.1  989.6  444.0  444.0   77.1  444.0
2016 309 11  4 2000  -16.3  990.1  444.0  444.0   76.8  444.0
2016 309 11  4 2100  -16.3  990.5  444.0  444.0   75.8  444.0
2016 309 11  4 2200  -15.5  991.2  444.0  444.0   76.6  444.0
2016 309 11  4 2300  -14.2  991.2  444.0  444.0   75.2  444.0
2016 310 11  5 0000  -12.6  991.4  444.0  444.0   67.8  444.0
2016 310 11  5 0100  -11.8  991.3  444.0  444.0   60.1  444.0
2016 310 11  5 0200  -12.4  990.8  444.0  444.0   71.9  444.0
2016 310 11  5 0300  -12.2  991.3  444.0  444.0   62.3  444.0
2016 310 11  5 0400  -12.2  991.5  444.0  444.0   72.3  444.0
2016 310 11  5 0500  -12.1  991.7  444.0  444.0   73.9  444.0
2016 310 11  5 0600  -14.2  991.8  444.0  444.0   78.1  444.0
2016 310 11  5 0700  -14.0  991.9  444.0  444.0   79.7  444.0
2016 310 11  5 0800  -15.1  992.1  444.0  444.0   83.2  444.0
2016 310 11  5 0900  -15.2  992.4  444.0  444.0   82.6  444.0
2016 310 11  5 1000  -17.4  992.8  444.0  444.0   79.0  444.0
2016 310 11  5 1100  -18.1  993.0  444.0  444.0   81.0  444.0
2016 310 11  5 1200  -16.8  993.1  444.0  444.0   78.0  444.0
2016 310 11  5 1300  -18.6  993.5  444.0  444.0   77.5  444.0
2016 310 11  5 1400  -18.8  994.1  444.0  444.0   77.4  444.0
2016 310 11  5 1500  -18.1  994.4  444.0  444.0   78.6  444.0
2016 310 11  5 1600  -19.0  994.7  444.0  444.0   79.8  444.0
2016 310 11  5 1700  -18.5  995.1  444.0  444.0   80.2  444.0
2016 310 11  5 1800  -17.9  995.8  444.0  444.0   81.0  444.0
2016 310 11  5 1900  -17.8  996.8  444.0  444.0   78.8  444.0
2016 310 11  5 2000  -17.9  997.2  444.0  444.0   77.7  444.0
