Year: 2016  Month: 08  ID: CBD  ARGOS: 99504  Name: Cape Bird           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2016 217  8  4 1100  -33.5 1003.6  444.0  444.0   62.7  444.0
2016 217  8  4 1200  -31.3 1003.2  444.0  444.0   61.4  444.0
2016 217  8  4 1300  -30.6 1002.9  444.0  444.0   65.0  444.0
2016 217  8  4 1400  -30.5 1001.9  444.0  444.0   63.8  444.0
2016 217  8  4 1500  -31.6 1001.7  444.0  444.0   61.8  444.0
2016 217  8  4 1600  -30.4 1001.2  444.0  444.0   66.2  444.0
2016 217  8  4 1700  -30.0 1000.1  444.0  444.0   59.1  444.0
2016 217  8  4 1800  -33.1  999.9  444.0  444.0   63.1  444.0
2016 217  8  4 1900  -33.7  999.4  444.0  444.0   66.7  444.0
2016 217  8  4 2000  -33.0  999.6  444.0  444.0   67.4  444.0
2016 217  8  4 2100  -35.0  999.6  444.0  444.0   67.8  444.0
2016 217  8  4 2200  -34.8  999.1  444.0  444.0   67.6  444.0
2016 217  8  4 2300  -32.2  999.4  444.0  444.0   67.1  444.0
2016 218  8  5 0000  -32.9  999.1  444.0  444.0   69.3  444.0
2016 218  8  5 0100  -32.7  998.9  444.0  444.0   65.1  444.0
2016 218  8  5 0200  -27.9  998.6  444.0  444.0   46.5  444.0
2016 218  8  5 0300  -35.3  997.8  444.0  444.0   60.3  444.0
2016 218  8  5 0400  -34.6  997.3  444.0  444.0   60.6  444.0
2016 218  8  5 0500  -34.4  997.7  444.0  444.0   60.8  444.0
2016 218  8  5 0600  -34.9  998.0  444.0  444.0   62.9  444.0
2016 218  8  5 0700  -34.5  998.1  444.0  444.0   64.8  444.0
2016 218  8  5 0800  -35.0  998.0  444.0  444.0   64.6  444.0
2016 218  8  5 0900  -35.4  997.8  444.0  444.0   66.2  444.0
2016 218  8  5 1000  -35.3  997.5  444.0  444.0   67.8  444.0
2016 218  8  5 1100  -34.4  997.2  444.0  444.0   65.2  444.0
2016 218  8  5 1200  -35.4  997.4  444.0  444.0   67.2  444.0
2016 218  8  5 1300  -33.6  997.0  444.0  444.0   66.7  444.0
2016 218  8  5 1400  -33.6  997.0  444.0  444.0   67.4  444.0
2016 218  8  5 1500  -33.3  997.3  444.0  444.0   67.5  444.0
2016 218  8  5 1600  -33.6  997.7  444.0  444.0   63.5  444.0
2016 218  8  5 1700  -33.7  997.8  444.0  444.0   65.0  444.0
2016 218  8  5 1800  -34.1  998.5  444.0  444.0   67.0  444.0
2016 218  8  5 1900  -33.8  998.4  444.0  444.0   68.7  444.0
2016 218  8  5 2000  -32.7  998.2  444.0  444.0   67.2  444.0
2016 218  8  5 2100  -32.9  999.1  444.0  444.0   62.5  444.0
2016 218  8  5 2200  -32.4  999.6  444.0  444.0   59.5  444.0
2016 218  8  5 2300  -34.0  999.8  444.0  444.0   62.4  444.0
2016 219  8  6 0000  -31.9 1000.1  444.0  444.0   58.1  444.0
2016 219  8  6 0100  -35.9 1000.4  444.0  444.0   57.7  444.0
2016 219  8  6 0200  -36.8 1000.0  444.0  444.0   62.1  444.0
2016 219  8  6 0300  -37.5 1000.7  444.0  444.0   61.7  444.0
2016 219  8  6 0400  -31.4 1001.3  444.0  444.0   54.8  444.0
2016 219  8  6 0500  -36.2 1001.9  444.0  444.0   60.8  444.0
2016 219  8  6 0600  -36.6 1002.7  444.0  444.0   65.0  444.0
2016 219  8  6 0700  -37.3 1003.0  444.0  444.0   64.9  444.0
2016 219  8  6 0800  -36.9 1003.0  444.0  444.0   64.8  444.0
2016 219  8  6 0900  -37.0 1003.8  444.0  444.0   64.5  444.0
2016 219  8  6 1000  -36.5 1004.9  444.0  444.0   65.5  444.0
2016 219  8  6 1100  -34.8 1005.5  444.0  444.0   66.3  444.0
2016 219  8  6 1200  -34.0 1006.0  444.0  444.0   67.4  444.0
2016 219  8  6 1300  -33.6 1006.0  444.0  444.0   65.2  444.0
2016 219  8  6 1400  -33.3 1006.4  444.0  444.0   57.7  444.0
2016 219  8  6 1500  -32.5 1006.7  444.0  444.0   53.3  444.0
2016 219  8  6 1600  -32.4 1007.2  444.0  444.0   52.8  444.0
2016 219  8  6 1700  -31.5 1007.1  444.0  444.0   48.8  444.0
2016 219  8  6 1800  -31.6 1007.1  444.0  444.0   42.9  444.0
2016 219  8  6 1900  -32.9 1006.6  444.0  444.0   50.5  444.0
2016 219  8  6 2000  -32.8 1007.1  444.0  444.0   54.5  444.0
2016 219  8  6 2100  -35.6 1007.3  444.0  444.0   57.9  444.0
