Year: 2016  Month: 05  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.50S  Lon: 170.79E  Elev:   34m
2016 122  5  1 0000  -39.9 1004.3    8.4  207.0   69.4  444.0
2016 122  5  1 0100  -39.9 1004.6    8.6  180.0   69.4  444.0
2016 122  5  1 0200  -39.5 1004.8    8.6  184.0   70.3  444.0
2016 122  5  1 0300  -38.1 1005.1    9.2  181.0   71.6  444.0
2016 122  5  1 0400  -37.8 1005.3    8.8  186.0   71.6  444.0
2016 122  5  1 0500  -38.5 1005.3    7.8  186.0   69.8  444.0
2016 122  5  1 0600  -39.5 1005.3    5.8  187.0   69.0  444.0
2016 122  5  1 0700  -40.5 1005.2    5.1  195.0   68.5  444.0
2016 122  5  1 0800  -41.5 1005.0    3.9  226.0   67.6  444.0
2016 122  5  1 0900  -40.5 1004.7    5.3  229.0   68.5  444.0
2016 122  5  1 1000  -38.9 1004.5    3.5  229.0   69.8  444.0
2016 122  5  1 1100  -38.9 1004.4    4.1  229.0   69.0  444.0
2016 122  5  1 1200  -39.8 1003.9    5.5  179.0   68.1  444.0
2016 122  5  1 1300  -40.1 1003.6    2.7  215.0   68.1  444.0
2016 122  5  1 1400  -40.9 1003.0    2.9  228.0   67.6  444.0
2016 122  5  1 1500  -42.1 1002.4    3.1  181.0   66.3  444.0
2016 122  5  1 1600  -42.8 1002.0    2.7  159.0   65.9  444.0
2016 122  5  1 1700  -43.0 1001.9    2.1  153.0   65.0  444.0
2016 122  5  1 1800  -43.9 1001.5    2.5  170.0   64.1  444.0
2016 122  5  1 1900  -44.1 1001.1    2.1  141.0   64.1  444.0
2016 122  5  1 2000  -44.5 1000.8    2.7  128.0   63.2  444.0
2016 122  5  1 2100  -45.9 1000.5    2.3  124.0   61.5  444.0
2016 122  5  1 2200  -46.6 1000.6    2.9  149.0   60.6  444.0
2016 122  5  1 2300  -47.0 1000.6    3.1  124.0   60.2  444.0
2016 123  5  2 0000  -47.6 1000.5    2.5  152.0   59.3  444.0
2016 123  5  2 0100  -47.9 1000.4    2.9  138.0   58.8  444.0
2016 123  5  2 0200  -48.0 1000.4    3.1  136.0   59.3  444.0
2016 123  5  2 0300  -48.9 1000.5    2.5  148.0   58.0  444.0
2016 123  5  2 0400  -49.9 1000.6    2.3  149.0   57.1  444.0
2016 123  5  2 0500  -50.2 1000.6    2.3  142.0   56.2  444.0
2016 123  5  2 0600  -50.4 1000.9    2.7  138.0   56.2  444.0
2016 123  5  2 0700  -50.6 1001.2    2.7  141.0   55.8  444.0
2016 123  5  2 0800  -50.5 1001.2    2.3  148.0   55.8  444.0
2016 123  5  2 0900  -49.9 1001.2    2.3  148.0   56.2  444.0
