Year: 2016  Month: 11  ID: CHA  ARGOS: 99602  Name: CAPE HALLETT        
Lat: 72.19S  Lon: 170.17E  Elev:    1m
2016 309 11  4 1100  -17.7  996.5    0.6  229.1   89.0  444.0
2016 309 11  4 1200  -18.3  996.1    0.6  223.6   87.5  444.0
2016 309 11  4 1300  -18.0  995.9    0.4  229.4   91.2  444.0
2016 309 11  4 1400  -18.4  995.6    0.9  220.3   88.0  444.0
2016 309 11  4 1500  -15.8  994.9    1.8  220.6   85.7  444.0
2016 309 11  4 1600  -19.5  994.8    0.7  225.4   85.6  444.0
2016 309 11  4 1700  -16.7  994.7    0.3  248.3   87.1  444.0
2016 309 11  4 1800  -16.9  994.5    0.6  222.6   91.6  444.0
2016 309 11  4 1900  -15.0  994.7    0.1  217.6   89.8  444.0
2016 309 11  4 2000  -13.0  994.6    0.7  214.1   90.2  444.0
2016 309 11  4 2100  -14.5  994.8    0.4  211.7   86.0  444.0
2016 309 11  4 2200  -11.8  995.0    1.4  247.6   81.9  444.0
2016 309 11  4 2300  -10.3  995.3    1.5  248.4   80.6  444.0
2016 310 11  5 0000  -10.0  995.8    2.5  241.6   81.7  444.0
2016 310 11  5 0100   -9.8  997.0    3.9  208.0   85.1  444.0
2016 310 11  5 0200  444.0  997.8    1.1  309.3   75.8  444.0
2016 310 11  5 0300  -12.4  997.9    1.8  199.7   79.9  444.0
2016 310 11  5 0400  444.0  997.8    0.7  240.8   71.7  444.0
2016 310 11  5 0500   -9.4  997.7    0.9  231.0   77.7  444.0
2016 310 11  5 0600  -10.4  997.6    1.4  227.5   82.7  444.0
2016 310 11  5 0700  -11.2  997.4    1.4  232.2   86.0  444.0
2016 310 11  5 0800  -11.8  997.8    0.5  267.0   84.1  444.0
2016 310 11  5 0900  -12.6  998.3    0.0    0.0   77.6  444.0
2016 310 11  5 1000  -14.6  999.1    0.8  203.5   89.0  444.0
2016 310 11  5 1100  -16.2  999.7    0.3  262.2   88.3  444.0
2016 310 11  5 1200  -16.2 1000.1    0.6  218.0   90.5  444.0
2016 310 11  5 1300  444.0 1000.5    1.2  182.0   77.6  444.0
2016 310 11  5 1400  -14.1 1000.7    1.9  215.7   87.0  444.0
2016 310 11  5 1500  -12.0 1001.3    1.7  150.1   72.1  444.0
2016 310 11  5 1600  -12.5 1001.7    0.4   20.2   72.3  444.0
2016 310 11  5 1700  -13.1 1002.2    0.6  299.4   77.4  444.0
2016 310 11  5 1800  -13.2 1002.7    0.3  217.4   79.4  444.0
2016 310 11  5 1900  444.0 1003.2    0.0    0.0   74.0  444.0
2016 310 11  5 2000  444.0 1003.6    0.3  195.6   63.0  444.0
2016 310 11  5 2100  444.0 1004.0    0.4  150.6   53.3  444.0
2016 310 11  5 2200  444.0 1004.5    1.0  212.0   55.9  444.0
2016 310 11  5 2300  444.0 1004.9    1.3  302.2   56.5  444.0
2016 311 11  6 0000  444.0 1005.4    1.0  225.9   65.9  444.0
2016 311 11  6 0100  444.0 1005.9    0.8  224.9   56.6  444.0
2016 311 11  6 0200  444.0 1006.4    0.0    0.0   46.4  444.0
2016 311 11  6 0300  444.0 1006.8    0.7   38.2   42.4  444.0
2016 311 11  6 0400  444.0 1007.1    1.2  224.4   59.5  444.0
2016 311 11  6 0500  444.0 1007.3    0.0    0.0   47.3  444.0
2016 311 11  6 0600  444.0 1007.6    0.5  212.6   57.1  444.0
2016 311 11  6 0700  444.0 1007.9    0.7  245.2   54.2  444.0
2016 311 11  6 0800  444.0 1008.3    0.1  207.4   64.4  444.0
2016 311 11  6 0900  444.0 1008.4    0.2  276.3   69.5  444.0
2016 311 11  6 1000  -16.0 1008.7    0.0    0.0   74.6  444.0
2016 311 11  6 1100  -18.0 1008.8    0.1  219.5   84.0  444.0
2016 311 11  6 1200  -18.1 1008.5    1.2  240.0   86.1  444.0
2016 311 11  6 1300  -18.8 1008.5    0.8  218.0   81.3  444.0
2016 311 11  6 1400  -19.8 1008.4    1.8  229.3   82.4  444.0
2016 311 11  6 1500  -18.4 1008.3    0.7  231.3   81.9  444.0
2016 311 11  6 1600  444.0 1008.3    0.2  254.6   72.7  444.0
2016 311 11  6 1700  -19.0 1008.5    1.1  229.6   77.2  444.0
2016 311 11  6 1800  -20.9 1008.7    1.4  238.0   77.4  444.0
2016 311 11  6 1900  -18.9 1009.0    0.0    0.0   77.6  444.0
2016 311 11  6 2000  -16.2 1009.2    0.6  218.0   65.0  444.0
2016 311 11  6 2100  -12.9 1009.1    1.0  195.1   58.4  444.0
2016 311 11  6 2200  -11.2 1008.7    2.0  228.7   57.1  444.0
2016 311 11  6 2300  -11.3 1008.3    1.7  245.1   60.0  444.0
2016 312 11  7 0000   -8.4 1007.6    2.2  217.7   48.6  444.0
2016 312 11  7 0100   -7.5 1007.4    1.4  227.5   42.6  444.0
2016 312 11  7 0200  444.0 1007.5    1.1  225.9   57.8  444.0
2016 312 11  7 0300  444.0 1007.6    0.4  234.7   40.4  444.0
2016 312 11  7 0400  444.0 1007.8    0.6  218.6   59.6  444.0
2016 312 11  7 0500  444.0 1007.9    0.3   33.1   55.6  444.0
2016 312 11  7 0600  444.0 1008.4    1.2  227.9   69.6  444.0
2016 312 11  7 0700  444.0 1008.4    1.1  218.7   63.0  444.0
2016 312 11  7 0800  444.0 1008.3    0.9  233.0   61.1  444.0
2016 312 11  7 0900  -13.2 1008.0    2.7  229.1   76.9  444.0
2016 312 11  7 1000  -15.4 1008.2    0.7  263.7   77.9  444.0
2016 312 11  7 1100  -14.7 1008.2    0.1  149.8   75.0  444.0
2016 312 11  7 1200  -16.0 1008.2    0.4  203.6   77.0  444.0
2016 312 11  7 1300  -16.2 1007.7    1.6  230.5   77.0  444.0
2016 312 11  7 1400  -17.7 1007.0    2.7  230.3   81.6  444.0
2016 312 11  7 1500  -18.4 1006.4    2.2  234.5   80.7  444.0
2016 312 11  7 1600  -17.3 1006.0    1.0  223.4   77.5  444.0
2016 312 11  7 1700  -17.8 1005.4    0.8  240.3   75.9  444.0
2016 312 11  7 1800  -17.9 1005.3    0.4   56.6   77.2  444.0
2016 312 11  7 1900  -17.7 1004.8    0.1  163.5   73.9  444.0
2016 312 11  7 2000  -12.0 1004.4    1.2  212.9   62.2  444.0
2016 312 11  7 2100  -12.4 1003.7    2.5  244.3   76.0  444.0
2016 312 11  7 2200  -10.8 1003.0    1.2  248.5   74.3  444.0
2016 312 11  7 2300   -9.6 1002.3    1.7  248.1   74.9  444.0
2016 313 11  8 0000   -6.9 1001.6    1.1  254.3   65.2  444.0
2016 313 11  8 0100  444.0 1000.6    0.5  240.7   63.4  444.0
2016 313 11  8 0200  444.0 1000.1    1.4   33.0   73.6  444.0
2016 313 11  8 0300  444.0  999.5    0.6   34.9   67.4  444.0
2016 313 11  8 0400  444.0  998.4    1.2  240.6   75.7  444.0
2016 313 11  8 0500  444.0  997.4    1.5  233.0   79.5  444.0
2016 313 11  8 0600  444.0  997.4    0.2  333.7   67.0  444.0
2016 313 11  8 0700  444.0  997.2    1.6  230.6   74.0  444.0
2016 313 11  8 0800  444.0  996.8    0.4   17.7   75.4  444.0
2016 313 11  8 0900  444.0  996.3    0.1  184.7   61.4  444.0
2016 313 11  8 1000  444.0  996.3    0.5   93.5   66.3  444.0
2016 313 11  8 1100  444.0  996.1    0.5  161.5   64.3  444.0
2016 313 11  8 1200  -12.6  995.9    1.5  248.4   80.7  444.0
2016 313 11  8 1300  -12.3  995.3    0.4  265.2   74.8  444.0
2016 313 11  8 1400  -12.2  995.1    0.2  212.1   79.1  444.0
2016 313 11  8 1500  -12.1  995.1    0.3  185.8   80.4  444.0
2016 313 11  8 1600  -13.5  995.2    0.4  209.1   84.0  444.0
2016 313 11  8 1700  -12.4  995.4    0.0    0.0   85.6  444.0
2016 313 11  8 1800  -14.7  995.6    0.5  269.9   82.1  444.0
2016 313 11  8 1900  -13.7  995.3    0.9  247.2   75.6  444.0
2016 313 11  8 2000  -10.1  995.6    0.4  320.7   71.6  444.0
2016 313 11  8 2100   -6.8  995.6    0.2  157.1   51.3  444.0
2016 313 11  8 2200   -5.5  995.9    1.0  236.5   63.6  444.0
2016 313 11  8 2300   -4.6  995.8    0.2  225.4   57.5  444.0
2016 314 11  9 0000   -5.7  995.6    1.7  244.6   75.2  444.0
2016 314 11  9 0100   -2.1  995.5    1.8  255.3   53.9  444.0
2016 314 11  9 0200  444.0  995.2    1.0  202.1   44.6  444.0
2016 314 11  9 0300   -4.7  995.0    1.7  235.4   72.4  444.0
2016 314 11  9 0400   -4.7  994.6    1.7  230.1   65.7  444.0
2016 314 11  9 0500  444.0  994.5    0.3    6.6   64.0  444.0
2016 314 11  9 0600   -4.3  994.7    0.2  214.1   64.6  444.0
2016 314 11  9 0700   -4.8  994.9    0.0    0.0   63.8  444.0
2016 314 11  9 0800  444.0  995.2    0.8  226.6   57.1  444.0
2016 314 11  9 0900   -6.3  995.7    2.2  217.9   71.9  444.0
2016 314 11  9 1000   -6.0  996.1    1.5  217.9   56.4  444.0
2016 314 11  9 1100  -10.1  996.3    0.2   32.8   76.3  444.0
2016 314 11  9 1200  -12.2  996.4    0.0    0.0   84.7  444.0
2016 314 11  9 1300   -9.8  996.6    0.8  245.2   82.1  444.0
2016 314 11  9 1400  444.0  996.5    0.4  182.1   67.2  444.0
2016 314 11  9 1500   -9.8  996.6    0.5  226.1   78.9  444.0
2016 314 11  9 1600  444.0  996.6    0.4  211.8   63.0  444.0
2016 314 11  9 1700   -8.3  996.9    1.6  248.7   71.6  444.0
2016 314 11  9 1800   -7.7  997.5    0.3   83.1   70.5  444.0
2016 314 11  9 1900  444.0  997.7    0.2   60.4   53.4  444.0
2016 314 11  9 2000   -7.1  997.9    3.0  224.1   73.7  444.0
2016 314 11  9 2100   -5.3  998.0    1.3  186.0   67.7  444.0
2016 314 11  9 2200  444.0  998.1    0.5  308.2   65.5  444.0
2016 314 11  9 2300  444.0  998.0    0.6  304.6   69.7  444.0
2016 315 11 10 0000  444.0  996.9    0.0    0.0   72.1  444.0
2016 315 11 10 0100  444.0  996.3    0.4  358.5   65.9  444.0
2016 315 11 10 0200  444.0  995.6    0.3  203.8   67.3  444.0
2016 315 11 10 0300  444.0  994.8    1.0  325.5   67.5  444.0
2016 315 11 10 0400  444.0  994.2    0.4  313.3   62.2  444.0
2016 315 11 10 0500  444.0  993.5    0.7  298.1   68.7  444.0
2016 315 11 10 0600  444.0  992.8    1.2  222.4   75.8  444.0
2016 315 11 10 0700   -6.6  992.2    1.3  220.4   79.1  444.0
2016 315 11 10 0800   -6.4  991.5    1.6  220.5   78.6  444.0
2016 315 11 10 0900  444.0  991.0    1.3  215.9   77.1  444.0
2016 315 11 10 1000  444.0  990.5    1.3  216.1   80.4  444.0
2016 315 11 10 1100  444.0  990.1    1.5  229.7   88.0  444.0
2016 315 11 10 1200  -14.3  989.6    0.6  242.3   90.9  444.0
2016 315 11 10 1300  -14.8  989.3    0.5  243.8   90.6  444.0
2016 315 11 10 1400  -14.7  989.2    0.7  282.9   88.5  444.0
