gid,sitename,mapcode,latitude,longitude
146,Kohnen Base,Netherlands,-75.002,-0.007
608,Kominko-Slade (WAIS),UW,-79.46587378,-112.1062494
583,Korff Ice Rise,United Kingdom,-78.7186333,-68.4372833
585,Larsen Ice Shelf,United Kingdom,-67.0133,-61.4588333
670,Laurie II,UW,-77.439,170.75
506,Law Dome-A,Australia,-66.853279,112.744444
507,Law Dome Summit,Australia,-66.7296,112.8348
508,Leningradskaya,Russia,-69.5,159.38
397,Lettau,UW,-82.475,-174.587
572,Limbert,United Kingdom,-75.91417,-59.26433
680,Linda,UW,-78.394,168.446
510,Lindsey Island,South Korea,-73.601,-103.021
511,Lola,Italy,-74.13,163.43
673,Lorne,UW,-78.195,170.028
558,Lucia,Italy,-74.950472,161.770694
189,Manuela,UW,-74.946,163.687
665,Marble Point,UW,-77.439,163.754
666,Marble Point II,UW,-77.439,163.759
512,Marble Point (NZL),New Zealand,-77.41,163.67
513,Marble Point (SPAWAR),SPAWAR,-77.3667,163.3667
630,Margaret,UW,-79.981,-165.099
567,Maria,Italy,-74.6262936,164.010992
600,Marilyn,UW,-79.913,165.657
515,Miers Valley,New Zealand,-78.0944,163.799683
669,Minna Bluff,UW,-78.555,166.691
516,Minna Bluff (NZL),New Zealand,-78.51,166.77
218,Mizuho,UW/Japan,-70.7,44.29
517,Modesta,Italy,-73.63,160.65
518,Molodeznya,Russia,-67.6717,45.3833
519,Mount Brown,Australia,-69.1313,85.9992
520,Mount Fleming (NZL),New Zealand,-77.32,160.17
521,N Crevasse,SPAWAR,-77.8621,168.133
606,Nico,UW,-89,90.024
581,Nordenskiold,Finland,-73.05,-13.383333
522,PANDA-North,China/Australia,-73.683333,76.966667
240,PANDA-South,UW/China,-82.325,75.989
559,Paola,Italy,-72.766944,159.0389
674,Pegasus North,UW,-77.952,166.5
557,Penguin,Italy,-74.3333,165.1333
648,Port Martin,UW/France,-66.82,141.39
265,Possession Island,UW,-71.891,171.21
649,Princess Elizabeth Station,Belgium/Netherlands,-71.95,23.33333
376,Relay Station,UW/Japan,-74.017,43.062
525,Rita,Italy,-74.72,164.03
527,Russkaya,Russia,-74.7667,-136.8667
441,Sabrina,UW,-84.24662964,-170.0681982
671,Schwerdtfeger,UW,-79.816,170.358
529,Silvia,Italy,-73.05,169.6
640,Siple Dome,UW,-81.652,-148.992
589,Site 8,United Kingdom,-75.8208,-58.9669333
530,Skinner Saddle,New Zealand,-80.93185,159.503211
588,Sky-Blu,United Kingdom,-74.7922667,-71.4898333
531,Snyder Rocks,Australia,-66.55,107.75
260,Soerasen,Germany,-71.21625,-10.06716
532,Sofia-B,Italy,-73.58,158.32
533,Tent Is,SPAWAR,-77.6851,166.3803
639,Theresa,UW,-84.602,-115.841
534,Thiel Mountains,Commercial,-82.25,-87.883333
634,Thurston Island,UW,-72.532,-97.545
582,Troll,Norway,-72.016667,2.5333333
535,Union Glacier,Commercial,-79.766666,-83.266666
536,Utsteinen,Belgium/Netherlands,-71.95,23.35
537,Victoria Lower Glacier,New Zealand,-77.330086,162.532025
