sitename,2009_1,2009_2,2009_3,2009_4,2009_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2010_1,2010_2,2010_3,2010_4,2010_5,2010_6,2010_7,2010_8,2010_9,2010_10,2010_11,2010_12,2011_1,2011_2,2011_3,2011_4,2011_5,2011_6,2011_7,2011_8,2011_9,2011_10,2011_11,2011_12,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,2016_1,2016_2,2016_3,2016_4,2016_5,2016_6,2016_7,2016_8,2016_9,2016_10,2016_11,2016_12
Henry,4.9,2.9,-10.1,-8.9,-13.8,-10.6,1.4,-16.8,-11,-11.8,0.8,4.1,5.5,-0.9,-5.2,-15.8,-17.9,-18.8,-18.9,-15,-18.2,-6.2,1.4,7.9,4.6,-0.2,-8.4,-5,-10,-12.1,-10.2,-7.6,-11.1,,,,,1.3,-8.6,-14.2,,-8.6,-16.6,-12.4,-17,-11.6,-1.3,6.2,3.7,-1,-8.3,-13.2,-13.2,-13.7,-16.6,-12.1,-10.1,-10.3,1.6,3.8,7.3,-0.9,-10.9,-9.4,-9.4,-16.1,-11.1,-8.8,-9.8,-5.4,-2.2,3.6,3.9,-2.2,-8,-13.2,-14.9,-13.1,-11.1,-14.5,-6.6,-11,-0.5,4.5,4.3,0.2,-10.7,-14.7,-10.1,-11,-16.8,-7.6,-14.9,-10.6,1.2,2.8
Byrd,-2,-3.9,-5.9,-10.2,-15.4,-17.1,-11.2,-14.9,-16,-17.1,-3.2,-1,-2.8,-9.2,-10.5,-14.8,-18.4,-17.4,-19.5,-16.2,-11,-16.5,-12.9,-2.8,-5.2,-14.2,-10.9,-10.4,-14.8,-14.1,-6.8,-14.7,-19,-11.8,-11.3,-6.1,-9.2,-2.7,-8.6,-13,-15.3,-20.5,-20.5,-22.7,-19.1,-15,-6.8,-5,-3.7,-7.6,-9.1,-21.8,-19.7,-23,-21,-12.5,-16.1,-12.3,-15.2,-5,-7.5,-11.9,-16.6,-17.1,-15.9,-16.9,-20.6,-12.7,-10.9,-10.2,-16,-8,-6.4,-6,-11.8,-24.4,-14.2,-16.2,-14.9,-18.6,-13.7,-14,-13.9,-5.3,-1.2,-11.4,-17.9,-13,-13.1,-13.8,-16.4,-13.3,-19.4,-12.7,-11.9,-5.5
Marilyn,2.5,-5.2,-10.9,-13.2,-14.2,-11.5,-13.8,-17.4,-15.9,-10.4,-0.1,,1.8,-5.4,-8.9,-12.5,-12.6,-14.9,-13.2,-15.1,-17.2,-10.8,-5.2,,2.2,-5.5,-10.2,-4.2,-10.5,-10.8,-8.1,-9.0,-15.0,-8.5,-3.2,4.9,3.5,1.4,-10.5,-8.5,-8.6,-13.4,-16.0,-16.8,-14.4,-10.5,-1.6,,3.8,-5.6,-7.0,-17.2,-10.8,-16.2,-15.2,-18.2,-15.5,-7.6,-2.2,2.1,4.1,-3.8,-11.5,-12.5,-8.0,-12.1,-11.1,-9.4,-8.8,-8.0,-2.1,-2.8,0.8,-3.7,-7.5,-13.1,-19.0,-21.0,-13.4,-15.6,-15.9,-11.7,-5.0,-2.0,0.5,-4.4,-13.3,-10.4,-13.9,-16.0,-14.7,-10.4,-18.1,-12.8,-4.6,-1.6
Margaret,-1.1,-3.9,-12.2,-5.6,-29.2,-9.6,-8.9,-20.0,-22.1,-10.1,0.6,-0.9,-3.4,-2.3,-5.1,-14.4,-23.0,-27.7,-17.1,-24.0,-16.4,-17.8,-8.3,-2.7,-1.9,-9.0,-6.4,-2.9,-6.5,-9.3,-1.2,-7.1,-5.9,-10.1,-3.5,-0.3,-1.3,-0.7,-9.6,-14.5,-6.1,-10.2,-25.0,-13.0,-13.9,-6.2,-2.5,0.6,1.2,-5.0,-8.0,-22.7,-11.4,-19.6,-26.2,-11.4,-15.0,-10.5,-6.5,-0.2,-0.6,-2.6,-9.3,-18.9,-12.2,-19.6,-31.0,-9.7,-4.1,-3.7,-6.6,-3.9,1.5,-1.4,-4.3,-25.1,-14.4,-16.6,-18.3,-13.4,-8.7,-12.6,-9.1,-3.3,1.8,-6.2,-15.8,-8.5,-10.3,-24.1,-13.9,-14.3,-26.2,-9.2,-8.2,-0.5
Manuela,4.9,2.9,-10.1,-8.9,-13.8,-10.6,1.4,-16.8,-11.0,-11.8,0.8,4.1,5.5,-0.9,-5.2,-15.8,-17.9,-18.8,-18.9,-15.0,-18.2,-6.2,1.4,7.9,4.6,-0.2,-8.4,-5.0,-10.0,-12.1,-10.2,-7.6,-11.1,,,,,1.3,-8.6,-14.2,,-8.6,-16.6,-12.4,-17.0,-11.6,-1.3,6.2,3.7,-1.0,-8.3,-13.2,-13.2,-13.7,-16.6,-12.1,-10.1,-10.3,1.6,3.8,7.3,-0.9,-10.9,-9.4,-9.4,-16.1,-11.1,-8.8,-9.8,-5.4,-2.2,3.6,3.9,-2.2,-8.0,-13.2,-14.9,-13.1,-11.1,-14.5,-6.6,-11.0,-0.5,4.5,4.3,0.2,-10.7,-14.7,-10.1,-11.0,-16.8,-7.6,-14.9,-10.6,1.2,2.8
AGO-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8,-34.5,-44.0,-46.4,-50.3,-51.4,-52.8,-48.1,-48.6,-40.5,,-24.1,-25.4,-34.8,-43.6,-49.4,-47.3,-39.9,-42.1,-40.2,-40.2,-42.7,-24.7,-25.4,-21.7,-36.5,-44.0,-42.4,-44.5,-39.6,-53.4,-38.7,-40.3,-34.5,-31.3,-25.7,-25.0,-31.2,-41.8,-40.5,-51.8,-44.9,-43.2,-46.8,-44.4,-36.7,-26.6,-24.1,-25.1,-30.9,-40.1,-49.4,-42.4,-56.4,-38.9,-40.6,-43.0,-41.5,-31.3,-23.7
Sabrina,,-7.3,-6.1,-5.6,-8.7,-6.3,-8.1,-11.6,-11.2,-11.2,-0.7,1.2,3.2,-3.6,-6.8,-10.5,-11.3,-11.5,-11.8,-9.9,-7.9,-9.3,-4.0,1.7,-1.7,-5.3,-10.7,-6.6,-8.3,-7.8,-7.1,-4.5,-9.7,-3.5,-2.4,1.4,-1.4,0.1,-5.8,-6.5,-5.0,-14.1,-14.2,-13.6,-12.6,-9.7,-4.3,0.4,-0.3,-2.1,-2.6,-10.7,-7.2,-13.0,-14.6,-11.7,-5.6,-4.7,-2.4,-0.5,-0.5,-6.2,-10.5,-6.4,-6.5,-8.5,-10.6,-6.0,-4.8,-5.6,-6.5,-1.5,1.2,-2.7,-5.3,-12.8,-9.1,-12.0,-10.8,-13.1,-11.7,-8.1,-3.4,1.3,2.0,-3.0,-9.4,-9.3,-4.2,-10.9,-12.1,-5.4,-8.9,-5.9,-4.5,-0.7
Gill,3.4,-4.9,-11.6,-8.0,-15.0,-11.6,-14.1,-21.4,-19.9,-15.0,0.5,1.5,3.8,0.8,-10.0,-18.2,-22.9,-23.4,-19.9,-24.5,-16.5,-17.0,-4.2,0.5,-0.2,-8.4,-15.7,-2.3,-7.8,-9.8,-2.5,-7.6,-6.8,-11.9,-4.2,0.5,-3.3,-0.9,-13.8,-11.6,-12.7,-23.8,-28.5,-22.4,-17.1,-15.0,-7.9,-0.1,-1.3,-3.7,-9.0,-24.6,-17.2,-24.5,-27.5,-19.6,-21.9,-13.7,-6.7,-1.2,-1.9,-4.1,-15.3,-15.8,-15.5,-22.6,-26.5,-13.6,-6.9,-4.5,-7.8,-4.3,0.5,-1.4,-8.4,-25.8,-20.4,-18.4,-20.7,-15.9,-15.5,-16.6,-7.0,-1.9,0.5,-6.8,-14.2,-10.8,-19.9,-24.9,-15.2,-15.8,-19.6,-12.5,-8.3,-1.2
D-10,8.3,3.0,-1.7,-7.4,-9.2,-7.6,-1.9,-4.3,-6.5,-4.6,4.6,6.9,6.2,5.2,-0.2,-10.1,-12.0,-13.1,-11.8,-5.3,-7.1,-3.0,3.8,11.9,8.1,2.0,-3.4,-4.1,-8.3,-10.9,-5.2,-5.7,-9.2,-4.5,-0.2,9.2,10.4,2.1,-4.5,-11.2,-4.3,-3.1,-11.8,-9.3,-8.8,-4.7,1.5,3.7,6.5,2.1,-4.2,-8.3,-9.9,-11.3,-11.7,-4.6,-3.8,-1.5,7.3,,-2.0,,-2,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
