gid,sitename,mapcode,latitude,longitude,Website
508,Leningradskaya,Russia,-69.5,159.38,http://www.aari.ru/index_en.html
518,Molodeznya,Russia,-67.6717,45.3833,http://www.aari.ru/index_en.html
527,Russkaya,Russia,-74.7667,-136.8667,http://www.aari.ru/index_en.html
503,Jang Bogo,South Korea,-74.7,164.1,http://www.kopri.re.kr/exclude/userIndex/engIndex.do
510,Lindsey Island,South Korea,-73.601,-103.021,http://www.kopri.re.kr/exclude/userIndex/engIndex.do
469,Biesiada Crevasse,SPAWAR,-77.9067,169.2527,http://www.public.navy.mil/spawar/Pages/default.aspx
476,Cape Royds,SPAWAR,-77.5448,166.227,http://www.public.navy.mil/spawar/Pages/default.aspx
45,Cape Spencer,SPAWAR,-77.967,167.531,http://www.public.navy.mil/spawar/Pages/default.aspx
479,Cones,SPAWAR,-77.535,167.086,http://www.public.navy.mil/spawar/Pages/default.aspx
493,Ferrar,SPAWAR,-77.7062,163.9028,http://www.public.navy.mil/spawar/Pages/default.aspx
496,Ford Rock,SPAWAR,-77.7619,166.899,http://www.public.navy.mil/spawar/Pages/default.aspx
130,Herbie Alley,SPAWAR,-78.0906,166.6808,http://www.public.navy.mil/spawar/Pages/default.aspx
505,Jules,SPAWAR,-77.8754,165.2994,http://www.public.navy.mil/spawar/Pages/default.aspx
513,Marble Point (SPAWAR),SPAWAR,-77.3667,163.3667,http://www.public.navy.mil/spawar/Pages/default.aspx
521,N Crevasse,SPAWAR,-77.8621,168.133,http://www.public.navy.mil/spawar/Pages/default.aspx
533,Tent Is,SPAWAR,-77.6851,166.3803,http://www.public.navy.mil/spawar/Pages/default.aspx
325,White Island S,SPAWAR,-78.1241,168.3199,http://www.public.navy.mil/spawar/Pages/default.aspx
327,White Out,SPAWAR,-77.8478,167.1468,http://www.public.navy.mil/spawar/Pages/default.aspx
587,Butler Island,United Kingdom,-72.2062667,-60.16975,https://www.bas.ac.uk/
586,Fossil Bluff,United Kingdom,-71.3293333,-68.267,https://www.bas.ac.uk/
591,Halley V,United Kingdom,-75.58422,-26.78815,https://www.bas.ac.uk/
583,Korff Ice Rise,United Kingdom,-78.7186333,-68.4372833,https://www.bas.ac.uk/
585,Larsen Ice Shelf,United Kingdom,-67.0133,-61.4588333,https://www.bas.ac.uk/
572,Limbert,United Kingdom,-75.91417,-59.26433,https://www.bas.ac.uk/
589,Site 8,United Kingdom,-75.8208,-58.9669333,https://www.bas.ac.uk/
588,Sky-Blu,United Kingdom,-74.7922667,-71.4898333,https://www.bas.ac.uk/
590,Windy,United Kingdom,-75.55297,-27.44679,https://www.bas.ac.uk/
440,AGO-4,UW,-82.01,96.76,https://amrc.ssec.wisc.edu/
676,Alexander Tall Tower!,UW,-79.012,170.723,https://amrc.ssec.wisc.edu/
623,Austin,UW,-75.995,-87.47,https://amrc.ssec.wisc.edu/
394,Bear Peninsula,UW,-74.546,-111.885,https://amrc.ssec.wisc.edu/
344,Bonaparte Point,UW,-64.778,-64.067,https://amrc.ssec.wisc.edu/
667,Cape Bird,UW,-77.217,166.439,https://amrc.ssec.wisc.edu/
625,Cape Hallett,UW,-72.19,170.16,https://amrc.ssec.wisc.edu/
632,Elaine,UW,-83.094,174.285,https://amrc.ssec.wisc.edu/
610,Elizabeth,UW,-82.607,-137.078,https://amrc.ssec.wisc.edu/
627,Emilia,UW,-78.426,173.186,https://amrc.ssec.wisc.edu/
679,Emma,UW,-83.997,-175.047,https://amrc.ssec.wisc.edu/
635,Erin,UW,-84.902,-128.86,https://amrc.ssec.wisc.edu/
636,Evans Knoll,UW,-74.85,-100.404,https://amrc.ssec.wisc.edu/
629,Ferrell,UW,-77.803,170.817,https://amrc.ssec.wisc.edu/
390,Gill,UW,-79.879,-178.565,https://amrc.ssec.wisc.edu/
638,Harry,UW,-83.005,-121.407,https://amrc.ssec.wisc.edu/
401,Janet,UW,-77.174,-123.39,https://amrc.ssec.wisc.edu/
624,Kathie,UW,-77.995,-97.268,https://amrc.ssec.wisc.edu/
608,Kominko-Slade (WAIS),UW,-79.46587378,-112.1062494,https://amrc.ssec.wisc.edu/
670,Laurie II,UW,-77.439,170.75,https://amrc.ssec.wisc.edu/
397,Lettau,UW,-82.475,-174.587,https://amrc.ssec.wisc.edu/
680,Linda,UW,-78.394,168.446,https://amrc.ssec.wisc.edu/
673,Lorne,UW,-78.195,170.028,https://amrc.ssec.wisc.edu/
189,Manuela,UW,-74.946,163.687,https://amrc.ssec.wisc.edu/
665,Marble Point,UW,-77.439,163.754,https://amrc.ssec.wisc.edu/
666,Marble Point II,UW,-77.439,163.759,https://amrc.ssec.wisc.edu/
630,Margaret,UW,-79.981,-165.099,https://amrc.ssec.wisc.edu/
600,Marilyn,UW,-79.913,165.657,https://amrc.ssec.wisc.edu/
669,Minna Bluff,UW,-78.555,166.691,https://amrc.ssec.wisc.edu/
606,Nico,UW,-89,90.024,https://amrc.ssec.wisc.edu/
674,Pegasus North,UW,-77.952,166.5,https://amrc.ssec.wisc.edu/
