sitename,2009_1,2009_2,2009_3,2009_4,2009_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2010_1,2010_2,2010_3,2010_4,2010_5,2010_6,2010_7,2010_8,2010_9,2010_10,2010_11,2010_12,2011_1,2011_2,2011_3,2011_4,2011_5,2011_6,2011_7,2011_8,2011_9,2011_10,2011_11,2011_12,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,2016_1,2016_2,2016_3,2016_4,2016_5,2016_6,2016_7,2016_8,2016_9,2016_10,2016_11,2016_12
Henry,6.7,10.1,14.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,16.8,19.1,18.5,18.6,18.2,17.8,16.8,13.3,8.3,3.9,7.4,13.3,18.3,17.8,17.2,15.9,17.1,16.3,17.7,11.8,7.8,9.5,8,17.3,20.7,24.4,17.2,18.9,20.1,18,20,14.8,10,7.9,7.5,13.3,18.9,18,18.5,18.2,19.8,19.2,17.9,12.2,11.7,8.9,6.3,15.3,20.9,18.6,20.4,19.1,16.4,16.9,19.7,17.2,13.9,7.1
Byrd,4.8,5,6.9,,,,7.4,8.8,,,,,1.5,5.5,6.2,7.5,8.3,,,,,,,,4.2,6.3,6.5,6.7,8.3,8.1,9.2,8.9,7,9.7,7.4,5.6,5.9,6.5,7.5,8.4,8,3.9,8.4,8.4,8.1,7.6,7.2,4,2.2,3.4,8.9,8.2,8.1,4.5,7,7.4,7.9,7.5,7.3,6,6.4,6.3,7.2,9.1,10.3,9.8,8.5,9.8,10,8.3,6.7,5.3,6.4,7.1,6.9,7.8,7.9,9,8.6,8.6,8.2,8.9,7.7,,7.5,7,8.1,6.7,8.6,9.8,8,9.3,10.3,9.3,6.1,5.6
Marilyn,2.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,3.2,5.6,8.3,,,,,,,,2.9,2.9,4.6,6.8,8.6,,,,,,,3.9,2.3,3.0,4.7,6.6,6.0,7.9,6.8,6.2,6.5,,5.4,4.6,2.4,2.5,5.0,5.9,8.1,7.3,5.5,6.8,7.9,7.9,6.3,2.1,2.8,3.6,5.8,6.1,6.5,8.2,7.4,9.3,8.2,8.5,7.5,5.4,3.4,5.3,4.9,5.6,5.6,7.8,6.4,8.2,6.1,7.3,5.7,4.6,3.6
Margaret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuela,6.7,10.1,14.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,16.8,19.1,18.5,18.6,18.2,17.8,16.8,13.3,8.3,3.9,7.4,13.3,18.3,17.8,17.2,15.9,17.1,16.3,17.7,11.8,7.8,9.5,8.0,17.3,20.7,24.4,17.2,18.9,20.1,18.0,20.0,14.8,10.0,7.9,7.5,13.3,18.9,18.0,18.5,18.2,19.8,19.2,17.9,12.2,11.7,8.9,6.3,15.3,20.9,18.6,20.4,19.1,16.4,16.9,19.7,17.2,13.9,7.1
AGO-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.1,620.7,616.7,614.0,612.7,617.0,608.3,611.9,610.7,615.4,,628.1,624.9,615.2,610.0,614.2,612.7,623.9,610.8,622.8,626.0,618.1,622.7,624.8,629.1,620.7,612.7,614.1,622.1,616.0,609.5,613.5,620.8,614.2,620.8,621.4,626.0,619.0,614.0,611.7,609.3,615.9,605.0,605.7,607.0,617.6,620.1,625.9,620.9,620.8,611.2,613.1,615.7,606.0,610.9,620.0,607.1,613.5,628.9,629.6
Sabrina,,3.8,5.9,6.6,5.8,6.3,5.7,5.4,5.6,6.8,8.7,5.2,2.7,5.0,4.3,5.7,6.2,6.8,7.0,8.0,6.1,6.8,6.6,5.2,4.1,7.2,5.5,6.4,8.4,9.5,8.7,8.7,6.0,10.1,7.6,6.7,5.5,6.1,7.3,7.9,11.2,5.4,8.8,6.9,8.4,7.5,7.3,3.8,5.2,6.0,7.4,4.8,7.8,5.2,1.4,,,,,,,7.5,7.3,7.4,10.8,7.4,5.9,12.3,11.2,9.7,5.3,4.1,5.9,7.9,5.8,5.9,7.1,7.3,7.9,8.5,9.1,10.0,8.7,4.5,6.6,7.4,4.9,6.3,7.3,6.3,5.5,6.8,8.2,6.2,5.4,5.1
Gill,4.4,3.1,4.0,5.7,3.6,4.6,4.8,4.0,4.4,7.0,5.0,3.3,3.0,3.6,3.9,4.5,3.6,3.8,5.4,,,,5.5,4.1,2.8,4.8,4.8,3.9,3.6,3.8,3.5,1.6,4.1,4.8,5.1,4.0,4.5,4.7,3.9,3.2,4.7,3.9,3.1,3.6,1.9,4.7,5.0,3.7,4.0,4.3,4.1,1.9,4.6,3.4,2.8,3.7,1.6,3.7,6.0,4.2,3.9,4.8,5.1,2.4,3.3,2.8,,6.5,,5.8,3.4,3.7,3.2,4.4,4.5,1.5,6.3,4.6,3.9,5.2,4.7,4.3,4.7,4.4,3.9,4.8,3.3,,3.1,1.7,2.1,3.4,5.2,5.3,4.1,3.7
D-10,7.2,7.3,9.6,9.1,9.5,10.1,9.1,12.2,8.6,7.6,7.4,7.1,7.5,11.6,9.9,10.7,9.8,9.5,8.8,7.7,8.4,9.6,8.9,6.0,8.2,7.9,11.1,11.9,9.4,10.3,9.5,8.1,10.8,7.3,9.0,5.7,5.7,7.6,10.1,9.8,9.4,9.1,8.2,10.3,8.3,7.9,7.1,8.0,5.8,7.4,9.3,7.9,10.2,11.1,8.6,11.0,11.4,9.5,7.6,8.4,7.4,,10.1,9.5,10.0,,,,,,,,7.8,8.1,9.8,7.4,9.2,10.1,8.5,9.1,8.5,7.7,9.9,8.2,5.3,9.1,10.3,,,,,,,,,
