sitename,MinTemp_2009_1,MinTemp_2009_2,MinTemp_2009_3,MinTemp_2009_4,MinTemp_2009_5,MinTemp_2009_6,MinTemp_2009_7,MinTemp_2009_8,MinTemp_2009_9,MinTemp_2009_10,MinTemp_2009_11,MinTemp_2009_12,MinTemp_2010_1,MinTemp_2010_2,MinTemp_2010_3,MinTemp_2010_4,MinTemp_2010_5,MinTemp_2010_6,MinTemp_2010_7,MinTemp_2010_8,MinTemp_2010_9,MinTemp_2010_10,MinTemp_2010_11,MinTemp_2010_12,MinTemp_2011_1,MinTemp_2011_2,MinTemp_2011_3,MinTemp_2011_4,MinTemp_2011_5,MinTemp_2011_6,MinTemp_2011_7,MinTemp_2011_8,MinTemp_2011_9,MinTemp_2011_10,MinTemp_2011_11,MinTemp_2011_12,MinTemp_2012_1,MinTemp_2012_2,MinTemp_2012_3,MinTemp_2012_4,MinTemp_2012_5,MinTemp_2012_6,MinTemp_2012_7,MinTemp_2012_8,MinTemp_2012_9,MinTemp_2012_10,MinTemp_2012_11,MinTemp_2012_12,MinTemp_2013_1,MinTemp_2013_2,MinTemp_2013_3,MinTemp_2013_4,MinTemp_2013_5,MinTemp_2013_6,MinTemp_2013_7,MinTemp_2013_8,MinTemp_2013_9,MinTemp_2013_10,MinTemp_2013_11,MinTemp_2013_12,MinTemp_2014_1,MinTemp_2014_2,MinTemp_2014_3,MinTemp_2014_4,MinTemp_2014_5,MinTemp_2014_6,MinTemp_2014_7,MinTemp_2014_8,MinTemp_2014_9,MinTemp_2014_10,MinTemp_2014_11,MinTemp_2014_12,MinTemp_2015_1,MinTemp_2015_2,MinTemp_2015_3,MinTemp_2015_4,MinTemp_2015_5,MinTemp_2015_6,MinTemp_2015_7,MinTemp_2015_8,MinTemp_2015_9,MinTemp_2015_10,MinTemp_2015_11,MinTemp_2015_12,MinTemp_2016_1,MinTemp_2016_2,MinTemp_2016_3,MinTemp_2016_4,MinTemp_2016_5,MinTemp_2016_6,MinTemp_2016_7,MinTemp_2016_8,MinTemp_2016_9,MinTemp_2016_10,MinTemp_2016_11,MinTemp_2016_12,MaxTemp_2009_1,MaxTemp_2009_2,MaxTemp_2009_3,MaxTemp_2009_4,MaxTemp_2009_5,MaxTemp_2009_6,MaxTemp_2009_7,MaxTemp_2009_8,MaxTemp_2009_9,MaxTemp_2009_10,MaxTemp_2009_11,MaxTemp_2009_12,MaxTemp_2010_1,MaxTemp_2010_2,MaxTemp_2010_3,MaxTemp_2010_4,MaxTemp_2010_5,MaxTemp_2010_6,MaxTemp_2010_7,MaxTemp_2010_8,MaxTemp_2010_9,MaxTemp_2010_10,MaxTemp_2010_11,MaxTemp_2010_12,MaxTemp_2011_1,MaxTemp_2011_2,MaxTemp_2011_3,MaxTemp_2011_4,MaxTemp_2011_5,MaxTemp_2011_6,MaxTemp_2011_7,MaxTemp_2011_8,MaxTemp_2011_9,MaxTemp_2011_10,MaxTemp_2011_11,MaxTemp_2011_12,MaxTemp_2012_1,MaxTemp_2012_2,MaxTemp_2012_3,MaxTemp_2012_4,MaxTemp_2012_5,MaxTemp_2012_6,MaxTemp_2012_7,MaxTemp_2012_8,MaxTemp_2012_9,MaxTemp_2012_10,MaxTemp_2012_11,MaxTemp_2012_12,MaxTemp_2013_1,MaxTemp_2013_2,MaxTemp_2013_3,MaxTemp_2013_4,MaxTemp_2013_5,MaxTemp_2013_6,MaxTemp_2013_7,MaxTemp_2013_8,MaxTemp_2013_9,MaxTemp_2013_10,MaxTemp_2013_11,MaxTemp_2013_12,MaxTemp_2014_1,MaxTemp_2014_2,MaxTemp_2014_3,MaxTemp_2014_4,MaxTemp_2014_5,MaxTemp_2014_6,MaxTemp_2014_7,MaxTemp_2014_8,MaxTemp_2014_9,MaxTemp_2014_10,MaxTemp_2014_11,MaxTemp_2014_12,MaxTemp_2015_1,MaxTemp_2015_2,MaxTemp_2015_3,MaxTemp_2015_4,MaxTemp_2015_5,MaxTemp_2015_6,MaxTemp_2015_7,MaxTemp_2015_8,MaxTemp_2015_9,MaxTemp_2015_10,MaxTemp_2015_11,MaxTemp_2015_12,MaxTemp_2016_1,MaxTemp_2016_2,MaxTemp_2016_3,MaxTemp_2016_4,MaxTemp_2016_5,MaxTemp_2016_6,MaxTemp_2016_7,MaxTemp_2016_8,MaxTemp_2016_9,MaxTemp_2016_10,MaxTemp_2016_11,MaxTemp_2016_12,MeanTemp_2009_1,MeanTemp_2009_2,MeanTemp_2009_3,MeanTemp_2009_4,MeanTemp_2009_5,MeanTemp_2009_6,MeanTemp_2009_7,MeanTemp_2009_8,MeanTemp_2009_9,MeanTemp_2009_10,MeanTemp_2009_11,MeanTemp_2009_12,MeanTemp_2010_1,MeanTemp_2010_2,MeanTemp_2010_3,MeanTemp_2010_4,MeanTemp_2010_5,MeanTemp_2010_6,MeanTemp_2010_7,MeanTemp_2010_8,MeanTemp_2010_9,MeanTemp_2010_10,MeanTemp_2010_11,MeanTemp_2010_12,MeanTemp_2011_1,MeanTemp_2011_2,MeanTemp_2011_3,MeanTemp_2011_4,MeanTemp_2011_5,MeanTemp_2011_6,MeanTemp_2011_7,MeanTemp_2011_8,MeanTemp_2011_9,MeanTemp_2011_10,MeanTemp_2011_11,MeanTemp_2011_12,MeanTemp_2012_1,MeanTemp_2012_2,MeanTemp_2012_3,MeanTemp_2012_4,MeanTemp_2012_5,MeanTemp_2012_6,MeanTemp_2012_7,MeanTemp_2012_8,MeanTemp_2012_9,MeanTemp_2012_10,MeanTemp_2012_11,MeanTemp_2012_12,MeanTemp_2013_1,MeanTemp_2013_2,MeanTemp_2013_3,MeanTemp_2013_4,MeanTemp_2013_5,MeanTemp_2013_6,MeanTemp_2013_7,MeanTemp_2013_8,MeanTemp_2013_9,MeanTemp_2013_10,MeanTemp_2013_11,MeanTemp_2013_12,MeanTemp_2014_1,MeanTemp_2014_2,MeanTemp_2014_3,MeanTemp_2014_4,MeanTemp_2014_5,MeanTemp_2014_6,MeanTemp_2014_7,MeanTemp_2014_8,MeanTemp_2014_9,MeanTemp_2014_10,MeanTemp_2014_11,MeanTemp_2014_12,MeanTemp_2015_1,MeanTemp_2015_2,MeanTemp_2015_3,MeanTemp_2015_4,MeanTemp_2015_5,MeanTemp_2015_6,MeanTemp_2015_7,MeanTemp_2015_8,MeanTemp_2015_9,MeanTemp_2015_10,MeanTemp_2015_11,MeanTemp_2015_12,MeanTemp_2016_1,MeanTemp_2016_2,MeanTemp_2016_3,MeanTemp_2016_4,MeanTemp_2016_5,MeanTemp_2016_6,MeanTemp_2016_7,MeanTemp_2016_8,MeanTemp_2016_9,MeanTemp_2016_10,MeanTemp_2016_11,MeanTemp_2016_12,MeanWindSpeed_2009_1,MeanWindSpeed_2009_2,MeanWindSpeed_2009_3,MeanWindSpeed_2009_4,MeanWindSpeed_2009_5,MeanWindSpeed_2009_6,MeanWindSpeed_2009_7,MeanWindSpeed_2009_8,MeanWindSpeed_2009_9,MeanWindSpeed_2009_10,MeanWindSpeed_2009_11,MeanWindSpeed_2009_12,MeanWindSpeed_2010_1,MeanWindSpeed_2010_2,MeanWindSpeed_2010_3,MeanWindSpeed_2010_4,MeanWindSpeed_2010_5,MeanWindSpeed_2010_6,MeanWindSpeed_2010_7,MeanWindSpeed_2010_8,MeanWindSpeed_2010_9,MeanWindSpeed_2010_10,MeanWindSpeed_2010_11,MeanWindSpeed_2010_12,MeanWindSpeed_2011_1,MeanWindSpeed_2011_2,MeanWindSpeed_2011_3,MeanWindSpeed_2011_4,MeanWindSpeed_2011_5,MeanWindSpeed_2011_6,MeanWindSpeed_2011_7,MeanWindSpeed_2011_8,MeanWindSpeed_2011_9,MeanWindSpeed_2011_10,MeanWindSpeed_2011_11,MeanWindSpeed_2011_12,MeanWindSpeed_2012_1,MeanWindSpeed_2012_2,MeanWindSpeed_2012_3,MeanWindSpeed_2012_4,MeanWindSpeed_2012_5,MeanWindSpeed_2012_6,MeanWindSpeed_2012_7,MeanWindSpeed_2012_8,MeanWindSpeed_2012_9,MeanWindSpeed_2012_10,MeanWindSpeed_2012_11,MeanWindSpeed_2012_12,MeanWindSpeed_2013_1,MeanWindSpeed_2013_2,MeanWindSpeed_2013_3,MeanWindSpeed_2013_4,MeanWindSpeed_2013_5,MeanWindSpeed_2013_6,MeanWindSpeed_2013_7,MeanWindSpeed_2013_8,MeanWindSpeed_2013_9,MeanWindSpeed_2013_10,MeanWindSpeed_2013_11,MeanWindSpeed_2013_12,MeanWindSpeed_2014_1,MeanWindSpeed_2014_2,MeanWindSpeed_2014_3,MeanWindSpeed_2014_4,MeanWindSpeed_2014_5,MeanWindSpeed_2014_6,MeanWindSpeed_2014_7,MeanWindSpeed_2014_8,MeanWindSpeed_2014_9,MeanWindSpeed_2014_10,MeanWindSpeed_2014_11,MeanWindSpeed_2014_12,MeanWindSpeed_2015_1,MeanWindSpeed_2015_2,MeanWindSpeed_2015_3,MeanWindSpeed_2015_4,MeanWindSpeed_2015_5,MeanWindSpeed_2015_6,MeanWindSpeed_2015_7,MeanWindSpeed_2015_8,MeanWindSpeed_2015_9,MeanWindSpeed_2015_10,MeanWindSpeed_2015_11,MeanWindSpeed_2015_12,MeanWindSpeed_2016_1,MeanWindSpeed_2016_2,MeanWindSpeed_2016_3,MeanWindSpeed_2016_4,MeanWindSpeed_2016_5,MeanWindSpeed_2016_6,MeanWindSpeed_2016_7,MeanWindSpeed_2016_8,MeanWindSpeed_2016_9,MeanWindSpeed_2016_10,MeanWindSpeed_2016_11,MeanWindSpeed_2016_12,MeanPressure_2009_1,MeanPressure_2009_2,MeanPressure_2009_3,MeanPressure_2009_4,MeanPressure_2009_5,MeanPressure_2009_6,MeanPressure_2009_7,MeanPressure_2009_8,MeanPressure_2009_9,MeanPressure_2009_10,MeanPressure_2009_11,MeanPressure_2009_12,MeanPressure_2010_1,MeanPressure_2010_2,MeanPressure_2010_3,MeanPressure_2010_4,MeanPressure_2010_5,MeanPressure_2010_6,MeanPressure_2010_7,MeanPressure_2010_8,MeanPressure_2010_9,MeanPressure_2010_10,MeanPressure_2010_11,MeanPressure_2010_12,MeanPressure_2011_1,MeanPressure_2011_2,MeanPressure_2011_3,MeanPressure_2011_4,MeanPressure_2011_5,MeanPressure_2011_6,MeanPressure_2011_7,MeanPressure_2011_8,MeanPressure_2011_9,MeanPressure_2011_10,MeanPressure_2011_11,MeanPressure_2011_12,MeanPressure_2012_1,MeanPressure_2012_2,MeanPressure_2012_3,MeanPressure_2012_4,MeanPressure_2012_5,MeanPressure_2012_6,MeanPressure_2012_7,MeanPressure_2012_8,MeanPressure_2012_9,MeanPressure_2012_10,MeanPressure_2012_11,MeanPressure_2012_12,MeanPressure_2013_1,MeanPressure_2013_2,MeanPressure_2013_3,MeanPressure_2013_4,MeanPressure_2013_5,MeanPressure_2013_6,MeanPressure_2013_7,MeanPressure_2013_8,MeanPressure_2013_9,MeanPressure_2013_10,MeanPressure_2013_11,MeanPressure_2013_12,MeanPressure_2014_1,MeanPressure_2014_2,MeanPressure_2014_3,MeanPressure_2014_4,MeanPressure_2014_5,MeanPressure_2014_6,MeanPressure_2014_7,MeanPressure_2014_8,MeanPressure_2014_9,MeanPressure_2014_10,MeanPressure_2014_11,MeanPressure_2014_12,MeanPressure_2015_1,MeanPressure_2015_2,MeanPressure_2015_3,MeanPressure_2015_4,MeanPressure_2015_5,MeanPressure_2015_6,MeanPressure_2015_7,MeanPressure_2015_8,MeanPressure_2015_9,MeanPressure_2015_10,MeanPressure_2015_11,MeanPressure_2015_12,MeanPressure_2016_1,MeanPressure_2016_2,MeanPressure_2016_3,MeanPressure_2016_4,MeanPressure_2016_5,MeanPressure_2016_6,MeanPressure_2016_7,MeanPressure_2016_8,MeanPressure_2016_9,MeanPressure_2016_10,MeanPressure_2016_11,MeanPressure_2016_12
Henry,-10.9,-20.9,-31.1,-31.6,-35.1,-36.5,-35.2,-37.2,-36.5,-35.9,-20.9,-10,-11.2,-20,-31,-33,-38.4,-36.2,-38.6,-38.2,-36.1,-31.4,-18.4,-11.1,-9.1,-17.6,-28.8,-37,-38.6,-35.6,-35.4,-37.8,-35.8,,,,,-20.1,-26.6,-33.1,,-38.2,-35.7,-31.9,-35.2,-26.1,-19,-8.5,-10.5,-22.8,-32.1,-35,-34.5,-39.6,-37,-35.8,-32.5,-27.7,-21.2,-7.7,-10.5,-20.5,-29.3,-34.7,-32.9,-34.8,-36.3,-34.8,-30.5,-30.6,-17.5,-10.8,-10.2,-19,-27.4,-33.8,-32.6,-33.4,-36.8,-39.6,-36.3,-26.6,-23.2,-8.5,-9.2,-18.4,-27.7,-34.3,-32.9,-36.4,-35.2,-32.2,-34.3,-28.5,-16.2,-8.6,4.9,2.9,-10.1,-8.9,-13.8,-10.6,1.4,-16.8,-11,-11.8,0.8,4.1,5.5,-0.9,-5.2,-15.8,-17.9,-18.8,-18.9,-15,-18.2,-6.2,1.4,7.9,4.6,-0.2,-8.4,-5,-10,-12.1,-10.2,-7.6,-11.1,,,,,1.3,-8.6,-14.2,,-8.6,-16.6,-12.4,-17,-11.6,-1.3,6.2,3.7,-1,-8.3,-13.2,-13.2,-13.7,-16.6,-12.1,-10.1,-10.3,1.6,3.8,7.3,-0.9,-10.9,-9.4,-9.4,-16.1,-11.1,-8.8,-9.8,-5.4,-2.2,3.6,3.9,-2.2,-8,-13.2,-14.9,-13.1,-11.1,-14.5,-6.6,-11,-0.5,4.5,4.3,0.2,-10.7,-14.7,-10.1,-11,-16.8,-7.6,-14.9,-10.6,1.2,2.8,-2.9,-11.5,-20.1,-23,-24.9,-24.6,-23.1,-25.2,-25.3,-21.6,-9.3,-3.3,-3.5,-10.5,-17.6,-24.4,-26.9,-28.7,-29.6,-26.9,-27.3,-19.2,-9.5,-1.9,-3.1,-9.3,-19.2,-22.5,-25.4,-24.3,-23.5,-22.5,-22.6,,,,,-10.2,-18.9,-25,-21.6,-23.6,-27.8,-23.3,-24.6,-19,-9.3,-1.7,-2.8,-11.9,-18.8,-25.4,-23.4,-24.5,-29.1,-25.8,-22,-18.4,-8.8,-1.2,-1.3,-10.6,-20.1,-22.9,-21,-26.1,-27.9,-23.6,-22.1,-16.9,-9.3,-3.2,-3.2,-8.8,-18.2,-24.9,-25.2,-25.8,-27.3,-26.1,-26.5,-17.2,-10.2,-2.1,-2.4,-10.3,-19.7,-26.1,-22.7,-27.3,-26.7,-24.5,-24.7,-19.8,-7.1,-2.3,6.7,10.1,14.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,16.8,19.1,18.5,18.6,18.2,17.8,16.8,13.3,8.3,3.9,7.4,13.3,18.3,17.8,17.2,15.9,17.1,16.3,17.7,11.8,7.8,9.5,8,17.3,20.7,24.4,17.2,18.9,20.1,18,20,14.8,10,7.9,7.5,13.3,18.9,18,18.5,18.2,19.8,19.2,17.9,12.2,11.7,8.9,6.3,15.3,20.9,18.6,20.4,19.1,16.4,16.9,19.7,17.2,13.9,7.1,977,981.7,978.3,980.2,986.3,987.1,986.7,984.3,979.6,973.5,980.2,978.5,991.1,986.4,981.1,978,978.9,974.2,966.2,969.6,976.9,972,971,984.8,986.4,980.8,985.9,984.9,975.4,983.3,981.3,983.7,985.3,,,,,982.6,979.1,977.9,975.4,987.1,975.6,978.3,975.8,974.7,983.9,983.9,981.4,973.7,972,979.6,979.6,990.5,976,986.8,985.9,978.2,976,979.9,983.9,978.2,976.8,974.5,978.7,976.8,977.8,969.3,979,967.5,979.6,977.2,979.6,972.8,976.8,975.2,979.8,980,970.5,971.8,970.5,973.6,971.5,980.4,974.3,976,973,979.5,978.2,972.3,982.3,983.7,966.7,973.8,985.8,983.3
Byrd,-24,-37.9,-48.6,-43.2,-50.6,-56.6,-45.6,-55,-55.1,-47.8,-38.9,-21.9,-25.1,-29.1,-41.1,-43.9,-51.9,-47.2,-59,-47.2,-54.6,-42.4,-35.5,-24.2,-31.6,-36.2,-39.6,-54.5,-48.8,-57.1,-41.3,-49.1,-62,-38.8,-34,-22.9,-25,-33,-38.6,-42.5,-42.5,-54.1,-54,-53.7,-48.4,-43.7,-35.7,-21.4,-25.4,-31.5,-37.7,-51.2,-49.2,-55.4,-53.7,-59.2,-54.4,-42.4,-41.1,-23.8,-24.9,-36.9,-44.5,-48.3,-41.8,-48.9,-59.5,-53,-45.3,-44.5,-39,-29.2,-25,-32.3,-45,-51.7,-50.4,-52.1,-59.6,-60.4,-51.8,-44.2,-42,-26.9,-23.3,-37.2,-48.7,-52.6,-45.3,-54,-55.6,-61.2,-53.3,-42.4,-32.6,-23.9,-2,-3.9,-5.9,-10.2,-15.4,-17.1,-11.2,-14.9,-16,-17.1,-3.2,-1,-2.8,-9.2,-10.5,-14.8,-18.4,-17.4,-19.5,-16.2,-11,-16.5,-12.9,-2.8,-5.2,-14.2,-10.9,-10.4,-14.8,-14.1,-6.8,-14.7,-19,-11.8,-11.3,-6.1,-9.2,-2.7,-8.6,-13,-15.3,-20.5,-20.5,-22.7,-19.1,-15,-6.8,-5,-3.7,-7.6,-9.1,-21.8,-19.7,-23,-21,-12.5,-16.1,-12.3,-15.2,-5,-7.5,-11.9,-16.6,-17.1,-15.9,-16.9,-20.6,-12.7,-10.9,-10.2,-16,-8,-6.4,-6,-11.8,-24.4,-14.2,-16.2,-14.9,-18.6,-13.7,-14,-13.9,-5.3,-1.2,-11.4,-17.9,-13,-13.1,-13.8,-16.4,-13.3,-19.4,-12.7,-11.9,-5.5,-13.3,-20,-23.9,-27.5,-32.5,-33.6,-26.1,-33.1,-35.6,-30.2,-15.8,-11,-13.1,-17.7,-21.3,-29.2,-35.3,-35.4,-40.2,-31,-33,-27.6,-21.8,-13.9,-15,-21.8,-26,-30.4,-31.6,-33.9,-23.4,-29.2,-38.4,-26.2,-20,-14.8,-15.4,-19,-24.1,-29.8,-26.7,-37.3,-37.1,-36.3,-33.8,-27,-22,-11.8,-12.4,-19.8,-21.8,-36.6,-32.9,-40.1,-38.2,-33.6,-34,-28.4,-23.7,-13.3,-14.2,-21.5,-28.1,-31.4,-26.7,-33,-38.3,-29.4,-25.7,-25.2,-24.6,-17.9,-13.3,-17.4,-27.8,-36.9,-27.5,-36.2,-38.3,-42.5,-32.3,-25.9,-23.1,-15.5,-12.2,-22.8,-30.7,-31.4,-29.7,-34.3,-31.7,-33.9,-37.4,-24.8,-21,-12.8,4.8,5,6.9,,,,7.4,8.8,,,,,1.5,5.5,6.2,7.5,8.3,,,,,,,,4.2,6.3,6.5,6.7,8.3,8.1,9.2,8.9,7,9.7,7.4,5.6,5.9,6.5,7.5,8.4,8,3.9,8.4,8.4,8.1,7.6,7.2,4,2.2,3.4,8.9,8.2,8.1,4.5,7,7.4,7.9,7.5,7.3,6,6.4,6.3,7.2,9.1,10.3,9.8,8.5,9.8,10,8.3,6.7,5.3,6.4,7.1,6.9,7.8,7.9,9,8.6,8.6,8.2,8.9,7.7,,7.5,7,8.1,6.7,8.6,9.8,8,9.3,10.3,9.3,6.1,5.6,812.9,813.5,808.4,814.8,809.6,811.2,815.2,807.7,801.4,801.2,816.4,814.3,823.9,819.1,810.4,807.7,803.9,797.7,790.2,796.6,802.5,799.8,801.2,817.9,818,809.6,812.1,810.5,799.8,808.1,812.3,807.9,805,804.1,810,805.8,806,811,807.6,804.1,805.2,805.3,795.8,800.4,798.6,802.8,811.1,816.9,817,805.7,804.5,798,806.1,807.7,798.1,805.6,805.7,804,801.8,812.5,815,808.6,805.1,797.1,806.9,799.1,797.5,801.2,808.6,798.3,806.5,807.7,811.5,806.4,803.7,798.3,806.2,801.6,794.1,795.2,797,801.7,799.8,809.5,811.6,803.8,799.1,804.3,802.2,795,803.8,808.2,787.4,801.1,811.2,815.2
