Year: 2002  Month: 08  ID: CSP  ARGOS:  8695  Name: Cape Spencer        
Lat: 77.96S  Lon: 167.54E  Elev:   23m
2002 216  8  4 1200  -38.2  984.5    0.8  233.0   69.6  444.0
2002 216  8  4 1300  -38.8  984.1    0.4  236.0   68.7  444.0
2002 216  8  4 1400  -38.6  983.3    0.8  252.0   69.6  444.0
2002 216  8  4 1500  -38.6  983.2    0.2  233.0   69.1  444.0
2002 216  8  4 1600  -38.9  982.5    0.2  240.0   68.3  444.0
2002 216  8  4 1700  -36.4  982.1    0.4  235.0   72.1  444.0
2002 216  8  4 1800  -35.9  981.4    0.2  235.0   72.5  444.0
2002 216  8  4 1900  -41.5  981.1    0.4  304.0   64.5  444.0
2002 216  8  4 2000  -43.0  980.7    0.2  312.0   63.7  444.0
2002 216  8  4 2100  -41.6  980.4    0.2  240.0   64.5  444.0
2002 216  8  4 2200  -41.0  980.0    0.2  267.0   64.9  444.0
2002 216  8  4 2300  -40.9  978.9    0.8  217.0   66.6  444.0
2002 217  8  5 0000  -36.6  978.3    0.8  242.0   70.8  444.0
2002 217  8  5 0100  -34.6  977.1    0.8  239.0   74.6  444.0
2002 217  8  5 0200  -32.8  976.0    1.0  238.0   77.5  444.0
2002 217  8  5 0300  -32.0  975.2    1.4  238.0   78.0  444.0
2002 217  8  5 0400  -32.2  974.7    1.4  248.0   77.5  444.0
2002 217  8  5 0500  -34.5  974.7    1.0  242.0   74.2  444.0
2002 217  8  5 0600  -36.2  974.6    0.8  256.0   72.1  444.0
2002 217  8  5 0700  -37.1  974.8    0.8  246.0   71.7  444.0
2002 217  8  5 0800  -35.2  975.1    0.8  240.0   73.8  444.0
2002 217  8  5 0900  -40.1  976.0    0.2  300.0   68.7  444.0
2002 217  8  5 1000  -36.2  976.8    0.2  262.0   72.5  444.0
2002 217  8  5 1100  -39.1  977.6    0.2  246.0   68.7  444.0
2002 217  8  5 1200  -37.0  978.0    0.2  276.0   70.8  444.0
2002 217  8  5 1300  -43.5  978.6    0.2  322.0   63.7  444.0
2002 217  8  5 1400  -40.5  979.0    0.2  249.0   68.7  444.0
2002 217  8  5 1500  -36.9  979.3    0.4  257.0   71.7  444.0
2002 217  8  5 1600  -33.9  979.6    0.8  239.0   76.3  444.0
2002 217  8  5 1700  -34.1  980.0    0.8  239.0   74.2  444.0
2002 217  8  5 1800  -34.5  980.5    0.8  255.0   74.2  444.0
2002 217  8  5 1900  -33.0  980.8    1.0  239.0   76.3  444.0
2002 217  8  5 2000  -33.2  981.4    0.6  255.0   75.0  444.0
2002 217  8  5 2100  -35.0  981.6    0.6  243.0   74.6  444.0
2002 217  8  5 2200  -37.4  981.9    0.4  219.0   70.8  444.0
2002 217  8  5 2300  -36.2  982.0    0.4  242.0   74.6  444.0
2002 218  8  6 0000  -34.6  982.1    0.4  259.0   74.2  444.0
