Year: 2002  Month: 04  ID: HRB  ARGOS:  8697  Name: Herbie Alley        
Lat: 78.10S  Lon: 166.68E  Elev:   30m
2002  94  4  4 1200  -19.5  980.1    5.1  128.0   90.5  444.0
2002  94  4  4 1300  -19.0  980.2    5.5  149.0   94.0  444.0
2002  94  4  4 1400  -19.2  980.5    4.7  129.0   93.6  444.0
2002  94  4  4 1500  -18.2  980.5    6.8  114.0   84.4  444.0
2002  94  4  4 1600  -17.8  980.8    2.5  180.0   86.6  444.0
2002  94  4  4 1700  -17.1  980.6    6.4  158.0   87.9  444.0
2002  94  4  4 1800  -18.2  981.0    5.8  163.0   91.0  444.0
2002  94  4  4 1900  -18.0  981.1    3.9  114.0   90.5  444.0
2002  94  4  4 2000  -18.5  981.7   10.9  166.0   84.4  444.0
2002  94  4  4 2100  -18.0  982.4    4.5  114.0   81.7  444.0
2002  94  4  4 2200  -17.4  982.5    2.7  173.0   75.1  444.0
2002  94  4  4 2300  -18.0  982.7    6.0  150.0   77.8  444.0
2002  95  4  5 0000  -15.2  983.0    3.7  233.0   58.4  444.0
2002  95  4  5 0100  -17.2  983.0   10.1  134.0   70.3  444.0
2002  95  4  5 0200  -17.8  983.2    8.8  114.0   67.2  444.0
2002  95  4  5 0300  -18.9  983.3    9.0  153.0   76.4  444.0
2002  95  4  5 0400  -18.1  983.6    7.4  149.0   72.9  444.0
2002  95  4  5 0500  -17.5  983.6    3.9  232.0   70.7  444.0
2002  95  4  5 0600  -18.2  983.7    4.9  250.0   74.2  444.0
2002  95  4  5 0700  -22.1  983.5    4.7  291.0   86.6  444.0
2002  95  4  5 0800  -24.4  983.6    1.9  312.0   88.3  444.0
2002  95  4  5 0900  -24.5  983.6    3.3  290.0   91.4  444.0
2002  95  4  5 1000  -23.8  983.6    1.8    3.0   91.8  444.0
2002  95  4  5 1100  -25.2  982.8    1.9   58.0   87.0  444.0
2002  95  4  5 1200  -26.6  982.3    3.1  150.0   84.8  444.0
2002  95  4  5 1300  -28.0  981.8    3.1    1.0   86.6  444.0
2002  95  4  5 1400  -26.8  981.3    1.9  345.0   87.9  444.0
2002  95  4  5 1500  -25.9  980.8    1.9  276.0   87.0  444.0
2002  95  4  5 1600  -27.6  980.3    0.8   48.0   86.1  444.0
2002  95  4  5 1700  -25.8  979.6    2.1   93.0   87.4  444.0
2002  95  4  5 1800  -23.6  978.9    1.0   96.0   90.5  444.0
2002  95  4  5 1900  -22.2  978.4    0.6  112.0   91.0  444.0
2002  95  4  5 2000  -21.5  977.9    1.0  179.0   91.8  444.0
2002  95  4  5 2100  -21.4  977.1    1.9   91.0   93.2  444.0
2002  95  4  5 2200  -21.5  976.6    0.8  122.0   92.7  444.0
2002  95  4  5 2300  -21.2  976.3    1.8   73.0   93.6  444.0
2002  96  4  6 0000  -22.5  976.1    1.8   34.0   91.4  444.0
2002  96  4  6 0100  -22.2  975.7    1.9   49.0   92.3  444.0
2002  96  4  6 0200  -21.2  975.4    1.0   73.0   93.6  444.0
2002  96  4  6 0300  -21.5  975.2    0.8  135.0   95.4  444.0
2002  96  4  6 0400  -27.6  975.4    6.6  165.0   86.1  444.0
2002  96  4  6 0500  -27.5  976.2    8.6  152.0   85.2  444.0
2002  96  4  6 0600  -27.2  976.6    9.8  167.0   84.4  444.0
2002  96  4  6 0700  -27.6  977.1    9.9  166.0   82.2  444.0
2002  96  4  6 0800  -27.1  977.9    8.2  153.0   76.9  444.0
2002  96  4  6 0900  -27.0  978.0   10.9  160.0   71.2  444.0
2002  96  4  6 1000  -28.0  978.4    9.6  176.0   72.9  444.0
2002  96  4  6 1100  -27.4  978.9    9.9  167.0   77.3  444.0
2002  96  4  6 1200  -26.8  979.4   10.9  166.0   72.0  444.0
2002  96  4  6 1300  -26.8  980.2    6.4  181.0   72.9  444.0
2002  96  4  6 1400  -27.2  981.2    1.8  146.0   76.0  444.0
2002  96  4  6 1500  -31.5  982.0    2.5  347.0   74.2  444.0
2002  96  4  6 1600  -31.8  982.6    1.0  346.0   79.1  444.0
2002  96  4  6 1700  -32.4  983.5    1.8   59.0   81.3  444.0
2002  96  4  6 1800  -33.8  984.1    2.3   79.0   78.6  444.0
2002  96  4  6 1900  -33.2  984.7    1.6  159.0   77.8  444.0
2002  96  4  6 2000  -32.9  985.2    1.6  169.0   78.2  444.0
2002  96  4  6 2100  -31.5  985.7    2.7  110.0   80.0  444.0
2002  96  4  6 2200  -33.5  986.4    1.0   34.0   78.6  444.0
2002  96  4  6 2300  -31.1  987.0    1.8   53.0   82.2  444.0
2002  97  4  7 0000  -31.1  987.4    1.0   97.0   82.2  444.0
2002  97  4  7 0100  -30.9  987.9    1.8  146.0   76.4  444.0
2002  97  4  7 0200  -32.2  988.4    1.4  347.0   64.6  444.0
2002  97  4  7 0300  -32.0  988.5    0.8  335.0   72.9  444.0
2002  97  4  7 0400  -30.6  989.0    0.8   53.0   76.4  444.0
2002  97  4  7 0500  -33.9  989.4    1.4  347.0   74.7  444.0
2002  97  4  7 0600  -33.6  990.1    0.2  316.0   75.1  444.0
2002  97  4  7 0700  -33.5  990.6    0.8  129.0   73.8  444.0
2002  97  4  7 0800  -33.0  991.0    0.2   69.0   74.7  444.0
2002  97  4  7 0900  -32.9  991.3    1.4  160.0   77.8  444.0
2002  97  4  7 1000  -32.0  991.4    2.7  142.0   79.5  444.0
2002  97  4  7 1100  -32.9  991.8    1.2  129.0   78.2  444.0
2002  97  4  7 1200  -34.4  992.2    2.7  276.0   76.9  444.0
2002  97  4  7 1300  -35.1  992.6    2.1  301.0   75.6  444.0
2002  97  4  7 1400  -34.8  993.0    0.4   98.0   76.0  444.0
2002  97  4  7 1500  -35.5  993.5    1.9   34.0   74.7  444.0
2002  97  4  7 1600  -34.4  994.1    1.8   48.0   75.6  444.0
2002  97  4  7 1700  -34.0  994.5    1.2  307.0   77.3  444.0
2002  97  4  7 1800  -32.8  994.5    2.5  263.0   77.8  444.0
2002  97  4  7 1900  -31.9  995.4    3.5  291.0   79.5  444.0
2002  97  4  7 2000  -31.0  995.8    3.5  314.0   79.5  444.0
2002  97  4  7 2100  -31.8  996.3    1.6  318.0   79.5  444.0
2002  97  4  7 2200  -32.8  996.7    1.4   21.0   76.9  444.0
2002  97  4  7 2300  -31.5  997.2    0.6  190.0   75.6  444.0
2002  98  4  8 0000  -29.5  997.3    0.4  229.0   74.2  444.0
2002  98  4  8 0100  -29.6  997.2    1.9  342.0   72.0  444.0
2002  98  4  8 0200  -29.4  997.4    1.8  210.0   78.2  444.0
2002  98  4  8 0300  -29.1  997.4    2.1  278.0   81.7  444.0
2002  98  4  8 0400  -31.0  997.2    2.5  319.0   80.4  444.0
2002  98  4  8 0500  -29.5  997.6    2.9  285.0   82.6  444.0
2002  98  4  8 0600  -29.9  998.0    0.2   34.0   81.7  444.0
2002  98  4  8 0700  -29.6  998.2    1.9  329.0   80.0  444.0
2002  98  4  8 0800  -28.8  998.6    1.6  316.0   78.6  444.0
2002  98  4  8 0900  -28.8  998.7    2.9  347.0   78.6  444.0
2002  98  4  8 1000  -29.4  999.1    3.1   17.0   80.4  444.0
2002  98  4  8 1100  -29.0  999.1    2.1   41.0   76.9  444.0
2002  98  4  8 1200  -28.8  998.7    2.9   37.0   74.7  444.0
2002  98  4  8 1300  -29.1  998.9    1.9  122.0   74.2  444.0
2002  98  4  8 1400  -29.0  998.8    0.2  160.0   76.4  444.0
2002  98  4  8 1500  -29.2  998.7    2.1   18.0   73.8  444.0
2002  98  4  8 1600  -28.2  999.0    2.5   14.0   67.6  444.0
2002  98  4  8 1700  -29.6  999.1    3.9   34.0   70.7  444.0
2002  98  4  8 1800  -30.5  999.0    3.1   56.0   70.7  444.0
2002  98  4  8 1900  -30.5  998.9    2.7   24.0   72.5  444.0
2002  98  4  8 2000  -29.5  998.7    1.2   91.0   73.8  444.0
2002  98  4  8 2100  -29.8  998.9    1.2   79.0   73.8  444.0
2002  98  4  8 2200  444.0  444.0  444.0  444.0  444.0  444.0
2002  98  4  8 2300  -29.1  998.8    1.2  112.0   70.7  444.0
2002  99  4  9 0000  -29.0  998.9    1.6  159.0   72.9  444.0
2002  99  4  9 0100  -28.1  998.8    0.8  132.0   72.5  444.0
2002  99  4  9 0200  -28.2  999.0    1.4    6.0   69.0  444.0
2002  99  4  9 0300  -28.6  998.7    0.8    7.0   73.8  444.0
2002  99  4  9 0400  -28.9  998.4    0.4   62.0   73.8  444.0
2002  99  4  9 0500  444.0  444.0  444.0  444.0  444.0  444.0
2002  99  4  9 0600  -30.5  998.0    0.2  170.0   80.0  444.0
2002  99  4  9 0700  -30.6  997.5    1.8  150.0   81.3  444.0
2002  99  4  9 0800  -31.6  997.3    2.1  131.0   79.5  444.0
2002  99  4  9 0900  -34.1  996.8    1.2  135.0   76.4  444.0
2002  99  4  9 1000  -32.6  996.3    1.8   35.0   78.6  444.0
2002  99  4  9 1100  -34.5  995.9    0.8   58.0   76.9  444.0
2002  99  4  9 1200  -32.9  994.7    1.6   69.0   80.8  444.0
2002  99  4  9 1300  -30.8  993.8    2.5   28.0   80.8  444.0
2002  99  4  9 1400  -35.8  992.8    3.3  142.0   73.8  444.0
2002  99  4  9 1500  -34.5  992.4    2.1  148.0   75.6  444.0
2002  99  4  9 1600  -33.2  991.8    2.3  242.0   77.8  444.0
2002  99  4  9 1700  444.0  991.2    0.2   35.0   72.5  444.0
2002  99  4  9 1800  -34.0  990.9    2.9  294.0   75.6  444.0
2002  99  4  9 1900  -35.6  990.7    1.4  336.0   74.7  444.0
2002  99  4  9 2000  444.0  444.0  444.0  444.0  444.0  444.0
2002  99  4  9 2100  -34.8  990.1    2.1   35.0   75.1  444.0
2002  99  4  9 2200  -35.2  989.4    1.0  163.0   75.1  444.0
2002  99  4  9 2300  -34.5  989.1    1.2  307.0   76.9  444.0
2002 100  4 10 0000  -36.5  988.5    3.3   39.0   74.2  444.0
2002 100  4 10 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 100  4 10 0200  -36.6  987.1    2.3  160.0   72.9  444.0
2002 100  4 10 0300  -34.1  986.3    2.5  148.0   76.0  444.0
2002 100  4 10 0400  -33.1  985.8    1.4  134.0   76.4  444.0
2002 100  4 10 0500  -34.1  985.3    1.8  259.0   74.7  444.0
2002 100  4 10 0600  -33.9  984.5    1.2   53.0   76.4  444.0
2002 100  4 10 0700  -34.1  983.5    1.2    8.0   76.0  444.0
2002 100  4 10 0800  444.0  444.0  444.0  444.0  444.0  444.0
2002 100  4 10 0900  -33.8  982.5    1.9   20.0   76.0  444.0
2002 100  4 10 1000  -31.4  981.9    2.5  347.0   78.6  444.0
2002 100  4 10 1100  -32.0  981.4    2.1   30.0   78.2  444.0
2002 100  4 10 1200  -31.8  980.8    1.0  186.0   78.6  444.0
2002 100  4 10 1300  444.0  444.0  444.0  444.0  444.0  444.0
2002 100  4 10 1400  -31.1  979.9    3.3  319.0   80.0  444.0
2002 100  4 10 1500  -30.6  979.7    0.6  347.0   79.5  444.0
2002 100  4 10 1600  -29.5  979.5    0.8   25.0   82.2  444.0
2002 100  4 10 1700  -26.2  979.2    1.2  134.0   86.1  444.0
2002 100  4 10 1800  444.0  444.0  444.0  444.0  444.0  444.0
2002 100  4 10 1900  -24.6  979.1    1.0   77.0   89.2  444.0
2002 100  4 10 2000  -25.1  979.3    1.6   83.0   87.4  444.0
2002 100  4 10 2100  -29.9  979.4    0.8  323.0   82.2  444.0
2002 100  4 10 2200  -27.0  980.1    1.6  319.0   87.9  444.0
2002 100  4 10 2300  -27.6  980.6    1.9   44.0   84.4  444.0
2002 101  4 11 0000  -28.6  981.9    2.7  173.0   84.4  444.0
