Year: 2002  Month: 09  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.55S  Lon: 170.83E  Elev:   30m
2002 247  9  4 1200  -29.4  995.3  444.0  444.0   79.1  444.0
2002 247  9  4 1300  -32.1  995.0  444.0  444.0   76.9  444.0
2002 247  9  4 1400  -34.6  994.9  444.0  444.0   74.7  444.0
2002 247  9  4 1500  -35.0  994.5  444.0  444.0   74.2  444.0
2002 247  9  4 1600  -35.6  994.3  444.0  444.0   72.9  444.0
2002 247  9  4 1700  -34.0  994.0  444.0  444.0   75.6  444.0
2002 247  9  4 1800  -31.2  993.8  444.0  444.0   78.6  444.0
2002 247  9  4 1900  -32.2  993.6  444.0  444.0   77.8  444.0
2002 247  9  4 2000  -28.1  993.5  444.0  444.0   82.2  444.0
2002 247  9  4 2100  -28.1  993.4  444.0  444.0   82.2  444.0
2002 247  9  4 2200  -27.0  993.3  444.0  444.0   84.8  444.0
2002 247  9  4 2300  -27.1  993.2  444.0  444.0   84.8  444.0
2002 248  9  5 0000  -26.1  992.9  444.0  444.0   84.8  444.0
2002 248  9  5 0100  -25.0  992.9  444.0  444.0   86.1  444.0
2002 248  9  5 0200  -24.2  992.8  444.0  444.0   87.0  444.0
2002 248  9  5 0300  -24.5  992.7  444.0  444.0   87.0  444.0
2002 248  9  5 0400  -27.2  992.7  444.0  444.0   83.9  444.0
2002 248  9  5 0500  -26.9  992.7  444.0  444.0   83.5  444.0
2002 248  9  5 0600  -26.1  992.7  444.0  444.0   84.4  444.0
2002 248  9  5 0700  -25.8  992.4  444.0  444.0   84.8  444.0
2002 248  9  5 0800  -25.8  992.5  444.0  444.0   84.8  444.0
2002 248  9  5 0900  -25.8  992.5  444.0  444.0   84.8  444.0
2002 248  9  5 1000  -26.1  992.5  444.0  444.0   84.8  444.0
2002 248  9  5 1100  -25.1  992.5  444.0  444.0   85.7  444.0
2002 248  9  5 1200  -24.9  992.7  444.0  444.0   85.7  444.0
2002 248  9  5 1300  -24.9  992.8  444.0  444.0   85.7  444.0
2002 248  9  5 1400  -24.5  993.1  444.0  444.0   86.6  444.0
2002 248  9  5 1500  -24.5  993.1  444.0  444.0   86.1  444.0
2002 248  9  5 1600  -25.1  993.3    0.0    0.0   85.7  444.0
2002 248  9  5 1700  -26.1  993.5    0.0    0.0   83.9  444.0
2002 248  9  5 1800  -27.0  993.8    0.0    0.0   83.5  444.0
2002 248  9  5 1900  -27.4  994.0    0.0    0.0   83.5  444.0
2002 248  9  5 2000  -26.6  994.2    0.0    0.0   83.9  444.0
2002 248  9  5 2100  -26.9  994.7    0.0    0.0   83.5  444.0
2002 248  9  5 2200  -27.0  995.2    0.0    0.0   82.6  444.0
2002 248  9  5 2300  -27.0  995.3    0.0    0.0   83.9  444.0
2002 249  9  6 0000  -26.8  995.5    0.0    0.0   83.9  444.0
2002 249  9  6 0100  -27.0  995.9    0.0    0.0   83.9  444.0
2002 249  9  6 0200  -27.1  995.9    0.0    0.0   83.0  444.0
2002 249  9  6 0300  -27.1  996.6    0.0    0.0   82.6  444.0
2002 249  9  6 0400  -27.5  996.7    0.0    0.0   82.6  444.0
2002 249  9  6 0500  -27.5  996.6    0.0    0.0   82.6  444.0
2002 249  9  6 0600  -27.5  996.8    0.0    0.0   82.6  444.0
2002 249  9  6 0700  -27.5  997.2    0.0    0.0   82.6  444.0
2002 249  9  6 0800  -27.4  997.8    0.0    0.0   82.6  444.0
2002 249  9  6 0900  -27.2  998.5    0.0    0.0   83.0  444.0
2002 249  9  6 1000  -26.9  998.7    0.0    0.0   83.5  444.0
2002 249  9  6 1100  -27.0  999.0    0.0    0.0   82.6  444.0
2002 249  9  6 1200  -26.9  999.2    0.0    0.0   82.6  444.0
2002 249  9  6 1300  -27.0  999.1    0.0    0.0   82.6  444.0
2002 249  9  6 1400  -27.0  999.5    0.0    0.0   82.6  444.0
2002 249  9  6 1500  -27.0  999.7    0.0    0.0   82.6  444.0
2002 249  9  6 1600  -27.2 1000.2    0.0    0.0   82.2  444.0
2002 249  9  6 1700  -27.1 1000.1    0.0    0.0   81.3  444.0
2002 249  9  6 1800  -27.1 1000.4    0.0    0.0   80.8  444.0
2002 249  9  6 1900  -27.2 1000.6    0.0    0.0   80.8  444.0
2002 249  9  6 2000  -27.1 1001.0    0.0    0.0   81.7  444.0
2002 249  9  6 2100  -27.0 1001.5    0.0    0.0   82.2  444.0
2002 249  9  6 2200  -27.0 1001.5    0.0    0.0   80.8  444.0
2002 249  9  6 2300  -26.9 1001.8    0.0    0.0   80.0  444.0
2002 250  9  7 0000  -26.8 1001.9    0.0    0.0   79.1  444.0
2002 250  9  7 0100  -26.6 1002.1    0.0    0.0   78.2  444.0
2002 250  9  7 0200  -26.6 1002.6    0.0    0.0   76.0  444.0
2002 250  9  7 0300  -26.6 1002.5    0.0    0.0   75.6  444.0
2002 250  9  7 0400  -26.6 1002.9    0.0    0.0   77.3  444.0
2002 250  9  7 0500  -26.6 1003.1    0.0    0.0   78.6  444.0
2002 250  9  7 0600  -26.6 1003.5    0.0    0.0   75.6  444.0
2002 250  9  7 0700  -27.1 1003.7    0.0    0.0   76.0  444.0
2002 250  9  7 0800  -27.2 1004.3    0.0    0.0   75.6  444.0
2002 250  9  7 0900  -27.2 1004.8    0.0    0.0   75.1  444.0
2002 250  9  7 1000  -27.5 1004.8    0.0    0.0   76.9  444.0
2002 250  9  7 1100  -27.6 1005.0    0.0    0.0   76.4  444.0
2002 250  9  7 1200  -27.6 1005.4    0.0    0.0   74.7  444.0
2002 250  9  7 1300  -27.5 1005.6    0.0    0.0   75.1  444.0
2002 250  9  7 1400  -27.4 1006.0    0.0    0.0   75.6  444.0
2002 250  9  7 1500  -27.4 1006.2    0.0    0.0   76.9  444.0
2002 250  9  7 1600  -27.6 1006.5    0.0    0.0   77.3  444.0
2002 250  9  7 1700  -27.6 1006.4    0.0    0.0   75.1  444.0
2002 250  9  7 1800  -27.9 1006.7    0.0    0.0   76.4  444.0
2002 250  9  7 1900  -27.6 1007.2    0.0    0.0   75.6  444.0
2002 250  9  7 2000  -27.9 1007.2    0.0    0.0   76.0  444.0
2002 250  9  7 2100  -28.0 1007.2    0.0    0.0   72.9  444.0
2002 250  9  7 2200  -28.2 1007.3    0.0    0.0   70.7  444.0
2002 250  9  7 2300  -28.1 1007.2    0.0    0.0   75.1  444.0
2002 251  9  8 0000  -27.9 1007.0    0.0    0.0   76.0  444.0
2002 251  9  8 0100  -27.5 1006.5    0.0    0.0   72.5  444.0
2002 251  9  8 0200  -27.9 1006.4    0.0    0.0   70.7  444.0
2002 251  9  8 0300  -28.0 1006.1    0.0    0.0   75.1  444.0
2002 251  9  8 0400  -28.2 1005.6    0.0    0.0   75.6  444.0
2002 251  9  8 0500  -28.2 1005.3    0.0    0.0   68.1  444.0
2002 251  9  8 0600  -29.0 1005.0  444.0  444.0   69.4  444.0
2002 251  9  8 0700  -31.5 1004.6  444.0  444.0   63.2  444.0
2002 251  9  8 0800  -34.0 1004.2  444.0  444.0   66.3  444.0
2002 251  9  8 0900  -35.6 1004.0  444.0  444.0   66.8  444.0
2002 251  9  8 1000  -37.1 1003.5  444.0  444.0   67.2  444.0
2002 251  9  8 1100  -38.2 1003.1  444.0  444.0   66.8  444.0
2002 251  9  8 1200  -37.8 1002.3  444.0  444.0   67.6  444.0
2002 251  9  8 1300  -37.0 1001.7  444.0  444.0   69.4  444.0
2002 251  9  8 1400  -35.8 1000.8  444.0  444.0   72.9  444.0
