Year: 2002  Month: 07  ID: BUT  ARGOS:  8902  Name: Butler Island       
Lat: 72.20S  Lon:  60.17W  Elev:   91m
2002 182  7  1 0000  -28.2  966.0  444.0  444.0  444.0  444.0
2002 182  7  1 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 182  7  1 0200  -28.8  964.8  444.0  444.0  444.0  444.0
2002 182  7  1 0300  444.0  444.0  444.0  444.0  444.0  444.0
2002 182  7  1 0400  -28.9  963.0  444.0  444.0  444.0  444.0
2002 182  7  1 0500  -28.6  962.4  444.0  444.0  444.0  444.0
2002 182  7  1 0600  444.0  444.0  444.0  444.0  444.0  444.0
2002 182  7  1 0700  -29.2  960.3  444.0  444.0  444.0  444.0
2002 182  7  1 0800  -28.6  959.9  444.0  444.0  444.0  444.0
2002 182  7  1 0900  -28.1  959.3  444.0  444.0  444.0  444.0
2002 182  7  1 1000  -28.8  958.6  444.0  444.0  444.0  444.0
2002 182  7  1 1100  -28.5  958.0  444.0  444.0  444.0  444.0
2002 182  7  1 1200  -27.9  957.0  444.0  444.0  444.0  444.0
2002 182  7  1 1300  444.0  444.0  444.0  444.0  444.0  444.0
2002 182  7  1 1400  -28.2  955.7  444.0  444.0  444.0  444.0
2002 182  7  1 1500  444.0  955.2  444.0  444.0  444.0  444.0
2002 182  7  1 1600  -28.6  954.5  444.0  444.0  444.0  444.0
2002 182  7  1 1700  -28.6  954.0  444.0  444.0  444.0  444.0
2002 182  7  1 1800  -28.8  953.6  444.0  444.0  444.0  444.0
2002 182  7  1 1900  -29.5  953.2  444.0  444.0  444.0  444.0
2002 182  7  1 2000  -29.4  952.9  444.0  444.0  444.0  444.0
2002 182  7  1 2100  -29.8  953.2  444.0  444.0  444.0  444.0
2002 182  7  1 2200  -29.8  953.0  444.0  444.0  444.0  444.0
2002 182  7  1 2300  -29.6  952.9  444.0  444.0  444.0  444.0
2002 183  7  2 0000  -30.2  953.3  444.0  444.0  444.0  444.0
2002 183  7  2 0100  -30.5  953.5  444.0  444.0  444.0  444.0
2002 183  7  2 0200  -31.0  954.1  444.0  444.0  444.0  444.0
2002 183  7  2 0300  -31.5  954.3  444.0  444.0  444.0  444.0
2002 183  7  2 0400  -31.8  954.8  444.0  444.0  444.0  444.0
2002 183  7  2 0500  -32.1  955.2  444.0  444.0  444.0  444.0
2002 183  7  2 0600  -32.2  955.8  444.0  444.0  444.0  444.0
2002 183  7  2 0700  -32.2  956.3  444.0  444.0  444.0  444.0
2002 183  7  2 0800  -32.1  957.1  444.0  444.0  444.0  444.0
2002 183  7  2 0900  -32.4  958.0  444.0  444.0  444.0  444.0
2002 183  7  2 1000  -33.1  958.8  444.0  444.0  444.0  444.0
2002 183  7  2 1100  -34.5  960.2  444.0  444.0  444.0  444.0
2002 183  7  2 1200  -35.0  960.7  444.0  444.0  444.0  444.0
2002 183  7  2 1300  -34.4  961.3  444.0  444.0  444.0  444.0
2002 183  7  2 1400  -35.1  962.1  444.0  444.0  444.0  444.0
2002 183  7  2 1500  -34.8  963.0  444.0  444.0  444.0  444.0
2002 183  7  2 1600  -34.8  963.4  444.0  444.0  444.0  444.0
2002 183  7  2 1700  -34.1  964.4  444.0  444.0  444.0  444.0
2002 183  7  2 1800  -33.1  965.4  444.0  444.0  444.0  444.0
2002 183  7  2 1900  -32.6  965.9  444.0  444.0  444.0  444.0
2002 183  7  2 2000  -33.2  966.9  444.0  444.0  444.0  444.0
2002 183  7  2 2100  -32.4  967.2  444.0  444.0  444.0  444.0
2002 183  7  2 2200  -33.0  967.4  444.0  444.0  444.0  444.0
2002 183  7  2 2300  -33.4  968.2  444.0  444.0  444.0  444.0
2002 184  7  3 0000  -32.6  968.4  444.0  444.0  444.0  444.0
2002 184  7  3 0100  -32.6  968.3  444.0  444.0  444.0  444.0
2002 184  7  3 0200  -31.8  968.5  444.0  444.0  444.0  444.0
2002 184  7  3 0300  -31.1  968.9  444.0  444.0  444.0  444.0
2002 184  7  3 0400  -31.9  969.1  444.0  444.0  444.0  444.0
2002 184  7  3 0500  -31.6  969.3  444.0  444.0  444.0  444.0
2002 184  7  3 0600  -31.1  969.7  444.0  444.0  444.0  444.0
2002 184  7  3 0700  -30.8  970.3  444.0  444.0  444.0  444.0
2002 184  7  3 0800  -30.5  969.9  444.0  444.0  444.0  444.0
2002 184  7  3 0900  -30.0  970.0  444.0  444.0  444.0  444.0
2002 184  7  3 1000  -30.0  970.0  444.0  444.0  444.0  444.0
2002 184  7  3 1100  -29.9  970.3  444.0  444.0  444.0  444.0
2002 184  7  3 1200  444.0  444.0  444.0  444.0  444.0  444.0
2002 184  7  3 1300  -30.2  970.3  444.0  444.0  444.0  444.0
2002 184  7  3 1400  -30.0  970.5  444.0  444.0  444.0  444.0
2002 184  7  3 1500  -30.0  970.2  444.0  444.0  444.0  444.0
2002 184  7  3 1600  -30.6  970.8  444.0  444.0  444.0  444.0
2002 184  7  3 1700  -30.2  970.5  444.0  444.0  444.0  444.0
2002 184  7  3 1800  -30.4  970.7  444.0  444.0  444.0  444.0
2002 184  7  3 1900  -30.2  970.9  444.0  444.0  444.0  444.0
2002 184  7  3 2000  -29.2  971.3  444.0  444.0  444.0  444.0
2002 184  7  3 2100  -29.1  971.2  444.0  444.0  444.0  444.0
2002 184  7  3 2200  -30.0  971.3  444.0  444.0  444.0  444.0
2002 184  7  3 2300  -30.5  971.6  444.0  444.0  444.0  444.0
2002 185  7  4 0000  -30.2  971.5  444.0  444.0  444.0  444.0
2002 185  7  4 0100  -30.0  971.8  444.0  444.0  444.0  444.0
2002 185  7  4 0200  -30.0  971.0  444.0  444.0  444.0  444.0
2002 185  7  4 0300  -29.8  971.5  444.0  444.0  444.0  444.0
2002 185  7  4 0400  -29.6  971.7  444.0  444.0  444.0  444.0
2002 185  7  4 0500  -29.1  971.8  444.0  444.0  444.0  444.0
2002 185  7  4 0600  -29.0  972.1  444.0  444.0  444.0  444.0
2002 185  7  4 0700  -28.2  971.4  444.0  444.0  444.0  444.0
2002 185  7  4 0800  -28.2  972.1  444.0  444.0  444.0  444.0
