Year: 2002  Month: 03  ID: WDB  ARGOS:  8927  Name: Windless Bight      
Lat: 77.73S  Lon: 167.71E  Elev:   60m
2002  60  3  1 0000  444.0  444.0  444.0  444.0  444.0  444.0
2002  60  3  1 0100  -19.0  989.7    1.8  120.0   47.0    0.1
2002  60  3  1 0200  -17.9  989.5    0.8  235.0   58.1    0.1
2002  60  3  1 0300  -16.4  989.4    0.0    0.0   44.2    0.1
2002  60  3  1 0400  444.0  989.3    0.8  291.0   45.0    0.1
2002  60  3  1 0500  444.0  444.0  444.0  444.0  444.0  444.0
2002  60  3  1 0600  -16.9  989.3    3.5  176.0   76.2    0.1
2002  60  3  1 0700  -18.2  990.0    3.7  360.0   84.4    0.1
2002  60  3  1 0800  -18.8  990.1    2.5  353.0   85.2    0.1
2002  60  3  1 0900  -19.5  990.2    1.9  167.0   92.6    0.1
2002  60  3  1 1000  444.0  444.0  444.0  444.0  444.0  444.0
2002  60  3  1 1100  -19.8  990.3    0.0    0.0   90.5    0.1
2002  60  3  1 1200  -19.6  990.4    1.9  300.0   92.2    0.1
2002  60  3  1 1300  -20.2  990.5    1.9  214.0   89.7    0.1
2002  60  3  1 1400  -18.5  990.9    3.3   35.0   87.6    0.1
2002  60  3  1 1500  444.0  444.0  444.0  444.0  444.0  444.0
2002  60  3  1 1600  -18.6  991.1    2.5   83.0   79.8    0.1
2002  60  3  1 1700  -17.5  991.7    2.9    7.0   72.1    0.1
2002  60  3  1 1800  -16.6  992.0    2.5  347.0   83.1    0.1
2002  60  3  1 1900  -13.4  992.1    0.8  359.0   75.3    0.1
2002  60  3  1 2000  -14.0  992.0    0.0    0.0   62.6    0.1
2002  60  3  1 2100  -13.2  992.0    1.6   13.0   69.6    0.1
2002  60  3  1 2200  -10.2  992.6    1.2  357.0   61.0    0.1
2002  60  3  1 2300   -9.8  992.6    2.3  304.0   72.9    0.1
2002  61  3  2 0000   -7.5  992.6    2.3  311.0   74.1    0.1
2002  61  3  2 0100   -6.6  992.4    1.2  302.0   72.5    0.1
2002  61  3  2 0200   -7.0  992.1    0.6  283.0   70.0    0.1
2002  61  3  2 0300   -7.0  991.6    2.1  325.0   68.4    0.1
2002  61  3  2 0400   -7.9  991.4    0.8  311.0   69.2    0.1
2002  61  3  2 0500  -10.5  991.8    3.9  114.0   88.9    0.1
2002  61  3  2 0600  -11.0  992.0    2.7   21.0   88.9    0.1
2002  61  3  2 0700  -11.8  991.8    0.4  121.0   88.5    0.1
2002  61  3  2 0800  -13.9  992.0    1.4   51.0   93.8    0.1
2002  61  3  2 0900  -14.0  992.2    1.8   72.0   93.4    0.1
2002  61  3  2 1000  -13.9  992.4    1.9   90.0   93.8    0.1
2002  61  3  2 1100  -13.8  992.6    1.0   66.0   94.2    0.1
2002  61  3  2 1200  -15.9  992.5    1.8   77.0   95.0    0.1
2002  61  3  2 1300  -17.0  992.6    3.1   91.0   95.4    0.1
2002  61  3  2 1400  -19.9  992.5    2.5   73.0   89.7    0.1
2002  61  3  2 1500  -18.0  992.4    5.3   94.0   92.2    0.1
2002  61  3  2 1600  -19.6  992.7    3.1   80.0   90.5    0.1
2002  61  3  2 1700  -23.9  992.8    1.0   77.0   86.0    0.1
2002  61  3  2 1800  -22.9  993.0    0.0    0.0   87.2    0.1
2002  61  3  2 1900  -20.6  993.1    0.0    0.0   91.3    0.1
2002  61  3  2 2000  -24.2  993.2    2.3  314.0   86.4    0.1
2002  61  3  2 2100  -22.4  993.2    0.0    0.0   90.9    0.1
2002  61  3  2 2200  -21.2  993.5    1.0   25.0   76.2    0.1
2002  61  3  2 2300  -18.5  993.4    0.4  287.0   52.4    0.1
2002  62  3  3 0000  -16.5  993.3    1.2  260.0   39.3    0.1
2002  62  3  3 0100  -14.5  993.2    1.6  245.0   42.1    0.1
2002  62  3  3 0200  -15.4  993.3    2.3  290.0   67.6    0.1
2002  62  3  3 0300  -16.1  993.2    1.0    8.0   58.9    0.1
2002  62  3  3 0400  -16.1  993.3    0.4  307.0   63.5    0.1
2002  62  3  3 0500  -14.9  993.5    1.0   20.0   65.5    0.1
2002  62  3  3 0600  -15.2  993.5    0.6  302.0   68.8    0.1
2002  62  3  3 0700  -15.6  994.0    0.0    0.0   73.3    0.1
2002  62  3  3 0800  -17.4  994.6    0.6  129.0   95.4    0.1
2002  62  3  3 0900  -19.9  995.6    1.9  235.0   92.2    0.1
2002  62  3  3 1000  -19.0  996.3    1.0  312.0   89.3    0.1
2002  62  3  3 1100  -18.8  996.6    0.0    0.0   80.7    0.1
2002  62  3  3 1200  -18.1  997.1    0.6   18.0   75.8    0.1
2002  62  3  3 1300  -17.5  997.5    2.1   86.0   71.7    0.1
2002  62  3  3 1400  -17.4  997.9    0.0    0.0   68.4    0.1
2002  62  3  3 1500  -17.5  998.2    1.0   86.0   71.7    0.1
2002  62  3  3 1600  -17.4  998.5    1.6    4.0   70.4    0.1
2002  62  3  3 1700  -16.9  998.9    0.4  172.0   64.7    0.1
2002  62  3  3 1800  -16.6  999.5    0.6   45.0   70.0    0.1
2002  62  3  3 1900  -16.2 1000.0    2.7   22.0   65.1    0.1
2002  62  3  3 2000  -15.9 1000.2    2.7  356.0   63.9    0.1
2002  62  3  3 2100  -14.4 1000.5    0.4  330.0   49.5    0.1
2002  62  3  3 2200  -14.0 1000.7    1.0  125.0   51.1    0.1
2002  62  3  3 2300  -14.0 1000.6    1.8   18.0   59.3    0.1
2002  63  3  4 0000  -14.0 1000.6    2.3   24.0   65.5    0.1
2002  63  3  4 0100  -14.0 1000.4    3.3   45.0   74.1    0.1
2002  63  3  4 0200  -13.9 1000.3    3.9   35.0   81.1    0.1
2002  63  3  4 0300  -13.8 1000.3    4.3   53.0   80.3    0.1
2002  63  3  4 0400  -13.2 1000.1    4.7   56.0   76.6    0.1
2002  63  3  4 0500  -13.2 1000.0    3.5   42.0   84.8    0.1
2002  63  3  4 0600  -13.1  999.6    3.9   35.0   88.5    0.1
2002  63  3  4 0700  -11.8  999.6    3.3   52.0   77.4    0.1
2002  63  3  4 0800  -14.0  999.6    3.5  100.0   81.5    0.1
2002  63  3  4 0900  -14.0  999.8    4.5  107.0   87.6    0.1
2002  63  3  4 1000  -15.1  999.9    6.0  117.0   89.3    0.1
2002  63  3  4 1100  -15.6 1000.3    4.5   79.0   90.9    0.1
2002  63  3  4 1200  -15.8 1001.0    2.5   28.0   92.2    0.1
2002  63  3  4 1300  -16.2 1000.9    1.8  139.0   92.2    0.1
2002  63  3  4 1400  -16.1 1001.4    3.1   20.0   93.4    0.1
2002  63  3  4 1500  -13.5 1001.9    0.8   98.0   85.6    0.1
2002  63  3  4 1600  -13.2 1002.4    3.3   72.0   81.5    0.1
2002  63  3  4 1700  -13.9 1002.3    3.5   89.0   81.5    0.1
2002  63  3  4 1800  -13.8 1002.8    1.8  207.0   77.4    0.1
2002  63  3  4 1900  -15.2 1003.1    2.7  319.0   80.7    0.1
2002  63  3  4 2000  -15.0 1003.5    0.8  283.0   76.2    0.1
2002  63  3  4 2100  -19.9 1004.3    2.7  281.0   82.3    0.1
2002  63  3  4 2200  -20.4 1004.8    1.4  323.0   63.0    0.1
2002  63  3  4 2300  -16.9 1004.5    0.6   31.0   50.7    0.1
2002  64  3  5 0000  -15.5 1004.5    0.8  104.0   44.6    0.1
2002  64  3  5 0100  -14.5 1004.3    2.1   66.0   49.9    0.1
