Year: 2002  Month: 09  ID: HRB  ARGOS:  8697  Name: Herbie Alley        
Lat: 78.10S  Lon: 166.68E  Elev:   30m
2002 247  9  4 1200  -23.8  999.6    1.2   18.0   89.6  444.0
2002 247  9  4 1300  -24.6  999.6    0.6   24.0   89.2  444.0
2002 247  9  4 1400  -26.1  999.3    0.8   63.0   87.9  444.0
2002 247  9  4 1500  -25.2  999.0    0.8  347.0   88.3  444.0
2002 247  9  4 1600  -25.9  998.8    0.4   80.0   87.0  444.0
2002 247  9  4 1700  -25.5  998.4    0.6   89.0   86.6  444.0
2002 247  9  4 1800  -25.0  997.9    0.8   68.0   87.9  444.0
2002 247  9  4 1900  -26.5  997.8    0.8   46.0   86.6  444.0
2002 247  9  4 2000  -25.9  997.8    0.4   24.0   87.9  444.0
2002 247  9  4 2100  -26.5  997.7    0.4   90.0   85.7  444.0
2002 247  9  4 2200  -27.0  997.6    0.4  339.0   86.1  444.0
2002 247  9  4 2300  -26.2  997.3    0.2  347.0   87.0  444.0
2002 248  9  5 0000  -25.9  997.2    0.6   44.0   88.8  444.0
2002 248  9  5 0100  -25.0  997.1    0.4   45.0   88.8  444.0
2002 248  9  5 0200  -24.9  997.2    0.6   84.0   89.2  444.0
2002 248  9  5 0300  -24.0  997.0    0.6   72.0   90.1  444.0
2002 248  9  5 0400  -24.9  996.9    0.6   66.0   88.8  444.0
2002 248  9  5 0500  -24.0  996.9    0.8    3.0   90.1  444.0
2002 248  9  5 0600  -23.5  997.2    0.4  273.0   90.5  444.0
2002 248  9  5 0700  -24.4  997.3    0.4  335.0   89.6  444.0
2002 248  9  5 0800  -26.4  997.3    0.8  340.0   87.0  444.0
2002 248  9  5 0900  -26.8  997.4    0.4  294.0   86.6  444.0
2002 248  9  5 1000  -26.9  997.8    0.2  158.0   86.1  444.0
2002 248  9  5 1100  -25.0  998.2    0.4  111.0   88.3  444.0
2002 248  9  5 1200  -24.1  998.2    1.2  160.0   89.6  444.0
