Year: 2002  Month: 01  ID: PTM  ARGOS:  8909  Name: Port Martin         
Lat: 66.82S  Lon: 141.40E  Elev:   39m
2002   1  1  1 0000    3.1 1004.9  444.0  444.0  444.0  444.0
2002   1  1  1 0100    3.8 1003.5  444.0  444.0  444.0  444.0
2002   1  1  1 0200    4.0 1003.9  444.0  444.0  444.0  444.0
2002   1  1  1 0300    4.2 1003.1  444.0  444.0  444.0  444.0
2002   1  1  1 0400  444.0  444.0  444.0  444.0  444.0  444.0
2002   1  1  1 0500    4.8 1002.4  444.0  444.0  444.0  444.0
2002   1  1  1 0600    5.2 1000.7  444.0  444.0  444.0  444.0
2002   1  1  1 0700    5.4 1000.1  444.0  444.0  444.0  444.0
2002   1  1  1 0800    5.5 1001.0  444.0  444.0  444.0  444.0
2002   1  1  1 0900    5.4 1000.9  444.0  444.0  444.0  444.0
2002   1  1  1 1000    5.1 1000.8  444.0  444.0  444.0  444.0
2002   1  1  1 1100    6.0 1000.0  444.0  444.0  444.0  444.0
2002   1  1  1 1200    5.9 1000.2  444.0  444.0  444.0  444.0
2002   1  1  1 1300    6.9  999.5  444.0  444.0  444.0  444.0
2002   1  1  1 1400    7.5  999.8  444.0  444.0  444.0  444.0
2002   1  1  1 1500    3.9  999.8  444.0  444.0  444.0  444.0
2002   1  1  1 1600    4.1  999.2  444.0  444.0  444.0  444.0
2002   1  1  1 1700    3.5  998.8  444.0  444.0  444.0  444.0
2002   1  1  1 1800    4.5  998.1  444.0  444.0  444.0  444.0
2002   1  1  1 1900    5.4  997.6  444.0  444.0  444.0  444.0
2002   1  1  1 2000    5.6  997.4  444.0  444.0  444.0  444.0
2002   1  1  1 2100  444.0  444.0  444.0  444.0  444.0  444.0
2002   1  1  1 2200  444.0  996.4  444.0  444.0  444.0  444.0
2002   1  1  1 2300    8.9  996.2  444.0  444.0  444.0  444.0
2002   2  1  2 0000    8.9  995.8  444.0  444.0  444.0  444.0
2002   2  1  2 0100    8.2  996.3  444.0  444.0  444.0  444.0
2002   2  1  2 0200  444.0  444.0  444.0  444.0  444.0  444.0
2002   2  1  2 0300    6.9  994.2  444.0  444.0  444.0  444.0
2002   2  1  2 0400  444.0  444.0  444.0  444.0  444.0  444.0
2002   2  1  2 0500    5.9  993.7  444.0  444.0  444.0  444.0
2002   2  1  2 0600    7.9  995.4  444.0  444.0  444.0  444.0
2002   2  1  2 0700    7.5  994.9  444.0  444.0  444.0  444.0
2002   2  1  2 0800    8.6  995.0  444.0  444.0  444.0  444.0
2002   2  1  2 0900  444.0  444.0  444.0  444.0  444.0  444.0
2002   2  1  2 1000    5.5  996.3  444.0  444.0  444.0  444.0
2002   2  1  2 1100    4.9  995.9  444.0  444.0  444.0  444.0
2002   2  1  2 1200    4.5  995.9  444.0  444.0  444.0  444.0
2002   2  1  2 1300    3.2  995.8  444.0  444.0  444.0  444.0
2002   2  1  2 1400  444.0  444.0  444.0  444.0  444.0  444.0
2002   2  1  2 1500    4.1  995.3  444.0  444.0  444.0  444.0
2002   2  1  2 1600    3.6  995.0  444.0  444.0  444.0  444.0
2002   2  1  2 1700    3.6  994.7  444.0  444.0  444.0  444.0
2002   2  1  2 1800    3.1  994.9  444.0  444.0  444.0  444.0
2002   2  1  2 1900  444.0  444.0  444.0  444.0  444.0  444.0
2002   2  1  2 2000    5.4  995.0  444.0  444.0  444.0  444.0
2002   2  1  2 2100    2.9  995.1  444.0  444.0  444.0  444.0
2002   2  1  2 2200  444.0  994.9  444.0  444.0  444.0  444.0
2002   2  1  2 2300    4.5  994.4  444.0  444.0  444.0  444.0
2002   3  1  3 0000  444.0  444.0  444.0  444.0  444.0  444.0
2002   3  1  3 0100    5.8  993.8  444.0  444.0  444.0  444.0
2002   3  1  3 0200  444.0  444.0  444.0  444.0  444.0  444.0
2002   3  1  3 0300    6.4  992.5  444.0  444.0  444.0  444.0
2002   3  1  3 0400    3.9  992.2  444.0  444.0  444.0  444.0
2002   3  1  3 0500  444.0  991.7  444.0  444.0  444.0  444.0
2002   3  1  3 0600  444.0  991.1  444.0  444.0  444.0  444.0
2002   3  1  3 0700  444.0  444.0  444.0  444.0  444.0  444.0
2002   3  1  3 0800    2.6  989.8  444.0  444.0  444.0  444.0
2002   3  1  3 0900    1.1  989.6  444.0  444.0  444.0  444.0
2002   3  1  3 1000    0.6  989.3  444.0  444.0  444.0  444.0
2002   3  1  3 1100    0.4  989.0  444.0  444.0  444.0  444.0
2002   3  1  3 1200  444.0  444.0  444.0  444.0  444.0  444.0
2002   3  1  3 1300    0.1  988.0  444.0  444.0  444.0  444.0
2002   3  1  3 1400    0.9  987.9  444.0  444.0  444.0  444.0
2002   3  1  3 1500    0.6  987.9  444.0  444.0  444.0  444.0
2002   3  1  3 1600    0.0  987.6  444.0  444.0  444.0  444.0
2002   3  1  3 1700  444.0  444.0  444.0  444.0  444.0  444.0
2002   3  1  3 1800    0.4  987.8  444.0  444.0  444.0  444.0
2002   3  1  3 1900    0.0  988.2  444.0  444.0  444.0  444.0
2002   3  1  3 2000    0.5  988.6  444.0  444.0  444.0  444.0
2002   3  1  3 2100    0.6  988.6  444.0  444.0  444.0  444.0
2002   3  1  3 2200  444.0  444.0  444.0  444.0  444.0  444.0
2002   3  1  3 2300    2.2  988.4  444.0  444.0  444.0  444.0
2002   4  1  4 0000    2.9  988.3  444.0  444.0  444.0  444.0
2002   4  1  4 0100    3.5  988.1  444.0  444.0  444.0  444.0
2002   4  1  4 0200    3.8  988.3  444.0  444.0  444.0  444.0
2002   4  1  4 0300  444.0  988.3  444.0  444.0  444.0  444.0
2002   4  1  4 0400    5.5  988.1  444.0  444.0  444.0  444.0
2002   4  1  4 0500  444.0  988.1  444.0  444.0  444.0  444.0
2002   4  1  4 0600    5.9  987.8  444.0  444.0  444.0  444.0
2002   4  1  4 0700  444.0  987.9  444.0  444.0  444.0  444.0
2002   4  1  4 0800  444.0  987.9  444.0  444.0  444.0  444.0
2002   4  1  4 0900    4.6  987.8  444.0  444.0  444.0  444.0
2002   4  1  4 1000  444.0  444.0  444.0  444.0  444.0  444.0
2002   4  1  4 1100    1.6  987.6  444.0  444.0  444.0  444.0
2002   4  1  4 1200    0.1  987.3  444.0  444.0  444.0  444.0
2002   4  1  4 1300   -0.8  987.3  444.0  444.0  444.0  444.0
2002   4  1  4 1400   -1.4  987.2  444.0  444.0  444.0  444.0
2002   4  1  4 1500  444.0  444.0  444.0  444.0  444.0  444.0
2002   4  1  4 1600   -1.9  987.2  444.0  444.0  444.0  444.0
2002   4  1  4 1700   -2.5  987.1  444.0  444.0  444.0  444.0
2002   4  1  4 1800   -1.6  987.0  444.0  444.0  444.0  444.0
2002   4  1  4 1900   -1.8  987.3  444.0  444.0  444.0  444.0
2002   4  1  4 2000  444.0  444.0  444.0  444.0  444.0  444.0
2002   4  1  4 2100   -0.5  987.0  444.0  444.0  444.0  444.0
2002   4  1  4 2200    0.8  987.2  444.0  444.0  444.0  444.0
2002   4  1  4 2300    1.6  986.9  444.0  444.0  444.0  444.0
2002   5  1  5 0000    1.5  986.8  444.0  444.0  444.0  444.0
2002   5  1  5 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002   5  1  5 0200    4.0  986.8  444.0  444.0  444.0  444.0
2002   5  1  5 0300    3.6  986.8  444.0  444.0  444.0  444.0
2002   5  1  5 0400  444.0  987.1  444.0  444.0  444.0  444.0
2002   5  1  5 0500  444.0  444.0  444.0  444.0  444.0  444.0
2002   5  1  5 0600    1.6  987.2  444.0  444.0  444.0  444.0
2002   5  1  5 0700   -0.1  987.5  444.0  444.0  444.0  444.0
2002   5  1  5 0800    1.0  987.9  444.0  444.0  444.0  444.0
2002   5  1  5 0900   -1.5  988.4  444.0  444.0  444.0  444.0
2002   5  1  5 1000   -1.1  988.7  444.0  444.0  444.0  444.0
2002   5  1  5 1100   -0.5  989.0  444.0  444.0  444.0  444.0
2002   5  1  5 1200   -1.9  989.0  444.0  444.0  444.0  444.0
2002   5  1  5 1300   -1.1  989.1  444.0  444.0  444.0  444.0
2002   5  1  5 1400   -2.5  989.0  444.0  444.0  444.0  444.0
2002   5  1  5 1500   -2.5  989.0  444.0  444.0  444.0  444.0
2002   5  1  5 1600   -3.0  989.0  444.0  444.0  444.0  444.0
2002   5  1  5 1700   -2.5  988.9  444.0  444.0  444.0  444.0
2002   5  1  5 1800   -2.0  989.0  444.0  444.0  444.0  444.0
2002   5  1  5 1900   -1.9  988.9  444.0  444.0  444.0  444.0
2002   5  1  5 2000   -1.1  988.8  444.0  444.0  444.0  444.0
2002   5  1  5 2100  444.0  444.0  444.0  444.0  444.0  444.0
2002   5  1  5 2200    0.9  989.0  444.0  444.0  444.0  444.0
2002   5  1  5 2300  444.0  444.0  444.0  444.0  444.0  444.0
2002   6  1  6 0000    1.2  988.7  444.0  444.0  444.0  444.0
2002   6  1  6 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002   6  1  6 0200    1.8  988.7  444.0  444.0  444.0  444.0
2002   6  1  6 0300  444.0  444.0  444.0  444.0  444.0  444.0
2002   6  1  6 0400    1.5  989.0  444.0  444.0  444.0  444.0
2002   6  1  6 0500  444.0  988.8  444.0  444.0  444.0  444.0
2002   6  1  6 0600    1.1  988.8  444.0  444.0  444.0  444.0
2002   6  1  6 0700    1.4  988.7  444.0  444.0  444.0  444.0
2002   6  1  6 0800   -0.2  988.9  444.0  444.0  444.0  444.0
2002   6  1  6 0900   -0.6  988.8  444.0  444.0  444.0  444.0
2002   6  1  6 1000   -1.2  989.2  444.0  444.0  444.0  444.0
2002   6  1  6 1100   -1.5  989.7  444.0  444.0  444.0  444.0
2002   6  1  6 1200   -1.8  989.5  444.0  444.0  444.0  444.0
2002   6  1  6 1300   -1.6  989.4  444.0  444.0  444.0  444.0
2002   6  1  6 1400   -2.0  989.3  444.0  444.0  444.0  444.0
2002   6  1  6 1500   -1.8  989.3  444.0  444.0  444.0  444.0
2002   6  1  6 1600   -1.9  989.1  444.0  444.0  444.0  444.0
2002   6  1  6 1700   -1.8  989.3  444.0  444.0  444.0  444.0
2002   6  1  6 1800   -1.9  989.2  444.0  444.0  444.0  444.0
2002   6  1  6 1900   -1.6  989.3  444.0  444.0  444.0  444.0
2002   6  1  6 2000   -1.4  989.2  444.0  444.0  444.0  444.0
2002   6  1  6 2100   -0.9  989.4  444.0  444.0  444.0  444.0
2002   6  1  6 2200   -0.2  989.6  444.0  444.0  444.0  444.0
2002   6  1  6 2300   -0.9  989.7  444.0  444.0  444.0  444.0
2002   7  1  7 0000  444.0  444.0  444.0  444.0  444.0  444.0
2002   7  1  7 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002   7  1  7 0200    1.1  989.4  444.0  444.0  444.0  444.0
2002   7  1  7 0300  444.0  444.0  444.0  444.0  444.0  444.0
