Year: 2002  Month: 06  ID: CBD  ARGOS:  8901  Name: Cape Bird           
Lat: 77.21S  Lon: 166.44E  Elev:   38m
2002 155  6  4 1100  -29.4 1003.1    1.8  132.0  444.0    0.2
2002 155  6  4 1200  -29.4 1003.5    2.1  119.0  444.0    0.2
2002 155  6  4 1300  -29.5 1003.7    1.4  108.0  444.0    0.2
2002 155  6  4 1400  -29.6 1004.2    2.3  126.0  444.0    0.2
2002 155  6  4 1500  -28.8 1005.2    1.8   96.0  444.0    0.2
2002 155  6  4 1600  -29.0 1005.3    2.7  137.0  444.0    0.2
2002 155  6  4 1700  -29.4 1005.6    2.7  109.0  444.0    0.2
2002 155  6  4 1800  -29.6 1006.3    2.1  133.0  444.0    0.2
2002 155  6  4 1900  -30.0 1006.8    1.8  170.0  444.0    0.1
2002 155  6  4 2000  444.0  444.0  444.0  444.0  444.0  444.0
2002 155  6  4 2100  -30.5 1007.9    2.3  185.0  444.0    0.2
2002 155  6  4 2200  -30.2 1008.6    1.9  185.0  444.0    0.2
2002 155  6  4 2300  -30.0 1008.8    1.9  195.0  444.0    0.2
2002 156  6  5 0000  -30.0 1009.5    1.9  177.0  444.0    0.1
2002 156  6  5 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 156  6  5 0200  -29.9 1009.9    1.9  178.0  444.0    0.2
2002 156  6  5 0300  -30.0 1010.2    0.8   26.0  444.0    0.2
2002 156  6  5 0400  -30.6 1010.6    2.3   25.0  444.0    0.2
2002 156  6  5 0500  -30.6 1011.1    2.9   35.0  444.0    0.2
2002 156  6  5 0600  -30.5 1011.2    2.1   40.0  444.0    0.2
2002 156  6  5 0700  -31.0 1011.5    4.7   16.0  444.0    0.2
2002 156  6  5 0800  -30.2 1011.7    2.1   25.0  444.0    0.2
2002 156  6  5 0900  -30.6 1012.1    2.3   22.0  444.0    0.2
2002 156  6  5 1000  -30.6 1012.1    3.1   40.0  444.0    0.2
2002 156  6  5 1100  -30.1 1012.1    4.7   26.0  444.0    0.2
2002 156  6  5 1200  -30.2 1011.9    3.3   29.0  444.0    0.2
2002 156  6  5 1300  444.0  444.0  444.0  444.0  444.0  444.0
2002 156  6  5 1400  -27.6 1011.8    3.1   78.0  444.0    0.2
2002 156  6  5 1500  -28.9 1011.6    4.5   29.0  444.0    0.2
2002 156  6  5 1600  -29.0 1011.5    5.3    6.0  444.0    0.2
2002 156  6  5 1700  -27.5 1011.1    4.9   19.0  444.0    0.2
2002 156  6  5 1800  444.0  444.0  444.0  444.0  444.0  444.0
2002 156  6  5 1900  -27.6 1010.3    5.8   40.0  444.0    0.2
2002 156  6  5 2000  -26.9 1009.8    5.1   23.0  444.0    0.2
2002 156  6  5 2100  -29.0 1009.6    6.6   25.0  444.0    0.2
2002 156  6  5 2200  -29.2 1009.5    4.9   20.0  444.0    0.2
2002 156  6  5 2300  444.0  444.0  444.0  444.0  444.0  444.0
2002 157  6  6 0000  -29.4 1008.5    3.5   40.0  444.0    0.2
2002 157  6  6 0100  -29.0 1008.1    2.9   19.0  444.0    0.2
2002 157  6  6 0200  -27.8 1007.4    5.1    8.0  444.0    0.2
2002 157  6  6 0300  -23.5 1007.2    4.1   16.0  444.0    0.2
2002 157  6  6 0400  444.0  444.0  444.0  444.0  444.0  444.0
2002 157  6  6 0500  -23.0 1006.2    3.3   88.0  444.0    0.2
2002 157  6  6 0600  444.0  444.0  444.0  444.0  444.0  444.0
2002 157  6  6 0700  -25.4 1006.3    2.7   57.0  444.0    0.1
2002 157  6  6 0800  -28.5 1006.1    3.1  105.0  444.0    0.2
2002 157  6  6 0900  -24.0 1006.1    2.7   88.0  444.0    0.2
2002 157  6  6 1000  -24.9 1005.9    3.1   68.0  444.0    0.2
2002 157  6  6 1100  444.0  444.0  444.0  444.0  444.0  444.0
2002 157  6  6 1200  -27.6 1006.2    0.0    0.0  444.0    0.4
2002 157  6  6 1300  -27.4 1006.0    3.1   26.0  444.0    0.2
2002 157  6  6 1400  -27.4 1006.4    1.6  213.0  444.0    0.2
2002 157  6  6 1500  -27.8 1006.8    1.0  192.0  444.0    0.2
2002 157  6  6 1600  444.0  444.0  444.0  444.0  444.0  444.0
2002 157  6  6 1700  -28.2 1007.9    3.1   20.0  444.0    0.2
2002 157  6  6 1800  -27.4 1008.8    1.9   44.0  444.0    0.1
2002 157  6  6 1900  -29.2 1009.2    4.5   35.0  444.0    0.2
2002 157  6  6 2000  -30.2 1010.8    3.5   40.0  444.0    0.2
2002 157  6  6 2100  444.0  444.0  444.0  444.0  444.0  444.0
2002 157  6  6 2200  -28.9 1013.0    2.5   65.0  444.0    0.2
2002 157  6  6 2300  -29.2 1013.9    2.1  148.0  444.0    0.2
2002 158  6  7 0000  -29.0 1014.3    2.9  193.0  444.0    0.2
2002 158  6  7 0100  -29.2 1015.0    3.9  213.0  444.0    0.2
2002 158  6  7 0200  -29.0 1015.4    2.5  158.0  444.0    0.2
2002 158  6  7 0300  -28.6 1015.0    1.9  151.0  444.0    0.2
2002 158  6  7 0400  444.0  444.0  444.0  444.0  444.0  444.0
2002 158  6  7 0500  -28.0 1015.6    0.8  186.0  444.0    0.2
2002 158  6  7 0600  -30.6 1015.4    2.1  193.0  444.0    0.2
2002 158  6  7 0700  -30.6 1015.8    2.7  192.0  444.0    0.2
2002 158  6  7 0800  -28.9 1015.8    2.9  202.0  444.0    0.2
2002 158  6  7 0900  444.0  444.0  444.0  444.0  444.0  444.0
