Year: 2002  Month: 07  ID: KIR  ARGOS:  8930  Name: Kirkwood Island     
Lat: 68.33S  Lon:  69.01W  Elev:   30m
2002 185  7  4 1200  -12.0  444.0    8.8  302.0   88.2  444.0
2002 185  7  4 1300  444.0  444.0  444.0  444.0  444.0  444.0
2002 185  7  4 1400  -12.7  444.0    2.4   49.0   87.8  444.0
2002 185  7  4 1500  -12.0  444.0    2.9    1.0   88.0  444.0
2002 185  7  4 1600  444.0  444.0  444.0  444.0  444.0  444.0
2002 185  7  4 1700  -13.1  972.9    2.0   11.0   86.9  444.0
2002 185  7  4 1800  444.0  444.0  444.0  444.0  444.0  444.0
2002 185  7  4 1900  -15.3  973.5    1.9  320.0   85.3  444.0
2002 185  7  4 2000  -15.8  444.0    1.4   52.0   85.1  444.0
2002 185  7  4 2100  -15.2  974.9    1.4   11.0   85.1  444.0
2002 185  7  4 2200  -15.5  975.6    1.3   77.0   84.8  444.0
2002 185  7  4 2300  -16.2  976.3    0.5  360.0   84.1  444.0
2002 186  7  5 0000  -15.8  444.0    3.7  122.0   84.7  444.0
2002 186  7  5 0100  -15.5  444.0    1.1   92.0   84.9  444.0
2002 186  7  5 0200  -16.4  444.0    0.1   89.0   83.9  444.0
2002 186  7  5 0300  -15.8  977.0    0.0    0.0   84.6  444.0
2002 186  7  5 0400  -15.7  977.0    0.1   34.0   84.6  444.0
2002 186  7  5 0500  -15.5  444.0    0.2  346.0   84.9  444.0
2002 186  7  5 0600  -14.9  444.0    0.2  239.0   85.4  444.0
2002 186  7  5 0700  -14.1  977.7    0.9  139.0   86.0  444.0
2002 186  7  5 0800  -14.4  977.7    0.3   43.0   85.5  444.0
2002 186  7  5 0900  -14.8  444.0    0.4   78.0   85.5  444.0
2002 186  7  5 1000  -14.9  444.0    0.0    0.0   85.7  444.0
2002 186  7  5 1100  444.0  444.0  444.0  444.0  444.0  444.0
2002 186  7  5 1200  -17.6  978.4    1.7  186.0   82.5  444.0
2002 186  7  5 1300  444.0  444.0  444.0  444.0  444.0  444.0
2002 186  7  5 1400  -19.3  978.4    1.8  187.0   81.0  444.0
2002 186  7  5 1500  -20.9  444.0    0.9  136.0   80.1  444.0
2002 186  7  5 1600  444.0  444.0  444.0  444.0  444.0  444.0
2002 186  7  5 1700  -22.7  979.1    3.9  189.0   78.1  444.0
2002 186  7  5 1800  -21.0  444.0    2.3  251.0   79.7  444.0
2002 186  7  5 1900  -19.2  979.7    5.5  202.0   81.3  444.0
2002 186  7  5 2000  -18.8  444.0    5.1  208.0   81.6  444.0
2002 186  7  5 2100  -18.4  981.8    4.2  209.0   81.9  444.0
2002 186  7  5 2200  -18.4  444.0    4.1  186.0   82.0  444.0
2002 186  7  5 2300  444.0  444.0  444.0  444.0  444.0  444.0
2002 187  7  6 0000  -18.3  984.6    5.6  186.0   81.7  444.0
2002 187  7  6 0100  -18.0  985.3    4.9  189.0   82.3  444.0
2002 187  7  6 0200  -17.0  986.0    5.3  180.0   83.5  444.0
2002 187  7  6 0300  -16.9  444.0    6.4  175.0   83.5  444.0
2002 187  7  6 0400  -17.1  444.0    4.1  182.0   83.1  444.0
2002 187  7  6 0500  -16.9  989.4    4.7  183.0   83.6  444.0
2002 187  7  6 0600  -16.7  444.0    6.9  181.0   83.7  444.0
2002 187  7  6 0700  -16.8  991.5    6.1  172.0   83.6  444.0
2002 187  7  6 0800  -16.2  444.0    6.4  182.0   84.2  444.0
2002 187  7  6 0900  444.0  444.0  444.0  444.0  444.0  444.0
2002 187  7  6 1000  -16.2  994.9    5.7  168.0   84.0  444.0
2002 187  7  6 1100  444.0  444.0  444.0  444.0  444.0  444.0
