Year: 2002  Month: 10  ID: PGN  ARGOS: 21357  Name: Pegasus North       
Lat: 77.95S  Lon: 166.51E  Elev:    8m
2002 274 10  1 0000  -15.4  989.2    4.7  108.0   51.8  444.0
2002 274 10  1 0100  -15.0  989.1    5.8  120.0   50.5  444.0
2002 274 10  1 0200  -15.1  989.2    5.5  103.0   52.7  444.0
2002 274 10  1 0300  -15.0  989.1    5.3   80.0   50.9  444.0
2002 274 10  1 0400  -14.9  989.4    8.8  122.0   59.3  444.0
2002 274 10  1 0500  -15.6  989.7    3.5  111.0   57.5  444.0
2002 274 10  1 0600  -14.9  989.7    5.8  120.0   52.2  444.0
2002 274 10  1 0700  -14.9  989.7    6.0  104.0   55.8  444.0
2002 274 10  1 0800  -14.4  990.2    4.7   44.0   58.8  444.0
2002 274 10  1 0900  -15.6  990.3    5.3   46.0   68.1  444.0
2002 274 10  1 1000  -16.6  990.2    4.3   58.0   67.6  444.0
2002 274 10  1 1100  -16.1  990.7    6.2  128.0   66.3  444.0
2002 274 10  1 1200  -16.1  991.2    3.5   86.0   69.8  444.0
2002 274 10  1 1300  -17.5  991.2    0.6   11.0   94.9  444.0
2002 274 10  1 1400  -17.9  991.1    1.6   28.0   88.3  444.0
2002 274 10  1 1500  -18.4  991.0    2.1   63.0   97.1  444.0
2002 274 10  1 1600  -19.1  991.0    1.4   60.0   93.6  444.0
2002 274 10  1 1700  -18.6  991.0    1.4   41.0   96.7  444.0
2002 274 10  1 1800  -19.1  990.9    0.8  180.0   96.2  444.0
2002 274 10  1 1900  -20.2  991.1    1.4  190.0   91.8  444.0
2002 274 10  1 2000  -19.5  991.0    0.0    0.0   85.2  444.0
2002 274 10  1 2100  -19.6  990.8    1.2  333.0   69.4  444.0
2002 274 10  1 2200  -20.6  990.8    1.6  305.0   72.9  444.0
2002 274 10  1 2300  -19.5  990.6    3.1  297.0   72.5  444.0
2002 275 10  2 0000  -19.6  990.6    2.5  256.0   70.3  444.0
2002 275 10  2 0100  -16.5  990.5    0.6   24.0   54.0  444.0
2002 275 10  2 0200  -17.8  990.3    2.5  360.0   69.8  444.0
2002 275 10  2 0300  -16.1  989.9    0.4  339.0   71.6  444.0
2002 275 10  2 0400  -16.5  989.9    2.1  210.0   76.9  444.0
2002 275 10  2 0500  -13.8  989.4    4.3  155.0   85.7  444.0
2002 275 10  2 0600  -15.0  989.8    0.0    0.0   75.1  444.0
2002 275 10  2 0700  -12.6  989.9    5.8  158.0   78.6  444.0
2002 275 10  2 0800  -12.9  989.7    1.8  148.0   81.7  444.0
2002 275 10  2 0900  -12.1  989.6    8.2  167.0   79.1  444.0
2002 275 10  2 1000  -13.0  989.8    0.4  148.0   76.0  444.0
2002 275 10  2 1100  -13.5  990.1    6.2  146.0   83.0  444.0
2002 275 10  2 1200  -15.0  990.4    2.1   66.0   84.8  444.0
2002 275 10  2 1300  -15.6  990.5    2.7   68.0   89.2  444.0
2002 275 10  2 1400  -17.1  990.4    1.4   20.0   90.5  444.0
2002 275 10  2 1500  -19.0  990.3    2.7   10.0   93.2  444.0
2002 275 10  2 1600  -19.1  990.5    1.0    4.0   92.3  444.0
2002 275 10  2 1700  -16.1  990.6    0.0    0.0   96.7  444.0
2002 275 10  2 1800  -19.0  990.9    0.4  329.0   94.0  444.0
2002 275 10  2 1900  -18.9  991.2    2.3  179.0   87.4  444.0
2002 275 10  2 2000  -17.5  991.2    0.0    0.0   84.8  444.0
2002 275 10  2 2100  -16.9  991.4    1.2  305.0   87.0  444.0
2002 275 10  2 2200  -16.9  991.8    0.2  335.0   76.4  444.0
2002 275 10  2 2300  -13.9  991.7    1.0  360.0   65.4  444.0
2002 276 10  3 0000  -16.2  991.6    1.6  325.0   70.7  444.0
2002 276 10  3 0100  -16.0  991.4    0.2  325.0   77.3  444.0
2002 276 10  3 0200  -15.5  991.8    0.2  111.0   62.8  444.0
2002 276 10  3 0300  -15.6  992.1    1.4  360.0   81.3  444.0
2002 276 10  3 0400  -14.4  992.1    9.6  170.0   92.7  444.0
2002 276 10  3 0500  -14.8  991.7   10.1  177.0   93.6  444.0
2002 276 10  3 0600  -13.8  992.1    9.9  149.0   92.7  444.0
2002 276 10  3 0700  -14.1  992.3    8.2  142.0   91.8  444.0
2002 276 10  3 0800  -13.6  992.1    5.1  134.0   87.9  444.0
2002 276 10  3 0900  -14.1  992.6    5.1  162.0   91.8  444.0
2002 276 10  3 1000  -14.2  992.7    4.1  155.0   97.1  444.0
2002 276 10  3 1100  -13.9  993.0    6.8  153.0   94.5  444.0
2002 276 10  3 1200  -14.8  992.7    9.2  165.0   94.0  444.0
2002 276 10  3 1300  -16.2  993.4   21.6  160.0   92.7  444.0
2002 276 10  3 1400  -16.2  993.4   13.1  149.0   96.7  444.0
2002 276 10  3 1500  -16.5  994.2   10.9  143.0   95.8  444.0
2002 276 10  3 1600  -17.5  994.8    5.3   55.0   93.6  444.0
2002 276 10  3 1700  -17.2  995.1    4.9   83.0   93.2  444.0
2002 276 10  3 1800  -15.6  995.1    5.7  155.0   94.0  444.0
2002 276 10  3 1900  -16.6  994.6    8.2  110.0   91.8  444.0
2002 276 10  3 2000  -17.2  994.8    2.9   83.0   88.8  444.0
2002 276 10  3 2100  -15.6  994.8    4.9  125.0   86.1  444.0
