Year: 2002  Month: 11  ID: PTM  ARGOS:  8909  Name: Port Martin         
Lat: 66.82S  Lon: 141.40E  Elev:   39m
2002 308 11  4 1200   -6.8  989.6  444.0  444.0   62.8  444.0
2002 308 11  4 1300   -7.9  990.1  444.0  444.0   61.9  444.0
2002 308 11  4 1400   -7.0  988.6  444.0  444.0   63.7  444.0
2002 308 11  4 1500   -9.1  989.6  444.0  444.0   61.0  444.0
2002 308 11  4 1600   -9.8  989.3  444.0  444.0   61.0  444.0
2002 308 11  4 1700   -9.6  989.8  444.0  444.0   60.6  444.0
2002 308 11  4 1800  -10.5  989.0  444.0  444.0   61.0  444.0
2002 308 11  4 1900   -9.8  444.0  444.0  444.0   59.7  444.0
2002 308 11  4 2000   -7.9  989.3  444.0  444.0   62.8  444.0
2002 308 11  4 2100   -9.8  989.2  444.0  444.0   59.3  444.0
2002 308 11  4 2200   -7.2  444.0  444.0  444.0   62.8  444.0
2002 308 11  4 2300   -7.8  989.6  444.0  444.0   61.0  444.0
2002 309 11  5 0000  444.0  444.0  444.0  444.0  444.0  444.0
2002 309 11  5 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 309 11  5 0200   -4.9  990.1  444.0  444.0   61.5  444.0
2002 309 11  5 0300   -4.5  990.1  444.0  444.0   61.0  444.0
2002 309 11  5 0400   -3.6  989.2  444.0  444.0   61.9  444.0
2002 309 11  5 0500  444.0  444.0  444.0  444.0  444.0  444.0
2002 309 11  5 0600   -3.8  990.6  444.0  444.0   61.0  444.0
2002 309 11  5 0700   -3.4  990.7  444.0  444.0   61.5  444.0
2002 309 11  5 0800   -4.1  991.0  444.0  444.0   60.6  444.0
2002 309 11  5 0900   -5.6  991.3  444.0  444.0   61.5  444.0
2002 309 11  5 1000   -6.1  991.8  444.0  444.0   61.0  444.0
2002 309 11  5 1100   -7.0  992.2  444.0  444.0   61.0  444.0
2002 309 11  5 1200   -7.2  991.7  444.0  444.0   61.0  444.0
2002 309 11  5 1300   -7.8  992.4  444.0  444.0   60.2  444.0
2002 309 11  5 1400   -8.4  992.9  444.0  444.0   60.6  444.0
2002 309 11  5 1500   -8.4  993.7  444.0  444.0   60.6  444.0
2002 309 11  5 1600   -9.5  994.0  444.0  444.0   59.7  444.0
2002 309 11  5 1700   -9.6  993.7  444.0  444.0   59.7  444.0
2002 309 11  5 1800   -9.6  994.1  444.0  444.0   59.3  444.0
2002 309 11  5 1900   -9.8  994.1  444.0  444.0   59.7  444.0
2002 309 11  5 2000   -9.6  994.5  444.0  444.0   59.7  444.0
2002 309 11  5 2100   -8.0  994.3  444.0  444.0   60.6  444.0
2002 309 11  5 2200  444.0  444.0  444.0  444.0  444.0  444.0
2002 309 11  5 2300   -8.2  994.4  444.0  444.0   59.7  444.0
2002 310 11  6 0000   -7.6  994.4  444.0  444.0   60.2  444.0
2002 310 11  6 0100   -7.4  994.0  444.0  444.0   59.3  444.0
2002 310 11  6 0200   -7.0  994.2  444.0  444.0   59.7  444.0
2002 310 11  6 0300  444.0  444.0  444.0  444.0  444.0  444.0
2002 310 11  6 0400   -5.9  994.6  444.0  444.0   60.2  444.0
2002 310 11  6 0500   -5.6  993.9  444.0  444.0   59.7  444.0
2002 310 11  6 0600   -5.6  993.0  444.0  444.0   59.7  444.0
2002 310 11  6 0700   -6.0  993.2  444.0  444.0   60.2  444.0
2002 310 11  6 0800   -6.4  993.2  444.0  444.0   59.7  444.0
2002 310 11  6 0900   -7.0  993.5  444.0  444.0   59.7  444.0
2002 310 11  6 1000   -8.1  993.0  444.0  444.0   59.3  444.0
2002 310 11  6 1100   -8.9  993.6  444.0  444.0   59.7  444.0
2002 310 11  6 1200   -9.5  992.9  444.0  444.0   58.8  444.0
2002 310 11  6 1300  -10.1  992.8  444.0  444.0   58.8  444.0
2002 310 11  6 1400  -10.8  992.4  444.0  444.0   58.4  444.0
2002 310 11  6 1500  -11.5  991.2  444.0  444.0   57.5  444.0
2002 310 11  6 1600  -12.1  991.6  444.0  444.0   57.5  444.0
2002 310 11  6 1700  -12.0  990.9  444.0  444.0   57.5  444.0
2002 310 11  6 1800  444.0  444.0  444.0  444.0  444.0  444.0
2002 310 11  6 1900  -11.9  990.9  444.0  444.0   58.0  444.0
2002 310 11  6 2000  444.0  444.0  444.0  444.0   57.5  444.0
2002 310 11  6 2100  -10.1  989.4  444.0  444.0   58.0  444.0
2002 310 11  6 2200   -9.1  988.9  444.0  444.0   58.4  444.0
2002 310 11  6 2300  444.0  444.0  444.0  444.0  444.0  444.0
